year,month,E_index,C_index
1854,1,0.12973,-0.86703
1854,2,-0.14916,-0.61593
1854,3,-0.65337,-0.14809
1854,4,-0.79331,0.00189
1854,5,-0.82572,0.14345
1854,6,0.29447,-0.71828
1854,7,-0.03280,-0.39414
1854,8,-0.15815,-1.11976
1854,9,-0.26175,-0.80361
1854,10,0.40504,-1.72937
1854,11,-0.17599,-1.49362
1854,12,-0.32609,-1.75207
1855,1,-0.47644,-0.74646
1855,2,-0.10347,-0.04035
1855,3,-0.50612,-0.06501
1855,4,-0.36899,-0.40979
1855,5,-0.03424,-0.77498
1855,6,0.21388,-1.44899
1855,7,1.18446,-2.09324
1855,8,0.35712,-0.58362
1855,9,-0.43576,1.51696
1855,10,0.66112,0.52573
1855,11,0.02334,0.62087
1855,12,-0.05355,0.74710
1856,1,0.01043,0.53032
1856,2,-0.53478,0.22021
1856,3,-0.42852,0.09429
1856,4,-0.72431,-0.88699
1856,5,-1.20098,-0.82635
1856,6,-1.86062,-0.04821
1856,7,-1.47652,-0.78186
1856,8,-0.85432,-1.99031
1856,9,-0.18096,-2.83972
1856,10,0.28668,-3.33073
1856,11,0.37336,-3.63174
1856,12,0.71300,-4.36209
1857,1,-0.33068,-3.28443
1857,2,-0.11056,-2.95375
1857,3,-0.18721,-2.65391
1857,4,-0.71656,-2.11793
1857,5,-1.55866,-0.64739
1857,6,-1.52507,-0.09942
1857,7,0.23777,-0.96669
1857,8,0.71450,-1.58148
1857,9,0.54796,-0.93522
1857,10,0.51772,-1.19552
1857,11,0.19322,-0.99863
1857,12,1.14380,-1.37025
1858,1,0.93521,-0.89568
1858,2,0.84103,-0.88221
1858,3,0.16015,-0.86366
1858,4,-0.03222,-0.82680
1858,5,-0.11547,-0.70521
1858,6,-0.07139,-0.72519
1858,7,0.02413,-0.79744
1858,8,-0.44922,-0.67782
1858,9,-0.53667,-0.74354
1858,10,0.08484,-1.01318
1858,11,0.70270,-1.06597
1858,12,-0.56509,-0.35094
1859,1,-1.06780,0.19294
1859,2,-1.15825,0.10185
1859,3,-0.65868,-0.20861
1859,4,-1.23961,-0.34528
1859,5,-1.17633,-0.17031
1859,6,-1.25183,-0.17197
1859,7,-0.97343,0.09006
1859,8,-1.05546,0.19014
1859,9,-1.18529,-0.17876
1859,10,-0.95663,-0.36795
1859,11,-0.25193,-0.46137
1859,12,-0.03284,-0.77770
1860,1,-0.88641,-0.69170
1860,2,-0.27117,-1.32988
1860,3,-0.00773,-1.26912
1860,4,-2.08348,-0.66704
1860,5,-2.42978,-0.29121
1860,6,-1.66796,-0.20214
1860,7,-0.89910,-0.65155
1860,8,-1.30561,-0.79125
1860,9,-0.92301,-1.25761
1860,10,-0.98983,-1.88519
1860,11,-1.60386,-1.36349
1860,12,-0.65546,-1.97008
1861,1,0.27010,-2.71338
1861,2,0.81369,-2.79281
1861,3,-0.16204,-1.79404
1861,4,-0.40374,-1.84317
1861,5,-0.74753,-1.60036
1861,6,-0.62512,-1.46451
1861,7,-0.79893,-1.01850
1861,8,0.25471,-1.55449
1861,9,1.00823,-2.09088
1861,10,0.25141,-1.70097
1861,11,-0.06500,-1.50931
1861,12,-0.39682,-1.28832
1862,1,-1.08289,-0.97575
1862,2,-0.49183,-1.26545
1862,3,-0.60874,-1.43815
1862,4,-1.03657,-1.48036
1862,5,-1.28198,-1.59571
1862,6,0.35375,-2.89592
1862,7,0.63598,-2.36185
1862,8,0.39933,-1.88176
1862,9,0.84134,-1.18357
1862,10,0.97836,-2.03111
1862,11,1.21453,-1.89223
1862,12,-0.87285,-1.11910
