time,icen
2002-01-01,-0.59
2002-02-01,0.04
2002-03-01,0.57
2002-04-01,0.81
2002-05-01,0.67
2002-06-01,0.30
2002-07-01,-0.03
2002-08-01,-0.12
2002-09-01,0.07
2002-10-01,0.48
2002-11-01,0.79
2002-12-01,0.74
2003-01-01,0.40
2003-02-01,0.04
2003-03-01,-0.19
2003-04-01,-0.69
2003-05-01,-1.12
2003-06-01,-1.30
2003-07-01,-0.78
2003-08-01,-0.51
2003-09-01,-0.10
2003-10-01,-0.01
2003-11-01,0.22
2003-12-01,0.10
2004-01-01,0.02
2004-02-01,-0.27
2004-03-01,-0.39
2004-04-01,-0.89
2004-05-01,-1.01
2004-06-01,-1.11
2004-07-01,-0.86
2004-08-01,-0.62
2004-09-01,-0.32
2004-10-01,0.16
2004-11-01,0.38
2004-12-01,0.36
2005-01-01,-0.17
2005-02-01,-0.74
2005-03-01,-0.88
2005-04-01,-0.68
2005-05-01,-0.46
2005-06-01,-0.46
2005-07-01,-0.50
2005-08-01,-0.52
2005-09-01,-0.84
2005-10-01,-1.18
2005-11-01,-1.23
2005-12-01,-0.92
2006-01-01,-0.37
2006-02-01,-0.15
2006-03-01,-0.52
2006-04-01,-0.78
2006-05-01,-0.76
2006-06-01,-0.19
2006-07-01,0.23
2006-08-01,0.62
2006-09-01,0.91
2006-10-01,0.94
2006-11-01,0.86
2006-12-01,0.72
2007-01-01,0.50
2007-02-01,0.05
2007-03-01,-0.59
2007-04-01,-1.22
2007-05-01,-1.54
2007-06-01,-1.46
2007-07-01,-1.26
2007-08-01,-1.05
2007-09-01,-1.23
2007-10-01,-1.41
2007-11-01,-1.64
2007-12-01,-1.29
2008-01-01,-0.64
2008-02-01,0.04
2008-03-01,0.34
2008-04-01,0.44
2008-05-01,0.50
2008-06-01,0.69
2008-07-01,0.98
2008-08-01,1.13
2008-09-01,0.92
2008-10-01,0.37
2008-11-01,-0.12
2008-12-01,-0.30
2009-01-01,-0.43
2009-02-01,-0.55
2009-03-01,-0.36
2009-04-01,-0.02
2009-05-01,0.47
2009-06-01,0.58
2009-07-01,0.75
2009-08-01,0.70
2009-09-01,0.56
2009-10-01,0.39
2009-11-01,0.42
2009-12-01,0.41
2010-01-01,0.35
2010-02-01,0.18
2010-03-01,0.05
2010-04-01,0.09
2010-05-01,0.07
2010-06-01,-0.24
2010-07-01,-0.75
2010-08-01,-1.16
2010-09-01,-1.24
2010-10-01,-1.25
2010-11-01,-1.13
2010-12-01,-0.88
2011-01-01,-0.50
2011-02-01,-0.50
2011-03-01,-0.40
2011-04-01,-0.31
2011-05-01,0.08
2011-06-01,0.18
2011-07-01,0.08
2011-08-01,-0.28
2011-09-01,-0.59
2011-10-01,-0.71
2011-11-01,-0.67
2011-12-01,-0.46
2012-01-01,-0.15
2012-02-01,0.11
2012-03-01,0.47
2012-04-01,0.65
2012-05-01,0.94
2012-06-01,0.77
2012-07-01,0.50
2012-08-01,0.18
2012-09-01,-0.07
2012-10-01,-0.23
2012-11-01,-0.53
2012-12-01,-0.63
2013-01-01,-0.73
2013-02-01,-0.67
2013-03-01,-0.85
2013-04-01,-1.13
2013-05-01,-1.54
2013-06-01,-1.66
2013-07-01,-1.52
2013-08-01,-1.15
2013-09-01,-0.86
2013-10-01,-0.66
2013-11-01,-0.55
2013-12-01,-0.31
2014-01-01,-0.33
2014-02-01,-0.29
2014-03-01,-0.30
2014-04-01,0.25
2014-05-01,0.87
2014-06-01,1.21
2014-07-01,1.15
2014-08-01,0.90
2014-09-01,0.81
2014-10-01,0.77
2014-11-01,0.65
2014-12-01,0.37
2015-01-01,-0.06
2015-02-01,-0.18
2015-03-01,0.20
2015-04-01,0.88
2015-05-01,1.60
2015-06-01,2.10
2015-07-01,2.13
2015-08-01,2.15
2015-09-01,2.02
2015-10-01,2.23
2015-11-01,2.21
2015-12-01,2.06
2016-01-01,1.75
2016-02-01,1.45
2016-03-01,1.05
2016-04-01,0.77
2016-05-01,0.51
2016-06-01,0.42
2016-07-01,0.34
2016-08-01,0.35
2016-09-01,0.36
2016-10-01,0.31
2016-11-01,0.25
2016-12-01,0.47
2017-01-01,0.89
2017-02-01,1.29
2017-03-01,1.31
2017-04-01,0.92
2017-05-01,0.31
2017-06-01,-0.13
2017-07-01,-0.32
2017-08-01,-0.52
2017-09-01,-0.69
2017-10-01,-0.97
2017-11-01,-1.21
2017-12-01,-1.30
2018-01-01,-1.25
2018-02-01,-1.21
2018-03-01,-1.16
2018-04-01,-1.07
2018-05-01,-0.84
2018-06-01,-0.61
2018-07-01,-0.46
2018-08-01,-0.24
2018-09-01,-0.09
2018-10-01,0.27
2018-11-01,0.63
2018-12-01,0.87
2019-01-01,0.78
2019-02-01,0.49
2019-03-01,0.31
2019-04-01,0.21
2019-05-01,0.05
2019-06-01,-0.28
2019-07-01,-0.60
2019-08-01,-0.72
2019-09-01,-0.74
2019-10-01,-0.53
2019-11-01,-0.30
2019-12-01,-0.18
2020-01-01,-0.14
2020-02-01,-0.14
2020-03-01,0.07
2020-04-01,0.02
2020-05-01,-0.20
2020-06-01,-0.72
2020-07-01,-1.02
2020-08-01,-1.19
2020-09-01,-1.02
2020-10-01,-0.91
2020-11-01,-0.76
2020-12-01,-0.79
2021-01-01,-0.84
2021-02-01,-0.83
2021-03-01,-0.86
2021-04-01,-0.83
2021-05-01,-0.70
2021-06-01,-0.46
2021-07-01,-0.30
2021-08-01,-0.41
2021-09-01,-0.62
2021-10-01,-0.90
2021-11-01,-1.23
2021-12-01,-1.31
2022-01-01,-1.46
2022-02-01,-1.14
2022-03-01,-1.24
2022-04-01,-1.26
2022-05-01,-1.51
2022-06-01,-1.44
2022-07-01,-1.09
2022-08-01,-0.93
2022-09-01,-1.12
2022-10-01,-1.30
2022-11-01,-1.10
2022-12-01,-0.70
2023-01-01,-0.17
2023-02-01,0.47
2023-03-01,1.53
2023-04-01,2.11
2023-05-01,2.45
2023-06-01,2.57
2023-07-01,2.92
2023-08-01,2.90
2023-09-01,2.68
2023-10-01,2.28
2023-11-01,2.01
2023-12-01,1.67
2024-01-01,1.34
2024-02-01,0.88
2024-03-01,0.38
2024-04-01,-0.38
2024-05-01,-0.78
2024-06-01,-0.97
2024-07-01,-0.72
2024-08-01,-0.65
2024-09-01,-0.50
2024-10-01,-0.34
2024-11-01,-0.10
2024-12-01,-0.11
2025-01-01,0.00
2025-02-01,0.45
2025-03-01,0.72
2025-04-01,0.46
2025-05-01,0.18
2025-06-01,0.11
2025-07-01,0.17
2025-08-01,-0.01
2025-09-01,-0.22
2025-10-01,-0.42
2025-11-01,-0.50
2025-12-01,-0.51
