time,total,oni
2002-01-01,26.44,-0.15
2002-02-01,26.81,0.03
2002-03-01,27.29,0.09
2002-04-01,27.80,0.20
2002-05-01,28.18,0.43
2002-06-01,28.24,0.65
2002-07-01,28.06,0.79
2002-08-01,27.85,0.86
2002-09-01,27.83,1.01
2002-10-01,27.97,1.21
2002-11-01,28.03,1.31
2002-12-01,27.76,1.14
2003-01-01,27.51,0.92
2003-02-01,27.41,0.63
2003-03-01,27.58,0.38
2003-04-01,27.56,-0.04
2003-05-01,27.48,-0.26
2003-06-01,27.42,-0.16
2003-07-01,27.35,0.08
2003-08-01,27.20,0.21
2003-09-01,27.08,0.26
2003-10-01,27.05,0.29
2003-11-01,27.07,0.35
2003-12-01,26.97,0.35
2004-01-01,26.95,0.37
2004-02-01,27.08,0.31
2004-03-01,27.43,0.23
2004-04-01,27.76,0.17
2004-05-01,27.91,0.17
2004-06-01,27.87,0.28
2004-07-01,27.74,0.47
2004-08-01,27.63,0.64
2004-09-01,27.52,0.70
2004-10-01,27.44,0.67
2004-11-01,27.38,0.66
2004-12-01,27.30,0.69
2005-01-01,27.22,0.64
2005-02-01,27.36,0.58
2005-03-01,27.65,0.45
2005-04-01,28.02,0.43
2005-05-01,28.03,0.29
2005-06-01,27.69,0.11
2005-07-01,27.21,-0.06
2005-08-01,26.85,-0.14
2005-09-01,26.71,-0.11
2005-10-01,26.48,-0.29
2005-11-01,26.15,-0.57
2005-12-01,25.81,-0.84
2006-01-01,25.80,-0.85
2006-02-01,26.10,-0.77
2006-03-01,26.73,-0.57
2006-04-01,27.31,-0.37
2006-05-01,27.69,-0.14
2006-06-01,27.62,-0.03
2006-07-01,27.40,0.10
2006-08-01,27.26,0.30
2006-09-01,27.30,0.54
2006-10-01,27.48,0.77
2006-11-01,27.62,0.94
2006-12-01,27.56,0.94
2007-01-01,27.30,0.66
2007-02-01,27.09,0.22
2007-03-01,27.18,-0.12
2007-04-01,27.37,-0.32
2007-05-01,27.45,-0.38
2007-06-01,27.18,-0.47
2007-07-01,26.74,-0.56
2007-08-01,26.15,-0.81
2007-09-01,25.69,-1.07
2007-10-01,25.37,-1.34
2007-11-01,25.17,-1.50
2007-12-01,25.02,-1.60
2008-01-01,25.00,-1.64
2008-02-01,25.35,-1.52
2008-03-01,26.01,-1.29
2008-04-01,26.67,-1.01
2008-05-01,26.99,-0.84
2008-06-01,27.04,-0.61
2008-07-01,26.92,-0.37
2008-08-01,26.73,-0.23
2008-09-01,26.52,-0.24
2008-10-01,26.36,-0.35
2008-11-01,26.12,-0.55
2008-12-01,25.88,-0.73
2009-01-01,25.79,-0.85
2009-02-01,26.08,-0.79
2009-03-01,26.68,-0.61
2009-04-01,27.36,-0.33
2009-05-01,27.84,0.01
2009-06-01,27.94,0.28
2009-07-01,27.75,0.45
2009-08-01,27.53,0.58
2009-09-01,27.47,0.71
2009-10-01,27.72,1.01
2009-11-01,28.03,1.36
2009-12-01,28.18,1.56
2010-01-01,28.14,1.50
2010-02-01,28.09,1.22
2010-03-01,28.14,0.84
2010-04-01,28.04,0.35
2010-05-01,27.66,-0.17
2010-06-01,27.00,-0.66
