date,caudal_bella_union_m3s,volumen_bella_union_mmc,caudal_jaqui_m3s,volumen_jaqui_mmc
1960-08-01,0.235,0.61,0.67,1.74
1960-09-01,0.243,0.63,0.72,1.87
1960-10-01,0.331,0.86,1.38,3.58
1960-11-01,0.227,0.59,0.99,2.57
1960-12-01,1.506,3.9,0.85,2.2
1961-01-01,63.1,163.56,22.02,57.08
1961-02-01,228.75,592.92,109.82,284.65
1961-03-01,49.484,128.26,35.94,93.16
1961-04-01,24.26,62.88,23.38,60.6
1961-05-01,7.58,19.65,6.1,15.81
1961-06-01,3.729,9.67,3.45,8.94
1961-07-01,2.006,5.2,1.43,3.71
1961-08-01,1.157,3.0,0.76,1.97
1961-09-01,0.717,1.86,0.95,2.46
1961-10-01,0.516,1.34,0.83,2.15
1961-11-01,2.336,6.05,1.42,3.68
1961-12-01,17.26,44.74,3.45,8.94
1962-01-01,56.161,145.57,20.6,53.4
1962-02-01,122.071,316.41,58.93,152.75
1962-03-01,98.032,254.1,37.4,96.94
1962-04-01,39.567,102.56,29.0,75.17
1962-05-01,4.602,11.93,4.38,11.35
1962-06-01,1.846,4.78,1.79,4.64
1962-07-01,0.67,1.74,0.64,1.66
1962-08-01,0.429,1.11,0.35,0.91
1962-09-01,0.674,1.75,0.75,1.94
1962-10-01,0.532,1.38,0.64,1.66
1962-11-01,0.36,0.93,1.18,3.06
1962-12-01,0.961,2.49,1.03,2.67
1963-01-01,47.189,122.31,19.2,49.77
1963-02-01,60.286,156.26,43.24,112.08
1963-03-01,73.224,189.8,54.11,140.25
1963-04-01,15.85,41.08,12.81,33.2
1963-05-01,5.477,14.2,5.66,14.67
1963-06-01,3.141,8.14,3.7,9.59
1963-07-01,1.841,4.77,2.54,6.58
1963-08-01,1.325,3.43,1.21,3.14
1963-09-01,0.912,2.36,0.83,2.15
1963-10-01,0.68,1.76,0.51,1.32
1963-11-01,1.162,3.01,0.83,2.15
1963-12-01,11.874,30.78,3.67,9.51
1964-01-01,3.402,8.82,1.86,4.82
1964-02-01,14.119,36.6,1.28,3.32
1964-03-01,13.826,35.84,15.77,40.88
1964-04-01,7.779,20.16,10.52,27.27
1964-05-01,2.44,6.32,1.42,3.68
1964-06-01,1.573,4.08,0.49,1.27
1964-07-01,0.758,1.96,0.27,0.7
1964-08-01,0.728,1.89,0.8,2.07
1964-09-01,0.541,1.4,1.21,3.14
1964-10-01,0.357,0.93,1.19,3.08
1964-11-01,0.614,1.59,1.07,2.77
1964-12-01,2.294,5.95,1.5,3.89
1965-01-01,4.866,12.61,2.34,6.07
1965-02-01,60.59,157.05,36.54,94.71
1965-03-01,19.893,51.56,16.99,44.04
1965-04-01,5.69,14.75,1.74,4.51
1965-05-01,1.707,4.42,0.37,0.96
1965-06-01,0.769,1.99,0.24,0.62
1965-07-01,0.522,1.35,0.29,0.75
1965-08-01,0.333,0.86,0.64,1.66
1965-09-01,1.257,3.26,0.93,2.41
1965-10-01,0.246,0.64,0.59,1.53
1965-11-01,0.107,0.28,0.48,1.24
1965-12-01,0.714,1.85,0.26,0.67
1966-01-01,7.302,18.93,0.65,1.68
1966-02-01,21.041,54.54,7.57,19.62
1966-03-01,54.203,140.49,26.49,68.66
1966-04-01,2.971,7.7,1.82,4.72
1966-05-01,1.231,3.19,0.2,0.52
1966-06-01,0.662,1.72,0.17,0.44
1966-07-01,0.467,1.21,0.05,0.13
1966-08-01,0.528,1.37,1.0,2.59
1966-09-01,0.565,1.46,0.93,2.41
1966-10-01,0.817,2.12,0.13,0.34
1966-11-01,1.057,2.74,1.18,3.06
1966-12-01,2.55,6.61,1.64,4.25
1967-01-01,32.864,85.18,48.98,126.96
1967-02-01,237.232,614.91,211.06,547.07
1967-03-01,105.876,274.43,109.78,284.55
1967-04-01,29.927,77.57,24.86,64.44
1967-05-01,5.748,14.9,2.13,5.52
1967-06-01,2.799,7.26,1.37,3.55
1967-07-01,2.369,6.14,1.6,4.15
1967-08-01,1.457,3.78,1.81,4.69
1967-09-01,0.785,2.03,0.42,1.09
1967-10-01,0.867,2.25,1.2,3.11
1967-11-01,0.52,1.35,0.93,2.41
1967-12-01,0.608,1.58,1.48,3.84
1968-01-01,35.543,92.13,68.51,177.58
1968-02-01,8.655,22.43,7.61,19.73
1968-03-01,37.555,97.34,60.38,156.5
1968-04-01,7.554,19.58,8.23,21.33
1968-05-01,1.907,4.94,1.19,3.08
1968-06-01,1.167,3.02,0.84,2.18
1968-07-01,0.84,2.18,0.45,1.17
1968-08-01,0.645,1.67,1.79,4.64
1968-09-01,0.495,1.28,1.72,4.46
1968-10-01,0.352,0.91,2.04,5.29
1968-11-01,1.498,3.88,2.24,5.81
1968-12-01,3.606,9.35,4.44,11.51
1969-01-01,1.002,2.6,0.9,2.33
1969-02-01,15.336,39.75,15.3,39.66
1969-03-01,45.902,118.98,64.97,168.4
1969-04-01,9.213,23.88,10.74,27.84
1969-05-01,1.78,4.61,1.46,3.78
1969-06-01,0.797,2.07,0.68,1.76
1969-07-01,0.549,1.42,0.43,1.11
1969-08-01,0.48,1.24,1.23,3.19
1969-09-01,0.368,0.95,0.99,2.57
1969-10-01,0.383,0.99,0.95,2.46
1969-11-01,0.828,2.15,0.75,1.94
1969-12-01,3.155,8.18,1.35,3.5
1970-01-01,54.481,141.21,36.65,95.0
1970-02-01,26.227,67.98,27.82,72.11
1970-03-01,16.109,41.75,20.35,52.75
1970-04-01,7.465,19.35,10.54,27.32
1970-05-01,5.531,14.34,2.5,6.48
1970-06-01,1.198,3.11,1.22,3.16
1970-07-01,0.779,2.02,0.68,1.76
1970-08-01,0.637,1.65,1.06,2.75
1970-09-01,0.652,1.69,0.89,2.31
1970-10-01,0.548,1.42,0.67,1.74
1970-11-01,0.448,1.16,0.82,2.13
1970-12-01,0.726,1.88,0.41,1.06
1971-01-01,7.19,18.64,2.26,5.86
1971-02-01,19.767,51.24,4.44,11.51
1971-03-01,51.214,132.75,20.7,53.65
1971-04-01,31.651,82.04,11.78,30.53
1971-05-01,3.273,8.48,1.16,3.01
1971-06-01,0.996,2.58,0.25,0.65
1971-07-01,0.583,1.51,0.2,0.52
1971-08-01,0.591,1.53,0.91,2.36
1971-09-01,0.459,1.19,0.86,2.23
1971-10-01,0.335,0.87,0.59,1.53
1971-11-01,0.203,0.53,0.7,1.81
1971-12-01,2.223,5.76,0.91,2.36
1972-01-01,36.577,94.81,33.77,87.53
1972-02-01,139.171,360.73,43.09,111.69
1972-03-01,82.932,214.96,151.38,392.38
1972-04-01,30.791,79.81,23.85,61.82
1972-05-01,4.42,11.46,2.18,5.65
1972-06-01,1.82,4.72,2.27,5.88
1972-07-01,1.482,3.84,1.25,3.24
1972-08-01,1.249,3.24,1.1,2.85
1972-09-01,0.98,2.54,0.77,2.0
1972-10-01,1.276,3.31,0.85,2.2
1972-11-01,1.053,2.73,0.8,2.07
1972-12-01,10.362,26.86,1.76,4.56
1973-01-01,66.371,172.03,39.45,102.25
1973-02-01,71.0,184.03,69.47,180.07
1973-03-01,120.153,311.44,123.13,319.15
1973-04-01,45.515,117.97,31.35,81.26
1973-05-01,8.877,23.01,6.17,15.99
1973-06-01,0.812,2.1,1.7,4.41
1973-07-01,0.138,0.36,0.59,1.53
1973-08-01,0.484,1.25,0.93,2.41
1973-09-01,0.516,1.34,1.39,3.6
1973-10-01,0.319,0.83,1.26,3.27
1973-11-01,0.924,2.4,0.93,2.41
1973-12-01,1.654,4.29,1.85,4.8
1974-01-01,73.938,191.65,23.66,61.33
1974-02-01,108.934,282.36,31.4,81.39
1974-03-01,64.184,166.36,31.96,82.84
1974-04-01,18.394,47.68,9.51,24.65
1974-05-01,5.492,14.24,4.02,10.42
1974-06-01,0.991,2.57,1.71,4.43
1974-07-01,0.597,1.55,1.07,2.77
1974-08-01,0.876,2.27,0.88,2.28
1974-09-01,0.753,1.95,1.15,2.98
1974-10-01,0.409,1.06,1.0,2.59
1974-11-01,0.328,0.85,0.95,2.46
1974-12-01,0.248,0.64,0.92,2.38
1975-01-01,17.32,44.89,5.7,14.77
1975-02-01,9.706,25.16,19.89,51.55
1975-03-01,110.143,285.49,137.2,355.62
1975-04-01,11.203,29.04,9.36,24.26
1975-05-01,4.898,12.7,2.94,7.62
1975-06-01,2.557,6.63,1.86,4.82
1975-07-01,1.75,4.54,1.13,2.93
1975-08-01,1.192,3.09,0.82,2.13
1975-09-01,0.889,2.3,0.68,1.76
1975-10-01,0.965,2.5,0.79,2.05
1975-11-01,0.478,1.24,0.88,2.28
1975-12-01,1.535,3.98,1.84,4.77
1976-01-01,23.52,60.96,14.73,38.18
1976-02-01,56.86,147.38,41.82,108.4
1976-03-01,46.71,121.07,38.2,99.01
1976-04-01,15.8,40.95,8.35,21.64
1976-05-01,4.611,11.95,3.65,9.46
1976-06-01,1.35,3.5,1.05,2.72
1976-07-01,1.912,4.96,1.0,2.59
1976-08-01,1.401,3.63,0.81,2.1
1976-09-01,1.844,4.78,1.21,3.14
1976-10-01,1.517,3.93,1.3,3.37
1976-11-01,1.295,3.36,1.19,3.08
1976-12-01,1.674,4.34,0.91,2.36
1977-01-01,2.882,7.47,0.88,2.28
1977-02-01,78.692,203.97,67.88,175.94
1977-03-01,88.776,230.11,69.11,179.13
1977-04-01,7.236,18.76,4.3,11.15
1977-05-01,1.824,4.73,0.32,0.83
1977-06-01,1.447,3.75,0.16,0.41
1977-07-01,1.329,3.44,0.23,0.6
1977-08-01,1.094,2.84,0.64,1.66
1977-09-01,1.182,3.06,1.42,3.68
1977-10-01,0.896,2.32,1.6,4.15
1977-11-01,1.554,4.03,1.27,3.29
1977-12-01,1.242,3.22,1.24,3.21
1978-01-01,6.387,16.56,1.52,3.94
1978-02-01,10.66,27.63,4.07,10.55
1978-03-01,6.739,17.47,4.26,11.04
1978-04-01,8.348,21.64,4.51,11.69
1978-05-01,0.656,1.7,1.0,2.59
1978-06-01,0.401,1.04,0.5,1.3
1978-07-01,0.4,1.04,0.55,1.43
1978-08-01,0.32,0.83,1.48,3.84
1978-09-01,0.151,0.39,1.0,2.59
1978-10-01,0.184,0.48,1.12,2.9
1978-11-01,1.36,3.53,0.76,1.97
1978-12-01,0.603,1.56,0.9,2.33
1979-01-01,1.176,3.05,0.08000000000000007,0.21
1979-02-01,5.483,14.21,1.85,4.8
1979-03-01,36.691,95.1,20.1,52.1
1979-04-01,3.278,8.5,1.53,3.97
1979-05-01,0.451,1.17,0.26,0.67
1979-06-01,0.262,0.68,0.04,0.1
1979-07-01,0.285,0.74,0.15,0.39
1979-08-01,0.174,0.45,0.48,1.24
1979-09-01,0.122,0.32,0.86,2.23
1979-10-01,0.357,0.93,0.93,2.41
1979-11-01,0.076,0.2,0.57,1.48
1979-12-01,0.162,0.42,0.58,1.5
1980-01-01,10.622,27.53,9.95,25.79
1980-02-01,4.974,12.89,1.48,3.84
1980-03-01,25.983,67.35,15.72,40.75
1980-04-01,1.893,4.91,1.84,4.77
1980-05-01,0.075,0.19,0.07,0.18
1980-06-01,0.082,0.21,0.06,0.16
1980-07-01,0.146,0.38,0.1,0.26
1980-08-01,0.055,0.14,0.53,1.37
1980-09-01,1.203,3.12,0.52,1.35
1980-10-01,0.125,0.32,0.7,1.81
1980-11-01,0.075,0.19,0.46,1.19
1980-12-01,0.567,1.47,0.48,1.24
1981-01-01,3.961,10.27,0.89,2.31
1981-02-01,50.22,130.17,23.56,61.07
1981-03-01,27.89,72.29,10.51,27.24
1981-04-01,15.67,40.62,7.83,20.3
1981-05-01,0.71,1.84,0.3,0.78
1981-06-01,0.425,1.1,0.1,0.26
1981-07-01,0.316,0.82,0.07,0.18
1981-08-01,0.293,0.76,0.85,2.2
1981-09-01,0.155,0.4,0.69,1.79
1981-10-01,0.191,0.5,0.69,1.79
1981-11-01,0.247,0.64,0.61,1.58
1981-12-01,13.605,35.26,4.25,11.02
1982-01-01,18.696,48.46,5.89,15.27
1982-02-01,74.546,193.22,26.72,69.26
1982-03-01,17.417,45.14,12.39,32.11
1982-04-01,14.263,36.97,9.78,25.35
1982-05-01,1.673,4.34,1.12,2.9
1982-06-01,0.809,2.1,0.39,1.01
1982-07-01,0.584,1.51,0.25,0.65
1982-08-01,0.323,0.84,0.91,2.36
1982-09-01,0.434,1.12,0.97,2.51
1982-10-01,1.057,2.74,0.86,2.23
1982-11-01,4.864,12.61,1.16,3.01
1982-12-01,3.078,7.98,2.1,5.44
1983-01-01,5.128,13.29,2.97,7.7
1983-02-01,4.646,12.04,2.56,6.64
1983-03-01,12.515,32.44,8.43,21.85
1983-04-01,10.651,27.61,12.6,32.66
1983-05-01,0.722,1.87,0.54,1.4
1983-06-01,0.292,0.76,0.06,0.16
1983-07-01,0.133,0.34,0.03,0.08
1983-08-01,0.071,0.18,0.83,2.15
1983-09-01,0.116,0.3,0.47,1.22
1983-10-01,0.049,0.13,0.45,1.17
1983-11-01,0.031,0.08,0.38,0.98
1983-12-01,5.027,13.03,1.78,4.61
1984-01-01,11.596,30.06,3.23,8.37
1984-02-01,77.55,201.01,52.2,135.3
1984-03-01,20.593,53.38,18.07,46.84
1984-04-01,10.929,28.33,4.82,12.49
1984-05-01,2.686,6.96,0.81,2.1
1984-06-01,1.602,4.15,0.13,0.34
1984-07-01,0.847,2.2,0.2,0.52
1984-08-01,0.512,1.33,1.16,3.01
1984-09-01,0.314,0.81,1.21,3.14
1984-10-01,6.962,18.05,0.84,2.18
1984-11-01,2.923,7.58,1.39,3.6
1984-12-01,9.374,24.3,1.86,4.82
1985-01-01,4.309,11.17,1.85,4.8
1985-02-01,54.681,141.73,14.77,38.28
1985-03-01,27.16,70.4,17.65,45.75
1985-04-01,17.204,44.59,14.97,38.8
1985-05-01,4.159,10.78,4.17,10.81
1985-06-01,4.417,11.45,2.13,5.52
1985-07-01,1.267,3.28,0.94,2.44
1985-08-01,0.657,1.7,0.57,1.48
1985-09-01,0.501,1.3,1.25,3.24
1985-10-01,0.446,1.16,0.94,2.44
1985-11-01,0.907,2.35,0.91,2.36
1985-12-01,3.921,10.16,2.64,6.84
1986-01-01,29.752,77.12,15.17,39.32
1986-02-01,48.675,126.17,30.54,79.16
1986-03-01,32.892,85.26,22.66,58.73
1986-04-01,15.933,41.3,14.89,38.59
1986-05-01,4.885,12.66,4.16,10.78
1986-06-01,2.241,5.81,1.4,3.63
1986-07-01,1.651,4.28,0.69,1.79
1986-08-01,0.951,2.46,0.47,1.22
1986-09-01,0.711,1.84,1.14,2.95
1986-10-01,0.569,1.47,0.53,1.37
