mes,caudal_medio_rio_sechin_quillo,caudal_q3_rio_sechin_quillo,caudal_min_rio_sechin_quillo,caudal_max_rio_sechin_quillo,caudal_medio_rio_casmagrande_tutuma,caudal_q2_rio_casmagrande_tutuma,caudal_q3_rio_casmagrande_tutuma,caudal_min_rio_casmagrande_tutuma,caudal_max_rio_casmagrande_tutuma,caudal_medio_rio_yautan,caudal_q2_rio_yautan,caudal_q60_rio_yautan,caudal_q3_rio_yautan,caudal_medio_rio_casma,caudal_q2_rio_casma,caudal_q3_rio_casma,caudal_min_rio_casma,caudal_max_rio_casma,caudal_medio_rio_huarmey_huamba,caudal_q2_rio_huarmey_huamba,caudal_q3_rio_huarmey_huamba,caudal_min_huarmey_huamba,caudal_max_rio_huarmey_huamba,caudal_medio_rio_sechin_puente_sechin,caudal_q2_rio_sechin_puente_sechin,caudal_q3_rio_sechin_puente_sechin,caudal_min_rio_sechin_puente_sechin,caudal_max_rio_sechin_puente_sechin,caudal_medio_rio_nepena_san_jacinto,caudal_q2_rio_nepena_san_jacinto,caudal_q3_rio_nepena_san_jacinto,caudal_min_rio_nepena_san_jacinto,caudal_max_rio_nepena_san_jacinto,demanda_valle_casma_mmc,demanda_valle_sechin_mmc,demanda_valle_yautan_mmc,evapotranspiracion_buenavista_mm
1,1.7590000000000001,0.394,0.0,10.181000000000001,8.559000000000001,5.0360000000000005,1.8940000000000001,0.058,77.91,3.253,1.9140000000000001,1.6560000000000001,0.72,8.833,5.226,10.790000000000001,0.058,77.91,6.569,1.784,6.6850000000000005,0.0,70.226,1.811,0.681,2.71,0.0,10.181000000000001,3.89,1.235,4.6225000000000005,0.03,23.45,7.497,5.939,4.057,155.3
2,4.759,1.541,0.0,24.0,16.001,9.396,6.9110000000000005,0.0,91.286,6.08,3.571,3.169,2.626,15.863,9.396,24.95,0.0,91.286,17.44,8.321,22.900000000000002,0.0,121.96000000000001,4.664,2.839,6.966,0.0,24.0,11.149000000000001,8.27,11.71,0.01,121.96000000000001,10.316,6.987,4.605,142.8
3,5.686,1.5270000000000001,0.02,20.161,19.71,18.903,7.283,0.0,68.129,7.49,7.183,4.358,2.7680000000000002,19.464,18.35,26.94,0.0,68.129,24.204,12.59,31.34,0.029,152.34,5.587,5.468,8.5,0.02,20.161,15.543000000000001,7.890000000000001,22.27,0.07,80.86,12.375,7.859,5.095,144.8
4,3.88,1.354,0.0,20.597,13.017,13.65,4.891,0.0,46.767,4.946,5.187,2.976,1.859,12.861,13.65,16.87,0.0,46.767,13.612,6.1930000000000005,20.12,0.0,89.9,3.735,2.65,4.707,0.0,20.597,8.419,2.5500000000000003,9.97,0.0,72.77,13.188,7.537,4.404,126.60000000000001
5,1.2610000000000001,0.48,0.0,3.855,4.844,4.103,1.708,0.0,12.290000000000001,1.841,1.559,1.458,0.649,4.862,4.103,8.293000000000001,0.0,12.290000000000001,4.742,2.261,5.63,0.0,26.161,1.247,0.852,1.861,0.0,3.855,2.902,0.53,3.83,0.0,21.3,10.069,5.825,3.036,104.5
6,0.507,0.003,0.0,3.11,2.168,1.616,0.269,0.0,6.187,0.8240000000000001,0.614,0.28400000000000003,0.10200000000000001,2.206,1.616,4.058,0.0,6.187,1.748,0.16,1.4000000000000001,0.0,13.950000000000001,0.51,0.365,0.795,0.0,3.11,0.93,0.255,0.9925,0.0,8.73,6.494,4.0440000000000005,2.186,85.5
7,0.269,0.0,0.0,1.713,1.438,0.897,0.17200000000000001,0.0,4.59,0.546,0.341,0.17500000000000002,0.065,1.438,0.897,2.527,0.0,4.59,1.014,0.0,0.792,0.0,9.419,0.269,0.14100000000000001,0.429,0.0,1.713,0.395,0.155,0.5,0.0,2.77,5.211,3.482,2.126,88.0
8,0.136,0.0,0.0,1.0110000000000001,0.746,0.5,0.0,0.0,2.613,0.28300000000000003,0.19,0.061,0.0,0.746,0.5,1.162,0.0,2.613,0.538,0.0,0.178,0.0,6.745,0.136,0.01,0.20600000000000002,0.0,1.0110000000000001,0.244,0.12,0.29,0.0,1.16,5.365,3.791,2.362,98.0
9,0.084,0.0,0.0,0.491,0.353,0.20500000000000002,0.0,0.0,2.223,0.134,0.078,0.012,0.0,0.353,0.20500000000000002,0.561,0.0,2.223,0.28400000000000003,0.0,0.05,0.0,4.143,0.084,0.0,0.191,0.0,0.491,0.14200000000000002,0.08,0.17,0.0,0.75,6.665,4.476,2.636,115.2
10,0.20800000000000002,0.0,0.0,1.669,1.186,0.403,0.0,0.0,8.548,0.451,0.153,0.029,0.0,1.186,0.403,1.229,0.0,8.548,0.438,0.0,0.199,0.0,5.5,0.20800000000000002,0.08,0.253,0.0,1.669,0.423,0.08,0.2625,0.0,3.15,7.824,5.007,2.87,133.0
11,0.295,0.0,0.0,2.0140000000000002,1.583,0.507,0.075,0.0,9.467,0.602,0.193,0.14100000000000001,0.029,1.583,0.507,1.732,0.0,9.467,0.997,0.039,0.487,0.0,9.533,0.295,0.1,0.303,0.0,2.0140000000000002,0.428,0.1,0.61,0.0,2.92,8.622,5.258,2.946,137.1
12,0.808,0.013000000000000001,0.0,5.461,3.944,1.923,0.488,0.0,19.323,1.499,0.731,0.368,0.186,3.944,1.923,4.45,0.0,19.323,3.258,0.5,2.673,0.0,47.463,0.808,0.394,0.978,0.0,5.461,1.137,0.35000000000000003,2.19,0.0,8.73,7.357,5.03,2.967,151.3
