date,caudal_angostura_m3s,volumen_angostura_mmc
1965-02-01,14.456,34.972
1965-03-01,14.35,38.436
1965-06-01,4.206,10.903
1965-07-01,3.772,10.104
1965-08-01,3.591,9.617
1965-09-01,3.251,8.428
1965-10-01,2.999,8.034
1965-11-01,1.996,5.173
1965-12-01,4.274,11.447
1966-01-01,4.133,11.07
1966-02-01,9.126,22.077
1966-03-01,14.81,39.667
1966-04-01,4.411,11.434
1966-05-01,3.585,9.602
1966-06-01,2.956,7.661
1966-07-01,2.483,6.65
1966-08-01,2.674,7.163
1966-09-01,2.28,5.91
1966-10-01,2.496,6.685
1966-11-01,6.64,17.21
1966-12-01,6.025,16.138
1967-01-01,6.63,17.757
1967-02-01,24.088,58.275
1967-03-01,52.793,141.401
1967-04-01,17.822,46.194
1967-05-01,6.019,16.121
1967-06-01,4.326,11.212
1967-07-01,3.724,9.973
1967-08-01,3.508,9.396
1967-09-01,4.144,10.742
1967-10-01,4.016,10.757
1967-11-01,3.269,8.473
1967-12-01,4.097,10.973
1968-01-01,19.026,50.958
1968-02-01,27.387,68.622
1968-03-01,34.991,93.719
1968-04-01,10.216,26.479
1968-05-01,5.269,14.114
1968-06-01,4.398,11.399
1968-07-01,4.057,10.867
1968-08-01,3.562,9.54
1968-09-01,3.439,8.914
1968-10-01,4.066,10.89
1968-11-01,8.515,22.072
1968-12-01,7.543,20.202
1969-01-01,7.662,20.522
1969-02-01,19.062,46.116
1969-04-01,7.737,20.054
1969-06-01,3.694,9.576
1969-07-01,3.77,10.098
1969-08-01,3.697,9.902
1970-09-01,3.833,9.934
1970-10-01,3.374,9.037
1970-11-01,3.47,8.993
1970-12-01,6.325,16.94
1971-01-01,17.114,45.837
1971-02-01,37.579,90.911
1971-04-01,8.17,21.177
1971-05-01,4.854,13.001
1971-06-01,4.447,11.526
1971-08-01,3.439,9.211
1971-09-01,3.087,8.001
1971-10-01,3.306,8.855
1971-11-01,2.903,7.524
1971-12-01,3.194,8.556
1972-01-01,26.474,70.908
1972-02-01,16.2,40.591
1972-03-01,51.936,139.106
1972-04-01,20.497,53.129
1972-05-01,5.998,16.065
1972-09-01,6.354,16.47
1972-10-01,4.157,11.134
1972-11-01,3.893,10.092
1972-12-01,6.649,17.809
1973-01-01,30.05,80.486
1973-02-01,47.675,115.335
1973-03-01,57.525,154.075
1973-05-01,6.701,17.949
1973-06-01,5.37,13.918
1973-07-01,4.64,12.427
1973-08-01,3.962,10.611
1973-09-01,4.045,10.485
1973-10-01,3.708,9.931
1973-12-01,6.011,16.099
1974-01-01,39.833,106.69
1974-02-01,96.667,233.856
1974-03-01,28.182,75.482
1974-04-01,11.744,30.44
1974-05-01,6.205,16.619
1974-06-01,4.733,12.269
1974-10-01,3.838,10.279
1974-11-01,3.75,9.72
1974-12-01,4.054,10.858
1975-04-01,15.58,40.383
1975-05-01,8.075,21.628
1975-06-01,4.896,12.691
1975-07-01,3.162,8.468
1975-08-01,3.591,9.617
1975-09-01,3.155,8.178
1975-10-01,3.215,8.61
1975-11-01,3.239,8.395
1975-12-01,9.181,24.589
1976-01-01,40.236,107.769
1976-02-01,46.142,115.613
1976-03-01,66.029,176.851
1976-04-01,14.233,36.892
1976-05-01,6.002,16.076
1976-06-01,5.109,13.241
1976-07-01,4.771,12.777
1976-08-01,4.218,11.296
1976-09-01,5.938,15.391
1976-10-01,3.842,10.291
1976-11-01,3.532,9.154
1976-12-01,4.716,12.63
1977-01-01,6.345,16.994
1977-02-01,34.072,82.428
1977-03-01,38.095,102.035
1977-05-01,5.297,14.189
1977-06-01,4.918,12.747
1977-08-01,3.64,9.75
1977-09-01,3.914,10.146
1977-10-01,3.294,8.823
1977-11-01,3.89,10.084
1977-12-01,4.711,12.618
1978-01-01,531.7,1424.104
1978-02-01,34.995,84.659
1978-03-01,8.847,23.695
1978-05-01,4.764,12.76
1978-06-01,4.134,10.715
1978-07-01,3.606,9.659
1978-08-01,3.324,8.904
1978-09-01,3.449,8.939
1978-10-01,3.225,8.639
1978-11-01,4.756,12.327
1978-12-01,5.668,15.18
1979-01-01,10.373,27.783
1979-02-01,7.73,18.701
1979-03-01,26.137,70.004
1979-04-01,7.432,19.265
1979-05-01,4.984,13.349
1979-10-01,2.24,6.0
1979-11-01,2.698,6.994
1979-12-01,1.832,4.907
1980-01-01,11.428,30.61
1980-02-01,6.191,15.511
1980-03-01,19.032,50.976
1980-05-01,4.427,11.858
1980-06-01,3.891,10.085
1980-07-01,3.178,8.511
1980-08-01,1.721,4.61
1980-09-01,1.95,5.056
1980-10-01,2.367,6.34
1980-11-01,2.394,6.206
1980-12-01,2.912,7.8
1981-01-01,64.79,173.534
1981-02-01,52.868,127.899
1981-03-01,28.378,76.006
1981-04-01,13.131,34.034
1981-05-01,6.363,17.044
1981-06-01,4.597,11.917
1981-07-01,3.991,10.689
1981-08-01,4.24,11.356
1981-09-01,2.963,7.681
1981-10-01,2.482,6.647
1981-11-01,2.343,6.073
1981-12-01,4.402,11.791
1982-01-01,16.389,43.896
1982-02-01,11.071,26.783
1982-03-01,26.31,70.469
1982-04-01,11.042,28.622
1982-09-01,2.662,6.899
1982-10-01,5.63,15.079
1982-11-01,9.891,25.639
1982-12-01,11.9,31.873
1983-01-01,4.994,13.376
1983-02-01,4.734,11.452
1983-03-01,4.811,12.885
1983-04-01,3.869,10.027
1983-05-01,2.253,6.034
1983-06-01,1.609,4.171
1983-07-01,1.682,4.506
1983-08-01,1.635,4.38
1983-09-01,1.547,4.01
1983-10-01,1.9,5.089
1983-11-01,1.394,3.613
1983-12-01,1.89,5.061
1984-01-01,18.616,49.862
1984-02-01,42.32,106.037
1984-03-01,87.453,234.234
1984-04-01,28.796,74.638
1995-01-01,8.524,22.831
1995-02-01,11.925,28.849
1995-03-01,47.645,127.613
1995-04-01,8.48,21.981
1995-05-01,2.374,6.358
1995-06-01,0.378,0.98
1995-10-01,0.341,0.913
1995-11-01,0.341,0.884
1995-12-01,5.02,13.446
1996-01-01,13.503,36.165
1996-02-01,32.45,81.306
1996-03-01,17.657,47.292
1996-04-01,9.366,24.276
1996-05-01,2.62,7.019
1996-06-01,1.399,3.625
1996-07-01,1.661,4.449
1996-08-01,1.074,2.877
1996-09-01,1.054,2.733
1996-10-01,1.14,3.054
1996-12-01,1.719,4.605
1997-01-01,12.08,32.356
1997-02-01,34.438,83.312
1997-03-01,23.91,64.04
1997-04-01,3.942,10.219
1997-05-01,0.701,1.878
1997-06-01,0.433,1.122
1997-07-01,0.388,1.038
1997-08-01,0.541,1.45
1997-09-01,1.395,3.615
1997-10-01,0.436,1.168
1997-11-01,0.346,0.897
1997-12-01,2.106,5.641
1998-01-01,27.566,73.832
1998-02-01,49.918,120.761
1998-03-01,25.595,68.553
1998-04-01,21.351,55.343
1998-05-01,11.892,31.852
1998-06-01,11.353,29.427
1998-07-01,9.201,24.644
1998-08-01,8.469,22.683
1998-09-01,6.5,16.848
1998-10-01,4.353,11.66
1998-11-01,5.564,14.421
1998-12-01,10.094,27.035
1999-01-01,19.264,51.597
1999-02-01,84.25,203.817
1999-03-01,76.44,204.737
1999-04-01,31.677,82.107
1999-05-01,10.951,29.33
1999-06-01,5.801,15.035
1999-07-01,3.258,8.725
1999-08-01,2.841,7.611
1999-09-01,2.818,7.305
1999-10-01,5.589,14.969
1999-11-01,2.418,6.267
2000-01-01,39.382,105.48
2000-02-01,69.728,174.711
2000-03-01,63.699,170.61
2000-04-01,14.68,38.05
2000-05-01,7.664,20.528
2000-06-01,26.201,67.913
2000-07-01,25.2,67.496
2000-08-01,24.234,64.909
2000-09-01,24.657,63.91
2000-10-01,29.013,77.708
2000-11-01,22.822,59.154
2000-12-01,28.257,75.683
2001-01-01,91.702,245.614
2001-02-01,173.295,419.234
2001-03-01,124.574,333.658
2001-04-01,57.489,149.012
2001-05-01,44.206,118.401
2001-06-01,36.24,93.935
2001-07-01,34.901,93.48
2001-08-01,28.427,76.14
2001-09-01,68.54,177.657
2001-10-01,24.274,65.015
2001-11-01,20.755,53.797
2001-12-01,22.717,60.844
2002-01-01,27.186,72.814
2002-02-01,101.96,246.663
2002-03-01,102.632,274.89
2002-04-01,60.22,156.09
