date,caudal_rio_majes_huatiapa_m3s,volumen_rio_majes_huatiapa_mmc
1951-08-01,42.07,112.68
1951-09-01,40.16,104.095
1951-10-01,37.57,100.627
1951-11-01,42.43,109.979
1951-12-01,46.91,125.644
1952-01-01,227.57,609.523
1952-02-01,277.77,695.981
1952-03-01,132.91,355.986
1952-04-01,92.35,239.371
1952-05-01,49.09,131.483
1952-06-01,29.0,75.168
1952-07-01,27.68,74.138
1952-08-01,29.47,78.932
1952-09-01,24.5,63.504
1952-10-01,21.53,57.666
1952-11-01,22.03,57.102
1952-12-01,62.07,166.248
1953-01-01,119.51,320.096
1953-02-01,311.74,754.161
1953-03-01,277.24,742.56
1953-04-01,105.04,272.264
1953-05-01,48.91,131.001
1953-06-01,43.98,113.996
1953-07-01,30.42,81.477
1953-08-01,29.92,80.138
1953-09-01,23.91,61.975
1953-10-01,24.09,64.523
1953-11-01,29.91,77.527
1953-12-01,58.03,155.428
1954-01-01,104.52,279.946
1954-02-01,364.14,880.927
1954-03-01,329.52,882.586
1954-04-01,139.83,362.439
1954-05-01,61.06,163.543
1954-06-01,48.38,125.401
1954-07-01,43.32,116.028
1954-08-01,31.64,84.745
1954-09-01,26.04,67.496
1954-10-01,23.09,61.844
1954-11-01,25.46,65.992
1954-12-01,47.35,126.822
1955-01-01,188.15,503.941
1955-02-01,208.89,505.347
1955-03-01,587.82,1574.417
1955-04-01,136.2,353.03
1955-05-01,107.67,288.383
1955-06-01,66.24,171.694
1955-07-01,69.39,185.854
1955-08-01,41.34,110.725
1955-09-01,33.26,86.21
1955-10-01,29.3,78.477
1955-11-01,38.32,99.325
1955-12-01,66.54,178.221
1956-01-01,166.52,446.007
1956-02-01,201.18,504.077
1956-03-01,96.06,257.287
1956-04-01,42.33,109.719
1956-05-01,28.4,76.067
1956-06-01,21.95,56.894
1956-07-01,23.94,64.121
1956-08-01,26.86,71.942
1956-09-01,23.83,61.767
1956-10-01,21.51,57.612
1956-11-01,22.58,58.527
1956-12-01,31.76,85.066
1957-01-01,40.36,108.1
1957-02-01,104.82,253.581
1957-03-01,139.45,373.503
1957-04-01,94.24,244.27
1957-05-01,47.68,127.706
1957-06-01,39.73,102.98
1957-07-01,28.23,75.611
1957-08-01,23.55,63.076
1957-09-01,35.7,92.534
1957-10-01,45.71,122.43
1957-11-01,38.32,99.325
1957-12-01,77.02,206.29
1958-01-01,138.08,369.833
1958-02-01,348.5,843.091
1958-03-01,417.14,1117.268
1958-04-01,67.63,175.297
1958-05-01,44.24,118.492
1958-06-01,36.9,95.645
1958-07-01,32.72,87.637
1958-08-01,28.92,77.459
1958-09-01,23.68,61.379
1958-10-01,27.32,73.174
1958-11-01,27.7,71.798
1958-12-01,31.93,85.521
1959-01-01,43.78,117.26
1959-02-01,195.24,472.325
1959-03-01,392.59,1051.513
1959-04-01,78.74,204.094
1959-05-01,48.84,130.813
1959-06-01,31.12,80.663
1959-07-01,26.72,71.567
1959-08-01,22.82,61.121
1959-09-01,15.55,40.306
1959-10-01,9.72,26.034
1959-11-01,9.13,23.665
1959-12-01,54.26,145.33
1960-01-01,409.41,1096.564
1960-02-01,224.27,561.931
1960-03-01,134.7,360.78
1960-04-01,65.36,169.413
1960-05-01,26.12,69.96
1960-06-01,17.48,45.308
1960-07-01,14.28,38.248
1960-08-01,12.53,33.56
1960-09-01,11.31,29.316
1960-10-01,17.78,47.622
1960-11-01,20.12,52.151
1960-12-01,37.68,100.922
1961-01-01,75.5,202.219
1961-02-01,266.02,643.556
1961-03-01,261.39,700.107
1961-04-01,107.52,278.692
1961-05-01,79.47,212.852
1961-06-01,47.8,123.898
1961-07-01,41.2,110.35
1961-08-01,28.4,76.067
1961-09-01,27.33,70.839
1961-10-01,27.43,73.469
1961-11-01,35.95,93.182
1961-12-01,59.13,158.374
1962-01-01,191.53,512.994
1962-02-01,154.23,373.113
1962-03-01,330.91,886.309
1962-04-01,120.88,313.321
1962-05-01,69.26,185.506
1962-06-01,54.62,141.575
1962-07-01,44.39,118.894
1962-08-01,40.74,109.118
1962-09-01,27.93,72.395
1962-10-01,27.17,72.772
1962-11-01,27.69,71.772
1962-12-01,37.66,100.869
1963-01-01,206.02,551.804
1963-02-01,324.15,784.184
1963-03-01,305.82,819.108
1963-04-01,124.65,323.093
1963-05-01,76.91,205.996
1963-06-01,68.79,178.304
1963-07-01,53.2,142.491
1963-08-01,44.07,118.037
1963-09-01,46.34,120.113
1963-10-01,40.1,107.404
1963-11-01,38.31,99.3
1963-12-01,62.74,168.043
1964-01-01,148.94,398.921
1964-02-01,168.63,422.519
1964-03-01,96.32,257.983
1964-04-01,68.45,177.422
1964-05-01,50.68,135.741
1964-06-01,40.96,106.168
1964-07-01,37.87,101.431
1964-08-01,39.98,107.082
1964-09-01,40.58,105.183
1964-10-01,34.06,91.226
1964-11-01,29.02,75.22
1964-12-01,37.82,101.297
1965-01-01,297.53,796.904
1965-02-01,68.55,165.836
1965-03-01,69.44,185.988
1965-04-01,38.07,98.677
1965-05-01,29.17,78.129
1965-06-01,27.19,70.476
1965-07-01,27.54,73.763
1965-08-01,25.86,69.263
1965-09-01,24.75,64.152
1965-10-01,22.6,60.532
1965-11-01,21.77,56.428
1965-12-01,28.39,76.04
1966-01-01,28.45,76.2
1966-02-01,67.33,162.885
1966-03-01,93.18,249.573
1966-04-01,27.2,70.502
1966-05-01,25.3,67.764
1966-06-01,23.15,60.005
1966-07-01,21.73,58.202
1966-08-01,21.5,57.586
1966-09-01,21.13,54.769
1966-10-01,21.37,57.237
1966-11-01,24.37,63.167
1966-12-01,29.39,78.718
1967-01-01,31.93,85.521
1967-02-01,106.21,256.943
1967-03-01,229.42,614.479
1967-04-01,82.46,213.736
1967-05-01,51.35,137.536
1967-06-01,40.28,104.406
1967-07-01,37.93,101.592
1967-08-01,36.78,98.512
1967-09-01,35.52,92.068
1967-10-01,33.65,90.128
1967-11-01,27.83,72.135
1967-12-01,29.8,79.816
1968-01-01,128.41,343.933
1968-02-01,146.47,366.995
1968-03-01,153.44,410.974
1968-04-01,90.16,233.695
1968-05-01,59.21,158.588
1968-06-01,49.3,127.786
1968-07-01,42.9,114.903
1968-08-01,38.31,102.61
1968-09-01,37.53,97.278
1968-10-01,38.05,101.913
1968-11-01,53.22,137.946
1968-12-01,55.66,149.08
1969-01-01,66.72,178.703
1969-02-01,133.17,322.165
1969-03-01,99.47,266.42
1969-04-01,59.73,154.82
1969-05-01,52.44,140.455
1969-06-01,45.62,118.247
1969-07-01,40.05,107.27
1969-08-01,38.17,102.235
1969-09-01,37.52,97.252
1969-10-01,36.84,98.672
1969-11-01,36.91,95.671
1969-12-01,44.63,119.537
1970-01-01,152.24,407.76
1970-02-01,183.94,444.988
1970-03-01,147.74,395.707
1970-04-01,84.85,219.931
1970-05-01,55.84,149.562
1970-06-01,45.39,117.651
1970-07-01,39.89,106.841
1970-08-01,37.07,99.288
1970-09-01,36.32,94.141
1970-10-01,36.59,98.003
