date,caudal_socsi_m3s,volumen_socsi_mmc
1964-08-01,9.83,26.33
1964-09-01,9.27,24.03
1964-10-01,8.59,23.01
1964-11-01,11.0,28.51
1964-12-01,13.96,37.39
1965-01-01,37.8,101.24
1965-02-01,123.95,299.86
1965-03-01,120.29,322.18
1965-04-01,60.78,157.54
1965-05-01,35.75,95.75
1965-06-01,15.23,39.48
1965-07-01,9.49,25.42
1965-08-01,12.64,33.85
1965-09-01,10.39,26.93
1965-10-01,10.79,28.9
1965-11-01,16.29,42.22
1965-12-01,20.94,56.09
1966-01-01,52.63,140.96
1966-02-01,64.24,155.41
1966-03-01,104.35,279.49
1966-04-01,32.5,84.24
1966-05-01,20.77,55.63
1966-06-01,13.22,34.27
1966-07-01,10.48,28.07
1966-08-01,9.38,25.12
1966-09-01,9.55,24.75
1966-10-01,32.57,87.24
1966-11-01,35.89,93.03
1966-12-01,84.35,225.92
1967-01-01,101.16,270.95
1967-02-01,288.96,699.05
1967-03-01,164.97,441.86
1967-04-01,69.47,180.07
1967-05-01,38.29,102.56
1967-06-01,26.06,67.55
1967-07-01,19.86,53.19
1967-08-01,15.86,42.48
1967-09-01,15.75,40.82
1967-10-01,33.53,89.81
1967-11-01,25.69,66.59
1967-12-01,31.41,84.13
1968-01-01,50.18,134.4
1968-02-01,57.91,145.1
1968-03-01,94.32,252.63
1968-04-01,37.36,96.84
1968-05-01,20.27,54.29
1968-06-01,14.58,37.79
1968-07-01,12.26,32.84
1968-08-01,9.68,25.93
1968-09-01,9.9,25.66
1968-10-01,12.35,33.08
1968-11-01,26.17,67.83
1968-12-01,34.25,91.74
1969-01-01,31.21,83.59
1969-02-01,49.6,119.99
1969-03-01,94.65,253.51
1969-04-01,52.45,135.95
1969-05-01,22.44,60.1
1969-06-01,14.09,36.52
1969-07-01,12.15,32.54
1969-08-01,10.31,27.61
1969-09-01,7.47,19.36
1969-10-01,19.28,51.64
1969-11-01,13.71,35.54
1969-12-01,138.4,370.69
1970-01-01,278.48,745.88
1970-02-01,131.39,317.86
1970-03-01,85.71,229.57
1970-04-01,27.04,70.09
1970-05-01,16.77,44.92
1970-06-01,13.955,36.17
1970-07-01,13.66,36.59
1970-08-01,12.745,34.14
1970-09-01,10.745,27.85
1970-10-01,13.58,36.37
1970-11-01,15.96,41.37
1970-12-01,31.83,85.25
1971-01-01,113.69,304.51
1971-02-01,155.46,376.09
1971-03-01,168.96,452.54
1971-04-01,119.53,309.82
1971-05-01,23.72,63.53
1971-06-01,13.82,35.82
1971-07-01,15.17,40.63
1971-08-01,15.18,40.66
1971-09-01,14.02,36.34
1971-10-01,11.12,29.78
1971-11-01,8.72,22.6
1971-12-01,46.33,124.09
1972-01-01,169.1,452.92
1972-02-01,251.15,629.28
1972-03-01,368.25,986.32
1972-04-01,212.02,549.56
1972-05-01,40.14,107.51
1972-06-01,20.42,52.93
1972-07-01,11.16,29.89
1972-08-01,11.86,31.77
1972-09-01,10.43,27.03
1972-10-01,12.76,34.18
1972-11-01,21.7,56.25
1972-12-01,66.62,178.44
1973-01-01,176.5,472.74
1973-02-01,220.99,534.62
1973-03-01,290.07,776.92
1973-04-01,202.3,524.36
1973-05-01,66.28,177.52
1973-06-01,22.92,59.41
1973-07-01,14.69,39.35
1973-08-01,10.92,29.25
1973-09-01,9.96,25.82
1973-10-01,12.7,34.02
1973-11-01,18.96,49.14
1973-12-01,78.07,209.1
1974-01-01,96.68,258.95
1974-02-01,154.75,374.37
1974-03-01,127.88,342.51
1974-04-01,48.54,125.82
1974-05-01,27.52,73.71
1974-06-01,22.19,57.52
1974-07-01,18.3,49.01
1974-08-01,15.42,41.3
1974-09-01,13.9,36.03
1974-10-01,13.4,35.89
1974-11-01,13.85,35.9
1974-12-01,15.08,40.39
1975-01-01,28.42,76.12
1975-02-01,40.71,98.49
1975-03-01,180.97,484.71
1975-04-01,74.19,192.3
