date,precipitacion_yauyos_mm,precipitacion_tanta_mm,precipitacion_carania_mm,precipitacion_huangascar_mm,precipitacion_vilca_mm,precipitacion_yauricocha_mm,precipitacion_areal_mm
1964-08-01,0.0,1.0,27.0,0.0,0.0,2.0,5.0
1964-09-01,1.0,10.0,26.0,0.0,29.0,45.0,18.5
1964-10-01,8.0,50.0,23.0,0.0,57.0,44.0,30.33
1964-11-01,8.0,68.0,52.0,1.0,37.0,85.0,41.83
1964-12-01,23.0,76.0,76.0,85.0,43.0,76.0,63.17
1965-01-01,25.0,98.0,221.0,46.0,121.0,114.0,104.17
1965-02-01,86.0,275.0,119.0,59.0,225.0,256.0,170.0
1965-03-01,32.0,114.0,9.0,35.0,135.0,165.0,81.67
1965-04-01,4.0,67.0,15.0,0.0,38.0,48.0,28.67
1965-05-01,0.0,30.0,4.0,0.0,11.0,18.0,10.5
1965-06-01,0.0,0.0,4.0,0.0,0.0,2.0,1.0
1965-07-01,0.0,8.0,14.0,0.0,16.0,19.0,9.5
1965-08-01,0.0,1.0,15.0,0.0,32.0,19.0,11.17
1965-09-01,2.0,3.0,27.0,0.0,60.0,34.0,21.0
1965-10-01,2.0,45.0,22.0,0.0,62.0,37.0,28.0
1965-11-01,2.0,10.0,70.0,0.0,69.0,47.0,33.0
1965-12-01,22.0,91.0,102.0,1.0,142.0,125.0,80.5
1966-01-01,47.0,160.0,82.0,21.0,189.0,161.0,110.0
1966-02-01,39.0,115.0,102.0,47.0,104.0,101.0,84.67
1966-03-01,54.0,159.0,48.0,91.0,179.0,138.0,111.5
1966-04-01,3.0,99.0,10.0,4.0,52.0,69.0,39.5
1966-05-01,0.0,21.0,0.0,0.0,21.0,16.0,9.67
1966-06-01,0.0,0.0,1.0,0.0,10.0,1.0,2.0
1966-07-01,0.0,0.0,0.0,0.0,3.0,0.0,0.5
1966-08-01,0.0,4.0,26.0,0.0,2.0,0.0,5.33
1966-09-01,3.0,33.0,97.0,0.0,51.0,69.0,42.17
1966-10-01,37.0,84.0,42.0,27.0,170.0,173.0,88.83
1966-11-01,2.0,80.0,87.0,6.0,149.0,93.0,69.5
1966-12-01,30.0,151.0,174.0,15.0,190.0,172.0,122.0
1967-01-01,80.0,184.0,212.0,145.0,283.0,205.0,184.83
1967-02-01,127.0,233.0,142.0,204.0,268.0,222.0,199.33
1967-03-01,80.0,134.0,37.0,117.0,163.0,150.0,113.5
1967-04-01,11.0,53.0,18.0,0.0,38.0,14.0,22.33
1967-05-01,0.0,43.0,9.0,0.0,10.0,34.0,16.0
1967-06-01,0.0,0.0,22.0,0.0,11.0,18.0,8.5
1967-07-01,0.0,15.0,12.0,0.0,10.0,27.0,10.67
1967-08-01,0.0,4.0,19.0,0.0,21.0,18.0,10.33
1967-09-01,2.0,23.0,32.0,0.0,54.0,29.0,23.33
1967-10-01,16.0,101.0,13.0,5.0,96.0,105.0,56.0
1967-11-01,0.0,26.0,44.0,0.0,123.0,49.0,40.33
1967-12-01,14.0,44.0,64.0,2.0,116.0,65.0,50.83
1968-01-01,38.0,139.0,51.0,0.0,168.0,168.0,94.0
1968-02-01,23.0,139.0,82.0,13.0,199.0,113.0,94.83
1968-03-01,43.0,134.0,9.0,41.0,114.0,136.0,79.5
1968-04-01,10.0,39.0,17.0,4.0,28.0,52.0,25.0
1968-05-01,3.0,5.0,12.0,1.0,2.0,27.0,8.33
1968-06-01,0.0,0.0,9.0,0.0,9.0,8.0,4.33
1968-07-01,0.0,2.0,21.0,0.0,0.0,15.0,6.33
1968-08-01,0.0,23.0,13.0,0.0,0.0,37.0,12.17
1968-09-01,0.0,69.0,42.0,0.0,13.0,35.0,26.5
1968-10-01,4.0,116.0,28.0,0.0,45.0,66.0,43.17
1968-11-01,18.0,70.0,48.0,1.0,64.0,85.0,47.67
1968-12-01,54.0,75.0,58.0,1.0,4.0,143.0,55.83
1969-01-01,24.0,95.0,30.0,11.0,43.3,72.0,45.88
1969-02-01,38.0,164.0,101.0,79.0,66.0,119.0,94.5
1969-03-01,38.0,125.0,41.0,170.0,41.0,150.0,94.17
1969-04-01,17.0,115.0,0.0,8.0,0.0,82.0,37.0
1969-05-01,0.0,0.0,6.0,0.0,8.0,7.0,3.5
1969-06-01,0.0,4.0,2.0,5.0,0.0,5.0,2.67
1969-07-01,0.0,0.0,16.0,0.0,0.0,20.0,6.0
1969-08-01,0.0,5.0,20.0,0.0,3.0,13.0,6.83
1969-09-01,2.0,40.0,47.0,0.0,38.0,38.0,27.5
1969-10-01,25.0,114.0,85.0,0.0,57.0,104.0,64.17
1969-11-01,18.0,144.0,242.0,56.0,43.0,90.0,98.83
1969-12-01,71.0,268.0,223.0,54.0,191.0,167.0,162.33
1970-01-01,104.0,336.0,39.0,246.0,142.0,290.0,192.83
1970-02-01,45.0,18.0,108.0,16.0,102.0,142.0,71.83
1970-03-01,41.0,135.0,43.0,27.0,89.0,114.0,74.83
1970-04-01,23.0,161.0,30.0,5.0,63.0,94.0,62.67
1970-05-01,11.0,74.0,0.0,2.0,26.0,32.0,24.17
1970-06-01,0.0,0.0,2.0,0.0,0.0,4.0,1.0
1970-07-01,0.0,9.0,1.0,0.0,0.0,17.0,4.5
1970-08-01,0.0,0.0,37.0,0.0,0.0,11.0,8.0
1970-09-01,16.0,111.0,37.0,10.0,43.0,62.0,46.5
1970-10-01,7.0,29.0,7.0,0.0,67.0,52.0,27.0
1970-11-01,10.0,110.0,51.0,2.0,40.0,53.0,44.33
1970-12-01,22.0,188.0,140.0,8.0,115.0,179.0,108.67
1971-01-01,67.0,77.0,137.0,57.0,173.0,150.0,110.17
1971-02-01,65.0,181.0,134.0,63.0,216.0,153.0,135.33
1971-03-01,96.0,215.0,18.0,142.0,134.0,237.0,140.33
1971-04-01,4.0,70.0,2.0,3.0,9.0,26.0,19.0
1971-05-01,0.0,0.0,2.0,0.0,0.0,8.0,1.67
1971-06-01,0.0,0.0,0.0,0.0,0.0,21.0,3.5
1971-07-01,0.0,0.0,1.0,0.0,0.0,0.0,0.17
1971-08-01,0.0,28.0,0.0,0.0,0.0,31.0,9.83
1971-09-01,0.0,0.0,13.0,0.0,1.0,11.0,4.17
1971-10-01,1.0,35.0,8.0,0.0,0.0,24.0,11.33
1971-11-01,0.0,48.0,104.0,0.0,7.0,40.0,33.17
1971-12-01,43.0,186.0,137.0,39.0,61.0,171.0,106.17
1972-01-01,78.0,131.0,139.0,92.0,107.0,144.0,115.17
1972-02-01,76.0,75.0,219.0,44.0,100.0,151.0,110.83
1972-03-01,148.0,355.0,89.0,366.0,201.0,306.0,244.17
1972-04-01,23.0,230.0,3.0,31.0,22.0,89.0,66.33
1972-05-01,0.0,0.0,0.0,0.0,0.0,7.0,1.17
1972-06-01,0.0,0.0,6.0,0.0,0.0,7.0,2.17
1972-07-01,0.0,14.0,0.0,1.0,1.0,35.0,8.5
1972-08-01,0.0,9.0,20.0,0.0,0.0,11.0,6.67
1972-09-01,0.0,0.0,48.0,2.0,8.0,34.0,15.33
1972-10-01,0.0,63.0,24.0,0.0,88.0,93.0,44.67
1972-11-01,28.0,95.0,71.0,10.0,67.0,66.0,56.17
1972-12-01,73.0,78.0,254.0,35.0,67.0,114.0,103.5
1973-01-01,95.0,230.0,131.0,85.0,123.0,148.0,135.33
1973-02-01,99.0,108.0,195.0,106.0,105.0,187.0,133.33
1973-03-01,169.0,186.0,76.0,83.0,105.0,274.0,148.83
1973-04-01,62.0,154.0,43.0,35.0,29.0,239.0,93.67
1973-05-01,6.0,56.0,0.0,2.0,2.0,49.0,19.17
1973-06-01,0.0,0.0,0.0,0.0,0.0,1.0,0.17
1973-07-01,0.0,6.0,13.0,0.0,0.0,4.0,3.83
1973-08-01,0.0,12.0,3.0,0.0,9.0,17.0,6.83
1973-09-01,2.0,105.0,37.0,1.0,8.0,37.0,31.67
1973-10-01,4.0,125.0,15.0,3.0,57.0,121.0,54.17
1973-11-01,5.0,87.0,149.0,5.0,169.0,39.0,75.67
1973-12-01,45.0,160.0,139.0,46.0,177.0,196.0,127.17
1974-01-01,136.0,259.0,80.0,41.0,215.0,257.0,164.67
1974-02-01,141.0,259.0,59.0,36.0,179.0,178.0,142.0
1974-03-01,115.0,250.0,6.0,84.0,135.0,187.0,129.5
1974-04-01,8.0,112.0,4.0,3.0,40.0,68.0,39.17
1974-05-01,0.0,23.0,11.0,0.0,13.0,10.0,9.5
1974-06-01,0.0,17.0,0.0,2.0,17.0,1.0,6.17
1974-07-01,0.0,0.0,11.0,0.0,9.0,0.0,3.33
1974-08-01,7.0,31.0,20.0,0.0,66.0,41.0,27.5
1974-09-01,0.0,16.0,0.0,2.0,9.0,19.0,7.67
1974-10-01,6.0,27.0,21.0,0.0,24.0,52.0,21.67
1974-11-01,38.0,85.0,20.0,0.0,17.0,74.0,39.0
1974-12-01,34.0,104.0,76.0,22.0,45.0,208.0,81.5
1975-01-01,19.0,111.0,70.0,30.0,89.0,105.0,70.67
1975-02-01,85.0,110.0,181.0,72.0,162.0,171.0,130.17
1975-03-01,128.0,218.0,55.0,205.0,193.0,217.0,169.33
1975-04-01,14.0,197.0,38.0,2.0,48.0,75.0,62.33
1975-05-01,18.0,84.0,20.0,1.0,13.0,52.0,31.33
1975-06-01,5.0,11.0,18.0,1.0,9.0,0.0,7.33
1975-07-01,0.0,0.0,24.0,0.0,9.0,9.0,7.0
1975-08-01,0.0,16.0,43.0,0.0,14.0,32.0,17.5
1975-09-01,2.0,58.0,24.0,0.0,35.0,46.0,27.5
1975-10-01,15.0,91.0,63.0,0.2,9.0,98.0,46.03
1975-11-01,23.0,42.0,102.0,0.0,88.0,79.0,55.67
1975-12-01,86.0,85.0,289.0,28.0,145.0,220.0,142.17
1976-01-01,119.0,160.0,228.0,131.0,247.0,190.0,179.17
1976-02-01,143.0,160.0,168.0,129.0,130.0,234.0,160.67
1976-03-01,129.0,128.0,48.0,133.0,165.0,219.0,137.0
1976-04-01,20.0,35.0,10.0,0.0,60.0,52.0,29.5
1976-05-01,0.0,22.0,8.0,1.0,10.0,37.0,13.0
1976-06-01,5.0,25.0,2.0,0.0,9.0,6.0,7.83
1976-07-01,0.0,15.0,24.0,0.0,9.0,1.0,8.17
1976-08-01,0.0,8.0,32.0,0.0,33.0,27.0,16.67
1976-09-01,4.0,0.0,4.0,0.0,47.0,36.0,15.17
1976-10-01,0.0,21.0,5.0,0.0,9.0,21.0,9.33
1976-11-01,0.0,41.0,51.0,0.0,13.0,31.0,22.67
1976-12-01,44.0,57.0,101.0,9.0,31.0,157.0,66.5
1977-01-01,39.0,132.0,130.0,3.0,104.0,102.0,85.0
1977-02-01,101.0,116.0,146.0,195.0,170.0,207.0,155.83
1977-03-01,54.0,141.0,47.0,202.0,147.0,152.0,123.83
1977-04-01,15.0,75.0,20.0,8.0,32.0,111.0,43.5
1977-05-01,12.0,20.0,6.0,0.0,9.0,20.0,11.17
1977-06-01,0.0,0.0,8.0,0.0,9.0,11.0,4.67
