date,caudal_aguas_calientes_m3_s,volumen_aguas_calientes_mmc
1950-01-01,0.79,2.1159
1950-02-01,0.83,2.0079
1950-03-01,1.08,2.8927
1950-04-01,0.79,2.0477
1950-05-01,0.83,2.2231
1950-06-01,0.95,2.4624
1950-07-01,0.79,2.1159
1950-08-01,0.72,1.9284
1950-09-01,0.5,1.296
1950-10-01,0.54,1.4463
1950-11-01,0.62,1.607
1950-12-01,0.66,1.7677
1951-01-01,1.31,3.5087
1951-02-01,1.74,4.2094
1951-03-01,1.9,5.089
1951-04-01,0.63,1.633
1951-05-01,0.61,1.6338
1951-06-01,0.52,1.3478
1951-07-01,0.48,1.2856
1951-08-01,0.5,1.3392
1951-09-01,0.51,1.3219
1952-01-01,3.06,8.1959
1952-02-01,1.7,4.2595
1952-03-01,0.9,2.4106
1952-04-01,0.8,2.0736
1952-05-01,0.82,2.1963
1952-06-01,0.77,1.9958
1952-07-01,0.73,1.9552
1952-08-01,0.72,1.9284
1952-09-01,0.95,2.4624
1952-10-01,0.71,1.9017
1952-11-01,0.74,1.9181
1952-12-01,0.72,1.9284
1953-01-01,1.05,2.8123
1953-02-01,2.87,6.9431
1953-03-01,3.95,10.5797
1953-04-01,0.85,2.2032
1953-05-01,0.79,2.1159
1953-06-01,0.72,1.8662
1953-07-01,0.72,1.9284
1953-08-01,0.67,1.7945
1953-09-01,0.67,1.7366
1953-10-01,0.73,1.9552
1953-11-01,0.74,1.9181
1953-12-01,0.67,1.7945
1954-01-01,0.8,2.1427
1954-02-01,4.76,11.5154
1954-03-01,2.06,5.5175
1954-04-01,1.12,2.903
1954-05-01,1.04,2.7855
1954-06-01,0.92,2.3846
1954-07-01,0.84,2.2499
1954-08-01,0.83,2.2231
1954-09-01,0.77,1.9958
1954-10-01,0.7,1.8749
1954-11-01,0.83,2.1514
1954-12-01,0.85,2.2766
1955-01-01,2.04,5.4639
1955-02-01,2.09,5.0561
1955-03-01,2.33,6.2407
1955-04-01,0.96,2.4883
1955-05-01,1.0,2.6784
1955-06-01,0.84,2.1773
