date,precipitacion_total_mm,precipitacion_total_mmc
1966-01-01,64.62,193.278
1966-02-01,28.19,84.323
1966-03-01,32.31,96.621
1966-04-01,18.95,56.664
1966-05-01,1.51,4.518
1966-06-01,0.0,0.0
1966-07-01,0.0,0.0
1966-08-01,0.0,0.0
1966-09-01,3.05,9.117
1966-10-01,28.06,83.914
1966-11-01,16.16,48.334
1966-12-01,14.68,43.894
1967-01-01,187.45,560.622
1967-02-01,143.79,430.036
1967-03-01,69.99,209.328
1967-04-01,11.52,34.449
1967-05-01,4.79,14.333
1967-06-01,0.0,0.0
1967-07-01,3.7,11.059
1967-08-01,2.55,7.619
1967-09-01,6.61,19.771
1967-10-01,26.4,78.954
1967-11-01,7.97,23.83
1967-12-01,9.04,27.048
1968-01-01,11.26,33.691
1968-02-01,16.83,50.343
1968-03-01,34.44,103.007
1968-04-01,5.82,17.418
1968-05-01,4.49,13.428
1968-06-01,0.0,0.0
1968-07-01,0.0,0.0
1968-08-01,0.29,0.872
1968-09-01,1.42,4.255
1968-10-01,4.3,12.852
1968-11-01,13.02,38.928
1968-12-01,6.47,19.35
1969-01-01,4.85,14.498
1969-02-01,27.79,83.115
1969-03-01,61.68,184.466
1969-04-01,31.3,93.621
1969-05-01,3.74,11.192
1969-06-01,0.0,0.0
1969-07-01,0.0,0.0
1969-08-01,0.59,1.755
1969-09-01,1.53,4.572
1969-10-01,21.69,64.864
1969-11-01,19.81,59.252
1969-12-01,71.17,212.87
1970-01-01,49.98,149.487
1970-02-01,45.39,135.745
1970-03-01,67.7,202.475
1970-04-01,25.59,76.549
1970-05-01,50.55,151.176
1970-06-01,1.15,3.427
1970-07-01,0.55,1.64
1970-08-01,0.06,0.18
1970-09-01,9.75,29.158
1970-10-01,26.57,79.468
1970-11-01,45.22,135.241
1970-12-01,14.33,42.844
1971-01-01,25.61,76.597
1971-02-01,89.37,267.288
1971-03-01,109.14,326.422
1971-04-01,23.85,71.343
1971-05-01,0.6,1.794
1971-06-01,0.04,0.128
1971-07-01,0.03,0.096
1971-08-01,3.94,11.781
1971-09-01,3.3,9.87
1971-10-01,14.64,43.797
1971-11-01,12.47,37.306
1971-12-01,38.19,114.215
1972-01-01,37.61,112.488
1972-02-01,84.03,251.316
1972-03-01,79.96,239.138
1972-04-01,19.47,58.22
1972-05-01,4.42,13.218
1972-06-01,0.88,2.634
1972-07-01,1.0,3.005
1972-08-01,2.82,8.429
1972-09-01,4.62,13.822
1972-10-01,5.41,16.192
1972-11-01,6.62,19.807
1972-12-01,18.53,55.425
1973-01-01,38.16,114.118
1973-02-01,54.51,163.036
1973-03-01,47.58,142.314
1973-04-01,26.72,79.916
1973-05-01,12.67,37.908
1973-06-01,0.04,0.128
1973-07-01,1.83,5.459
1973-08-01,4.31,12.885
1973-09-01,9.94,29.736
1973-10-01,29.07,86.937
1973-11-01,17.85,53.392
1973-12-01,13.94,41.691
1974-01-01,22.8,68.188
1974-02-01,28.02,83.8
1974-03-01,31.84,95.223
1974-04-01,12.53,37.487
1974-05-01,2.79,8.358
1974-06-01,2.73,8.176
1974-07-01,0.88,2.642
1974-08-01,0.37,1.094
1974-09-01,1.02,3.063
1974-10-01,2.68,8.007
1974-11-01,6.78,20.286
1974-12-01,12.68,37.917
1975-01-01,35.74,106.88
1975-02-01,47.48,142.014
1975-03-01,61.82,184.881
1975-04-01,26.73,79.931
1975-05-01,3.79,11.347
1975-06-01,0.4,1.197
1975-07-01,0.03,0.096
1975-08-01,2.43,7.259
1975-09-01,2.49,7.434
1975-10-01,14.65,43.808
1975-11-01,18.23,54.521
1975-12-01,19.41,58.065
1976-01-01,59.94,179.28
1976-02-01,79.42,237.517
1976-03-01,43.17,129.121
1976-04-01,11.04,33.027
1976-05-01,3.14,9.386
1976-06-01,2.17,6.503
1976-07-01,0.03,0.096
1976-08-01,0.18,0.551
1976-09-01,0.4,1.201
1976-10-01,1.98,5.918
1976-11-01,4.53,13.534
1976-12-01,14.49,43.328
1977-01-01,41.12,122.969
1977-02-01,63.93,191.206
1977-03-01,58.3,174.37
1977-04-01,30.07,89.924
1977-05-01,9.27,27.738
1977-06-01,0.04,0.128
1977-07-01,0.34,1.027
1977-08-01,0.07,0.2
1977-09-01,0.93,2.772
1977-10-01,2.57,7.693
1977-11-01,14.92,44.611
1977-12-01,12.63,37.761
1978-01-01,9.18,27.468
1978-02-01,9.78,29.247
1978-03-01,18.84,56.351
1978-04-01,8.37,25.027
1978-05-01,1.17,3.492
1978-06-01,0.04,0.128
1978-07-01,1.14,3.41
1978-08-01,0.18,0.551
1978-09-01,3.37,10.08
1978-10-01,7.16,21.412
1978-11-01,6.19,18.513
1978-12-01,8.05,24.084
1979-01-01,7.24,21.651
1979-02-01,20.34,60.821
1979-03-01,30.2,90.33
1979-04-01,43.25,129.339
1979-05-01,10.8,32.305
1979-06-01,0.7,2.081
1979-07-01,0.03,0.096
1979-08-01,0.28,0.825
1979-09-01,2.04,6.099
1979-10-01,2.5,7.49
1979-11-01,7.38,22.08
1979-12-01,3.38,10.095
1980-01-01,16.43,49.146
1980-02-01,18.83,56.328
1980-03-01,40.24,120.335
1980-04-01,16.63,49.731
1980-05-01,1.95,5.842
1980-06-01,2.75,8.235
1980-07-01,0.31,0.934
1980-08-01,1.93,5.785
1980-09-01,2.39,7.136
1980-10-01,51.33,153.524
1980-11-01,26.15,78.197
1980-12-01,4.72,14.107
1981-01-01,51.01,152.572
1981-02-01,57.53,172.06
1981-03-01,41.42,123.869
1981-04-01,15.12,45.212
1981-05-01,0.32,0.97
1981-06-01,0.04,0.128
1981-07-01,0.03,0.096
1981-08-01,0.17,0.519
1981-09-01,1.57,4.692
1981-10-01,5.4,16.138
1981-11-01,7.05,21.089
1981-12-01,8.22,24.58
1982-01-01,19.64,58.737
1982-02-01,31.64,94.64
1982-03-01,24.43,73.051
1982-04-01,18.08,54.071
1982-05-01,0.92,2.761
1982-06-01,0.04,0.128
1982-07-01,0.14,0.406
1982-08-01,0.07,0.2
1982-09-01,7.02,20.984
1982-10-01,16.13,48.256
1982-11-01,9.19,27.499
1982-12-01,11.97,35.79
1983-01-01,43.72,130.747
1983-02-01,56.0,167.498
1983-03-01,194.9,582.913
