date,caudal_tutuma_m3s,volumen_tutuma_mmc,caudal_quillo_m3s,volumen_quillo_mmc
1973-08-01,0.21,0.562,0.1,0.268
1973-09-01,0.89,2.307,0.17,0.441
1973-10-01,4.88,13.071,0.41,1.098
1973-11-01,4.77,12.364,0.43,1.115
1973-12-01,11.34,30.373,0.71,1.902
1974-01-01,17.21,46.095,3.97,10.633
1974-02-01,16.82,40.691,4.41,10.669
1974-03-01,12.29,32.918,3.4,9.107
1974-04-01,4.65,12.053,1.45,3.758
1974-05-01,0.99,2.652,0.76,2.036
1974-06-01,0.74,1.918,0.6,1.555
1974-07-01,0.9,2.411,0.64,1.714
1974-08-01,0.69,1.848,0.53,1.42
1974-09-01,0.57,1.477,0.3,0.778
1974-10-01,0.39,1.045,0.19,0.509
1974-11-01,0.25,0.648,0.07,0.181
1974-12-01,0.11,0.295,0.03,0.08
1975-01-01,5.04,13.499,0.57,1.527
1975-02-01,9.58,23.176,1.49,3.605
1975-03-01,32.19,86.218,8.19,21.936
1975-04-01,14.5,37.584,2.65,6.869
1975-05-01,9.92,26.57,3.86,10.339
1975-06-01,4.27,11.068,3.11,8.061
1975-07-01,1.75,4.687,1.71,4.58
1975-08-01,1.04,2.786,1.01,2.705
1975-09-01,0.83,2.151,0.32,0.829
1975-10-01,0.57,1.527,0.58,1.553
1975-11-01,0.48,1.244,0.17,0.441
1975-12-01,0.59,1.58,0.1,0.268
1976-01-01,8.12,21.749,1.24,3.321
1976-02-01,15.45,38.712,4.59,11.501
1976-03-01,28.07,75.183,9.83,26.329
1976-04-01,20.87,54.095,4.13,10.705
1976-05-01,3.84,10.285,1.74,4.66
1976-06-01,4.25,11.016,0.88,2.281
1976-07-01,2.94,7.874,0.69,1.848
1976-08-01,2.36,6.321,0.2,0.536
1976-09-01,2.22,5.754,0.2,0.518
1976-10-01,1.34,3.589,0.2,0.536
1976-11-01,1.02,2.644,0.2,0.518
1976-12-01,0.8,2.143,0.2,0.536
1977-01-01,3.99,10.687,0.6,1.607
1977-02-01,21.88,52.932,7.71,18.652
1977-03-01,26.71,71.54,6.76,18.106
1977-04-01,17.67,45.801,4.38,11.353
1977-05-01,4.1,10.981,1.63,4.366
1977-06-01,1.62,4.199,0.71,1.84
1977-07-01,1.05,2.812,0.42,1.125
1977-08-01,0.87,2.33,0.33,0.884
1977-09-01,0.42,1.089,0.33,0.855
1977-10-01,0.42,1.125,0.24,0.643
1977-11-01,0.51,1.322,0.21,0.544
1977-12-01,1.99,5.33,0.22,0.589
1978-01-01,2.16,5.785,0.64,1.714
1978-02-01,7.62,18.434,2.08,5.032
1978-03-01,8.33,22.311,1.66,4.446
1978-04-01,5.13,13.297,0.94,2.436
1978-05-01,1.66,4.446,0.45,1.205
1978-06-01,0.75,1.944,0.14,0.363
1978-07-01,0.61,1.634,0.05,0.134
1978-08-01,0.3,0.804,0.01,0.027
1978-09-01,0.04,0.104,0.0,0.0
