date,precipitacion_carac_mm,precipitacion_huaros_mm,precipitacion_huayan_mm,precipitacion_lomasdelachay_mm,precipitacion_pachamachay_mm,precipitacion_pallac_mm,precipitacion_picoy_mm,precipitacion_pirca_mm,precipitacion_santacruz_mm,precipitacion_tupe_mm,precipitacion_riopallanga_mm,precipitacion_carhuacayan_mm,precipitacion_areal_thiessen_mm
1960-01-01,82.0,155.0,7.0,2.0,258.0,79.0,120.0,73.0,77.0,152.0,158.251,NA,94.824
1960-02-01,216.0,209.0,1.0,0.0,261.0,216.0,144.0,147.0,269.0,223.0,232.171,NA,213.238
1960-03-01,170.0,274.0,6.0,8.0,355.0,187.0,155.0,228.0,175.0,317.0,330.036,NA,204.45
1960-04-01,39.0,135.0,0.0,0.0,67.0,64.0,67.0,58.0,85.0,122.0,127.017,NA,69.754
1960-05-01,23.0,12.0,0.0,5.0,0.0,1.0,23.0,2.0,85.0,25.0,26.028,NA,24.337
1960-06-01,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NA,0.0
1960-07-01,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0
1960-08-01,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NA,0.087
1960-09-01,1.0,2.0,2.0,30.0,9.0,0.0,18.0,4.0,15.0,6.0,6.247,NA,4.659
1960-10-01,3.0,176.0,0.0,8.0,37.0,1.0,52.0,130.0,73.0,43.0,44.768,NA,45.514
1960-11-01,10.0,144.0,1.0,2.0,210.0,4.0,56.0,64.0,43.0,57.0,59.344,NA,41.099
1960-12-01,37.0,56.0,0.0,2.0,71.0,1.0,43.0,32.0,99.0,124.0,129.099,NA,48.055
1961-01-01,69.0,138.0,0.0,0.6,117.0,43.0,103.0,109.0,106.0,188.0,195.731,NA,88.594
1961-02-01,75.0,30.0,0.0,1.2,71.0,113.0,121.0,113.0,178.0,181.0,188.443,NA,114.225
1961-03-01,109.0,36.0,0.0,0.3,43.0,73.0,90.0,130.0,66.0,101.0,105.153,NA,82.501
1961-04-01,8.0,19.0,0.0,0.0,132.0,8.0,36.0,26.0,39.0,75.0,78.084,NA,27.945
1961-05-01,3.0,3.0,0.0,0.0,0.0,1.0,150.0,0.0,2.0,0.0,2.504,NA,1.413
1961-06-01,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0
1961-07-01,0.0,0.0,0.0,16.3,0.0,0.0,1.0,0.0,2.0,0.0,2.504,NA,0.383
1961-08-01,0.0,0.0,4.0,22.6,0.0,0.0,5.0,0.0,5.0,0.0,6.261,NA,1.085
1961-09-01,0.0,0.0,0.0,30.5,162.0,0.0,6.0,0.0,5.0,11.0,11.452,NA,8.871
1961-10-01,19.0,13.0,0.0,7.4,0.0,11.0,30.0,51.0,24.0,59.0,61.426,NA,23.583
1961-11-01,2.0,1.0,2.0,2.7,4.0,1.0,13.0,27.0,15.0,42.0,43.727,NA,10.944
1961-12-01,71.0,78.0,12.0,0.8,139.0,46.0,66.0,44.0,83.0,123.0,128.058,NA,69.641
1962-01-01,47.0,25.0,1.0,1.1,366.0,15.0,34.0,31.0,68.0,126.0,131.182,NA,58.794
1962-02-01,129.0,185.0,4.0,0.2,243.0,171.0,83.0,71.0,185.0,173.0,180.114,NA,152.152
1962-03-01,97.0,236.0,0.0,0.0,240.0,69.0,127.0,169.0,203.0,216.0,224.883,NA,140.042
1962-04-01,19.0,149.0,0.0,0.0,112.0,1.0,18.0,96.0,83.0,62.0,64.55,NA,50.062
1962-05-01,1.0,2.0,0.0,4.6,1.0,0.0,2.0,2.0,1.0,0.0,1.103,NA,0.779
1962-06-01,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,1.0,1.041,NA,0.094
1962-07-01,0.0,0.0,10.0,26.1,0.0,0.0,0.0,0.0,0.0,1.0,1.041,NA,0.416
1962-08-01,0.0,0.0,0.0,24.5,1.0,0.0,14.0,0.0,21.0,1.0,1.041,NA,4.153
1962-09-01,0.0,2.0,2.0,25.5,0.0,0.0,14.0,0.0,14.0,2.0,2.082,NA,3.04
1962-10-01,4.0,1.0,1.0,9.5,8.0,0.0,12.0,2.0,21.0,19.0,19.781,NA,7.253
1962-11-01,46.0,4.0,2.0,6.3,0.0,10.0,67.0,0.0,6.0,27.0,28.11,NA,15.786
1962-12-01,82.0,46.0,6.0,0.0,24.0,234.0,144.0,9.0,116.0,7.0,7.288,NA,106.724
1963-01-01,83.0,81.0,0.0,0.0,39.0,104.0,146.0,7.0,109.0,197.0,205.101,NA,90.635
