date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1922-01-01,40.223,107.73
1922-02-01,60.036,145.24
1922-03-01,61.023,163.44
1922-04-01,37.62,97.51
1922-05-01,14.423,38.63
1922-06-01,5.18,13.43
1922-07-01,4.445,11.91
1922-08-01,3.739,10.01
1922-09-01,3.52,9.12
1922-10-01,5.281,14.14
1922-11-01,6.813,17.66
1922-12-01,12.832,34.37
1923-01-01,27.287,73.09
1923-02-01,57.854,139.96
1923-03-01,45.342,121.44
1923-04-01,24.89,64.51
1923-05-01,12.665,33.92
1923-06-01,5.757,14.92
1923-07-01,3.994,10.7
1923-08-01,3.939,10.55
1923-09-01,4.257,11.03
1923-10-01,5.0,13.39
1923-11-01,3.971,10.29
1923-12-01,9.052,24.24
1924-01-01,28.016,75.04
1924-02-01,65.162,163.27
1924-03-01,49.248,131.91
1924-04-01,26.8,69.47
1924-05-01,11.326,30.34
1924-06-01,6.303,16.34
1924-07-01,3.503,9.38
1924-08-01,3.4,9.11
1924-09-01,3.773,9.78
1924-10-01,6.074,16.27
1924-11-01,5.97,15.47
1924-12-01,9.813,26.28
1925-01-01,13.206,35.37
1925-02-01,21.057,50.94
1925-03-01,NA,NA
1925-04-01,NA,NA
1925-05-01,NA,NA
1925-06-01,NA,NA
1925-07-01,4.177,11.19
1925-08-01,4.306,11.53
1925-09-01,4.77,12.36
1925-10-01,4.687,12.55
1925-11-01,5.403,14.0
1925-12-01,9.6,25.71
1926-01-01,24.242,64.93
1926-02-01,32.768,79.27
1926-03-01,29.0,77.67
1926-04-01,28.533,73.96
1926-05-01,14.129,37.84
1926-06-01,8.8,22.81
1926-07-01,4.032,10.8
1926-08-01,2.397,6.42
1926-09-01,2.74,7.1
1926-10-01,2.894,7.75
1926-11-01,8.267,21.43
1926-12-01,14.032,37.58
1927-01-01,38.323,102.64
1927-02-01,46.107,111.54
1927-03-01,49.419,132.36
1927-04-01,18.283,47.39
1927-05-01,9.516,25.49
