date,caudal_santodomingo_hc_m3s,volumen_santodomingo_hc_mmc
1960-01-01,25.921,69.43
1960-02-01,30.995,77.66
1960-03-01,34.65,92.81
1960-04-01,13.477,34.93
1960-05-01,6.92,18.53
1960-06-01,4.818,12.49
1960-07-01,4.436,11.88
1960-08-01,4.361,11.68
1960-09-01,4.539,11.77
1960-10-01,5.092,13.64
1960-11-01,6.114,15.85
1960-12-01,5.923,15.86
1961-01-01,21.989,58.9
1961-02-01,56.822,137.46
1961-03-01,39.5,105.8
1961-04-01,47.783,123.85
1961-05-01,11.549,30.93
1961-06-01,5.228,13.55
1961-07-01,5.134,13.75
1961-08-01,4.901,13.13
1961-09-01,4.713,12.22
1961-10-01,4.834,12.95
1961-11-01,11.485,29.77
1961-12-01,40.326,108.01
1962-01-01,35.551,95.22
1962-02-01,31.85,77.05
1962-03-01,59.063,158.19
1962-04-01,26.903,69.73
1962-05-01,11.274,30.2
1962-06-01,6.376,16.53
1962-07-01,5.583,14.95
1962-08-01,5.123,13.72
1962-09-01,4.815,12.48
1962-10-01,5.144,13.78
1962-11-01,5.913,15.33
1962-12-01,6.673,17.87
1963-01-01,24.779,66.37
1963-02-01,53.457,129.32
1963-03-01,82.614,221.27
1963-04-01,32.618,84.55
1963-05-01,9.755,26.13
1963-06-01,5.925,15.36
1963-07-01,6.758,18.1
1963-08-01,5.434,14.55
1963-09-01,5.068,13.14
1963-10-01,5.16,13.82
1963-11-01,10.207,26.46
1963-12-01,23.995,64.27
1964-01-01,11.116,29.77
1964-02-01,36.754,92.09
1964-03-01,69.567,186.33
1964-04-01,41.685,108.05
1964-05-01,12.977,34.76
1964-06-01,7.893,20.46
1964-07-01,5.776,15.47
1964-08-01,5.933,15.89
1964-09-01,5.407,14.01
1964-10-01,6.26,16.77
1964-11-01,8.022,20.79
1964-12-01,6.871,18.4
1965-01-01,13.402,35.9
1965-02-01,37.006,89.52
1965-03-01,97.351,260.74
1965-04-01,19.952,51.72
1965-05-01,8.71,23.33
1965-06-01,6.535,16.94
1965-07-01,5.545,14.85
1965-08-01,5.204,13.94
1965-09-01,4.723,12.24
1965-10-01,4.807,12.88
1965-11-01,5.846,15.15
1965-12-01,7.573,20.28
1966-01-01,16.599,44.46
1966-02-01,13.929,33.7
1966-03-01,24.506,65.64
1966-04-01,10.705,27.75
1966-05-01,6.451,17.28
1966-06-01,4.969,12.88
1966-07-01,4.048,10.84
1966-08-01,3.464,9.28
1966-09-01,3.175,8.23
1966-10-01,8.92,23.89
1966-11-01,9.503,24.63
1966-12-01,19.484,52.19
1967-01-01,34.426,92.21
1967-02-01,135.475,327.74
1967-03-01,113.572,304.19
1967-04-01,20.757,53.8
1967-05-01,10.979,29.41
1967-06-01,7.069,18.32
1967-07-01,5.915,15.84
1967-08-01,5.509,14.76
1967-09-01,5.298,13.73
1967-10-01,7.768,20.81
1967-11-01,6.769,17.55
1967-12-01,7.743,20.74
1968-01-01,12.88,34.5
1968-02-01,11.044,27.67
1968-03-01,22.374,59.93
1968-04-01,12.006,31.12
1968-05-01,4.505,12.07
1968-06-01,4.157,10.77
1968-07-01,4.144,11.1
1968-08-01,4.024,10.78
1968-09-01,3.743,9.7
1968-10-01,5.132,13.75
1968-11-01,7.657,19.85
1968-12-01,7.321,19.61
1969-01-01,6.923,18.54
1969-02-01,12.112,29.3
1969-03-01,52.285,140.04
1969-04-01,28.287,73.32
1969-05-01,6.105,16.35
1969-06-01,4.301,11.15
1969-07-01,3.879,10.39
1969-08-01,3.702,9.92
1969-09-01,3.356,8.7
1969-10-01,4.397,11.78
1969-11-01,4.361,11.3
1969-12-01,33.986,91.03
1970-01-01,85.506,229.02
1970-02-01,26.894,65.06
1970-03-01,23.886,63.98
1970-04-01,17.836,46.23
1970-05-01,12.505,33.49
1970-06-01,8.835,22.9
1970-07-01,5.787,15.5
1970-08-01,4.688,12.56
1970-09-01,7.183,18.62
1970-10-01,5.525,14.8
