date,caudal_carhuaquero_m3s,volumen_carhuaquero_mmc
1930-01-01,21.35,57.18
1930-02-01,50.836,122.98
1930-03-01,42.314,113.33
1930-04-01,44.093,114.29
1930-05-01,33.68,90.21
1930-06-01,21.085,54.65
1930-07-01,14.775,39.57
1930-08-01,12.996,34.81
1930-09-01,11.684,30.28
1930-10-01,12.755,34.16
1930-11-01,12.945,33.55
1930-12-01,21.058,56.4
1931-01-01,19.792,53.01
1931-02-01,17.485,42.3
1931-03-01,30.42,81.48
1931-04-01,43.068,111.63
1931-05-01,18.36,49.17
1931-06-01,14.958,38.77
1931-07-01,11.091,29.71
1931-08-01,9.882,26.47
1931-09-01,10.142,26.29
1931-10-01,15.152,40.58
1931-11-01,12.534,32.49
1931-12-01,20.912,56.01
1932-01-01,27.958,74.88
1932-02-01,29.861,74.82
1932-03-01,33.365,89.37
1932-04-01,38.894,100.81
1932-05-01,42.175,112.96
1932-06-01,19.569,50.72
1932-07-01,14.479,38.78
1932-08-01,12.26,32.84
1932-09-01,12.259,31.78
1932-10-01,13.725,36.76
1932-11-01,17.819,46.19
1932-12-01,24.765,66.33
1933-01-01,30.104,80.63
1933-02-01,33.002,79.84
1933-03-01,48.073,128.76
1933-04-01,46.507,120.55
1933-05-01,23.588,63.18
1933-06-01,17.451,45.23
1933-07-01,13.495,36.14
1933-08-01,12.507,33.5
1933-09-01,14.344,37.18
1933-10-01,15.262,40.88
1933-11-01,11.67,30.25
1933-12-01,11.657,31.22
1934-01-01,21.368,57.23
1934-02-01,25.355,61.34
1934-03-01,46.808,125.37
1934-04-01,38.888,100.8
1934-05-01,23.972,64.21
1934-06-01,20.294,52.6
1934-07-01,14.105,37.78
1934-08-01,11.719,31.39
1934-09-01,11.196,29.02
1934-10-01,13.156,35.24
1934-11-01,12.103,31.37
1934-12-01,10.845,29.05
1935-01-01,21.486,57.55
1935-02-01,12.605,30.49
1935-03-01,32.497,87.04
1935-04-01,28.918,74.96
1935-05-01,21.224,56.85
1935-06-01,14.162,36.71
1935-07-01,11.095,29.72
1935-08-01,9.993,26.76
1935-09-01,9.633,24.97
1935-10-01,12.283,32.9
1935-11-01,23.591,61.15
1935-12-01,27.263,73.02
1936-01-01,56.756,152.01
1936-02-01,28.38,71.11
1936-03-01,27.641,74.03
1936-04-01,53.091,137.61
1936-05-01,53.27,142.68
1936-06-01,19.272,49.95
1936-07-01,10.715,28.7
1936-08-01,6.8,18.21
1936-09-01,7.16,18.56
1936-10-01,14.145,37.89
1936-11-01,17.799,46.13
1936-12-01,6.141,16.45
1937-01-01,12.104,32.42
1937-02-01,16.508,39.94
1937-03-01,24.609,65.91
1937-04-01,27.948,72.44
1937-05-01,12.415,33.25
1937-06-01,8.985,23.29
1937-07-01,6.2,16.61
1937-08-01,3.967,10.63
1937-09-01,8.955,23.21
1937-10-01,25.936,69.47
1937-11-01,16.776,43.48
1937-12-01,23.7,63.48
1938-01-01,14.886,39.87
1938-02-01,50.309,121.71
1938-03-01,77.949,208.78
1938-04-01,59.891,155.24
1938-05-01,30.193,80.87
1938-06-01,18.55,48.08
1938-07-01,13.199,35.35
1938-08-01,10.243,27.43
1938-09-01,9.83,25.48
1938-10-01,8.408,22.52
1938-11-01,5.046,13.08
1938-12-01,4.746,12.71
1939-01-01,15.56,41.68
1939-02-01,21.639,52.35
1939-03-01,47.905,128.31
1939-04-01,62.378,161.68
1939-05-01,45.154,120.94
1939-06-01,23.36,60.55
1939-07-01,17.003,45.54
1939-08-01,12.188,32.64
1939-09-01,19.383,50.24
1939-10-01,17.828,47.75
1939-11-01,8.597,22.28
1939-12-01,22.431,60.08
1940-01-01,21.266,56.96
1940-02-01,24.838,62.23
1940-03-01,29.772,79.74
1940-04-01,44.031,114.13
1940-05-01,33.54,89.83
1940-06-01,29.758,77.13
1940-07-01,11.295,30.25
1940-08-01,7.55,20.22
1940-09-01,14.159,36.7
1940-10-01,29.687,79.51
1940-11-01,11.693,30.31
1940-12-01,10.4,27.85
1941-01-01,25.612,68.6
1941-02-01,52.039,125.89
1941-03-01,63.204,169.29
1941-04-01,94.717,245.51
1941-05-01,89.758,240.41
1941-06-01,20.187,52.32
1941-07-01,11.542,30.91
1941-08-01,7.678,20.57
1941-09-01,6.996,18.13
1941-10-01,6.164,16.51
1941-11-01,5.75,14.9
1941-12-01,16.214,43.43
1942-01-01,18.513,49.58
1942-02-01,46.166,111.69
1942-03-01,34.614,92.71
