date,caudal_condorcerro_m3s,caudal_condorcerro_mmc
1956-08-01,45.89,122.912
1956-09-01,46.05,119.362
1956-10-01,71.51,191.532
1956-11-01,66.87,173.327
1956-12-01,74.62,199.862
1957-01-01,116.7,312.569
1957-02-01,139.54,337.575
1957-03-01,295.32,790.985
1957-04-01,538.8,1396.57
1957-05-01,135.05,361.718
1957-06-01,95.92,248.625
1957-07-01,59.84,160.275
1957-08-01,53.48,143.241
1957-09-01,62.97,163.218
1957-10-01,86.95,232.887
1957-11-01,66.9,173.405
1957-12-01,119.73,320.685
1958-01-01,136.98,366.887
1958-02-01,195.25,472.349
1958-03-01,289.98,776.682
1958-04-01,239.88,621.769
1958-05-01,80.68,216.093
1958-06-01,58.29,151.088
1958-07-01,47.86,128.188
1958-08-01,48.42,129.688
1958-09-01,76.01,197.018
1958-10-01,95.97,257.046
1958-11-01,108.91,282.295
1958-12-01,124.39,333.166
1959-01-01,132.2,354.084
1959-02-01,137.19,331.89
1959-03-01,336.41,901.041
1959-04-01,252.82,655.309
1959-05-01,83.56,223.807
1959-06-01,61.95,160.574
1959-07-01,48.56,130.063
1959-08-01,50.61,135.554
1959-09-01,50.68,131.363
1959-10-01,91.6,245.341
1959-11-01,95.14,246.603
1959-12-01,191.83,513.797
1960-01-01,194.27,520.333
1960-02-01,243.15,609.237
1960-03-01,318.96,854.302
1960-04-01,314.97,816.402
1960-05-01,117.8,315.516
1960-06-01,68.13,176.593
1960-07-01,49.56,132.742
1960-08-01,48.96,131.134
1960-09-01,48.34,125.297
1960-10-01,61.19,163.891
1960-11-01,97.18,251.891
1960-12-01,102.39,274.241
1961-01-01,233.18,624.549
1961-02-01,197.44,477.647
1961-03-01,390.16,1045.005
1961-04-01,313.06,811.452
1961-05-01,114.72,307.266
1961-06-01,82.06,212.7
1961-07-01,42.04,112.6
1961-08-01,39.97,107.056
1961-09-01,55.8,144.634
1961-10-01,61.09,163.623
1961-11-01,166.9,432.605
1961-12-01,288.0,771.379
1962-01-01,253.58,679.189
1962-02-01,241.34,583.85
1962-03-01,515.44,1380.554
1962-04-01,370.23,959.636
1962-05-01,106.29,284.687
1962-06-01,72.56,188.076
1962-07-01,56.26,150.687
1962-08-01,53.9,144.366
1962-09-01,67.71,175.504
1962-10-01,59.68,159.847
1962-11-01,81.4,210.989
1962-12-01,87.4,234.092
1963-01-01,153.96,412.366
1963-02-01,291.65,705.56
1963-03-01,471.65,1263.267
1963-04-01,290.62,753.287
1963-05-01,100.77,269.902
1963-06-01,53.49,138.646
1963-07-01,42.3,113.296
1963-08-01,42.02,112.546
1963-09-01,48.79,126.464
1963-10-01,63.55,170.212
1963-11-01,130.15,337.349
1963-12-01,237.5,636.12
1964-01-01,196.47,526.225
1964-02-01,252.72,633.215
1964-03-01,312.22,836.25
1964-04-01,277.68,719.747
1964-05-01,118.79,318.167
1964-06-01,61.56,159.564
1964-07-01,65.41,175.194
1964-08-01,47.68,127.706
1964-09-01,44.35,114.955
1964-10-01,73.94,198.041
1964-11-01,103.64,268.635
1964-12-01,144.05,385.824
1965-01-01,115.43,309.168
1965-02-01,126.65,306.392
1965-03-01,415.48,1112.822
1965-04-01,223.6,579.571
1965-05-01,97.23,260.421
1965-06-01,50.33,130.455
1965-07-01,42.13,112.841
1965-08-01,44.83,120.073
1965-09-01,34.17,88.569
1965-10-01,95.04,254.555
1965-11-01,99.02,256.66
1965-12-01,139.99,374.949
1966-01-01,235.32,630.281
1966-02-01,208.38,504.113
1966-03-01,176.72,473.327
1966-04-01,124.52,322.756
1966-05-01,89.98,241.002
1966-06-01,57.39,148.755
1966-07-01,53.54,143.402
1966-08-01,52.04,139.384
1966-09-01,57.34,148.625
1966-10-01,115.66,309.784
1966-11-01,125.78,326.022
1966-12-01,124.4,333.193
1967-01-01,185.49,496.816
1967-02-01,168.32,407.2
1967-03-01,449.4,1203.673
1967-04-01,173.27,449.116
1967-05-01,96.04,257.234
1967-06-01,60.46,156.712
1967-07-01,49.75,133.25
1967-08-01,47.53,127.304
1967-09-01,49.31,127.812
1967-10-01,116.63,312.382
1967-11-01,102.37,265.343
1967-12-01,110.08,294.838
1968-01-01,136.71,366.164
1968-02-01,143.39,359.278
1968-03-01,180.28,482.862
1968-04-01,109.03,282.606
1968-05-01,63.14,169.114
1968-06-01,46.61,120.813
1968-07-01,33.23,89.003
1968-08-01,37.39,100.145
1968-09-01,50.32,130.429
1968-10-01,82.44,220.807
1968-11-01,94.76,245.618
1968-12-01,100.0,267.84
1969-01-01,111.05,297.436
1969-02-01,137.76,333.269
1969-03-01,212.72,569.749
1969-04-01,216.16,560.287
