date,caudal_salinar_m3s,caudal_salinar_mmc
1969-08-01,1.55,4.152
1969-09-01,1.07,2.773
1969-10-01,1.93,5.169
1969-11-01,2.82,7.309
1969-12-01,15.97,42.774
1970-01-01,42.31,113.323
1970-02-01,16.81,40.667
1970-03-01,28.26,75.692
1970-04-01,29.75,77.112
1970-05-01,27.45,73.522
1970-06-01,11.27,29.212
1970-07-01,5.76,15.428
1970-08-01,3.55,9.508
1970-09-01,3.47,8.994
1970-10-01,5.2,13.928
1970-11-01,8.07,20.917
1970-12-01,12.66,33.909
1971-01-01,9.87,26.436
1971-02-01,29.18,70.592
1971-03-01,163.45,437.784
1971-04-01,92.16,238.879
1971-05-01,19.85,53.166
1971-06-01,10.06,26.076
1971-07-01,5.34,14.303
1971-08-01,4.56,12.214
1971-09-01,4.34,11.249
1971-10-01,6.96,18.642
1971-11-01,5.87,15.215
1971-12-01,9.71,26.007
1972-01-01,18.45,49.416
1972-02-01,27.52,68.954
1972-03-01,188.76,505.575
1972-04-01,57.0,147.744
1972-05-01,25.62,68.621
1972-06-01,13.87,35.951
1972-07-01,7.26,19.445
1972-08-01,4.6,12.321
1972-09-01,4.47,11.586
1972-10-01,3.98,10.66
1972-11-01,3.23,8.372
1972-12-01,9.49,25.418
1973-01-01,42.83,114.716
1973-02-01,41.02,99.236
1973-03-01,98.4,263.555
1973-04-01,234.19,607.02
1973-05-01,53.81,144.125
1973-06-01,19.5,50.544
1973-07-01,12.08,32.355
1973-08-01,7.01,18.776
1973-09-01,6.98,18.092
1973-10-01,9.71,26.007
1973-11-01,10.63,27.553
1973-12-01,11.56,30.962
1974-01-01,23.43,62.755
1974-02-01,65.46,158.361
1974-03-01,67.24,180.096
1974-04-01,29.59,76.697
1974-05-01,12.51,33.507
1974-06-01,8.25,21.384
1974-07-01,5.99,16.044
1974-08-01,3.66,9.803
1974-09-01,3.04,7.88
1974-10-01,4.83,12.937
1974-11-01,2.84,7.361
1974-12-01,3.78,10.124
1975-01-01,12.24,32.784
1975-02-01,47.27,114.356
1975-03-01,179.72,481.362
1975-04-01,94.26,244.322
1975-05-01,26.65,71.379
1975-06-01,12.78,33.126
1975-07-01,7.33,19.633
1975-08-01,6.07,16.258
1975-09-01,6.68,17.315
1975-10-01,14.7,39.372
1975-11-01,8.66,22.447
1975-12-01,4.22,11.303
1976-01-01,24.42,65.407
1976-02-01,58.51,146.603
1976-03-01,87.78,235.11
1976-04-01,43.04,111.56
1976-05-01,17.79,47.649
1976-06-01,9.69,25.116
1976-07-01,5.31,14.222
1976-08-01,4.44,11.892
1976-09-01,3.24,8.398
1976-10-01,2.67,7.151
1976-11-01,2.46,6.376
1976-12-01,2.41,6.455
1977-01-01,19.69,52.738
1977-02-01,147.95,357.921
1977-03-01,73.86,197.827
1977-04-01,66.05,171.202
1977-05-01,23.3,62.407
1977-06-01,9.91,25.687
1977-07-01,6.82,18.267
1977-08-01,4.94,13.231
1977-09-01,3.83,9.927
1977-10-01,4.2,11.249
1977-11-01,3.53,9.15
1977-12-01,6.45,17.276
1978-01-01,3.64,9.749
1978-02-01,6.26,15.144
1978-03-01,9.17,24.561
1978-04-01,12.4,32.141
1978-05-01,10.62,28.445
1978-06-01,4.47,11.586
1978-07-01,2.51,6.723
1978-08-01,1.5,4.018
1978-09-01,1.22,3.162
1978-10-01,0.95,2.544
1978-11-01,1.09,2.825
1978-12-01,1.39,3.723
1979-01-01,2.85,7.633
1979-02-01,17.45,42.215
1979-03-01,89.46,239.61
1979-04-01,20.31,52.644
1979-05-01,6.58,17.624
1979-06-01,4.51,11.69
1979-07-01,2.39,6.401
1979-08-01,1.62,4.339
1979-09-01,1.67,4.329
1979-10-01,0.96,2.571
1979-11-01,0.84,2.177
1979-12-01,0.63,1.687
1980-01-01,0.75,2.009
1980-02-01,0.91,2.28
1980-03-01,2.32,6.214
1980-04-01,5.87,15.215
1980-05-01,1.03,2.759
1980-06-01,0.72,1.866
1980-07-01,0.54,1.446
1980-08-01,0.3,0.804
1980-09-01,0.19,0.492
1980-10-01,1.72,4.607
1980-11-01,4.21,10.912
1980-12-01,19.11,51.184
1981-01-01,8.62,23.088
1981-02-01,124.95,302.279
1981-03-01,106.83,286.133
1981-04-01,23.48,60.86
1981-05-01,8.97,24.025
1981-06-01,5.13,13.297
1981-07-01,3.37,9.026
1981-08-01,1.91,5.116
1981-09-01,1.42,3.681
1981-10-01,2.05,5.491
1981-11-01,5.71,14.8
1981-12-01,8.24,22.07
1982-01-01,7.3,19.552
1982-02-01,26.7,64.593
1982-03-01,13.12,35.141
1982-04-01,26.15,67.781
1982-05-01,8.94,23.945
1982-06-01,4.11,10.653
1982-07-01,2.3,6.16
1982-08-01,1.33,3.562
1982-09-01,0.9,2.333
1982-10-01,4.12,11.035
1982-11-01,7.81,20.244
1982-12-01,21.26,56.943
1983-01-01,60.05,160.838
1983-02-01,47.69,115.372
1983-03-01,207.62,556.089
1983-04-01,300.33,778.455
1983-05-01,133.76,358.263
1983-06-01,29.66,76.879
1983-07-01,11.47,30.721
1983-08-01,7.67,20.543
1983-09-01,7.01,18.17
1983-10-01,7.3,19.552
1983-11-01,4.05,10.498
1983-12-01,12.82,34.337
1984-01-01,11.32,30.319
1984-02-01,179.93,450.833
1984-03-01,138.19,370.128
1984-04-01,53.33,138.231
1984-05-01,51.03,136.679
1984-06-01,20.87,54.095
1984-07-01,11.24,30.105
1984-08-01,5.74,15.374
1984-09-01,4.77,12.364
1984-10-01,7.9,21.159
1984-11-01,6.06,15.708
1984-12-01,15.44,41.354
1985-01-01,7.74,20.731
1985-02-01,12.98,31.401
1985-03-01,24.86,66.585
1985-04-01,15.5,40.176
1985-05-01,7.59,20.329
1985-06-01,3.97,10.29
1985-07-01,2.6,6.964
1985-08-01,1.9,5.089
1985-09-01,2.13,5.521
1985-10-01,2.08,5.571
1985-11-01,1.07,2.773
1985-12-01,2.66,7.125
1986-01-01,23.45,62.808
1986-02-01,20.62,49.884
1986-03-01,18.72,50.14
1986-04-01,56.04,145.256
1986-05-01,18.14,48.586
1986-06-01,6.17,15.993
1986-07-01,3.24,8.678
1986-08-01,2.25,6.026
1986-09-01,1.41,3.655
1986-10-01,0.85,2.277
1986-11-01,3.19,8.268
1986-12-01,4.92,13.178
1987-01-01,48.15,128.965
1987-02-01,65.59,158.675
1987-03-01,34.59,92.646
1987-04-01,24.27,62.908
1987-05-01,18.89,50.595
1987-06-01,5.12,13.271
1987-07-01,3.31,8.866
1987-08-01,2.6,6.964
1987-09-01,1.92,4.977
1987-10-01,1.73,4.634
1987-11-01,2.66,6.895
1987-12-01,2.12,5.678
1988-01-01,16.02,42.908
1988-02-01,32.08,80.38
1988-03-01,26.73,71.594
1988-04-01,36.19,93.804
1988-05-01,16.09,43.095
1988-06-01,5.49,14.23
1988-07-01,2.67,7.151
1988-08-01,1.52,4.071
1988-09-01,1.18,3.059
1988-10-01,1.86,4.982
1988-11-01,4.11,10.653
1988-12-01,2.85,7.633
1989-01-01,19.54,52.336
1989-02-01,96.51,233.477
1989-03-01,88.85,237.976
1989-04-01,75.84,196.577
1989-05-01,23.26,62.3
1989-06-01,8.01,20.762
1989-07-01,5.26,14.088
1989-08-01,3.13,8.383
1989-09-01,2.29,5.936
1989-10-01,7.63,20.436
1989-11-01,4.74,12.286
1989-12-01,1.36,3.643
1990-01-01,4.07,10.901
1990-02-01,14.22,34.401
1990-03-01,10.62,28.445
1990-04-01,8.58,22.239
1990-05-01,5.26,14.088
1990-06-01,3.1,8.035
1990-07-01,1.6,4.285
1990-08-01,0.5,1.339
1990-09-01,0.23,0.596
1990-10-01,1.76,4.714
1990-11-01,5.06,13.116
1990-12-01,8.5,22.766
1991-01-01,2.38,6.375
1991-02-01,7.3,17.66
1991-03-01,29.43,78.825
1991-04-01,16.59,43.001
1991-05-01,10.78,28.873
1991-06-01,2.0,5.184
1991-07-01,1.16,3.107
1991-08-01,0.41,1.098
1991-09-01,0.21,0.544
1991-10-01,0.42,1.125
1991-11-01,0.95,2.462
1991-12-01,4.0,10.714
1992-01-01,5.0,13.392
1992-02-01,3.63,9.095
1992-03-01,19.44,52.068
1992-04-01,42.13,109.201
1992-05-01,14.33,38.381
1992-06-01,5.37,13.919
1992-07-01,1.57,4.205
1992-08-01,0.52,1.393
1992-09-01,0.32,0.829
1992-10-01,1.34,3.589
1992-11-01,0.73,1.892
1992-12-01,0.57,1.527
1993-01-01,1.49,3.991
1993-02-01,38.34,92.752
1993-03-01,116.19,311.203
1993-04-01,100.35,260.107
1993-05-01,29.03,77.754
1993-06-01,11.44,29.652
1993-07-01,5.59,14.972
1993-08-01,2.76,7.392
1993-09-01,2.24,5.806
1993-10-01,5.51,14.758
1993-11-01,16.52,42.82
1993-12-01,17.45,46.738
1994-01-01,43.53,116.591
1994-02-01,66.14,160.006
1994-03-01,56.47,151.249
1994-04-01,59.51,154.25
1994-05-01,27.13,72.665
1994-06-01,11.98,31.052
1994-07-01,6.24,16.713
1994-08-01,3.4,9.107
1994-09-01,2.1,5.443
1994-10-01,2.02,5.41
1994-11-01,3.29,8.528
1994-12-01,5.19,13.901
1995-01-01,8.4,22.499
1995-02-01,28.95,70.036
1995-03-01,24.7,66.156
1995-04-01,32.15,83.333
1995-05-01,9.8,26.248
1995-06-01,4.4,11.405
1995-07-01,2.88,7.714
1995-08-01,1.82,4.875
1995-09-01,0.95,2.462
1995-10-01,0.74,1.982
1995-11-01,3.87,10.031
1995-12-01,4.89,13.097
1996-01-01,23.82,63.799
1996-02-01,47.91,120.043
1996-03-01,98.46,263.715
1996-04-01,54.74,141.886
1996-05-01,16.73,44.81
1996-06-01,7.73,20.036
1996-07-01,4.11,11.008
1996-08-01,2.34,6.267
1996-09-01,1.49,3.862
1996-10-01,2.77,7.419
1996-11-01,3.12,8.087
1996-12-01,0.56,1.5
1997-01-01,1.23,3.294
1997-02-01,15.11,36.554
1997-03-01,13.27,35.542
1997-04-01,8.33,21.591
1997-05-01,7.88,21.106
1997-06-01,2.4,6.221
1997-07-01,1.03,2.759
1997-08-01,0.28,0.75
1997-09-01,0.15,0.389
1997-10-01,0.6,1.607
1997-11-01,5.33,13.815
1997-12-01,45.7,122.403
1998-01-01,144.76,387.725
1998-02-01,442.95,1071.585
1998-03-01,548.11,1468.058
1998-04-01,218.79,567.104
1998-05-01,50.3,134.724
1998-06-01,19.43,50.363
1998-07-01,12.18,32.623
1998-08-01,7.69,20.597
1998-09-01,6.34,16.433
1998-10-01,6.49,17.383
1998-11-01,6.06,15.708
1998-12-01,4.66,12.481
1999-01-01,11.47,30.721
1999-02-01,117.62,284.546
1999-03-01,70.4,188.559
1999-04-01,46.74,121.15
1999-05-01,34.92,93.53
1999-06-01,16.42,42.561
1999-07-01,10.83,29.007
1999-08-01,6.07,16.258
1999-09-01,6.58,17.055
1999-10-01,7.68,20.57
1999-11-01,4.27,11.068
1999-12-01,11.45,30.668
