date,precipitacion_areal_mean_mm
1970-08-01,6.21
1970-09-01,17.07
1970-10-01,77.71
1970-11-01,25.0
1970-12-01,52.5
1971-01-01,47.86
1971-02-01,106.07
1971-03-01,173.71
1971-04-01,58.86
1971-05-01,8.29
1971-06-01,8.29
1971-07-01,0.21
1971-08-01,4.57
1971-09-01,21.79
1971-10-01,24.0
1971-11-01,26.5
1971-12-01,72.64
1972-01-01,62.64
1972-02-01,159.07
1972-03-01,212.14
1972-04-01,105.14
1972-05-01,23.71
1972-06-01,6.93
1972-07-01,0.93
1972-08-01,2.14
1972-09-01,7.14
1972-10-01,21.64
1972-11-01,19.64
1972-12-01,64.21
1973-01-01,109.57
1973-02-01,82.57
1973-03-01,113.07
1973-04-01,103.43
1973-05-01,36.0
1973-06-01,23.64
1973-07-01,3.29
1973-08-01,0.64
1973-09-01,21.86
1973-10-01,40.57
1973-11-01,17.79
1973-12-01,45.57
1974-01-01,44.36
1974-02-01,133.36
1974-03-01,71.79
1974-04-01,48.86
1974-05-01,27.36
1974-06-01,21.36
1974-07-01,0.86
1974-08-01,3.29
1974-09-01,20.86
1974-10-01,16.71
1974-11-01,23.29
1974-12-01,35.43
1975-01-01,52.79
1975-02-01,128.93
1975-03-01,150.14
1975-04-01,67.36
1975-05-01,10.86
1975-06-01,20.43
1975-07-01,0.36
1975-08-01,8.71
1975-09-01,16.21
1975-10-01,57.29
1975-11-01,27.21
1975-12-01,18.14
1976-01-01,59.14
1976-02-01,94.86
1976-03-01,78.29
1976-04-01,63.29
1976-05-01,16.71
1976-06-01,62.36
1976-07-01,0.14
1976-08-01,2.07
1976-09-01,7.0
1976-10-01,16.93
1976-11-01,15.86
1976-12-01,41.43
1977-01-01,98.07
1977-02-01,111.64
1977-03-01,97.5
1977-04-01,64.07
1977-05-01,13.5
1977-06-01,0.29
1977-07-01,0.86
1977-08-01,0.57
1977-09-01,14.0
1977-10-01,21.64
1977-11-01,22.07
1977-12-01,42.79
1978-01-01,35.21
1978-02-01,49.0
1978-03-01,90.64
1978-04-01,41.5
1978-05-01,25.71
1978-06-01,0.71
1978-07-01,2.79
1978-08-01,0.21
1978-09-01,21.36
1978-10-01,38.86
1978-11-01,30.29
1978-12-01,35.07
1979-01-01,30.57
1979-02-01,125.57
1979-03-01,127.64
1979-04-01,44.21
1979-05-01,11.93
1979-06-01,1.57
1979-07-01,3.43
1979-08-01,7.21
1979-09-01,14.36
1979-10-01,12.14
1979-11-01,9.79
1979-12-01,21.21
1980-01-01,26.0
1980-02-01,94.14
1980-03-01,96.43
1980-04-01,44.79
1980-05-01,34.5
1980-06-01,0.36
1980-07-01,0.21
1980-08-01,0.29
1980-09-01,10.71
1980-10-01,113.93
1980-11-01,37.29
1980-12-01,56.57
1981-01-01,95.07
1981-02-01,107.86
1981-03-01,107.5
1981-04-01,49.71
1981-05-01,7.5
1981-06-01,6.86
1981-07-01,1.21
1981-08-01,3.29
1981-09-01,4.21
1981-10-01,50.36
1981-11-01,19.93
1981-12-01,53.21
1982-01-01,43.21
1982-02-01,71.21
1982-03-01,88.0
1982-04-01,55.57
1982-05-01,14.71
1982-06-01,3.5
1982-07-01,0.57
1982-08-01,1.07
1982-09-01,13.5
1982-10-01,37.71
1982-11-01,45.0
1982-12-01,42.21
1983-01-01,163.36
1983-02-01,192.29
1983-03-01,284.57
1983-04-01,153.14
1983-05-01,28.5
