date,asuncion,callancas,campoden,capachique,casa_grande,cascas,coina,contumaza,cospan,otuzco,san_benito,sinsicap,sunchubamba,tambo
1900-01-01,120.0,41.0,75.0,32.0,0.0,10.0,94.0,24.0,80.0,52.0,15.0,36.0,142.0,3.0
1900-02-01,343.0,141.0,453.0,66.0,2.0,107.0,369.0,216.0,256.0,153.0,373.0,134.0,142.0,97.0
1900-03-01,332.0,162.0,168.0,226.0,3.0,161.0,232.0,378.0,203.0,107.0,27.0,133.0,126.0,19.0
1900-04-01,139.0,121.0,103.0,134.0,3.0,60.0,152.0,146.0,114.0,42.0,106.0,89.0,53.0,57.0
1900-05-01,74.0,62.0,28.0,159.0,11.0,9.0,4.0,65.0,63.0,13.0,19.0,44.0,24.0,42.0
1900-06-01,26.0,5.0,7.0,1.0,1.0,0.0,3.0,8.0,15.0,0.0,0.0,0.0,10.0,0.0
1900-07-01,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0
1970-08-01,0.0,1.0,8.0,21.0,0.0,0.0,9.0,6.0,0.0,25.0,4.0,2.0,10.0,1.0
1970-09-01,7.0,10.0,32.0,75.0,1.0,4.0,3.0,15.0,30.0,11.0,9.0,6.0,35.0,1.0
1970-10-01,84.0,8.0,94.0,188.0,1.0,29.0,236.0,69.0,68.0,68.0,47.0,33.0,130.0,33.0
1970-11-01,45.0,26.0,16.0,98.0,0.0,2.0,23.0,15.0,28.0,18.0,5.0,5.0,69.0,0.0
1970-12-01,110.0,51.0,40.0,165.0,0.0,10.0,167.0,17.0,37.0,26.0,6.0,13.0,86.0,7.0
1971-01-01,49.0,135.0,45.0,88.0,9.0,7.0,31.0,23.0,35.0,29.0,19.0,25.0,74.0,101.0
1971-02-01,171.0,107.0,99.0,267.0,1.0,31.0,374.0,75.0,9.0,90.0,53.0,57.0,119.0,32.0
1971-03-01,115.0,108.0,176.0,337.0,4.0,153.0,184.0,293.0,369.0,159.0,248.0,170.0,86.0,30.0
1971-04-01,45.0,74.0,64.0,234.0,1.0,31.0,92.0,61.0,15.0,78.0,23.0,17.0,64.0,25.0
1971-05-01,5.0,0.0,1.0,19.0,0.0,3.0,61.0,4.0,0.0,6.0,1.0,1.0,14.0,1.0
1971-06-01,17.0,5.0,3.0,47.0,0.0,1.0,1.0,0.0,17.0,6.0,12.0,7.0,0.0,0.0
1971-07-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1971-08-01,0.0,1.0,12.0,8.0,0.0,2.0,0.0,8.0,0.0,18.0,2.0,6.0,4.0,3.0
1971-09-01,11.0,70.0,4.0,22.0,0.0,5.0,0.0,26.0,41.0,63.0,21.0,13.0,14.0,15.0
1971-10-01,59.0,5.0,19.0,39.0,1.0,9.0,19.0,63.0,23.0,32.0,18.0,6.0,40.0,3.0
1971-11-01,135.0,7.0,10.0,59.0,0.0,4.0,20.0,37.0,14.0,16.0,12.0,1.0,52.0,4.0
1971-12-01,252.0,23.0,55.0,135.0,0.0,19.0,188.0,42.0,22.0,62.0,14.0,37.0,150.0,18.0
1972-01-01,94.0,65.0,39.0,73.0,1.0,30.0,127.0,101.0,39.0,66.0,35.0,57.0,145.0,5.0
1972-02-01,214.0,65.0,119.0,174.0,2.0,72.0,298.0,140.0,66.0,117.0,614.0,129.0,170.0,47.0
1972-03-01,77.0,162.0,197.0,231.0,13.0,334.0,172.0,541.0,347.0,121.0,96.0,418.0,200.0,61.0
1972-04-01,128.0,16.0,128.0,178.0,1.0,15.0,94.0,541.0,76.0,37.0,70.0,29.0,149.0,10.0
1972-05-01,57.0,22.0,21.0,56.0,1.0,6.0,9.0,63.0,40.0,14.0,15.0,9.0,13.0,6.0
1972-06-01,11.0,3.0,3.0,24.0,1.0,0.0,0.0,3.0,4.0,14.0,22.0,2.0,10.0,0.0
1972-07-01,5.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
1972-08-01,0.0,0.0,1.0,5.0,2.0,1.0,1.0,3.0,0.0,10.0,0.0,1.0,4.0,2.0
1972-09-01,9.0,7.0,0.0,30.0,0.0,3.0,1.0,0.0,2.0,23.0,2.0,7.0,16.0,0.0
1972-10-01,31.0,7.0,15.0,50.0,1.0,3.0,60.0,5.0,50.0,8.0,5.0,6.0,61.0,1.0
1972-11-01,27.0,24.0,3.0,76.0,0.0,3.0,26.0,11.0,1.0,28.0,4.0,17.0,55.0,0.0
1972-12-01,197.0,49.0,79.0,181.0,2.0,24.0,52.0,23.0,73.0,42.0,4.0,34.0,124.0,15.0
1973-01-01,146.0,105.0,82.0,117.0,12.0,82.0,128.0,252.0,103.0,93.0,73.0,130.0,172.0,39.0
1973-02-01,176.0,41.0,113.0,175.0,3.0,39.0,108.0,89.0,101.0,44.0,25.0,88.0,132.0,22.0
1973-03-01,242.0,111.0,82.0,266.0,1.0,70.0,151.0,138.0,98.0,100.0,29.0,115.0,149.0,31.0
1973-04-01,193.0,138.0,87.0,147.0,0.0,46.0,55.0,148.0,123.0,143.0,109.0,73.0,155.0,31.0
1973-05-01,27.0,38.0,49.0,215.0,1.0,10.0,6.0,20.0,40.0,42.0,15.0,9.0,16.0,16.0
1973-06-01,8.0,12.0,3.0,258.0,0.0,4.0,0.0,10.0,2.0,13.0,6.0,6.0,8.0,1.0
1973-07-01,0.0,1.0,1.0,8.0,0.0,6.0,0.0,10.0,0.0,10.0,1.0,4.0,3.0,2.0
1973-08-01,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1973-09-01,38.0,34.0,20.0,24.0,0.0,8.0,1.0,38.0,38.0,26.0,5.0,10.0,63.0,1.0
1973-10-01,37.0,20.0,27.0,191.0,0.0,4.0,172.0,14.0,35.0,8.0,5.0,8.0,43.0,4.0
1973-11-01,37.0,18.0,4.0,15.0,0.0,11.0,78.0,0.0,5.0,13.0,0.0,7.0,61.0,0.0
1973-12-01,93.0,30.0,53.0,101.0,2.0,10.0,104.0,20.0,64.0,28.0,2.0,20.0,107.0,4.0
1974-01-01,33.0,74.0,23.0,100.0,0.0,22.0,128.0,39.0,36.0,38.0,45.0,15.0,57.0,11.0
1974-02-01,134.0,120.0,164.0,270.0,0.0,51.0,243.0,113.0,123.0,75.0,234.0,98.0,198.0,44.0
1974-03-01,180.0,45.0,172.0,206.0,1.0,13.0,51.0,25.0,119.0,41.0,25.0,26.0,86.0,15.0
1974-04-01,113.0,35.0,49.0,68.0,0.0,14.0,86.0,47.0,47.0,74.0,14.0,18.0,109.0,10.0
1974-05-01,26.0,0.0,24.0,25.0,0.0,4.0,203.0,0.0,0.0,19.0,11.0,2.0,69.0,0.0
1974-06-01,39.0,8.0,26.0,71.0,0.0,3.0,0.0,10.0,10.0,2.0,15.0,6.0,109.0,0.0
1974-07-01,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1974-08-01,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,1.0,18.0,0.0,4.0,2.0,0.0
1974-09-01,51.0,15.0,30.0,57.0,0.0,6.0,28.0,46.0,31.0,13.0,3.0,9.0,2.0,1.0
1974-10-01,21.0,15.0,10.0,81.0,0.0,4.0,14.0,0.0,39.0,8.0,4.0,5.0,31.0,2.0
1974-11-01,64.0,2.0,54.0,19.0,1.0,5.0,29.0,5.0,62.0,15.0,2.0,8.0,58.0,2.0
1974-12-01,92.0,20.0,79.0,43.0,0.0,5.0,78.0,11.0,67.0,0.0,3.0,6.0,91.0,1.0
1975-01-01,97.0,71.0,69.0,32.0,2.0,45.0,63.0,26.0,75.0,94.0,30.0,48.0,71.0,16.0
1975-02-01,120.0,146.0,137.0,236.0,2.0,92.0,306.0,108.0,88.0,124.0,112.0,143.0,152.0,39.0
1975-03-01,170.0,198.0,164.0,451.0,2.0,99.0,211.0,71.0,211.0,144.0,42.0,147.0,160.0,32.0
1975-04-01,118.0,69.0,20.0,250.0,0.0,35.0,76.0,5.0,86.0,95.0,9.0,39.0,118.0,23.0
1975-05-01,6.0,6.0,0.0,104.0,0.0,3.0,15.0,0.0,0.0,7.0,0.0,1.0,10.0,0.0
1975-06-01,33.0,8.0,24.0,60.0,0.0,11.0,0.0,8.0,16.0,12.0,28.0,4.0,82.0,0.0
1975-07-01,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-08-01,1.0,26.0,0.0,1.0,0.0,9.0,0.0,35.0,2.0,27.0,2.0,19.0,0.0,0.0
1975-09-01,19.0,14.0,57.0,27.0,0.0,6.0,6.0,18.0,3.0,25.0,3.0,9.0,39.0,1.0
1975-10-01,102.0,50.0,35.0,99.0,1.0,11.0,64.0,104.0,112.0,47.0,34.0,34.0,98.0,11.0
1975-11-01,70.0,22.0,28.0,69.0,1.0,4.0,90.0,0.0,33.0,20.0,0.0,16.0,27.0,1.0
1975-12-01,83.0,7.0,37.0,12.0,1.0,1.0,9.0,8.0,27.0,0.0,1.0,9.0,59.0,0.0
1976-01-01,53.0,103.0,49.0,48.0,11.0,64.0,76.0,129.0,26.0,33.0,74.0,86.0,67.0,9.0
1976-02-01,106.0,86.0,106.0,363.0,7.0,54.0,89.0,94.0,18.0,51.0,18.0,136.0,184.0,16.0
1976-03-01,57.0,83.0,125.0,316.0,2.0,35.0,41.0,46.0,152.0,16.0,66.0,47.0,91.0,19.0
1976-04-01,94.0,23.0,109.0,162.0,7.0,29.0,115.0,69.0,54.0,22.0,27.0,50.0,99.0,26.0
1976-05-01,17.0,10.0,11.0,54.0,1.0,11.0,19.0,16.0,37.0,4.0,7.0,4.0,33.0,10.0
1976-06-01,1.0,20.0,0.0,797.0,0.0,3.0,0.0,12.0,4.0,10.0,12.0,12.0,2.0,0.0
1976-07-01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-08-01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,16.0,0.0,0.0,0.0
1976-09-01,16.0,0.0,2.0,41.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,30.0,0.0
1976-10-01,46.0,7.0,13.0,54.0,0.0,8.0,6.0,6.0,57.0,0.0,4.0,2.0,33.0,1.0
1976-11-01,77.0,0.0,20.0,5.0,0.0,0.0,12.0,6.0,33.0,8.0,1.0,0.0,59.0,1.0
1976-12-01,69.0,26.0,75.0,65.0,0.0,16.0,109.0,25.0,79.0,6.0,3.0,28.0,58.0,21.0
1977-01-01,70.0,143.0,69.0,162.0,9.0,72.0,335.0,64.0,49.0,110.0,46.0,122.0,104.0,18.0
1977-02-01,117.0,163.0,77.0,163.0,7.0,115.0,323.0,62.0,92.0,130.0,17.0,141.0,130.0,26.0
1977-03-01,109.0,83.0,145.0,252.0,4.0,45.0,55.0,68.0,218.0,64.0,39.0,72.0,185.0,26.0
1977-04-01,178.0,43.0,59.0,183.0,0.0,16.0,137.0,36.0,96.0,3.0,22.0,21.0,95.0,8.0
1977-05-01,23.0,11.0,21.0,62.0,0.0,4.0,10.0,4.0,15.0,0.0,6.0,2.0,30.0,1.0
1977-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977-07-01,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
1977-09-01,44.0,13.0,5.0,21.0,0.0,3.0,1.0,13.0,50.0,28.0,2.0,3.0,13.0,0.0
1977-10-01,50.0,17.0,16.0,63.0,0.0,9.0,17.0,17.0,67.0,0.0,6.0,4.0,35.0,2.0
1977-11-01,22.0,1.0,17.0,32.0,5.0,5.0,58.0,45.0,40.0,9.0,13.0,5.0,50.0,7.0
1977-12-01,83.0,45.0,31.0,84.0,0.0,11.0,40.0,85.0,53.0,13.0,88.0,10.0,52.0,4.0
1978-01-01,155.0,36.0,59.0,34.0,0.0,7.0,1.0,19.0,54.0,22.0,11.0,13.0,76.0,6.0
1978-02-01,156.0,38.0,79.0,27.0,0.0,25.0,4.0,36.0,75.0,9.0,24.0,49.0,153.0,11.0
1978-03-01,241.0,54.0,102.0,148.0,9.0,36.0,85.0,59.0,93.0,65.0,98.0,57.0,195.0,27.0
1978-04-01,79.0,19.0,25.0,67.0,0.0,5.0,129.0,108.0,39.0,12.0,12.0,8.0,75.0,3.0
1978-05-01,24.0,22.0,19.0,111.0,0.0,6.0,6.0,88.0,41.0,9.0,18.0,7.0,6.0,3.0
1978-06-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
1978-07-01,1.0,0.0,2.0,0.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,14.0,0.0
1978-08-01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-09-01,7.0,14.0,27.0,47.0,0.0,7.0,1.0,100.0,1.0,28.0,13.0,9.0,35.0,10.0
1978-10-01,110.0,1.0,25.0,139.0,1.0,2.0,10.0,77.0,113.0,0.0,8.0,1.0,54.0,3.0
1978-11-01,13.0,18.0,20.0,90.0,1.0,4.0,65.0,72.0,52.0,9.0,15.0,12.0,50.0,3.0
1978-12-01,92.0,21.0,57.0,21.0,4.0,10.0,40.0,76.0,30.0,0.0,25.0,13.0,100.0,2.0
1979-01-01,79.0,17.0,63.0,32.0,1.0,3.0,0.0,53.0,44.0,4.0,7.0,15.0,100.0,10.0
1979-02-01,222.0,26.0,200.0,111.0,7.0,12.0,131.0,344.0,346.0,31.0,97.0,35.0,167.0,29.0
1979-03-01,71.0,147.0,128.0,188.0,7.0,109.0,212.0,123.0,225.0,135.0,75.0,203.0,131.0,33.0
1979-04-01,62.0,20.0,35.0,122.0,2.0,2.0,98.0,123.0,25.0,34.0,12.0,16.0,67.0,1.0
1979-05-01,21.0,7.0,21.0,32.0,0.0,3.0,12.0,32.0,26.0,0.0,2.0,0.0,11.0,0.0
