date,caudal_m3_s,volumen_mmc
1924-01-01,15.294,40.963449600000004
1924-02-01,13.296,33.3144576
1924-03-01,24.38,65.29939200000001
1924-04-01,13.255,34.35696
1924-05-01,11.129,29.807913599999996
1924-06-01,8.526,22.099392
1924-07-01,12.553,33.6219552
1924-08-01,6.593,17.6586912
1924-09-01,4.282,11.098944
1924-10-01,4.147,11.1073248
1924-11-01,3.813,9.883296
1924-12-01,4.634,12.4117056
1925-01-01,5.683,15.221347199999999
1925-02-01,4.988,12.066969600000002
1925-03-01,4.848,12.984883199999997
1925-04-01,4.672,12.109824
1925-05-01,4.057,10.8662688
1925-06-01,4.902,12.705984
1925-07-01,7.349,19.6835616
1925-08-01,1926.0,5158.5984
1925-09-01,6.491,16.824672
1925-10-01,9.71,26.007264000000006
1925-11-01,21.722,56.30342400000001
1925-12-01,17.487,46.8371808
1945-01-01,6.292,16.852492799999997
1945-02-01,4.665,11.285568
1945-03-01,8.42,22.552128
1945-04-01,2.292,5.9408639999999995
1945-05-01,1.823,4.882723199999999
1945-06-01,1.803,4.673375999999999
1945-07-01,1.778,4.7621952
1945-08-01,1.678,4.4943552
1945-09-01,1.755,4.54896
1945-10-01,1.228,3.2890751999999996
1945-11-01,1.177,3.050784
1945-12-01,1.099,2.9435616000000002
1946-01-01,1.698,4.5479232
1946-02-01,5.412,13.0927104
1946-03-01,3.339,8.9431776
1946-04-01,2.041,5.290272
1946-05-01,1.726,4.6229184000000005
1946-06-01,1.61,4.17312
1946-07-01,1.19,3.187296
1946-08-01,1.027,2.7507167999999997
1946-09-01,1.025,2.6567999999999996
1946-10-01,1.024,2.7426816
1946-11-01,1.022,2.649024
1946-12-01,3.561,9.537782400000001
1948-01-01,2.775,7.43256
1948-02-01,4.339,10.871798400000003
1948-03-01,10.584,28.348185599999997
1948-04-01,6.974,18.076608
1948-05-01,3.627,9.714556799999999
1948-06-01,1.539,3.9890879999999997
1948-07-01,1.228,3.2890751999999996
1948-08-01,1.111,2.9757024000000003
1948-09-01,1.066,2.763072
1948-10-01,1.096,2.9355264
1948-11-01,1.059,2.744928
1948-12-01,1.331,3.5649503999999994
1949-01-01,10.104,27.0625536
1949-02-01,11.662,28.2127104
1949-03-01,6.775,18.14616
1949-04-01,2.694,6.982847999999999
1949-05-01,1.644,4.4032896
1949-06-01,1.321,3.4240319999999995
1949-07-01,1.038,2.7801792000000005
1949-08-01,1.006,2.6944703999999997
1949-09-01,1.028,2.664576
1949-10-01,1.055,2.825712
1949-11-01,1.013,2.6256959999999996
1949-12-01,1.291,3.4578143999999997
1951-01-01,3.988,10.6814592
1951-02-01,14.758,35.7025536
1951-03-01,4.618,12.368851200000002
1951-04-01,0.625,1.62
1951-05-01,0.313,0.8383392
1951-06-01,0.789,2.0450880000000002
1951-07-01,0.043,0.1151712
1951-08-01,0.0,0.0
1951-09-01,0.0,0.0
1951-10-01,0.0,0.0
1951-11-01,0.043,0.11145599999999997
1951-12-01,0.277,0.7419168
1952-01-01,3.915,10.485936
1952-02-01,8.032,20.1249792
1952-03-01,1.567,4.1970528
1952-04-01,0.688,1.7832959999999995
1952-05-01,0.038,0.1017792
1952-06-01,0.0,0.0
1952-07-01,0.0,0.0
1952-08-01,0.0,0.0
1952-09-01,0.0,0.0
1952-10-01,0.0,0.0
1952-11-01,0.0,0.0
1952-12-01,0.211,0.5651423999999999
1953-01-01,4.542,12.1652928
1953-02-01,15.65,37.86048
1953-03-01,13.511,36.1878624
1953-04-01,1.983,5.139936
1953-05-01,1.157,3.0989088000000002
1953-06-01,0.946,2.452032
1953-07-01,0.942,2.5230528
1953-08-01,0.842,2.2552128
1953-09-01,0.85,2.2032
1953-10-01,0.774,2.0730816
1953-11-01,1.066,2.763072
1953-12-01,1.192,3.1926528
1954-01-01,13.038,34.920979200000005
1954-02-01,4.432,10.7218944
1954-03-01,2.033,5.4451871999999995
1954-04-01,1.137,2.947104
1954-05-01,1.157,3.0989088000000002
1954-06-01,1.346,3.4888320000000004
1954-07-01,1.68,4.499712
1954-08-01,1.874,5.0193216000000005
1954-09-01,1955.0,5067.36
1954-10-01,6.158,16.493587200000004
1954-11-01,10.294,26.682048
1954-12-01,20.29,54.344736
1955-01-01,3.103,8.311075200000001
1955-02-01,8.531,20.638195200000002
1955-03-01,16.859,45.155145600000004
1955-04-01,2.475,6.4152
1955-05-01,1.796,4.810406400000001
1955-06-01,2.156,5.588352000000001
1955-07-01,2.438,6.5299392
1955-08-01,2.212,5.9246208
1955-09-01,2.219,5.751647999999999
1955-10-01,2.171,5.814806399999998
1955-11-01,2.108,5.463936
1955-12-01,2.648,7.092403200000001
1956-01-01,15.449,41.3786016
1956-02-01,28.068,70.32718080000001
1956-03-01,6.104,16.3489536
1956-04-01,5.449,14.123808
1956-05-01,5.528,14.806195200000001
1956-06-01,5.859,15.186528000000003
1956-07-01,5.853,15.6766752
1956-08-01,5.694,15.250809600000002
1956-09-01,5.36,13.893120000000001
1956-10-01,4.687,12.5536608
1956-11-01,4.707,12.200544
1956-12-01,4.674,12.5188416
1957-01-01,4.879,13.067913599999999
1957-02-01,13.774,33.322060799999996
1957-03-01,23.593,63.19149120000001
