date,caudal_chillon_m3s,caudal_chillon_mmc
1956-08-01,1.02,2.732
1956-09-01,1.12,2.903
1956-10-01,1.35,3.616
1956-11-01,1.17,3.033
1956-12-01,1.34,3.589
1957-01-01,2.55,6.83
1957-02-01,28.3,68.463
1957-03-01,34.2,91.601
1957-04-01,19.1,49.507
1957-05-01,6.55,17.544
1957-06-01,2.43,6.299
1957-07-01,1.01,2.705
1957-08-01,0.65,1.741
1957-09-01,0.71,1.84
1957-10-01,0.9,2.411
1957-11-01,1.08,2.799
1957-12-01,1.19,3.187
1958-01-01,3.2,8.571
1958-02-01,18.5,44.755
1958-03-01,16.9,45.265
1958-04-01,19.8,51.322
1958-05-01,4.93,13.205
1958-06-01,1.41,3.655
1958-07-01,0.51,1.366
1958-08-01,1.95,5.223
1958-09-01,1.68,4.355
1958-10-01,1.85,4.955
1958-11-01,1.76,4.562
1958-12-01,1.77,4.741
1959-01-01,4.49,12.026
1959-02-01,17.5,42.336
1959-03-01,20.6,55.175
1959-04-01,5.75,14.904
1959-05-01,3.67,9.83
1959-06-01,2.63,6.817
1959-07-01,1.9,5.089
1959-08-01,1.32,3.535
1959-09-01,1.3,3.37
1959-10-01,2.04,5.464
1959-11-01,3.39,8.787
1959-12-01,11.44,30.641
1960-01-01,1.71,4.58
1960-02-01,35,87.696
1960-03-01,35.4,94.815
1960-04-01,26.1,67.651
1960-05-01,1.59,4.259
1960-06-01,1.13,2.929
1960-07-01,1.34,3.589
1960-08-01,1.12,3.0
1960-09-01,1.04,2.696
1960-10-01,1.25,3.348
1960-11-01,1.2,3.11
1960-12-01,1.31,3.509
1961-01-01,13.4,35.891
1961-02-01,19.7,47.658
1961-03-01,18,48.211
1961-04-01,5.59,14.489
1961-05-01,1.47,3.937
1961-06-01,1.58,4.095
1961-07-01,1.4,3.75
1961-08-01,0.78,2.089
1961-09-01,0.77,1.996
1961-10-01,1,2.678
1961-11-01,1.85,4.795
1961-12-01,1.43,3.83
1962-01-01,9.85,26.382
1962-02-01,18,43.546
1962-03-01,14.9,39.908
1962-04-01,13.7,35.51
1962-05-01,1.31,3.509
1962-06-01,1.17,3.033
1962-07-01,0.98,2.625
1962-08-01,0.73,1.955
1962-09-01,0.65,1.685
1962-10-01,2.62,7.017
1962-11-01,2.8,7.258
1962-12-01,3.47,9.294
1963-01-01,16,42.854
1963-02-01,30.5,73.786
1963-03-01,30.4,81.423
1963-04-01,25.6,66.355
1963-05-01,3.04,8.142
1963-06-01,1.69,4.38
1963-07-01,0.93,2.491
1963-08-01,0.76,2.036
1963-09-01,0.65,1.685
1963-10-01,1.64,4.393
1963-11-01,4.81,12.468
1963-12-01,15.98,42.801
1964-01-01,14.4,38.569
1964-02-01,25.2,63.141
1964-03-01,26,69.638
1964-04-01,14.5,37.584
1964-05-01,2.41,6.455
1964-06-01,1.29,3.344
1964-07-01,0.86,2.303
1964-08-01,0.75,2.009
1964-09-01,1.02,2.644
1964-10-01,1.79,4.794
1964-11-01,4.47,11.586
1964-12-01,3.11,8.33
1965-01-01,1.99,5.33
1965-02-01,19.1,46.207
1965-03-01,29.6,79.281
1965-04-01,18.8,48.73
1965-05-01,3.99,10.687
1965-06-01,1.92,4.977
1965-07-01,0.89,2.384
1965-08-01,0.55,1.473
1965-09-01,1.05,2.722
1965-10-01,1.54,4.125
1965-11-01,1.8,4.666
1965-12-01,2.67,7.151
1966-01-01,4.53,12.133
1966-02-01,19.84,47.997
1966-03-01,52.5,140.616
1966-04-01,5.74,14.878
1966-05-01,2.22,5.946
1966-06-01,0.86,2.229
1966-07-01,0.8,2.143
1966-08-01,0.41,1.098
1966-09-01,1.05,2.722
1966-10-01,3.92,10.499
1966-11-01,3.98,10.316
1966-12-01,8.09,21.668
1967-01-01,6.06,16.231
1967-02-01,4.23,10.233
1967-03-01,8.77,23.49
1967-04-01,2.21,5.728
1967-05-01,0.98,2.625
1967-06-01,0.76,1.97
1967-07-01,0.63,1.687
1967-08-01,2.12,5.678
1967-09-01,1.79,4.64
1967-10-01,4.46,11.946
1967-11-01,3.66,9.487
1967-12-01,4.08,10.928
1968-01-01,9.6,25.713
1968-02-01,43.4,108.743
1968-03-01,27.3,73.12
1968-04-01,10.67,27.657
1968-05-01,5.1,13.66
1968-06-01,2.93,7.595
1968-07-01,2.43,6.509
1968-08-01,1.32,3.535
1968-09-01,1.51,3.914
1968-10-01,3.06,8.196
1968-11-01,3.08,7.983
1968-12-01,2.96,7.928
1969-01-01,7.17,19.204
1969-02-01,5.24,12.677
1969-03-01,10.1,27.052
1969-04-01,4.24,10.99
1969-05-01,2.06,5.518
1969-06-01,1.47,3.81
1969-07-01,1.37,3.669
1969-08-01,1.0,2.678
1969-09-01,1.7,4.406
1969-10-01,2.8,7.5
1969-11-01,2.6,6.739
1969-12-01,11.3,30.266
1970-01-01,3.7,9.91
1970-02-01,6.2,14.999
1970-03-01,9.8,26.248
1970-04-01,8.0,20.736
1970-05-01,1.7,4.553
1970-06-01,1.6,4.147
1970-07-01,1.5,4.018
1970-08-01,1.7,4.553
1970-09-01,2.4,6.221
1970-10-01,3.9,10.446
1970-11-01,3.2,8.294
1970-12-01,5.7,15.267
1971-01-01,29.15,78.075
1971-02-01,15.0,36.288
1971-03-01,10.0,26.784
1971-04-01,8.0,20.736
1971-05-01,5.5,14.731
1971-06-01,2.3,5.962
1971-07-01,1.9,5.089
1971-08-01,1.3,3.482
1971-09-01,1.2,3.11
1971-10-01,3.6,9.642
1971-11-01,3.1,8.035
1971-12-01,6.1,16.338
1972-01-01,10.3,27.588
1972-02-01,11.1,27.812
1972-03-01,21.5,57.586
1972-04-01,9.7,25.142
1972-05-01,3.2,8.571
1972-06-01,2.5,6.48
1972-07-01,2.0,5.357
1972-08-01,2.3,6.16
1972-09-01,2.1,5.443
1972-10-01,3.9,10.446
1972-11-01,3.3,8.554
1972-12-01,6.4,17.142
1973-01-01,10.6,28.391
1973-02-01,16.0,38.707
1973-03-01,41.0,109.814
1973-04-01,21.0,54.432
1973-05-01,4.3,11.517
1973-06-01,3.2,8.294
1973-07-01,2.5,6.696
1973-08-01,2.2,5.892
1973-09-01,2.3,5.962
1973-10-01,5.8,15.535
1973-11-01,5.2,13.478
1973-12-01,14.0,37.498
1974-01-01,20.0,53.568
1974-02-01,26.4,63.867
1974-03-01,31.2,83.566
1974-04-01,29.0,75.168
1974-05-01,10.6,28.391
1974-06-01,6.2,16.07
1974-07-01,2.6,6.964
1974-08-01,2.3,6.16
1974-09-01,4.1,10.627
1974-10-01,5.1,13.66
1974-11-01,5.3,13.738
1974-12-01,3.4,9.107
1975-01-01,20.8,55.711
1975-02-01,33.4,80.801
1975-03-01,31.8,85.173
1975-04-01,18.0,46.656
1975-05-01,8.0,21.427
1975-06-01,4.0,10.368
1975-07-01,3.0,8.035
1975-08-01,1.8,4.821
1975-09-01,3.0,7.776
1975-10-01,3.0,8.035
1975-11-01,4.8,12.442
1975-12-01,6.6,17.677
1976-01-01,6.1,16.338
1976-02-01,8.1,20.295
1976-03-01,28.6,76.602
1976-04-01,12.0,31.104
1976-05-01,5.1,13.66
1976-06-01,3.0,7.776
1976-07-01,2.3,6.16
1976-08-01,3.0,8.035
1976-09-01,3.1,8.035
1976-10-01,3.0,8.035
1976-11-01,3.3,8.554
1976-12-01,5.4,14.463
1977-01-01,15.8,42.319
1977-02-01,25.1,60.722
1977-03-01,25.0,66.96
1977-04-01,11.4,29.549
1977-05-01,4.8,12.856
1977-06-01,3.1,8.035
1977-07-01,2.8,7.5
1977-08-01,2.1,5.625
1977-09-01,2.1,5.443
1977-10-01,3.5,9.374
1977-11-01,5.0,12.96
1977-12-01,4.3,11.517
1978-01-01,5.3,14.196
1978-02-01,20.3,49.11
1978-03-01,18.0,48.211
1978-04-01,6.6,17.107
1978-05-01,2.5,6.696
1978-06-01,1.9,4.925
1978-07-01,2.3,6.16
1978-08-01,2.4,6.428
1978-09-01,2.6,6.739
1978-10-01,2.3,6.16
1978-11-01,2.7,6.998
1978-12-01,3.7,9.91
1979-01-01,7.0,18.749
1979-02-01,18.1,43.788
1979-03-01,13.7,36.694
1979-04-01,7.1,18.403
1979-05-01,2.4,6.428
1979-06-01,1.7,4.406
1979-07-01,2.8,7.5
1979-08-01,1.5,4.018
1979-09-01,0.7,1.814
1979-10-01,1.8,4.821
1979-11-01,3.9,10.109
1979-12-01,1.1,2.946
1980-01-01,1.5,4.018
1980-02-01,9.2,23.052
1980-03-01,16.0,42.854
1980-04-01,3.4,8.813
1980-05-01,2.0,5.357
1980-06-01,1.1,2.851
1980-07-01,1.9,5.089
1980-08-01,0.7,1.875
1980-09-01,1.0,2.592
1980-10-01,4.6,12.321
1980-11-01,3.0,7.776
1980-12-01,5.9,15.803
1981-01-01,4.1,10.981
1981-02-01,4.8,11.612
1981-03-01,8.5,22.766
1981-04-01,7.4,19.181
1981-05-01,2.9,7.767
1981-06-01,1.8,4.666
1981-07-01,1.0,2.678
1981-08-01,1.8,4.821
1981-09-01,1.5,3.888
1981-10-01,2.0,5.357
1981-11-01,3.7,9.59
1981-12-01,6.4,17.142
1982-01-01,8.3,22.231
1982-02-01,29.6,71.608
1982-03-01,24.8,66.424
1982-04-01,8.7,22.55
1982-05-01,5.5,14.731
1982-06-01,3.5,9.072
1982-07-01,2.5,6.696
1982-08-01,1.1,2.946
1982-09-01,0.8,2.074
1982-10-01,1.9,5.089
1982-11-01,3.4,8.813
1982-12-01,4.1,10.981
1983-01-01,5.6,14.999
1983-02-01,12.3,29.756
1983-03-01,9.0,24.106
1983-04-01,9.5,24.624
1983-05-01,4.7,12.588
1983-06-01,1.6,4.147
1983-07-01,1.3,3.482
1983-08-01,1.5,4.018
1983-09-01,1.2,3.11
1983-10-01,2.4,6.428
1983-11-01,3.2,8.294
1983-12-01,7.2,19.284
1984-01-01,6.9,18.481
1984-02-01,5.1,12.779
1984-03-01,13.6,36.426
1984-04-01,14.0,36.288
1984-05-01,5.0,13.392
1984-06-01,2.6,6.739
1984-07-01,1.8,4.821
1984-08-01,0.9,2.411
1984-09-01,0.7,1.814
1984-10-01,1.5,4.018
1984-11-01,2.4,6.221
1984-12-01,11.5,30.802
1985-01-01,9.3,24.909
1985-02-01,21.7,52.497
1985-03-01,15.3,40.98
1985-04-01,10.4,26.957
1985-05-01,4.9,13.124
1985-06-01,2.8,7.258
1985-07-01,1.8,4.821
1985-08-01,4.2,11.249
1985-09-01,4.6,11.923
1985-10-01,3.1,8.303
1985-11-01,2.9,7.517
1985-12-01,3.8,10.178
1986-01-01,4.7,12.588
1986-02-01,10.7,25.885
1986-03-01,21.8,58.389
1986-04-01,15.2,39.398
1986-05-01,8.0,21.427
1986-06-01,5.8,15.034
1986-07-01,4.9,13.124
1986-08-01,2.6,6.964
1986-09-01,2.8,7.258
1986-10-01,2.1,5.625
1986-11-01,1.3,3.37
1986-12-01,4.9,13.124
1987-01-01,10.4,27.855
1987-02-01,14.7,35.562
1987-03-01,11.7,31.337
1987-04-01,11.1,28.771
1987-05-01,6.4,17.142
1987-06-01,3.8,9.85
1987-07-01,3.1,8.303
1987-08-01,1.1,2.946
1987-09-01,2.4,6.221
1987-10-01,2.4,6.428
1987-11-01,2.8,7.258
1987-12-01,7.3,19.552
1988-01-01,16.1,43.122
1988-02-01,18.5,46.354
1988-03-01,10.5,28.123
1988-04-01,4.4,11.405
1988-05-01,3.1,8.303
1988-06-01,3.0,7.776
1988-07-01,2.0,5.357
1988-08-01,1.9,5.089
1988-09-01,3.0,7.776
1988-10-01,2.7,7.232
1988-11-01,1.9,4.925
1988-12-01,3.1,8.303
1989-01-01,13.4,35.891
1989-02-01,24.4,59.028
1989-03-01,11.0,29.462
1989-04-01,14.6,37.843
1989-05-01,9.7,25.98
1989-06-01,6.7,17.366
1989-07-01,3.1,8.303
1989-08-01,1.6,4.285
1989-09-01,1.2,3.11
1989-10-01,1.9,5.089
1989-11-01,4.7,12.182
1989-12-01,1.9,5.089
1990-01-01,11.6,31.069
1990-02-01,36.2,87.575
1990-03-01,23.6,63.21
1990-04-01,11.7,30.326
1990-05-01,5.8,15.535
1990-06-01,3.3,8.554
1990-07-01,2.3,6.16
1990-08-01,0.4,1.071
1990-09-01,2.0,5.184
1990-10-01,1.7,4.553
1990-11-01,3.59,9.305
1990-12-01,11.0,29.462
1991-01-01,4.2,11.249
1991-02-01,6.4,15.483
1991-03-01,5.1,13.66
1991-04-01,2.2,5.702
1991-05-01,0.7,1.875
1991-06-01,0.4,1.037
1991-07-01,0.4,1.071
1991-08-01,2.6,6.964
1991-09-01,1.2,3.11
1991-10-01,0.9,2.411
1991-11-01,2.8,7.258
1991-12-01,2.0,5.357
1992-01-01,8.3,22.231
1992-02-01,11.4,28.564
1992-03-01,22.0,58.925
1992-04-01,7.5,19.44
1992-05-01,3.7,9.91
1992-06-01,3.0,7.776
1992-07-01,1.9,5.089
1992-08-01,1.8,4.821
1992-09-01,2.1,5.443
1992-10-01,2.9,7.767
1992-11-01,3.9,10.109
1992-12-01,6.0,16.07
1993-01-01,2.6,6.964
1993-02-01,2.1,5.08
1993-03-01,8.4,22.499
1993-04-01,4.9,12.701
1993-05-01,3.5,9.374
1993-06-01,3.0,7.776
1993-07-01,2.1,5.625
1993-08-01,2.58,6.91
1993-09-01,3.55,9.202
