date,caudal_aforado_m3s,volumen_aforado_mmc,caudal_naturalizado_m3s,volumen_naturalizado_mmc
1934-01-01,45.82,122.724288,45.82,122.724288
1934-02-01,33.92,82.059264,33.92,82.059264
1934-03-01,82.24,220.271616,82.24,220.271616
1934-04-01,26.48,68.63616,26.48,68.63616
1934-05-01,4.84,12.963456,4.84,12.963456
1934-06-01,2.8,7.2576,2.8,7.2576
1934-07-01,0.76,2.035584,0.76,2.035584
1934-08-01,0,0.0,0,0.0
1934-09-01,0,0.0,0,0.0
1934-10-01,0,0.0,0,0.0
1934-11-01,0,0.0,0,0.0
1934-12-01,0,0.0,0,0.0
1935-01-01,12.82,34.337088,12.82,34.337088
1935-02-01,24.84,60.092928,24.84,60.092928
1935-03-01,107.48,287.874432,107.48,287.874432
1935-04-01,26.4,68.4288,26.4,68.4288
1935-05-01,4.86,13.017024,4.86,13.017024
1935-06-01,3.78,9.797759999999998,3.78,9.797759999999998
1935-07-01,2.74,7.338816,2.74,7.338816
1935-08-01,1.41,3.776544,1.41,3.776544
1935-09-01,0.76,1.96992,0.76,1.96992
1935-10-01,0,0.0,0,0.0
1935-11-01,0,0.0,0,0.0
1935-12-01,2.41,6.454944000000002,2.41,6.454944000000002
1936-01-01,74.85,200.47824,74.85,200.47824
1936-02-01,43.66,109.394496,43.66,109.394496
1936-03-01,23.84,63.853056,23.84,63.853056
1936-04-01,7.61,19.72512,7.61,19.72512
1936-05-01,0,0.0,0,0.0
1936-06-01,0,0.0,0,0.0
1936-07-01,0,0.0,0,0.0
1936-08-01,0,0.0,0,0.0
1936-09-01,0,0.0,0,0.0
1936-10-01,0,0.0,0,0.0
1936-11-01,0,0.0,0,0.0
1936-12-01,0,0.0,0,0.0
1937-01-01,13.78,36.908352,13.78,36.908352
1937-02-01,25.54,61.78636799999998,25.54,61.78636799999998
1937-03-01,25.53,68.37955200000002,25.53,68.37955200000002
1937-04-01,8.18,21.202559999999995,8.18,21.202559999999995
1937-05-01,1.8,4.82112,1.8,4.82112
1937-06-01,0.62,1.60704,0.62,1.60704
1937-07-01,0,0.0,0,0.0
1937-08-01,0,0.0,0,0.0
1937-09-01,0,0.0,0,0.0
1937-10-01,0,0.0,0,0.0
1937-11-01,0,0.0,0,0.0
1937-12-01,2.25,6.0264,2.25,6.0264
1938-01-01,6.75,18.0792,6.75,18.0792
1938-02-01,61.27,148.22438400000004,61.27,148.22438400000004
1938-03-01,62.81,168.23030400000002,62.81,168.23030400000002
1938-04-01,25.5,66.096,25.5,66.096
1938-05-01,2.47,6.615648000000002,2.47,6.615648000000002
1938-06-01,0.66,1.71072,0.66,1.71072
1938-07-01,0.44,1.178496,0.44,1.178496
1938-08-01,0,0.0,0,0.0
1938-09-01,0,0.0,0,0.0
1938-10-01,0,0.0,0,0.0
1938-11-01,0,0.0,0,0.0
1938-12-01,0.18,0.4821119999999999,0.18,0.4821119999999999
1939-01-01,10.16,27.212544,10.16,27.212544
1939-02-01,68.38,165.42489599999993,68.38,165.42489599999993
1939-03-01,155.64,416.866176,155.64,416.866176
1939-04-01,43.38,112.44096,43.38,112.44096
1939-05-01,7.68,20.570111999999995,7.68,20.570111999999995
1939-06-01,1.14,2.9548799999999993,1.14,2.9548799999999993
1939-07-01,0.92,2.464128,0.92,2.464128
1939-08-01,0.68,1.8213120000000005,0.68,1.8213120000000005
1939-09-01,0,0.0,0,0.0
1939-10-01,0,0.0,0,0.0
1939-11-01,0,0.0,0,0.0
1939-12-01,1.91,5.115744,1.91,5.115744
1940-01-01,17.35,46.47024,17.642,47.2523328
1940-02-01,17.26,43.24665600000001,17.576,44.0384256
1940-03-01,29.75,79.6824,30.242,81.0001728
1940-04-01,13.85,35.8992,14.092,36.52646399999999
1940-05-01,2.2,5.89248,2.2,5.89248
1940-06-01,0.83,2.15136,0.83,2.15136
1940-07-01,0.39,1.0445760000000002,0.39,1.0445760000000002
1940-08-01,0,0.0,0,0.0
1940-09-01,0,0.0,0,0.0
1940-10-01,0,0.0,0,0.0
1940-11-01,1.47,3.81024,0.197,0.5106240000000001
1940-12-01,3.44,9.213696,0.466,1.2481344
1941-01-01,15.53,41.595552,16.151,43.2588384
1941-02-01,14.2,34.35264,14.821,35.85496319999999
1941-03-01,17.08,45.747072,17.759,47.565705599999994
1941-04-01,1.74,4.51008,1.824,4.727807999999999
1941-05-01,1.2,3.21408,1.2,3.21408
1941-06-01,0,0.0,0,0.0
1941-07-01,1.6,4.28544,1.6,4.28544
1941-08-01,0,0.0,0,0.0
1941-09-01,0,0.0,0,0.0
1941-10-01,0,0.0,0,0.0
1941-11-01,2.77,7.17984,0.378,0.9797759999999999
1941-12-01,4.58,12.267072,0.619,1.6579296000000001
