date,caudal_rio_chira_m3s,caudal_rio_piura_m3s,volumen_rio_chira_mmc,volumen_rio_piura_mmc
1937-01-01,45.935,,123.034,
1937-02-01,66.821,,161.654,
1937-03-01,81.065,,217.123,
1937-04-01,78.867,,204.422,
1937-05-01,40.065,,107.309,
1937-06-01,49.433,,128.131,
1937-07-01,41.452,,111.024,
1937-08-01,15.935,,42.682,
1937-09-01,21.033,,54.518,
1937-10-01,16.71,,44.755,
1937-11-01,7.4,,19.181,
1937-12-01,20.645,,55.296,
1938-01-01,19.161,,51.322,
1938-02-01,58.071,,140.486,
1938-03-01,237.903,,637.2,
1938-04-01,302.833,,784.944,
1938-05-01,116.903,,313.114,
1938-06-01,88.833,,230.256,
1938-07-01,53.29,,142.733,
1938-08-01,31.935,,85.536,
1938-09-01,30.533,,79.142,
1938-10-01,26.774,,71.712,
1938-11-01,18.3,,47.434,
1938-12-01,14.903,,39.917,
1939-01-01,69.71,,186.71,
1939-02-01,323.821,,783.389,
1939-03-01,473.806,,1269.043,
1939-04-01,700.133,,1814.746,
1939-05-01,330.29,,884.65,
1939-06-01,239.4,,620.525,
1939-07-01,136.0,,364.262,
1939-08-01,121.194,,324.605,
1939-09-01,67.533,,175.046,
1939-10-01,40.903,,109.555,
1939-11-01,20.8,,53.914,
1939-12-01,52.032,,139.363,
1940-01-01,92.065,,246.586,
1940-02-01,117.643,,294.766,
1940-03-01,242.194,,648.691,
1940-04-01,145.833,,378.0,
1940-05-01,119.742,,320.717,
1940-06-01,90.867,,235.526,
1940-07-01,72.097,,193.104,
1940-08-01,66.935,,179.28,
1940-09-01,57.767,,149.731,
1940-10-01,49.323,,132.106,
1940-11-01,38.367,,99.446,
1940-12-01,56.097,,150.25,
1941-01-01,176.742,,473.386,
1941-02-01,877.714,,2123.366,
1941-03-01,667.161,,1786.925,
1941-04-01,537.167,,1392.336,
1941-05-01,388.161,,1039.651,
1941-06-01,128.767,,333.763,
1941-07-01,57.548,,154.138,
1941-08-01,27.516,,73.699,
1941-09-01,27.167,,70.416,
1941-10-01,23.645,,63.331,
1941-11-01,13.767,,35.683,
1941-12-01,36.419,,97.546,
1942-01-01,86.355,,231.293,
1942-02-01,50.893,,123.12,
1942-03-01,144.516,,387.072,
1942-04-01,87.8,,227.578,
1942-05-01,91.613,,245.376,
1942-06-01,27.767,,71.971,
1942-07-01,20.935,,56.074,
1942-08-01,24.903,,66.701,
1942-09-01,25.8,,66.874,
1942-10-01,18.839,,50.458,
1942-11-01,6.067,,15.725,
1942-12-01,6.065,,16.243,
1943-01-01,104.452,,279.763,
1943-02-01,774.071,,1872.634,
1943-03-01,801.097,,2145.658,
1943-04-01,721.798,,1870.9,
1943-05-01,390.98,,1047.2,
1943-06-01,204.9,,531.1,
1943-07-01,67.018,,179.5,
1943-08-01,42.003,,112.5,
1943-09-01,42.207,,109.4,
1943-10-01,31.806,,85.19,
1943-11-01,22.533,,58.406,
1943-12-01,26.508,,71.0,
1944-01-01,74.129,,198.547,
1944-02-01,150.0,,375.84,
1944-03-01,182.677,,489.283,
1944-04-01,151.4,,392.429,
1944-05-01,115.161,,308.448,
1944-06-01,42.333,,109.728,
1944-07-01,37.419,,100.224,
1944-08-01,18.387,,49.248,
1944-09-01,24.833,,64.368,
1944-10-01,13.935,,37.325,
1944-11-01,5.767,,14.947,
1944-12-01,26.839,,71.885,
1945-01-01,81.387,,217.987,
1945-02-01,294.786,,713.146,
1945-03-01,154.774,,414.547,
1945-04-01,179.233,,464.573,
1945-05-01,60.452,,161.914,
1945-06-01,39.7,,102.902,
1945-07-01,37.71,,101.002,
1945-08-01,36.774,,98.496,
1945-09-01,27.867,,72.23,
1945-10-01,9.645,,25.834,
1945-11-01,16.0,,41.472,
1945-12-01,23.484,,62.899,
1946-01-01,38.258,,102.47,
1946-02-01,128.75,,311.472,
1946-03-01,196.452,,526.176,
1946-04-01,151.0,,391.392,
1946-05-01,49.774,,133.315,
1946-06-01,70.1,,181.699,
1946-07-01,31.871,,85.363,
1946-08-01,38.419,,102.902,
1946-09-01,40.267,,104.371,
1946-10-01,25.29,,67.738,
1946-11-01,27.733,,71.885,
1946-12-01,19.968,,53.482,
