date,precipitacion_huacataz_mm
1977-01-01,98.3
1977-02-01,122.5
1977-03-01,124.1
1977-04-01,80.4
1977-05-01,44.4
1977-06-01,9.5
1977-07-01,9.4
1977-08-01,15.4
1977-09-01,36.3
1977-10-01,94.1
1977-11-01,90.4
1977-12-01,97.6
1978-01-01,28.1
1978-02-01,68.8
1978-03-01,93.5
1978-04-01,81.7
1978-05-01,75.1
1978-06-01,8.4
1978-07-01,15.2
1978-08-01,3.1
1978-09-01,27.2
1978-10-01,59.9
1978-11-01,89.4
1978-12-01,62.3
1979-01-01,88.0
1979-02-01,102.8
1979-03-01,209.2
1979-04-01,60.9
1979-05-01,25.6
1979-06-01,0.1
1979-07-01,17.1
1979-08-01,31.9
1979-09-01,48.8
1979-10-01,14.2
1979-11-01,33.2
1979-12-01,54.6
1980-01-01,53.0
1980-02-01,48.8
1980-03-01,97.1
1980-04-01,48.2
1980-05-01,10.2
1980-06-01,9.0
1980-07-01,1.3
1980-08-01,8.5
1980-09-01,15.3
1980-10-01,147.6
1980-11-01,201.4
1980-12-01,81.5
1981-01-01,72.3
1981-02-01,222.6
1981-03-01,86.8
1981-04-01,46.3
1981-05-01,25.6
1981-06-01,27.3
1981-07-01,15.4
1981-08-01,9.6
1981-09-01,10.0
1981-10-01,95.3
1981-11-01,101.4
1981-12-01,113.7
1982-01-01,77.0
1982-02-01,101.9
1982-03-01,113.2
1982-04-01,69.1
1982-05-01,32.0
1982-06-01,11.4
1982-07-01,1.4
1982-08-01,0.2
1982-09-01,74.6
1982-10-01,162.8
1982-11-01,99.1
1982-12-01,170.5
1983-01-01,131.3
1983-02-01,51.0
1983-03-01,196.0
1983-04-01,159.3
1983-05-01,33.4
1983-06-01,9.2
1983-07-01,5.9
1983-08-01,3.2
1983-09-01,28.6
1983-10-01,84.3
1983-11-01,76.8
1983-12-01,143.1
1984-01-01,72.2
1984-02-01,332.8
1984-03-01,168.6
1984-04-01,115.2
1984-05-01,85.4
1984-06-01,21.1
1984-07-01,15.6
1984-08-01,29.8
1984-09-01,39.9
1984-10-01,124.6
1984-11-01,92.8
1984-12-01,90.8
1985-01-01,80.9
1985-02-01,48.9
1985-03-01,59.5
1985-04-01,60.3
1985-05-01,43.9
1985-06-01,0.7
1985-07-01,3.0
1985-08-01,23.5
1985-09-01,60.9
1985-10-01,76.4
1985-11-01,58.0
1985-12-01,113.1
1986-01-01,108.9
1986-02-01,89.6
1986-03-01,87.6
1986-04-01,91.2
1986-05-01,28.1
1986-06-01,10.2
1986-07-01,2.5
1986-08-01,30.8
1986-09-01,9.9
1986-10-01,117.6
1986-11-01,73.4
1986-12-01,124.3
1987-01-01,144.4
1987-02-01,95.5
1987-03-01,74.5
1987-04-01,97.3
1987-05-01,32.3
1987-06-01,4.7
1987-07-01,14.1
1987-08-01,26.7
1987-09-01,62.3
1987-10-01,77.0
1987-11-01,86.8
1987-12-01,72.1
