date,caudal_cabeceravallechorunga_m3s,volumen_cabeceravallechorunga_mmc
1965-01-01,1.0,2.68
1965-02-01,8.097,19.59
1965-03-01,1.402,3.76
1965-04-01,0.379,0.98
1965-05-01,0.199,0.53
1965-06-01,0.194,0.5
1965-07-01,0.204,0.55
1965-08-01,0.168,0.45
1965-09-01,0.445,1.15
1965-10-01,0.192,0.51
1965-11-01,0.225,0.58
1965-12-01,0.283,0.76
1966-01-01,0.388,1.04
1966-02-01,0.498,1.2
1966-03-01,0.446,1.19
1966-04-01,0.281,0.73
1966-05-01,0.277,0.74
1966-06-01,0.223,0.58
1966-07-01,0.388,1.04
1966-08-01,0.619,1.66
1966-09-01,0.263,0.68
1966-10-01,0.285,0.76
1966-11-01,0.304,0.79
1966-12-01,0.354,0.95
1967-01-01,3.991,10.69
1967-02-01,11.877,28.73
1967-03-01,7.777,20.83
1967-04-01,1.581,4.1
1967-05-01,0.429,1.15
1967-06-01,0.211,0.55
1967-07-01,0.273,0.73
1967-08-01,0.311,0.83
1967-09-01,0.232,0.6
1967-10-01,0.179,0.48
1967-11-01,0.214,0.55
1967-12-01,0.314,0.84
1968-01-01,3.36,9.0
1968-02-01,2.164,5.42
1968-03-01,0.75,2.01
1968-04-01,0.264,0.68
1968-05-01,0.198,0.53
1968-06-01,0.248,0.64
1968-07-01,0.18,0.48
1968-08-01,0.171,0.46
1968-09-01,0.204,0.53
1968-10-01,0.191,0.51
1968-11-01,0.42,1.09
1968-12-01,0.559,1.5
1969-01-01,0.608,1.63
1969-02-01,0.786,1.9
1969-03-01,1.514,4.06
1969-04-01,0.453,1.17
1969-05-01,0.235,0.63
1969-06-01,0.174,0.45
1969-07-01,0.186,0.5
1969-08-01,0.192,0.51
1969-09-01,0.205,0.53
1969-10-01,0.174,0.47
1969-11-01,0.199,0.52
1969-12-01,0.797,2.13
1970-01-01,6.35,17.01
1970-02-01,2.588,6.26
1970-03-01,0.76,2.04
1970-04-01,0.276,0.72
1970-05-01,0.293,0.78
1970-06-01,0.225,0.58
1970-07-01,0.166,0.44
1970-08-01,0.186,0.5
1970-09-01,0.208,0.54
1970-10-01,0.24,0.64
1970-11-01,0.208,0.54
1970-12-01,0.217,0.58
1971-01-01,1.041,2.79
1971-02-01,0.814,1.97
1971-03-01,0.553,1.48
1971-04-01,0.418,1.08
1971-05-01,0.232,0.62
1971-06-01,0.193,0.5
1971-07-01,0.165,0.44
1971-08-01,0.174,0.47
1971-09-01,0.181,0.47
1971-10-01,0.19,0.51
1971-11-01,0.174,0.45
1971-12-01,1.371,3.67
1972-01-01,9.224,24.71
1972-02-01,8.129,20.37
1972-03-01,7.513,20.12
1972-04-01,1.463,3.79
1972-05-01,0.371,0.99
1972-06-01,0.209,0.54
1972-07-01,0.405,1.08
1972-08-01,0.265,0.71
1972-09-01,0.468,1.21
1972-10-01,0.43,1.15
1972-11-01,0.232,0.6
1972-12-01,0.62,1.66
1973-01-01,3.71,9.94
1973-02-01,4.624,11.19
1973-03-01,5.849,15.67
1973-04-01,1.678,4.35
1973-05-01,0.366,0.98
1973-06-01,0.198,0.51
1973-07-01,0.214,0.57
1973-08-01,0.571,1.53
1973-09-01,0.363,0.94
1973-10-01,0.342,0.92
1973-11-01,0.356,0.92
1973-12-01,0.297,0.8
1974-01-01,9.992,26.76
1974-02-01,3.188,7.71
1974-03-01,1.106,2.96
1974-04-01,0.502,1.3
