date,caudal_diquelosespanoles_m3s,volumen_diquelosespanoles_mmc
1968-09-01,0.547,1.418
1968-10-01,0.583,1.562
1968-11-01,0.927,2.403
1968-12-01,0.616,1.65
1969-01-01,0.768,2.057
1969-02-01,2.053,4.967
1969-03-01,0.717,1.92
1969-04-01,0.751,1.947
1969-05-01,0.603,1.615
1969-06-01,0.608,1.576
1969-07-01,0.7,1.875
1969-08-01,0.798,2.137
1969-09-01,0.618,1.602
1969-10-01,0.594,1.591
1969-11-01,0.556,1.441
1969-12-01,0.732,1.961
1970-01-01,0.935,2.504
1970-02-01,1.412,3.416
1970-03-01,1.193,3.195
1970-04-01,0.69,1.788
1970-05-01,0.573,1.535
1970-06-01,0.536,1.389
1970-07-01,0.576,1.543
1970-08-01,0.621,1.663
1970-09-01,0.583,1.511
1970-10-01,0.564,1.511
1970-11-01,0.574,1.488
1970-12-01,0.602,1.612
1971-01-01,0.834,2.234
1971-02-01,1.272,3.077
1971-03-01,0.962,2.577
1971-04-01,0.672,1.742
1971-05-01,0.599,1.604
1971-06-01,0.636,1.649
1971-07-01,0.621,1.663
1971-08-01,0.626,1.677
1971-09-01,0.602,1.56
1971-10-01,0.615,1.647
1971-11-01,0.564,1.462
1971-12-01,0.588,1.575
1972-01-01,0.834,2.234
1972-02-01,0.879,2.202
1972-03-01,2.361,6.324
1972-04-01,0.912,2.364
1972-05-01,0.817,2.188
1972-06-01,1.182,3.064
1972-07-01,1.23,3.294
1972-08-01,1.139,3.051
1972-09-01,0.935,2.424
1972-10-01,0.504,1.35
1972-11-01,0.291,0.754
1972-12-01,0.319,0.854
1973-01-01,1.539,4.122
1973-02-01,2.407,5.823
1973-03-01,1.936,5.185
1973-04-01,1.537,3.984
1973-05-01,1.637,4.385
1973-06-01,1.604,4.158
1978-02-01,1.193,2.886
1978-03-01,0.868,2.325
1978-04-01,0.952,2.468
1979-06-01,0.709,1.838
1979-07-01,0.709,1.899
1979-08-01,0.709,1.899
1979-09-01,0.709,1.838
1979-10-01,0.765,2.049
1979-11-01,0.758,1.965
1979-12-01,0.769,2.06
1980-01-01,0.771,2.065
1980-02-01,0.769,1.927
1980-03-01,0.852,2.282
1980-04-01,0.796,2.063
1980-05-01,0.664,1.778
1980-06-01,0.664,1.721
1980-07-01,0.664,1.778
1980-08-01,0.664,1.778
1980-09-01,0.664,1.721
1980-10-01,0.664,1.778
1980-11-01,0.664,1.721
1980-12-01,0.645,1.728
1981-01-01,0.731,1.958
1981-02-01,3.575,8.649
1981-03-01,2.823,7.561
1981-04-01,0.853,2.211
1981-05-01,0.766,2.052
1981-06-01,0.742,1.923
1981-07-01,0.773,2.07
1981-08-01,0.73,1.955
1981-09-01,0.73,1.892
1981-10-01,0.743,1.99
1981-11-01,0.72,1.866
1981-12-01,0.68,1.821
1982-01-01,0.917,2.456
1982-02-01,0.629,1.522
1982-03-01,0.753,2.017
1982-04-01,0.665,1.724
1982-05-01,0.604,1.618
1982-06-01,0.604,1.566
1982-07-01,0.683,1.829
1982-08-01,0.656,1.757
1982-09-01,0.706,1.83
1982-10-01,0.748,2.003
1982-11-01,0.758,1.965
1982-12-01,0.727,1.947
1983-01-01,0.665,1.781
1983-02-01,0.674,1.631
1983-03-01,0.558,1.495
1983-04-01,0.588,1.524
1983-05-01,0.582,1.559
1983-06-01,0.571,1.48
1983-07-01,0.542,1.452
1983-08-01,0.529,1.417
1983-09-01,0.514,1.332
1983-10-01,0.475,1.272
1983-11-01,0.47,1.218
1983-12-01,0.47,1.259
1984-01-01,0.748,2.003
1984-04-01,0.776,2.011
1984-05-01,0.715,1.915
1984-06-01,0.72,1.866
1984-07-01,0.686,1.837
1984-08-01,0.665,1.781
1984-09-01,0.614,1.591
1985-07-01,0.63,1.687
1985-08-01,0.63,1.687
1985-09-01,0.64,1.659
1985-10-01,0.585,1.567
1985-11-01,0.615,1.594
1986-01-01,0.852,2.282
1986-05-01,0.617,1.653
1986-06-01,0.553,1.433
1986-07-01,0.717,1.92
1986-08-01,0.663,1.776
1986-09-01,0.628,1.628
1986-10-01,0.551,1.476
1986-11-01,0.544,1.41
1986-12-01,0.606,1.623
1987-01-01,1.156,3.096
1987-02-01,0.706,1.708
1987-03-01,0.696,1.864
1987-04-01,0.665,1.724
1987-05-01,0.571,1.529
1987-06-01,0.518,1.343
1987-07-01,0.58,1.553
1987-08-01,0.591,1.583
1987-09-01,0.543,1.407
1987-10-01,0.583,1.562
1987-11-01,0.473,1.226
1987-12-01,0.495,1.326
1988-01-01,0.753,2.017
1988-03-01,0.561,1.503
1988-04-01,0.697,1.807
1988-05-01,0.63,1.687
1988-06-01,0.564,1.462
1988-07-01,0.548,1.468
1988-08-01,0.54,1.446
1988-09-01,0.533,1.382
1988-10-01,0.436,1.168
1988-11-01,0.431,1.117
1988-12-01,0.425,1.138
1989-01-01,0.244,0.654
1989-02-01,0.571,1.381
1989-03-01,0.62,1.661
1989-04-01,0.703,1.822
1989-05-01,0.58,1.553
1989-06-01,0.52,1.348
1989-07-01,0.555,1.487
1989-08-01,0.576,1.543
1989-09-01,0.566,1.467
1989-10-01,0.536,1.436
1989-11-01,0.514,1.332
1989-12-01,0.507,1.358
