date,caudal_fortaleza_m3s,volumen_fortaleza_mmc
1963-08-01,0.0,0.0
1963-09-01,0.0,0.0
1963-10-01,0.0,0.0
1963-11-01,0.0,0.0
1963-12-01,2.89,7.741
1964-01-01,0.3,0.804
1964-02-01,5.29,13.255
1964-03-01,9.92,26.57
1964-04-01,6.77,17.548
1964-05-01,2.17,5.812
1964-06-01,0.0,0.0
1964-07-01,0.0,0.0
1964-08-01,0.0,0.0
1964-09-01,0.0,0.0
1964-10-01,0.0,0.0
1964-11-01,0.0,0.0
1964-12-01,0.0,0.0
1965-01-01,1.28,3.428
1965-02-01,2.16,5.225
1965-03-01,22.75,60.934
1965-04-01,4.12,10.679
1965-05-01,0.32,0.857
1965-06-01,0.0,0.0
1965-07-01,0.0,0.0
1965-08-01,0.0,0.0
1965-09-01,0.0,0.0
1965-10-01,0.0,0.0
1965-11-01,0.0,0.0
1965-12-01,0.0,0.0
1966-01-01,2.59,6.937
1966-02-01,2.13,5.153
1966-03-01,4.13,11.062
1966-04-01,0.54,1.4
1966-05-01,0.0,0.0
1966-06-01,0.0,0.0
1966-07-01,0.0,0.0
1966-08-01,0.0,0.0
1966-09-01,0.0,0.0
1966-10-01,0.77,2.062
1966-11-01,0.0,0.0
1966-12-01,0.0,0.0
1967-01-01,6.02,16.124
1967-02-01,34.29,82.954
1967-03-01,29.49,78.986
1967-04-01,6.76,17.522
1967-05-01,0.85,2.277
1967-06-01,0.69,1.788
1967-07-01,0.48,1.286
1967-08-01,0.0,0.0
1967-09-01,0.0,0.0
1967-10-01,0.0,0.0
1967-11-01,0.0,0.0
1967-12-01,0.0,0.0
1968-01-01,0.0,0.0
1968-02-01,0.0,0.0
1968-03-01,4.05,10.848
1968-04-01,1.65,4.277
1968-05-01,0.0,0.0
1968-06-01,0.0,0.0
1968-07-01,0.0,0.0
1968-08-01,0.0,0.0
1968-09-01,0.0,0.0
1968-10-01,0.0,0.0
1968-11-01,0.0,0.0
1968-12-01,0.0,0.0
1969-01-01,0.0,0.0
1969-02-01,0.72,1.742
1969-03-01,7.63,20.436
1969-04-01,5.17,13.401
1969-05-01,0.0,0.0
1969-06-01,0.0,0.0
1969-07-01,0.0,0.0
1969-08-01,0.0,0.0
1969-09-01,0.0,0.0
1969-10-01,0.0,0.0
1969-11-01,0.0,0.0
1969-12-01,4.75,12.722
1970-01-01,15.14,40.551
1970-02-01,4.32,10.451
1970-03-01,4.63,12.401
1970-04-01,4.48,11.612
1970-05-01,3.71,9.937
1970-06-01,2.13,5.521
1970-07-01,1.12,3.0
1970-08-01,0.0,0.0
1970-09-01,0.0,0.0
1970-10-01,0.0,0.0
1970-11-01,0.0,0.0
1970-12-01,1.13,3.027
1971-01-01,3.55,9.508
1971-02-01,7.81,18.894
1971-03-01,19.05,51.024
1971-04-01,11.52,29.86
1971-05-01,3.08,8.249
1971-06-01,0.97,2.514
1971-07-01,0.44,1.178
1971-08-01,0.0,0.0
1971-09-01,0.0,0.0
1971-10-01,0.0,0.0
1971-11-01,0.0,0.0
1971-12-01,0.12,0.321
1972-01-01,6.12,16.392
1972-02-01,10.35,25.933
1972-03-01,32.44,86.887
1972-04-01,8.4,21.773
1972-05-01,2.01,5.384
1972-06-01,0.7,1.814
1972-07-01,0.48,1.286
1972-08-01,0.47,1.259
1972-09-01,0.28,0.726
1972-10-01,0.22,0.589
1972-11-01,0.38,0.985
1972-12-01,3.08,8.249
1973-01-01,8.81,23.597
1973-02-01,9.82,23.757
1973-03-01,14.49,38.81
1973-04-01,11.98,31.052
1973-05-01,3.82,10.231
1973-06-01,1.68,4.355
1973-07-01,0.85,2.277
1973-08-01,0.56,1.5
1973-09-01,0.67,1.737
1973-10-01,1.34,3.589
1973-11-01,1.17,3.033
1973-12-01,2.26,6.053
1974-01-01,9.35,25.043
1974-02-01,14.09,34.087
1974-03-01,12.92,34.605
1974-04-01,8.47,21.954
1974-05-01,3.97,10.633
1974-06-01,2.78,7.206
1974-07-01,1.96,5.25
1974-08-01,1.2,3.214
1974-09-01,0.54,1.4
1974-10-01,0.36,0.964
1974-11-01,0.31,0.804
1974-12-01,0.3,0.804
1975-01-01,0.8,2.143
1975-02-01,3.3,7.983
1975-03-01,29.87,80.004
1975-04-01,9.79,25.376
1975-05-01,2.45,6.562
1975-06-01,1.5,3.888
1975-07-01,1.09,2.919
1975-08-01,0.82,2.196
1975-09-01,0.53,1.374
1975-10-01,0.33,0.884
1975-11-01,0.16,0.415
1975-12-01,0.88,2.357
1976-01-01,6.17,16.526
1976-02-01,9.65,24.179
1976-03-01,13.3,35.623
1976-04-01,5.65,14.645
1976-05-01,2.06,5.518
1976-06-01,0.43,1.115
1976-07-01,0.22,0.589
1976-08-01,0.16,0.429
1976-09-01,0.12,0.311
1976-10-01,0.12,0.321
1976-11-01,0.12,0.311
1976-12-01,0.35,0.937
1977-01-01,5.89,15.776
1977-02-01,18.48,44.707
1977-03-01,12.86,34.444
1977-04-01,4.7,12.182
1977-05-01,0.82,2.196
1977-06-01,0.3,0.778
1977-07-01,0.15,0.402
1977-08-01,0.16,0.429
1977-09-01,0.37,0.959
1977-10-01,0.1,0.268
1977-11-01,0.2,0.518
1977-12-01,0.29,0.777
1978-01-01,1.54,4.125
1978-02-01,7.17,17.346
1978-03-01,4.66,12.481
1978-04-01,2.27,5.884
1978-05-01,0.6,1.607
1978-06-01,0.28,0.726
1978-07-01,0.17,0.455
1978-08-01,0.17,0.455
1978-09-01,0.22,0.57
1978-10-01,0.2,0.536
1978-11-01,0.28,0.726
1978-12-01,0.8,2.143
1979-01-01,1.05,2.812
1979-02-01,6.96,16.838
1979-03-01,10.82,28.98
1979-04-01,1.18,3.059
1979-05-01,0.32,0.857
1979-06-01,0.14,0.363
1979-07-01,0.11,0.295
1979-08-01,0.09,0.241
1979-09-01,0.08,0.207
1979-10-01,0.09,0.241
1979-11-01,0.09,0.233
1979-12-01,0.32,0.857
1980-01-01,3.79,10.151
1980-02-01,4.31,10.799
1980-03-01,2.96,7.928
1980-04-01,2.09,5.417
1980-05-01,0.4,1.071
1980-06-01,0.24,0.622
1980-07-01,0.07,0.187
1980-08-01,0.04,0.107
1980-09-01,0.03,0.078
1980-10-01,2.62,7.017
1980-11-01,0.84,2.177
1980-12-01,1.37,3.669
1981-01-01,4.71,12.615
1981-02-01,27.14,65.657
1981-03-01,34.23,91.682
1981-04-01,3.68,9.539
1981-05-01,0.69,1.848
1981-06-01,0.43,1.115
1981-07-01,0.17,0.455
1981-08-01,0.1,0.268
1981-09-01,0.11,0.285
1981-10-01,0.09,0.241
1981-11-01,0.09,0.233
1981-12-01,0.24,0.643
1982-01-01,1.53,4.098
1982-02-01,7.31,17.684
1982-03-01,2.0,5.357
1982-04-01,0.85,2.203
1982-05-01,0.42,1.125
1982-06-01,0.21,0.544
1982-07-01,0.1,0.268
1982-08-01,0.07,0.187
1982-09-01,0.07,0.181
1982-10-01,0.06,0.161
1982-11-01,0.13,0.337
1982-12-01,3.65,9.776
1983-01-01,10.86,29.087
1983-02-01,15.07,36.457
1983-03-01,23.26,62.3
1983-04-01,11.79,30.56
1983-05-01,1.56,4.178
1983-06-01,0.33,0.855
1983-07-01,0.27,0.723
1983-08-01,0.18,0.482
1983-09-01,0.12,0.311
1983-10-01,0.09,0.241
1983-11-01,0.08,0.207
1983-12-01,0.38,1.018
1984-01-01,3.94,10.553
1984-02-01,45.41,113.779
1984-03-01,34.65,92.807
1984-04-01,10.44,27.06
1984-05-01,2.55,6.83
1984-06-01,1.19,3.084
1984-07-01,0.5,1.339
1984-08-01,0.19,0.509
