date,precipitacion_recuay_mm,precipitacion_cotaparaco_mm,precipitacion_pira_mm,precipitacion_cajamarquilla_mm,precipitacion_aija_mm,precipitacion_malvas_mm,precipitacion_buena_vista_mm,precipitacion_areal_huarmey_mm
1989-01-01,104.4,65.8,112.6,89.8,82.2,88.7,5.2,73.2
1989-02-01,126.7,85.9,142.1,98.3,104.7,119.2,7.4,91.9
1989-03-01,118.1,99.8,138.5,121.2,116.0,117.5,13.9,103.1
1989-04-01,56.6,42.6,57.3,46.5,52.0,49.5,2.0,43.0
1989-05-01,15.4,8.7,17.1,13.1,12.2,12.8,0.2,10.4
1989-06-01,4.0,1.6,3.4,2.0,2.6,3.3,0.0,2.1
1989-07-01,3.1,0.8,2.2,1.2,1.5,2.0,0.0,1.2
1989-08-01,6.3,2.4,6.5,3.5,4.3,5.4,0.0,3.5
1989-09-01,20.7,11.2,25.1,16.9,16.4,19.1,0.3,14.1
1989-10-01,51.9,35.4,71.2,42.2,49.3,51.3,0.7,39.9
1989-11-01,72.8,45.4,76.9,58.5,44.3,64.8,1.1,47.2
1989-12-01,84.1,57.5,77.9,67.4,75.0,87.8,2.0,64.4
1990-01-01,81.0,55.1,99.2,70.9,69.2,81.2,4.0,61.9
1990-02-01,110.9,72.6,114.4,85.3,82.8,103.2,7.7,77.3
1990-03-01,118.2,88.5,115.3,98.6,105.0,107.0,10.6,90.6
1990-04-01,51.3,42.1,56.6,42.8,44.2,39.8,1.7,38.3
1990-05-01,14.0,9.2,15.3,10.1,10.5,10.9,0.2,9.1
1990-06-01,4.1,1.5,3.2,2.1,2.0,2.8,0.0,1.9
1990-07-01,2.5,0.7,2.2,1.0,1.2,1.6,0.0,1.0
1990-08-01,6.6,1.9,6.6,3.0,3.5,4.6,0.0,2.9
1990-09-01,19.5,10.9,18.4,13.7,15.0,17.8,0.2,12.8
1990-10-01,44.3,29.9,56.7,37.3,40.4,40.7,0.7,33.2
1990-11-01,62.4,32.9,76.4,46.6,43.8,55.2,0.9,39.6
1990-12-01,79.0,53.8,74.7,63.8,65.0,72.2,2.0,57.1
1991-01-01,79.1,50.2,80.0,60.2,66.9,74.6,3.8,56.6
1991-02-01,102.3,71.8,122.2,80.3,106.4,98.7,6.5,81.0
1991-03-01,100.7,87.2,119.0,100.5,104.4,105.9,9.3,90.1
1991-04-01,40.7,32.9,55.5,39.7,37.3,44.4,1.6,34.5
1991-05-01,12.1,7.3,14.5,8.4,10.1,11.7,0.2,8.4
1991-06-01,3.9,1.1,3.0,1.9,2.1,2.6,0.0,1.7
1991-07-01,2.7,0.7,2.2,1.0,1.2,1.6,0.0,1.0
1991-08-01,5.8,1.8,5.5,3.5,2.8,4.2,0.0,2.7
1991-09-01,17.2,10.0,19.8,11.5,13.0,16.4,0.2,11.4
1991-10-01,47.0,26.8,48.9,39.9,38.5,33.6,0.6,31.1
1991-11-01,53.8,34.7,58.0,41.4,46.9,52.2,0.8,39.2
1991-12-01,67.4,44.1,70.6,63.0,60.5,56.8,1.8,50.3
1992-01-01,85.2,52.2,68.3,55.8,66.9,61.9,3.4,53.7
1992-02-01,91.9,59.9,98.3,54.8,72.4,83.1,5.7,61.2
1992-03-01,112.4,67.1,105.5,86.7,101.2,85.1,9.9,77.4
1992-04-01,41.8,28.4,48.6,35.8,35.6,39.8,1.4,31.3
1992-05-01,11.8,6.8,14.7,7.5,10.4,8.5,0.2,7.5
1992-06-01,3.4,1.2,2.8,1.6,1.8,2.1,0.0,1.5
1992-07-01,2.4,0.6,2.0,0.9,1.2,1.4,0.0,0.9
1992-08-01,5.1,1.8,5.1,2.7,3.0,4.0,0.0,2.5
1992-09-01,16.8,8.2,17.5,12.4,13.2,15.0,0.2,10.8
1992-10-01,41.7,25.4,45.4,31.6,32.7,36.4,0.6,28.2
1992-11-01,48.0,34.3,51.4,34.1,44.5,46.9,0.9,36.0
1992-12-01,65.7,41.4,62.4,50.1,50.1,61.4,1.5,45.3
1993-01-01,105.7,73.1,124.7,86.2,88.2,103.9,5.3,78.9
1993-02-01,129.1,96.8,156.4,101.7,108.8,124.2,9.6,97.5
1993-03-01,158.3,131.7,181.6,131.6,140.8,137.4,14.0,123.3
1993-04-01,63.5,49.1,68.1,57.0,65.3,60.9,2.3,52.4
1993-05-01,19.2,9.8,20.7,12.9,13.9,14.8,0.2,11.5
1993-06-01,5.2,2.0,4.9,2.9,2.7,3.7,0.0,2.5
1993-07-01,4.2,0.9,2.7,1.3,1.4,2.0,0.0,1.2
1993-08-01,8.4,2.7,8.8,4.5,4.4,5.2,0.0,3.7
1993-09-01,22.4,14.8,30.2,17.0,16.6,24.2,0.3,16.1
1993-10-01,71.2,32.7,68.9,47.8,51.6,54.2,0.9,41.6
1993-11-01,72.9,45.1,87.7,61.1,66.9,62.3,1.1,52.8
1993-12-01,107.1,66.1,98.2,87.0,83.0,96.9,2.3,74.3
1994-01-01,110.0,71.4,98.8,81.2,82.9,94.4,4.0,74.1
1994-02-01,118.5,91.1,110.2,87.0,85.6,107.7,8.7,84.0
1994-03-01,144.4,98.9,160.3,99.0,101.7,124.2,12.1,96.0
1994-04-01,54.1,33.3,60.4,41.0,51.1,52.8,1.7,40.0
1994-05-01,14.6,7.7,16.9,11.6,10.6,13.7,0.2,9.7
1994-06-01,3.9,1.5,3.5,2.0,2.2,3.4,0.0,2.0
1994-07-01,2.8,0.8,2.4,1.1,1.5,1.8,0.0,1.2
1994-08-01,6.6,2.2,5.2,3.1,4.3,5.3,0.0,3.3
1994-09-01,21.9,11.1,28.7,16.1,15.9,16.8,0.2,13.4
1994-10-01,54.9,29.4,53.5,37.9,39.2,53.2,0.8,35.4
1994-11-01,66.5,42.6,73.0,45.6,59.2,59.6,1.0,46.6
1994-12-01,79.9,50.0,77.5,69.4,79.1,65.6,2.0,59.5
1995-01-01,83.0,55.8,89.0,65.0,73.4,73.6,4.1,60.4
1995-02-01,103.7,76.4,110.2,84.9,100.6,106.1,7.0,83.2
1995-03-01,120.5,96.6,114.0,107.6,103.4,120.9,10.2,96.7
1995-04-01,43.0,32.2,56.6,43.3,41.7,50.0,1.5,37.3
1995-05-01,14.0,7.0,14.9,10.0,9.9,11.8,0.2,8.6
1995-06-01,3.7,1.5,3.2,2.0,2.5,2.2,0.0,1.8
1995-07-01,2.9,0.7,2.3,1.0,1.3,1.6,0.0,1.0
1995-08-01,6.5,2.1,5.7,3.1,3.5,4.5,0.0,2.9
1995-09-01,19.8,11.7,22.9,13.3,16.3,16.3,0.2,12.9
1995-10-01,46.1,24.6,54.4,37.1,45.1,44.6,0.6,33.8
1995-11-01,65.8,29.0,68.5,48.2,43.2,57.9,1.0,39.4
1995-12-01,72.7,52.3,95.5,60.8,64.9,66.0,1.7,54.8
1996-01-01,98.6,57.1,99.3,71.0,80.1,85.5,4.6,66.1
1996-02-01,105.5,80.4,115.7,90.7,103.2,114.3,7.4,87.6
1996-03-01,135.0,106.7,143.5,125.3,108.2,110.0,9.8,101.8
1996-04-01,59.4,41.1,59.3,45.8,43.2,60.1,1.8,42.4
1996-05-01,15.0,8.7,17.2,10.7,10.5,13.4,0.2,9.6
1996-06-01,4.5,1.7,3.6,1.9,2.3,2.8,0.0,1.9
1996-07-01,2.5,0.8,2.3,1.1,1.3,1.5,0.0,1.0
1996-08-01,6.8,1.9,5.6,3.3,4.3,4.5,0.0,3.1
1996-09-01,20.1,10.4,17.7,14.4,15.5,18.8,0.3,13.1
1996-10-01,57.7,30.0,53.9,47.1,42.2,46.0,0.7,36.7
1996-11-01,66.2,36.8,67.8,45.8,51.6,53.6,1.0,42.1
1996-12-01,80.1,51.5,95.6,49.8,73.1,79.6,1.6,57.2
1997-01-01,112.9,74.6,109.9,86.9,88.3,119.2,5.7,82.5
1997-02-01,152.1,109.2,143.3,113.1,130.7,122.0,10.6,108.1
1997-03-01,155.4,117.3,184.3,141.6,140.5,167.5,13.1,127.6
1997-04-01,69.9,51.4,73.0,57.7,53.7,67.7,2.3,51.6
1997-05-01,17.9,11.2,19.6,11.8,12.4,16.9,0.2,11.7
1997-06-01,5.9,1.5,5.3,2.6,2.9,3.4,0.0,2.3
1997-07-01,3.6,1.0,3.0,1.4,1.7,2.1,0.0,1.4
1997-08-01,7.3,2.4,8.3,4.4,4.7,5.8,0.0,3.8
1997-09-01,24.6,12.5,28.8,16.7,20.4,19.4,0.4,15.5
1997-10-01,69.0,39.2,80.1,55.6,57.0,49.2,0.8,45.1
1997-11-01,77.7,46.9,92.9,56.7,65.9,66.0,1.3,52.9
1997-12-01,88.5,61.2,95.6,73.2,91.5,84.0,2.9,69.9
1998-01-01,171.8,111.2,164.3,139.3,131.6,150.3,9.1,119.5
1998-02-01,195.0,160.4,211.7,167.6,204.5,182.9,117.4,173.1
1998-03-01,238.4,164.4,260.8,209.9,216.3,190.8,134.2,188.7
1998-04-01,93.0,69.4,111.8,81.2,75.8,92.5,23.6,73.4
1998-05-01,27.8,16.0,31.6,19.6,20.0,19.9,0.4,16.9
1998-06-01,7.5,2.7,6.0,3.4,4.5,5.1,0.0,3.5
1998-07-01,5.2,1.3,4.5,1.9,2.5,2.9,0.0,1.9
1998-08-01,11.8,3.9,10.7,6.7,6.3,8.1,0.0,5.5
1998-09-01,40.8,19.2,43.7,22.7,28.7,34.2,0.5,23.4
1998-10-01,102.7,52.4,117.6,82.7,72.9,79.1,1.4,63.8
1998-11-01,131.2,63.8,122.7,83.8,82.5,92.7,1.7,72.0
1998-12-01,133.2,93.8,155.4,127.1,110.6,139.5,3.3,104.8
1999-01-01,119.6,83.8,116.6,98.7,101.5,112.4,5.6,89.1
1999-02-01,170.8,101.3,156.0,116.0,124.3,132.7,11.4,107.3
1999-03-01,182.5,119.3,168.3,146.7,143.0,166.5,15.1,129.7
1999-04-01,60.6,57.0,88.5,55.3,59.8,66.7,2.4,53.8
1999-05-01,20.3,12.4,21.2,12.8,13.0,15.7,0.3,12.1
1999-06-01,6.1,1.8,4.9,2.7,3.3,4.4,0.0,2.7
1999-07-01,3.6,1.1,3.2,1.7,1.9,2.1,0.0,1.5
1999-08-01,9.6,3.0,8.4,4.8,5.4,6.6,0.0,4.4
1999-09-01,26.2,13.9,32.1,17.5,21.0,22.4,0.3,16.7
1999-10-01,75.7,40.3,77.1,45.2,57.8,62.7,1.1,46.2
1999-11-01,82.5,49.2,94.0,70.1,66.6,74.3,1.4,58.0
1999-12-01,104.6,65.8,112.5,89.2,80.1,94.9,2.3,73.5
2000-01-01,113.2,60.1,105.3,84.9,97.0,92.5,4.5,75.2
2000-02-01,141.3,81.2,115.5,108.7,107.4,110.5,9.5,91.9
2000-03-01,143.8,102.7,139.3,130.2,135.5,135.3,14.7,114.1
2000-04-01,54.2,38.3,62.9,49.8,54.1,55.0,2.1,44.3
2000-05-01,15.0,10.3,18.4,12.8,12.9,14.9,0.2,11.4
2000-06-01,4.8,1.7,4.6,2.3,2.8,3.1,0.0,2.2
2000-07-01,3.1,1.0,2.6,1.1,1.6,1.8,0.0,1.2
2000-08-01,7.2,2.3,5.9,3.7,3.4,4.5,0.0,3.1
2000-09-01,24.3,12.2,23.3,16.1,17.6,18.1,0.3,14.3
2000-10-01,63.3,33.6,66.2,44.4,39.3,50.3,0.7,37.2
2000-11-01,67.0,40.7,90.8,56.3,55.1,65.4,1.3,48.4
2000-12-01,95.3,59.0,90.4,74.6,77.5,86.6,2.2,66.6
