date,caudal_huamba_m3s,volumen_huamba_mmc,caudal_raipa_m3s,volumen_raipa_mmc,caudal_tutuma_m3s,volumen_tutuma_mmc,caudal_quillo_m3s,volumen_quillo_mmc
1973-01-01,,,,,10.870967741935484,29.117,2.135483870967742,5.72
1973-02-01,,,,,10.071428571428571,24.365,0.32142857142857134,0.778
1973-03-01,,,,,18.35483870967742,49.162,2.2225806451612904,5.953
1973-04-01,,,,,14.5,37.584,1.7533333333333327,4.545
1973-05-01,,,,,3.467741935483871,9.288,0.42258064516129035,1.132
1973-06-01,,,,,1.0866666666666667,2.817,0.08666666666666667,0.225
1973-07-01,,,,,0.0,0.0,0.0,0.0
1973-08-01,0.0,0.0,,,0.20645161290322583,0.553,0.09806451612903228,0.263
1973-09-01,0.0,0.0,,,0.8926666666666665,2.314,0.1662666666666667,0.431
1973-10-01,0.0,0.0,,,4.8829032258064515,13.078,0.4135483870967742,1.108
1973-11-01,0.0,0.0,,,4.766666666666667,12.355,0.426,1.104
1973-12-01,9.452,25.316,,,11.338709677419354,30.37,0.7096774193548386,1.901
1974-01-01,21.829,58.467,,,17.20967741935484,46.094,3.970967741935484,10.636
1974-02-01,29.179,70.59,,,16.821428571428573,40.694,4.410714285714286,10.67
1974-03-01,12.59,33.721,,,12.290322580645162,32.918,3.396774193548387,9.098
1974-04-01,3.667,9.505,,,4.65,12.053,1.4533333333333327,3.767
1974-05-01,0.262,0.702,,,0.9935483870967744,2.661,0.759677419354839,2.035
1974-06-01,0.636,1.649,,,0.74,1.918,0.599,1.553
1974-07-01,0.615,1.647,,,0.8967741935483874,2.402,0.6438709677419355,1.725
1974-08-01,0.24,0.643,,,0.6935483870967746,1.858,0.5258064516129034,1.408
1974-09-01,0.255,0.661,,,0.5666666666666668,1.469,0.295,0.765
1974-10-01,0.161,0.431,,,0.3903225806451617,1.045,0.18870967741935474,0.505
1974-11-01,0.039,0.101,,,0.25300000000000006,0.656,0.06913333333333334,0.179
1974-12-01,0.025,0.067,,,0.10612903225806448,0.284,0.02516129032258066,0.067
1975-01-01,5.664,15.17,,,5.036193548387097,13.489,0.5725806451612904,1.534
1975-02-01,7.096,17.167,,,9.575,23.164,1.4892857142857143,3.603
1975-03-01,60.387,161.741,,,32.193548387096776,86.227,8.193548387096774,21.946
1975-04-01,20.233,52.444,,,14.5,37.584,2.65,6.869
1975-05-01,9.094,24.357,,,9.919354838709678,26.568,3.8548387096774195,10.325
1975-06-01,4.917,12.745,,,4.266666666666667,11.059,3.109677419354839,8.06
1975-07-01,1.935,5.183,,,1.7516129032258065,4.692,1.7129032258064512,4.588
1975-08-01,1.035,2.772,,,1.038709677419355,2.782,1.011290322580645,2.709
1975-09-01,0.433,1.122,,,0.83,2.151,0.3183333333333333,0.825
1975-10-01,0.398,1.066,,,0.5661935483870968,1.516,0.5806451612903225,1.555
1975-11-01,0.417,1.081,,,0.48200000000000004,1.249,0.17,0.441
1975-12-01,0.219,0.587,,,0.584516129032258,1.566,0.1,0.268
1976-01-01,5.99,16.044,,,8.119354838709677,21.747,1.2419354838709677,3.326
1976-02-01,9.483,23.761,,,15.448275862068966,38.707,4.586206896551724,11.491
1976-03-01,25.032,67.046,,,28.06451612903226,75.168,9.829032258064517,26.326
1976-04-01,14.05,36.418,,,20.866666666666667,54.086,4.133333333333334,10.714
1976-05-01,2.5,6.696,,,3.838709677419355,10.282,1.7419354838709677,4.666
1976-06-01,1.847,4.787,,,4.246666666666667,11.007,0.8833333333333331,2.29
1976-07-01,1.6,4.285,,,2.935483870967742,7.862,0.6935483870967738,1.858
1976-08-01,1.129,3.024,,,2.354838709677418,6.307,0.2,0.536
1976-09-01,1.203,3.118,,,2.2233333333333336,5.763,0.2,0.518
1976-10-01,0.671,1.797,,,1.3354838709677412,3.577,0.2,0.536
1976-11-01,0.557,1.444,,,1.016666666666667,2.635,0.2,0.518
1976-12-01,0.5,1.339,,,0.8032258064516128,2.151,0.2,0.536
1977-01-01,1.784,4.778,,,3.9935483870967747,10.696,0.6032258064516128,1.616
1977-02-01,19.068,46.129,,,21.875,52.92,7.710714285714286,18.654
1977-03-01,25.226,67.565,,,26.70967741935484,71.539,6.758064516129032,18.101
1977-04-01,15.117,39.183,,,17.666666666666668,45.792,4.383333333333334,11.362
1977-05-01,3.387,9.072,,,4.103225806451612,10.99,1.6258064516129025,4.355
1977-06-01,1.023,2.652,,,1.6160000000000008,4.189,0.71,1.84
1977-07-01,0.444,1.189,,,1.0519354838709678,2.818,0.41741935483870973,1.118
1977-08-01,0.199,0.533,,,0.8655161290322579,2.318,0.3310645161290322,0.887
1977-09-01,0.1,0.259,,,0.42233333333333334,1.095,0.32533333333333314,0.843
1977-10-01,0.0,0.0,,,0.4212903225806451,1.128,0.23451612903225819,0.628
1977-11-01,0.09,0.233,,,0.5077999999999999,1.316,0.20516666666666664,0.532
1977-12-01,0.502,1.345,,,1.9855806451612898,5.318,0.22087096774193563,0.592
1978-01-01,0.505,1.353,,,2.1554838709677417,5.773,0.6348387096774196,1.7
1978-02-01,3.42,8.274,,,7.615714285714287,18.424,2.0805,5.033
1978-03-01,3.729,9.988,,,8.324838709677417,22.297,1.6632258064516128,4.455
1978-04-01,1.993,5.166,,,5.1325,13.303,0.9400666666666667,2.437
