date,caudal_rio_huaura_alco_sayan_m3s,volumen_rio_huaura_alco_sayan_mmc,caudal_natural_rio_huaura_alco_sayan_m3s,volumen_natural_rio_huaura_alco_sayan_mmc,caudal_rio_chico_m3s,volumen_rio_chico_mmc,caudal_rio_pativilca_yanapampa_m3s,volumen_rio_pativilca_yanapampa_mmc,caudal_rio_chancay_huaral_santo_domingo_m3s,volumen_rio_chancay_huaral_santo_domingo_mmc,caudal_laguna_surasaca_m3s,volumen_laguna_surasaca_mmc
1911-01-01,,,,,,,,,,,,
1911-02-01,,,,,,,,,,,,
1911-03-01,,,,,,,,,,,,
1911-04-01,,,,,,,,,,,,
1911-05-01,,,,,,,,,,,,
1911-06-01,,,,,,,,,,,,
1911-07-01,,,,,,,,,,,,
1911-08-01,,,,,,,,,,,,
1911-09-01,12.8,33.1776,12.8,33.1776,,,,,,,,
1911-10-01,17.9,47.9434,17.9,47.9434,,,,,,,,
1911-11-01,23.0,59.616,23.0,59.616,,,,,,,,
1911-12-01,24.1,64.5494,24.1,64.5494,,,,,,,,
1912-01-01,27.1,72.5846,27.1,72.5846,,,,,,,,
1912-02-01,33.0,82.6848,33.0,82.6848,,,,,,,,
1912-03-01,39.4,105.529,39.4,105.529,,,,,,,,
1912-04-01,29.5,76.464,29.5,76.464,,,,,,,,
1912-05-01,18.6,49.8182,18.6,49.8182,,,,,,,,
1912-06-01,14.0,36.288,14.0,36.288,,,,,,,,
1912-07-01,13.7,36.6941,13.7,36.6941,,,,,,,,
1912-08-01,13.3,35.6227,13.3,35.6227,,,,,,,,
1912-09-01,12.7,32.9184,12.7,32.9184,,,,,,,,
1912-10-01,15.3,40.9795,15.3,40.9795,,,,,,,,
1912-11-01,18.1,46.9152,18.1,46.9152,,,,,,,,
1912-12-01,24.3,65.0851,24.3,65.0851,,,,,,,,
1913-01-01,46.4,124.2778,46.4,124.2778,,,,,,,,
1913-02-01,60.2,145.6358,60.2,145.6358,,,,,,,,
1913-03-01,87.2,233.5565,87.2,233.5565,,,,,,,,
1913-04-01,22.7,58.8384,22.7,58.8384,,,,,,,,
