mes,antacocha_puquiales,antacocha_qmarcapunku,antacocha_qranraucro,antacocha_qtangra,antacocha_qdachiriac,antacocha_rsipchoc,antacocha_riosanta,antacocha_lgsllacshaytuto,san_idelfonso_filtraciones,san_idelfonso_lagqueshque,san_idelfonso_lagquerococha,san_idelfonso_manantiales,san_idelfonso_qdachaupis,san_idelfonso_qdayacshahuanca,san_idelfonso_rionegro,san_idelfonso_riopachacoto,san_idelfonso_riopocrac,san_idelfonso_rioshiqui,san_idelfonso_rioyanayacu,rajucolta_qdapariac,olleros_lagshacsha,olleros_puquialoncor(olleros),olleros_qdamashuan,olleros_qdachachipucro,olleros_qdachucruocsha,olleros_qdahuaracayoc(olleros),olleros_qdalloclla,olleros_qdapumpuyoc
8,0.093,0.128,0.668,0.481,0.226,0.616,28.034,0.07,0.04,1.533,3.46,0.525,0.663,0.31,11.82,0.123,0.49,1.0,13.31,17.688,0.114,0.058,2.496,0.052,0.06,0.328,0.239,0.662
9,0.223,0.303,1.539,1.208,0.504,1.421,75.87,0.164,0.107,3.427,7.402,1.706,1.645,0.953,17.824,0.328,1.096,3.084,33.152,25.321,0.176,0.094,3.984,0.099,0.108,0.633,0.465,0.987
10,0.205,0.287,1.486,1.11,0.454,1.304,74.396,0.158,0.088,2.828,7.926,1.807,1.374,0.802,22.453,0.287,0.898,3.209,30.107,33.909,0.222,0.114,4.885,0.107,0.122,0.647,0.453,1.282
11,0.285,0.333,1.63,1.391,0.557,1.552,110.695,0.176,0.134,4.027,9.717,3.101,2.061,1.215,24.524,0.416,1.286,5.337,40.524,35.563,0.241,0.126,5.401,0.132,0.145,0.786,0.569,1.363
12,0.533,0.551,2.725,1.712,0.911,2.56,213.404,0.293,0.212,6.131,12.49,6.83,3.167,1.918,35.645,0.664,2.014,11.666,57.186,65.293,0.421,0.215,9.581,0.233,0.256,1.293,0.965,2.43
1,0.687,1.03,4.876,3.843,1.397,4.011,276.451,0.553,0.296,7.573,15.895,8.126,4.063,2.49,39.17,0.83,2.569,13.781,71.682,55.8,0.384,0.204,8.862,0.233,0.252,1.382,1.054,2.158
2,0.774,1.03,5.443,3.877,1.42,4.179,298.457,0.561,0.285,7.236,13.193,9.366,3.68,2.451,34.567,0.824,2.418,15.492,63.949,52.798,0.36,0.191,8.549,0.243,0.257,1.331,1.079,2.019
3,0.386,0.457,2.343,1.823,0.738,2.087,185.1,0.292,0.16,6.137,9.998,5.853,2.264,1.366,35.947,0.492,1.538,11.215,50.287,58.316,0.64,0.307,9.427,0.146,0.16,0.877,0.674,3.256
4,0.089,0.126,0.686,0.464,0.203,0.567,66.267,0.114,0.037,2.809,3.438,2.247,1.106,0.303,19.027,0.129,0.423,5.045,20.125,34.147,0.466,0.215,5.515,0.043,0.049,0.279,0.196,2.289
5,0.015,0.011,0.081,0.041,0.017,0.051,41.885,0.054,0.003,1.76,1.497,1.803,0.084,0.028,13.011,0.133,0.038,4.214,10.731,23.901,0.407,0.184,4.03,0.006,0.008,0.045,0.022,1.937
6,0.01,0.003,0.036,0.011,0.004,0.012,39.447,0.047,0.001,1.628,0.979,1.727,0.029,0.015,11.07,0.015,0.012,4.04,9.054,20.609,0.378,0.171,3.579,0.001,0.001,0.011,0.004,1.782
7,0.285,0.367,1.857,1.376,0.554,1.581,124.454,0.217,0.117,4.002,7.478,3.849,1.733,1.019,23.644,0.365,1.099,7.045,35.112,37.935,0.357,0.175,5.976,0.111,0.122,0.654,0.492,1.873
