date,volumen_rio_ica_achirana_mmc,volumen_sistema_choclococha_achirana_mmc,dias_con_dato_rio_ica,dias_con_dato_choclococha,dias_calendario_mes
1922-01-01,88.9246,,31,0,31
1922-02-01,181.129,,28,0,28
1922-03-01,202.7506,,31,0,31
1922-04-01,112.1567,,30,0,30
1922-05-01,17.3915,,31,0,31
1922-06-01,18.9829,,30,0,30
1922-07-01,2.2127,,31,0,31
1922-08-01,1.0135,,31,0,31
1922-09-01,0.61,,30,0,30
1922-10-01,,,0,0,31
1922-11-01,,,0,0,30
1922-12-01,23.0939,,31,0,31
1923-01-01,100.0771,,31,0,31
1923-02-01,223.6291,,28,0,28
1923-03-01,139.4263,,31,0,31
1923-04-01,65.0506,,30,0,30
1923-05-01,18.1699,,31,0,31
1923-06-01,5.0596,,30,0,30
1923-07-01,2.1652,,31,0,31
1923-08-01,0.489,,31,0,31
1923-09-01,0.1642,,30,0,30
1923-10-01,,,0,0,31
1923-11-01,,,0,0,30
1923-12-01,33.1379,,31,0,31
1924-01-01,16.9024,,31,0,31
1924-02-01,41.0478,,29,0,29
1924-03-01,147.8676,,31,0,31
1924-04-01,75.9551,,30,0,30
1924-05-01,7.7224,,31,0,31
1924-06-01,1.9837,,30,0,30
1924-07-01,2.0943,,31,0,31
1924-08-01,1.2372,,31,0,31
1924-09-01,0.6532,,30,0,30
1924-10-01,1.3841,,31,0,31
1924-11-01,0.47,,30,0,30
1924-12-01,1.5725,,31,0,31
1925-01-01,36.0305,,31,0,31
1925-02-01,131.4222,,28,0,28
1925-03-01,174.5556,,31,0,31
1925-04-01,78.9852,,30,0,30
1925-05-01,41.0426,,31,0,31
1925-06-01,28.3332,,30,0,30
1925-07-01,9.5265,,31,0,31
1925-08-01,,,0,0,31
1925-09-01,1.9647,,30,0,30
1925-10-01,,,0,0,31
1925-11-01,4.9118,,30,0,30
1925-12-01,19.9204,,31,0,31
1926-01-01,81.4052,,31,0,31
1926-02-01,87.2346,,28,0,28
1926-03-01,100.2741,,31,0,31
1926-04-01,108.3283,,30,0,30
1926-05-01,11.899,,31,0,31
1926-06-01,7.204,,30,0,30
1926-07-01,6.3625,,31,0,31
1926-08-01,4.32,,31,0,31
1926-09-01,1.4187,,30,0,30
1926-10-01,,,0,0,31
1926-11-01,,,0,0,30
1926-12-01,24.1695,,31,0,31
1927-01-01,9.3519,,31,0,31
1927-02-01,74.0051,,28,0,28
1927-03-01,153.4982,,31,0,31
1927-04-01,41.1273,,30,0,30
1927-05-01,11.4558,,31,0,31
1927-06-01,3.6841,,30,0,30
1927-07-01,0.8407,,31,0,31
1927-08-01,,,0,0,31
1927-09-01,0.5253,,30,0,30
1927-10-01,,,0,0,31
1927-11-01,,,0,0,30
1927-12-01,44.5928,,31,0,31
1928-01-01,27.6264,,31,0,31
1928-02-01,50.2632,,29,0,29
1928-03-01,122.8781,,31,0,31
1928-04-01,71.3033,,30,0,30
1928-05-01,16.0557,,31,0,31
1928-06-01,5.7681,,30,0,30
1928-07-01,2.8944,,31,0,31
1928-08-01,,,0,0,31
1928-09-01,0.6186,,30,0,30
1928-10-01,,,0,0,31
1928-11-01,,,0,0,30
1928-12-01,14.0927,,31,0,31
1929-01-01,18.7661,,31,0,31
1929-02-01,65.2208,,28,0,28
1929-03-01,172.6531,,31,0,31
1929-04-01,34.4019,,30,0,30
1929-05-01,30.7999,,31,0,31
1929-06-01,5.616,,30,0,30
1929-07-01,2.3976,,31,0,31
1929-08-01,,,0,0,31
1929-09-01,,,0,0,30
1929-10-01,,,0,0,31
1929-11-01,,,0,0,30
1929-12-01,2.0736,,31,0,31
1930-01-01,39.2463,,31,0,31
1930-02-01,105.3994,,28,0,28
1930-03-01,,,0,0,31
1930-04-01,,,0,0,30
1930-05-01,,,0,0,31
1930-06-01,,,0,0,30
1930-07-01,,,0,0,31
1930-08-01,,,0,0,31
1930-09-01,,,0,0,30
1930-10-01,,,0,0,31
1930-11-01,,,0,0,30
1930-12-01,,,0,0,31
1931-01-01,19.0788,,31,0,31
1931-02-01,15.2729,,28,0,28
1931-03-01,16.6838,,31,0,31
1931-04-01,9.2275,,30,0,30
1931-05-01,0.9513,,31,0,31
1931-06-01,,,0,0,30
1931-07-01,,,0,0,31
1931-08-01,,,0,0,31
1931-09-01,,,0,0,30
1931-10-01,,,0,0,31
1931-11-01,,,0,0,30
1931-12-01,,,0,0,31
1932-01-01,51.4944,,31,0,31
1932-02-01,150.336,,29,0,29
1932-03-01,54.7344,,31,0,31
1932-04-01,13.8931,,30,0,30
1932-05-01,1.3392,,31,0,31
1932-06-01,1.296,,30,0,30
1932-07-01,0.9547,,31,0,31
1932-08-01,0.6739,,31,0,31
1932-09-01,0.5184,,30,0,30
1932-10-01,0.5357,,31,0,31
1932-11-01,0.3067,,30,0,30
1932-12-01,5.089,,31,0,31
1933-01-01,15.336,,31,0,31
1933-02-01,62.2944,,28,0,28
1933-03-01,364.608,,31,0,31
1933-04-01,97.632,,30,0,30
1933-05-01,5.9011,,31,0,31
1933-06-01,1.4083,,30,0,30
1933-07-01,1.4256,,31,0,31
1933-08-01,1.3392,,31,0,31
1933-09-01,0.337,,30,0,30
1933-10-01,,,0,0,31
1933-11-01,,,0,0,30
1933-12-01,,,0,0,31
1934-01-01,121.6512,,31,0,31
1934-02-01,98.8416,,28,0,28
1934-03-01,260.3232,,31,0,31
1934-04-01,26.4384,,30,0,30
1934-05-01,6.9984,,31,0,31
1934-06-01,2.592,,30,0,30
1934-07-01,2.0088,,31,0,31
1934-08-01,1.3859,,31,0,31
1934-09-01,0.9072,,30,0,30
1934-10-01,0.4018,,30,0,31
1934-11-01,,,0,0,30
1934-12-01,0.2678,,31,0,31
1935-01-01,39.0096,,31,0,31
1935-02-01,71.6316,,28,0,28
1935-03-01,245.3026,,31,0,31
1935-04-01,32.6359,,30,0,30
1935-05-01,3.2789,,31,0,31
1935-06-01,,,0,0,30
1935-07-01,,,0,0,31
1935-08-01,,,0,0,31
1935-09-01,,,0,0,30
1935-10-01,,,0,0,31
1935-11-01,,,0,0,30
1935-12-01,51.0875,,31,0,31
1936-01-01,166.2172,,31,0,31
1936-02-01,40.8568,,29,0,29
1936-03-01,39.4641,,31,0,31
1936-04-01,16.5162,,30,0,30
1936-05-01,0.3888,,31,0,31
1936-06-01,,,0,0,30
1936-07-01,,,0,0,31
1936-08-01,,,0,0,31
1936-09-01,,,0,0,30
1936-10-01,,,0,0,31
1936-11-01,,,0,0,30
1936-12-01,,,0,0,31
1937-01-01,60.6969,,31,0,31
1937-02-01,52.8474,,28,0,28
1937-03-01,56.9817,,31,0,31
1937-04-01,4.8851,,30,0,30
1937-05-01,,,0,0,31
1937-06-01,,,0,0,30
1937-07-01,,,0,0,31
1937-08-01,,,0,0,31
1937-09-01,,,0,0,30
1937-10-01,,,0,0,31
1937-11-01,,,0,0,30
1937-12-01,,,0,0,31
1938-01-01,1.5803,,31,0,31
1938-02-01,135.2212,,28,0,28
1938-03-01,119.1033,,31,0,31
1938-04-01,72.824,,30,0,30
1938-05-01,,,0,0,31
1938-06-01,,,0,0,30
1938-07-01,,,0,0,31
1938-08-01,,,0,0,31
1938-09-01,,,0,0,30
1938-10-01,,,0,0,31
1938-11-01,,,0,0,30
1938-12-01,,,0,0,31
1939-01-01,40.405,,31,0,31
1939-02-01,120.9876,,28,0,28
1939-03-01,152.2238,,31,0,31
1939-04-01,42.4777,,30,0,30
1939-05-01,12.5997,,31,0,31
1939-06-01,,,0,0,30
1939-07-01,,,0,0,31
1939-08-01,,,0,0,31
1939-09-01,,,0,0,30
1939-10-01,,,0,0,31
1939-11-01,,,0,0,30
1939-12-01,7.9237,,31,0,31
1940-01-01,12.4096,,31,0,31
1940-02-01,33.5906,,29,0,29
1940-03-01,39.8555,,31,0,31
1940-04-01,,,0,0,30
1940-05-01,,,0,0,31
1940-06-01,,,0,0,30
1940-07-01,,,0,0,31
1940-08-01,,,0,0,31
1940-09-01,,,0,0,30
1940-10-01,,,0,0,31
1940-11-01,,,0,0,30
1940-12-01,,,0,0,31
1941-01-01,33.3245,,31,0,31
1941-02-01,21.6449,,28,0,28
1941-03-01,31.2414,,31,0,31
1941-04-01,,,0,0,30
1941-05-01,,,0,0,31
1941-06-01,,,0,0,30
1941-07-01,,,0,0,31
1941-08-01,,,0,0,31
1941-09-01,,,0,0,30
1941-10-01,,,0,0,31
1941-11-01,,,0,0,30
1941-12-01,,,0,0,31
