archivo,dominio_AAA,confianza_dominio,metodo_asignacion_dominio,variable,es_climatologia,periodo_inicio,periodo_fin,n_meses_datos,usado_fase2_estacionalidad,usado_fase3_enso_nino_costero
acari_caudal_volumen.csv,CHÁPARRA-CHINCHA,media,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1960-08,2005-07,540,True,True
ancashcosta_caudal_climatologia_multicuenca.csv,HUARMEY-CHICAMA,media,nombre de cuenca (sin verificar coordenadas),caudal_volumen,True,,,0,True,False
angostura_caudal_volumen.csv,PAMPAS-APURIMAC,alta,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",caudal_volumen,False,1965-02,2010-02,362,True,True
camana_majes_caudal_volumen.csv,CAPLINA-OCOÑA,media,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1951-08,2004-07,636,True,True
canete_caudal_volumen.csv,CAÑETE-FORTALEZA,alta,coordenadas (verificado point-in-polygon),caudal_volumen,False,1964-08,2005-07,492,True,True
canete_precipitacion.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,False,1964-08,2005-07,492,True,True
canete_precipitacion_climatologia.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,True,,,0,True,False
caplina_aguascalientes_caudal_volumen.csv,CAPLINA-OCOÑA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1950-01,1989-12,443,True,True
casma_precipitacion_areal.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,False,1966-01,2006-12,492,True,True
casma_sechin_caudal_volumen.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1973-08,2002-07,348,True,True
chancayhuaral_precipitacion_multiestacion.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,False,1960-01,1999-12,480,True,True
chancayhuaral_stodomingo_caudal_volumen_crudo.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1922-01,1999-12,936,True,True
chancayhuaral_stodomingo_caudal_volumen_homogenizado.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1960-01,1999-12,480,True,True
chancaylambayeque_carhuaquero_caudal_volumen.csv,JEQUETEPEQUE-ZARUMILLA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1930-01,2004-12,900,True,True
chao_caudal_volumen.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1956-08,2004-07,576,True,True
chicama_caudal_volumen.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1969-08,2003-07,408,True,True
chicama_precipitacion_areal.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,False,1970-08,2002-07,384,True,True
chicama_precipitacion_multiestacion.csv,HUARMEY-CHICAMA,alta,nombre de cuenca (sin verificar coordenadas),precipitacion,False,1900-01,2002-07,384,True,True
chili_caudal_volumen.csv,CAPLINA-OCOÑA,media,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1924-01,2003-12,696,True,True
chillon_caudal_volumen.csv,CAÑETE-FORTALEZA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1956-08,2004-07,576,True,True
chincha_sanjuan_caudal_volumen.csv,CHÁPARRA-CHINCHA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1934-01,2003-12,840,True,True
chirapiura_caudal_volumen.csv,JEQUETEPEQUE-ZARUMILLA,alta,nombre de cuenca (sin verificar coordenadas),caudal_volumen,False,1937-01,2000-12,768,True,True
chonta_precipitacion.csv,MARAÑÓN,alta,coordenadas (verificado point-in-polygon),precipitacion,False,1977-01,1987-12,132,True,True
chorunga_caudal_volumen_generado_lutzscholz.csv,CAPLINA-OCOÑA,alta,coordenadas (verificado point-in-polygon),caudal_volumen,False,1965-01,2002-12,456,True,True
