date,caudal_yonan_m3s,volumen_yonan_mmc
1964-08-01,4.4,11.78
1964-09-01,3.5,9.07
1964-10-01,7.2,19.28
1964-11-01,21.9,56.76
1964-12-01,5.9,15.8
1965-01-01,6.4,17.14
1965-02-01,11.4,27.58
1965-03-01,121.9,326.5
1965-04-01,91.7,237.69
1965-05-01,30.9,82.76
1965-06-01,9.4,24.36
1965-07-01,5.1,13.66
1965-08-01,2.8,7.5
1965-09-01,3.5,9.07
1965-10-01,12.8,34.28
1965-11-01,23.4,60.65
1965-12-01,9.0,24.11
1966-01-01,47.1,126.15
1966-02-01,23.4,56.61
1966-03-01,28.1,75.26
1966-04-01,22.6,58.58
1966-05-01,17.9,47.94
1966-06-01,6.5,16.85
1966-07-01,3.1,8.3
1966-08-01,1.9,5.09
1966-09-01,1.4,3.63
1966-10-01,10.1,27.05
1966-11-01,9.3,24.11
1966-12-01,3.8,10.18
1967-01-01,34.1,91.33
1967-02-01,125.7,304.09
1967-03-01,111.3,298.11
1967-04-01,36.4,94.35
1967-05-01,18.3,49.01
1967-06-01,9.1,23.59
1967-07-01,5.6,15.0
1967-08-01,3.2,8.57
1967-09-01,2.1,5.44
1967-10-01,7.1,19.02
1967-11-01,4.7,12.18
1967-12-01,2.5,6.7
1968-01-01,3.0,8.04
1968-02-01,7.4,18.54
1968-03-01,24.1,64.55
1968-04-01,11.3,29.29
1968-05-01,4.7,12.59
1968-06-01,2.7,7.0
1968-07-01,1.5,4.02
1968-08-01,0.8,2.14
1968-09-01,1.7,4.41
1968-10-01,11.3,30.27
1968-11-01,6.9,17.88
1968-12-01,4.0,10.71
1969-01-01,9.1,24.37
1969-02-01,26.9,65.08
1969-03-01,48.5,129.9
1969-04-01,75.8,196.47
1969-05-01,12.7,34.02
1969-06-01,7.5,19.44
1969-07-01,2.4,6.43
1969-08-01,1.3,3.48
1969-09-01,0.8,2.07
1969-10-01,2.2,5.89
1969-11-01,9.8,25.4
1969-12-01,33.2,88.92
1970-01-01,40.7,109.01
1970-02-01,20.5,49.59
1970-03-01,39.3,105.26
1970-04-01,33.2,86.05
1970-05-01,37.9,101.51
1970-06-01,11.3,29.29
1970-07-01,4.4,11.78
1970-08-01,2.4,6.43
1970-09-01,2.9,7.52
1970-10-01,10.2,27.32
1970-11-01,20.5,53.14
1970-12-01,29.8,79.82
1971-01-01,18.4,49.28
1971-02-01,30.9,74.75
1971-03-01,148.1,396.67
