date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1958-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-10-01,NA,NA,NA,NA,70.4,NA,NA,NA,NA,NA,NA,NA,NA
1958-11-01,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
1958-12-01,NA,NA,NA,NA,67.6,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-01,NA,NA,NA,NA,67.0,NA,NA,NA,NA,NA,NA,NA,NA
1959-02-01,NA,NA,NA,NA,227.0,NA,NA,NA,NA,NA,NA,NA,NA
1959-03-01,NA,NA,NA,NA,208.1,NA,NA,NA,NA,NA,NA,NA,NA
1959-04-01,NA,NA,NA,NA,174.0,NA,NA,NA,NA,NA,NA,NA,NA
1959-05-01,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA
1959-06-01,NA,NA,NA,NA,27.0,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-08-01,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,NA,NA,NA,129.6,NA,NA,NA,NA,NA,NA,NA,NA
1959-11-01,NA,NA,NA,NA,63.9,NA,NA,NA,NA,NA,NA,NA,NA
1959-12-01,NA,NA,NA,NA,122.2,NA,NA,NA,NA,NA,NA,NA,NA
1960-01-01,NA,NA,NA,NA,82.8,NA,NA,NA,NA,NA,NA,NA,NA
1960-02-01,NA,NA,NA,NA,138.7,NA,NA,NA,NA,NA,NA,NA,NA
