date,caudal_puchaca_m3s,volumen_puchaca_mmc
1960-01-01,3.503,9.38
1960-02-01,9.681,24.26
1960-03-01,9.796,26.24
1960-04-01,9.961,25.82
1960-05-01,7.594,20.34
1960-06-01,2.296,5.95
1960-07-01,1.205,3.23
1960-08-01,2.229,5.97
1960-09-01,3.689,9.56
1960-10-01,1.85,4.96
1960-11-01,1.446,3.75
1960-12-01,1.074,2.88
1961-01-01,3.319,8.89
1961-02-01,4.2,10.16
1961-03-01,11.186,29.96
1961-04-01,12.568,32.58
1961-05-01,7.464,19.99
1961-06-01,3.043,7.89
1961-07-01,1.115,2.99
1961-08-01,0.595,1.59
1961-09-01,1.874,4.86
1961-10-01,1.976,5.29
1961-11-01,1.526,3.96
1961-12-01,3.828,10.25
1962-01-01,4.122,11.04
1962-02-01,15.267,36.93
1962-03-01,12.09,32.38
1962-04-01,15.233,39.48
1962-05-01,5.793,15.52
1962-06-01,1.886,4.89
1962-07-01,0.904,2.42
1962-08-01,0.863,2.31
1962-09-01,1.728,4.48
1962-10-01,1.084,2.9
1962-11-01,2.54,6.58
1962-12-01,2.047,5.48
1963-01-01,1.37,3.67
1963-02-01,0.944,2.28
1963-03-01,8.185,21.92
1963-04-01,4.704,12.19
1963-05-01,2.047,5.48
1963-06-01,1.17,3.03
1963-07-01,1.006,2.69
1963-08-01,0.395,1.06
1963-09-01,0.194,0.5
1963-10-01,1.447,3.88
1963-11-01,2.376,6.16
1963-12-01,3.957,10.6
1964-01-01,5.6,15.0
1964-02-01,4.916,12.32
1964-03-01,5.985,16.03
1964-04-01,9.874,25.59
1964-05-01,3.045,8.16
1964-06-01,2.096,5.43
1964-07-01,1.281,3.43
1964-08-01,2.286,6.12
1964-09-01,2.111,5.47
1964-10-01,6.481,17.36
1964-11-01,5.943,15.4
1964-12-01,1.162,3.11
1965-01-01,1.868,5.0
1965-02-01,4.623,11.18
1965-03-01,13.763,36.86
1965-04-01,22.32,57.85
1965-05-01,5.796,15.52
1965-06-01,4.256,11.03
1965-07-01,3.633,9.73
1965-08-01,2.387,6.39
1965-09-01,5.504,14.27
1965-10-01,3.678,9.85
1965-11-01,6.228,16.14
1965-12-01,3.87,10.37
1966-01-01,6.851,18.35
1966-02-01,4.067,9.84
1966-03-01,5.174,13.86
1966-04-01,6.393,16.57
1966-05-01,6.667,17.86
1966-06-01,1.002,2.6
1966-07-01,0.643,1.72
1966-08-01,1.611,4.31
1966-09-01,1.709,4.43
1966-10-01,5.666,15.18
1966-11-01,2.36,6.12
1966-12-01,1.133,3.03
1967-01-01,10.902,29.2
1967-02-01,12.326,29.82
1967-03-01,9.793,26.23
1967-04-01,6.711,17.39
1967-05-01,2.593,6.95
1967-06-01,1.201,3.11
1967-07-01,2.608,6.99
1967-08-01,0.776,2.08
1967-09-01,1.222,3.17
1967-10-01,5.713,15.3
1967-11-01,1.505,3.9
1967-12-01,1.867,5.0
1968-01-01,3.345,8.96
1968-02-01,1.25,3.13
1968-03-01,2.851,7.64
1968-04-01,2.646,6.86
1968-05-01,0.99,2.65
1968-06-01,0.373,0.97
1968-07-01,1.456,3.9
1968-08-01,2.224,5.96
1968-09-01,2.917,7.56
1968-10-01,5.355,14.34
1968-11-01,2.654,6.88
1968-12-01,0.445,1.19
1969-01-01,4.455,11.93
1969-02-01,6.627,16.03
1969-03-01,15.382,41.2
1969-04-01,10.606,27.49
1969-05-01,3.753,10.05
1969-06-01,3.294,8.54
1969-07-01,1.073,2.87
1969-08-01,1.848,4.95
1969-09-01,1.801,4.67
1969-10-01,1.201,3.22
1969-11-01,3.049,7.9
1969-12-01,4.625,12.39
1970-01-01,11.058,29.62
1970-02-01,4.511,10.91
1970-03-01,9.603,25.72
1970-04-01,7.565,19.61
1970-05-01,8.371,22.42
1970-06-01,4.959,12.85
1970-07-01,2.883,7.72
1970-08-01,1.326,3.55
1970-09-01,1.995,5.17
1970-10-01,5.408,14.48
1970-11-01,4.476,11.6
1970-12-01,6.698,17.94
1971-01-01,6.792,18.19
1971-02-01,6.929,16.76
1971-03-01,36.09,96.66
1971-04-01,20.906,54.19
1971-05-01,7.396,19.81
1971-06-01,6.546,16.97
1971-07-01,2.988,8.0
1971-08-01,3.967,10.63
1971-09-01,2.99,7.75
1971-10-01,6.774,18.14
1971-11-01,3.611,9.36
1971-12-01,4.238,11.35
1972-01-01,7.661,20.52
1972-02-01,6.137,15.38
1972-03-01,49.987,133.89
1972-04-01,18.73,48.55
1972-05-01,6.373,17.07
1972-06-01,5.507,14.27
1972-07-01,4.905,13.14
1972-08-01,3.199,8.57
1972-09-01,4.79,12.42
1972-10-01,1.605,4.3
1972-11-01,2.079,5.39
1972-12-01,5.512,14.76
1973-01-01,12.133,32.5
1973-02-01,20.505,49.61
1973-03-01,20.196,54.09
1973-04-01,25.822,66.93
1973-05-01,10.377,27.79
1973-06-01,6.547,16.97
1973-07-01,4.638,12.42
1973-08-01,4.415,11.83
1973-09-01,6.139,15.91
1973-10-01,3.105,8.32
1973-11-01,4.161,10.79
1973-12-01,2.925,7.83
1974-01-01,7.855,21.04
1974-02-01,12.073,29.21
1974-03-01,7.313,19.59
1974-04-01,5.699,14.77
1974-05-01,3.381,9.06
1974-06-01,4.521,11.72
1974-07-01,6.102,16.34
1974-08-01,2.914,7.8
1974-09-01,4.84,12.55
1974-10-01,7.445,19.94
1974-11-01,4.955,12.84
1974-12-01,9.779,26.19
1975-01-01,10.451,27.99
1975-02-01,11.646,28.17
1975-03-01,59.365,159.0
1975-04-01,17.403,45.11
1975-05-01,8.472,22.69
1975-06-01,7.262,18.82
1975-07-01,3.213,8.61
1975-08-01,3.009,8.06
1975-09-01,4.718,12.23
1975-10-01,7.482,20.04
1975-11-01,3.559,9.22
1975-12-01,0.811,2.17
1976-01-01,8.526,22.84
1976-02-01,18.927,47.42
1976-03-01,16.273,43.59
1976-04-01,15.247,39.52
1976-05-01,8.64,23.14
1976-06-01,6.353,16.47
1976-07-01,2.347,6.29
1976-08-01,2.36,6.32
1976-09-01,1.971,5.11
1976-10-01,0.674,1.81
1976-11-01,0.917,2.38
1976-12-01,2.242,6.0
1977-01-01,4.924,13.19
1977-02-01,13.866,33.54
1977-03-01,25.212,67.53
1977-04-01,13.392,34.71
1977-05-01,6.63,17.76
1977-06-01,6.69,17.34
1977-07-01,4.29,11.49
1977-08-01,2.032,5.44
1977-09-01,2.981,7.73
1977-10-01,2.187,5.86
1977-11-01,1.827,4.74
1977-12-01,2.046,5.48
1978-01-01,2.058,5.51
1978-02-01,3.477,8.41
1978-03-01,12.927,34.62
1978-04-01,5.773,14.96
1978-05-01,4.43,11.87
1978-06-01,2.285,5.92
1978-07-01,2.319,6.21
1978-08-01,1.702,4.56
1978-09-01,2.164,5.61
1978-10-01,1.759,4.71
1978-11-01,3.084,7.99
1978-12-01,2.087,5.59
1979-01-01,3.074,8.23
1979-02-01,3.792,9.17
1979-03-01,11.645,31.19
1979-04-01,5.456,14.14
1979-05-01,3.268,8.75
1979-06-01,1.983,5.14
1979-07-01,0.922,2.47
1979-08-01,0.746,2.0
1979-09-01,2.016,5.23
1979-10-01,0.793,2.12
1979-11-01,0.232,0.6
1979-12-01,0.656,1.76
1980-01-01,1.683,4.51
1980-02-01,1.652,4.14
1980-03-01,7.877,21.1
1980-04-01,5.664,14.68
1980-05-01,2.036,5.45
1980-06-01,1.343,3.48
1980-07-01,1.772,4.75
1980-08-01,0.657,1.76
1980-09-01,0.422,1.09
1980-10-01,8.148,21.82
1980-11-01,3.573,9.26
1980-12-01,3.73,9.99
1981-01-01,0.984,2.64
1981-02-01,10.424,25.22
1981-03-01,10.874,29.12
1981-04-01,11.908,30.87
1981-05-01,2.177,5.83
1981-06-01,4.701,12.18
1981-07-01,2.071,5.55
1981-08-01,0.912,2.44
1981-09-01,0.384,1.0
1981-10-01,2.153,5.77
1981-11-01,1.712,4.44
1981-12-01,3.757,10.06
1982-01-01,1.211,3.24
1982-02-01,2.634,6.37
1982-03-01,2.606,6.98
1982-04-01,5.761,14.93
1982-05-01,2.562,6.86
1982-06-01,1.841,4.77
1982-07-01,1.075,2.88
1982-08-01,0.47,1.26
1982-09-01,0.759,1.97
1982-10-01,2.294,6.14
1982-11-01,1.566,4.06
1982-12-01,5.121,13.72
1983-01-01,12.763,34.18
1983-02-01,16.837,40.73
1983-03-01,42.2,113.03
1983-04-01,43.591,112.99
1983-05-01,36.65,98.16
1983-06-01,8.017,20.78
1983-07-01,4.414,11.82
1983-08-01,2.176,5.83
1983-09-01,2.355,6.1
1983-10-01,5.142,13.77
1983-11-01,2.306,5.98
1983-12-01,3.161,8.47
1984-01-01,1.582,4.24
1984-02-01,24.916,62.43
1984-03-01,20.696,55.43
1984-04-01,7.288,18.89
1984-05-01,4.792,12.83
1984-06-01,6.783,17.58
1984-07-01,3.269,8.76
1984-08-01,2.247,6.02
1984-09-01,1.097,2.84
1984-10-01,5.656,15.15
1984-11-01,1.928,5.0
1984-12-01,3.381,9.06
1985-01-01,2.502,6.7
1985-02-01,5.707,13.81
1985-03-01,8.325,22.3
1985-04-01,2.15,5.57
1985-05-01,5.69,15.24
1985-06-01,2.189,5.67
1985-07-01,0.704,1.89
1985-08-01,1.769,4.74
1985-09-01,2.343,6.07
1985-10-01,3.907,10.46
1985-11-01,0.263,0.68
1985-12-01,2.129,5.7
1986-01-01,5.568,14.91
1986-02-01,2.316,5.6
1986-03-01,2.563,6.86
1986-04-01,11.494,29.79
1986-05-01,4.326,11.59
1986-06-01,0.844,2.19
1986-07-01,0.788,2.11
1986-08-01,1.44,3.86
1986-09-01,0.412,1.07
1986-10-01,0.96,2.57
1986-11-01,3.439,8.91
1986-12-01,4.921,13.18
1987-01-01,9.524,25.51
1987-02-01,11.604,28.07
1987-03-01,10.617,28.44
1987-04-01,3.338,8.65
1987-05-01,2.613,7.0
1987-06-01,0.375,0.97
1987-07-01,1.023,2.74
1987-08-01,0.863,2.31
1987-09-01,0.313,0.81
1987-10-01,0.687,1.84
1987-11-01,0.59,1.53
1987-12-01,1.449,3.88
1988-01-01,3.686,9.87
1988-02-01,5.694,14.27
1988-03-01,4.487,12.02
1988-04-01,7.434,19.27
1988-05-01,3.166,8.48
1988-06-01,0.557,1.44
1988-07-01,0.258,0.69
1988-08-01,0.22,0.59
1988-09-01,0.383,0.99
1988-10-01,1.641,4.4
1988-11-01,2.37,6.14
1988-12-01,0.583,1.56
1989-01-01,4.722,12.65
1989-02-01,14.362,34.74
1989-03-01,15.424,41.31
1989-04-01,11.797,30.58
1989-05-01,2.485,6.66
1989-06-01,3.959,10.26
1989-07-01,1.079,2.89
1989-08-01,0.527,1.41
1989-09-01,0.763,1.98
1989-10-01,1.206,3.23
1989-11-01,0.313,0.81
1989-12-01,0.163,0.44
1990-01-01,1.908,5.11
1990-02-01,5.068,12.26
1990-03-01,7.82,20.95
1990-04-01,4.568,11.84
1990-05-01,1.974,5.29
1990-06-01,5.081,13.17
1990-07-01,2.627,7.04
1990-08-01,0.235,0.63
1990-09-01,0.316,0.82
1990-10-01,4.078,10.92
1990-11-01,3.297,8.55
1990-12-01,2.106,5.64
1991-01-01,1.253,3.36
1991-02-01,5.933,14.35
1991-03-01,5.9,15.8
1991-04-01,2.41,6.25
1991-05-01,1.51,4.04
1991-06-01,0.605,1.57
1991-07-01,0.223,0.6
1991-08-01,0.121,0.32
1991-09-01,0.161,0.42
1991-10-01,0.285,0.76
1991-11-01,0.477,1.24
1991-12-01,0.511,1.37
1992-01-01,2.545,6.82
1992-02-01,2.638,6.61
1992-03-01,9.942,26.63
1992-04-01,11.928,30.92
1992-05-01,1.531,4.1
1992-06-01,1.989,5.16
1992-07-01,0.771,2.07
1992-08-01,0.485,1.3
1992-09-01,0.706,1.83
1992-10-01,1.061,2.84
1992-11-01,0.752,1.95
1992-12-01,1.35,3.62
1993-01-01,1.039,2.78
1993-02-01,5.156,12.47
1993-03-01,20.032,53.65
1993-04-01,12.188,31.59
1993-05-01,3.598,9.64
1993-06-01,1.57,4.07
1993-07-01,0.739,1.98
1993-08-01,0.601,1.61
1993-09-01,0.876,2.27
1993-10-01,2.241,6.0
1993-11-01,1.339,3.47
1993-12-01,1.709,4.58
1994-01-01,2.254,6.04
1994-02-01,6.703,16.22
1994-03-01,9.047,24.23
1994-04-01,10.764,27.9
1994-05-01,3.885,10.41
1994-06-01,1.877,4.87
1994-07-01,1.301,3.48
1994-08-01,0.76,2.04
1994-09-01,0.826,2.14
1994-10-01,0.818,2.19
1994-11-01,1.638,4.25
1994-12-01,3.374,9.04
1995-01-01,4.11,11.01
1995-02-01,5.228,12.65
1995-03-01,3.799,10.18
1995-04-01,2.69,6.97
1995-05-01,1.747,4.68
1995-06-01,0.629,1.63
1995-07-01,0.672,1.8
1995-08-01,0.228,0.61
1995-09-01,0.209,0.54
1995-10-01,0.297,0.8
1995-11-01,1.379,3.57
1995-12-01,3.047,8.16
1996-01-01,2.085,5.58
1996-02-01,5.005,12.54
1996-03-01,9.559,25.6
1996-04-01,4.132,10.71
1996-05-01,2.303,6.17
1996-06-01,1.168,3.03
1996-07-01,0.455,1.22
1996-08-01,0.423,1.13
1996-09-01,0.391,1.01
1996-10-01,1.625,4.35
1996-11-01,1.04,2.7
1996-12-01,0.713,1.91
1997-01-01,0.554,1.48
1997-02-01,7.829,18.94
1997-03-01,4.876,13.06
1997-04-01,3.185,8.26
1997-05-01,2.059,5.51
