date,precipitacion_lavina_mm,precipitacion_puchaca_mm
1964-01-01,0.0,1.8
1964-02-01,0.0,13.4
1964-03-01,0.9,45.1
1964-04-01,5.8,19.1
1964-05-01,0.0,0.3
1964-06-01,0.0,0.0
1964-07-01,0.0,0.0
1964-08-01,0.2,0.6
1964-09-01,0.0,0.0
1964-10-01,1.0,4.3
1964-11-01,0.4,1.7
1964-12-01,0.0,0.0
1965-01-01,0.0,1.8
1965-02-01,12.1,58.2
1965-03-01,53.2,148.6
1965-04-01,28.6,75.1
1965-05-01,0.0,0.3
1965-06-01,0.0,0.0
1965-07-01,0.0,0.0
1965-08-01,0.0,0.3
1965-09-01,1.7,4.9
1965-10-01,0.2,1.5
1965-11-01,2.0,3.8
1965-12-01,4.4,25.6
1966-01-01,6.2,58.8
1966-02-01,0.0,13.4
1966-03-01,3.4,43.3
1966-04-01,0.0,5.3
1966-05-01,0.2,0.7
1966-06-01,0.0,0.0
1966-07-01,0.0,0.0
1966-08-01,0.0,0.3
1966-09-01,0.0,0.0
1966-10-01,1.0,4.3
1966-11-01,5.8,8.6
1966-12-01,0.0,0.0
1967-01-01,6.7,42.9
1967-02-01,23.7,82.5
1967-03-01,4.4,7.1
1967-04-01,0.0,0.0
1967-05-01,0.6,3.0
1967-06-01,0.0,0.0
1967-07-01,2.5,5.2
1967-08-01,0.1,4.3
1967-09-01,0.4,0.0
1967-10-01,3.1,23.0
1967-11-01,0.0,0.0
1967-12-01,0.0,0.0
1968-01-01,0.0,0.4
1968-02-01,0.0,1.5
1968-03-01,0.0,0.3
1968-04-01,0.5,0.0
1968-05-01,0.0,0.0
1968-06-01,0.0,0.0
1968-07-01,0.0,0.0
1968-08-01,0.0,0.0
1968-09-01,0.0,0.0
1968-10-01,9.7,15.6
1968-11-01,0.0,1.4
1968-12-01,0.0,0.0
1969-01-01,0.9,9.7
1969-02-01,11.1,23.2
1969-03-01,10.4,241.1
1969-04-01,2.3,12.8
1969-05-01,0.0,2.4
1969-06-01,0.0,0.0
1969-07-01,0.0,0.0
1969-08-01,0.0,0.0
1969-09-01,0.0,0.0
1969-10-01,2.0,0.6
1969-11-01,1.5,3.0
1969-12-01,0.3,1.0
1970-01-01,0.3,22.4
1970-02-01,0.0,0.1
1970-03-01,3.6,25.5
1970-04-01,0.3,2.9
1970-05-01,0.1,20.3
1970-06-01,0.1,0.6
1970-07-01,0.0,0.0
1970-08-01,0.8,0.0
1970-09-01,0.8,2.7
1970-10-01,0.6,10.9
1970-11-01,0.0,5.1
1970-12-01,6.6,0.5
1971-01-01,0.0,0.0
1971-02-01,14.1,44.2
1971-03-01,144.7,360.3
1971-04-01,5.9,48.0
1971-05-01,0.3,2.8
1971-06-01,0.0,0.0
1971-07-01,0.0,0.0
1971-08-01,0.0,0.7
1971-09-01,0.1,0.5
1971-10-01,1.3,2.9
1971-11-01,0.6,1.7
1971-12-01,5.5,11.2
1972-01-01,0.0,4.4
1972-02-01,20.2,82.5
1972-03-01,239.3,486.4
1972-04-01,1.3,40.2
1972-05-01,0.0,1.8
1972-06-01,0.0,3.2
1972-07-01,0.0,1.3
1972-08-01,0.0,0.0
1972-09-01,0.3,1.5
1972-10-01,0.0,0.1
1972-11-01,1.6,2.8
1972-12-01,0.0,11.1
1973-01-01,7.4,160.0
1973-02-01,16.1,
1973-03-01,33.6,36.9
1973-04-01,19.8,34.1
1973-05-01,0.7,1.9
1973-06-01,1.0,0.9
1973-07-01,0.0,0.6
1973-08-01,0.0,1.4
1973-09-01,5.0,15.5
1973-10-01,0.2,0.3
1973-11-01,2.1,1.8
1973-12-01,0.0,0.0
1974-01-01,0.1,3.6
1974-02-01,7.2,82.1
1974-03-01,0.0,2.0
1974-04-01,0.0,1.9
1974-05-01,2.0,4.5
1974-06-01,1.3,9.2
1974-07-01,0.0,0.0
1974-08-01,2.1,4.4
1974-09-01,1.2,0.0
1974-10-01,1.0,0.0
1974-11-01,0.0,0.0
1974-12-01,0.0,0.0
1975-01-01,1.6,11.0
1975-02-01,26.1,89.3
1975-03-01,110.9,307.4
1975-04-01,10.3,40.8
1975-05-01,0.0,2.0
1975-06-01,0.5,3.7
1975-07-01,0.0,0.0
1975-08-01,5.8,7.6
1975-09-01,0.0,1.1
1975-10-01,7.1,20.1
1975-11-01,0.0,8.4
1975-12-01,0.0,0.0
1976-01-01,18.0,133.3
1976-02-01,0.0,69.1
1976-03-01,0.2,3.2
1976-04-01,15.7,8.9
1976-05-01,1.8,0.0
1976-06-01,0.0,0.4
1976-07-01,0.0,0.0
1976-08-01,0.0,0.4
1976-09-01,2.3,0.0
1976-10-01,0.0,0.0
1976-11-01,0.0,0.4
1976-12-01,0.0,0.1
1977-01-01,2.2,16.0
1977-02-01,13.9,50.3
1977-03-01,14.7,230.2
1977-04-01,0.0,10.9
1977-05-01,0.5,0.0
1977-06-01,0.0,0.0
1977-07-01,2.1,0.0
1977-08-01,0.0,0.0
1977-09-01,1.6,9.9
1977-10-01,0.0,4.8
1977-11-01,0.0,0.0
1977-12-01,0.0,0.0
1978-01-01,0.0,0.0
1978-02-01,0.0,23.3
1978-03-01,23.1,127.7
1978-04-01,2.8,2.34
1978-05-01,0.0,0.0
1978-06-01,0.7,0.0
1978-07-01,0.0,0.0
1978-08-01,0.0,0.0
1978-09-01,0.4,0.2
1978-10-01,0.0,0.0
1978-11-01,0.0,1.0
1978-12-01,0.5,0.0
1979-01-01,1.0,6.1
1979-02-01,0.2,6.4
1979-03-01,9.7,129.8
1979-04-01,0.9,0.0
1979-05-01,1.3,0.0
1979-06-01,0.0,0.0
1979-07-01,0.0,0.0
1979-08-01,0.0,0.0
1979-09-01,0.0,3.2
1979-10-01,0.0,0.0
1979-11-01,0.5,0.0
1979-12-01,0.0,0.0
1980-01-01,0.5,1.1
1980-02-01,0.7,3.1
1980-03-01,6.7,13.4
1980-04-01,0.1,10.0
1980-05-01,0.1,0.0
1980-06-01,0.0,0.0
1980-07-01,0.0,0.0
1980-08-01,0.0,0.0
1980-09-01,0.0,0.0
1980-10-01,5.0,25.9
1980-11-01,0.0,0.0
1980-12-01,0.1,0.0
1981-01-01,0.0,0.0
1981-02-01,5.3,29.4
1981-03-01,84.9,76.9
1981-04-01,2.4,18.3
1981-05-01,0.1,0.0
1981-06-01,0.0,0.0
1981-07-01,1.2,0.0
1981-08-01,1.7,0.0
1981-09-01,0.0,0.0
1981-10-01,0.0,0.6
1981-11-01,0.0,1.0
1981-12-01,1.5,0.0
1982-01-01,2.2,0.0
1982-02-01,0.4,16.5
1982-03-01,0.0,3.8
1982-04-01,4.7,19.8
1982-05-01,0.0,0.4
1982-06-01,0.0,0.0
1982-07-01,0.0,0.0
1982-08-01,0.0,0.0
1982-09-01,1.2,2.2
1982-10-01,1.4,7.8
1982-11-01,11.5,15.5
1982-12-01,1.4,55.0
