date,caudal_lluclla_m3s,volumen_lluclla_mmc
1977-09-01,2.551,6.612
1977-10-01,2.226,5.962
1977-11-01,2.258,5.853
1977-12-01,2.223,5.954
1978-01-01,4.097,10.973
1978-02-01,3.437,8.315
1978-03-01,2.599,6.961
1978-04-01,2.894,7.501
1978-05-01,2.907,7.786
1978-06-01,2.976,7.714
1978-07-01,2.919,7.818
1978-08-01,2.722,7.291
1978-09-01,2.29,5.936
1978-10-01,1.904,5.1
1978-11-01,1.809,4.689
1978-12-01,1.931,5.172
1979-01-01,1.824,4.885
1979-02-01,1.744,4.219
1979-03-01,5.082,13.612
1979-04-01,1.79,4.64
1979-05-01,1.974,5.287
1979-06-01,2.037,5.28
1979-07-01,2.07,5.544
1979-08-01,2.004,5.368
1979-09-01,1.597,4.139
1979-10-01,1.776,4.757
1979-11-01,1.504,3.898
1979-12-01,1.588,4.253
1980-01-01,1.915,5.129
1980-02-01,1.628,4.079
1980-03-01,3.372,9.032
1980-04-01,1.703,4.414
1980-05-01,1.672,4.478
1980-06-01,1.729,4.482
1980-07-01,1.839,4.926
1980-08-01,1.862,4.987
1980-09-01,1.587,4.114
1980-10-01,1.51,4.044
1980-11-01,1.475,3.823
1980-12-01,1.494,4.002
1981-01-01,2.796,7.489
1981-02-01,8.429,20.391
1981-03-01,3.164,8.474
1981-04-01,3.059,7.929
1981-05-01,1.68,4.5
1981-06-01,1.734,4.495
1981-07-01,1.795,4.808
1981-08-01,1.938,5.191
1981-09-01,1.307,3.388
1981-10-01,1.211,3.244
1981-11-01,1.249,3.237
1981-12-01,1.273,3.41
1982-01-01,1.759,4.711
1982-02-01,1.847,4.468
1982-03-01,1.531,4.101
1982-04-01,1.642,4.256
1982-05-01,1.568,4.2
1982-07-01,1.639,4.39
1982-08-01,1.729,4.631
1982-09-01,1.33,3.447
1982-10-01,1.533,4.106
1982-11-01,2.742,7.107
1982-12-01,3.58,9.589
1983-01-01,3.013,8.07
1983-02-01,3.928,9.503
1983-03-01,4.183,11.204
1983-04-01,4.086,10.591
1983-05-01,3.957,10.598
1983-06-01,3.786,9.813
1983-07-01,3.839,10.282
1983-08-01,3.247,8.697
1983-09-01,3.22,8.346
1983-10-01,3.459,9.265
1983-11-01,2.664,6.905
1984-03-01,48.064,128.735
1984-04-01,9.923,25.72
1984-05-01,5.349,14.327
1985-02-01,10.099,24.432
1985-07-01,5.887,15.768
1985-09-01,4.653,12.061
1985-10-01,4.437,11.884
1986-02-01,11.827,28.612
1986-03-01,8.344,22.349
1986-04-01,6.445,16.705
1986-05-01,5.479,14.675
1986-06-01,5.711,14.803
1986-07-01,5.657,15.152
1986-08-01,5.865,15.709
1986-09-01,5.335,13.828
1986-10-01,4.775,12.789
