date,caudal_aricota_yesera_m3s,caudal_candarave_m3s,caudal_coranchay_m3s,caudal_el_cairo_m3s,caudal_jarumas_m3s,caudal_mullini_m3s,caudal_qda_honda_m3s,caudal_ticapampa_m3s
1993-01-01,2.5,2.11,2.23,0.78,7.1,1.725,0.17,0.95
1993-02-01,1.26,0.93,1.45,1.73,12.8,1.134,0.03,1.1
1993-03-01,0.67,1.21,1.73,0.36,5.27,1.348,0.3,1.53
1993-04-01,0.83,0.7,1.15,0.45,1.04,0.303,0.08,1.39
1993-05-01,0.88,0.44,1.14,0.48,0.53,0.451,0.07,1.35
1993-06-01,0.92,0.44,1.22,0.47,0.73,0.449,0.06,1.35
1993-07-01,0.92,0.43,1.21,0.39,0.51,0.461,0.06,0.95
1993-08-01,1.01,0.55,1.22,0.29,0.69,0.533,0.07,1.14
1993-09-01,0.98,0.49,1.18,0.32,0.54,0.471,0.07,1.14
1993-10-01,0.91,0.48,1.2,0.08,0.56,0.467,0.06,1.31
1993-11-01,0.88,0.47,1.36,0.09,0.38,0.468,0.04,1.35
1993-12-01,0.91,0.49,1.57,0.16,0.52,0.456,0.05,1.35
1994-01-01,2.78,1.38,2.02,0.02,3.823,1.055,0.12,1.39
1994-02-01,5.05,5.96,5.93,0.0,4.212,2.315,0.34,1.39
1994-03-01,1.97,0.71,2.18,0.06,3.862,0.958,0.13,1.44
1994-04-01,1.43,0.65,2.07,0.08,0.81,0.76,0.08,1.35
1994-05-01,1.26,0.59,1.81,0.08,0.67,0.646,0.07,1.53
1994-06-01,1.29,0.55,1.58,0.19,0.787,0.63,0.07,1.48
1994-07-01,1.02,0.54,1.5,0.21,0.764,0.57,0.07,1.39
1994-08-01,0.91,0.56,1.5,0.13,0.652,0.497,0.06,1.48
1994-09-01,0.93,0.52,1.58,0.17,0.582,0.469,0.05,1.57
1994-10-01,0.66,0.53,1.64,0.0,0.484,0.46,0.04,1.48
1994-11-01,0.58,0.54,1.72,0.03,0.23,0.465,0.04,1.48
1994-12-01,0.71,0.56,1.78,0.04,0.49,0.542,0.05,1.39
1995-01-01,1.34,0.86,1.86,0.44,5.736,0.868,0.06,1.18
1995-02-01,1.04,0.59,1.54,2.0,0.222,0.85,0.04,1.76
1995-03-01,2.58,1.29,1.99,0.64,2.0,1.78,0.15,1.62
1995-04-01,0.74,0.64,1.33,0.22,0.2,0.579,0.07,1.53
1995-05-01,0.62,0.62,1.14,0.2,0.18,0.533,0.05,1.53
1995-06-01,0.74,0.65,1.1,0.22,0.225,0.537,0.05,1.53
1995-07-01,0.73,0.66,1.23,0.18,0.19,0.556,0.06,1.57
1995-08-01,0.64,0.86,1.36,0.15,0.17,0.533,0.05,1.53
1995-09-01,0.64,0.63,1.57,0.48,0.145,0.529,0.03,1.53
1995-10-01,0.38,0.61,1.39,0.06,0.113,0.484,0.04,1.48
1995-11-01,0.28,0.56,1.42,0.08,0.08,0.477,0.04,1.53
1995-12-01,0.45,0.54,1.46,0.12,0.22,0.577,0.04,1.57
1996-01-01,0.79,0.64,2.41,0.38,0.756,0.906,0.159,1.78
1996-02-01,0.57,0.46,2.06,0.51,0.75,1.816,0.067,2.19
1996-03-01,0.8,0.81,1.43,0.72,0.68,1.349,0.255,1.71
1996-04-01,0.65,0.57,1.26,0.35,0.63,0.49,0.12,3.21
1996-05-01,0.67,0.49,1.18,0.39,0.64,0.5,0.073,2.5
1996-06-01,0.76,0.5,1.3,0.46,0.69,0.51,0.064,1.84
1996-07-01,0.68,0.49,1.35,0.49,0.54,0.52,0.061,1.85
1996-08-01,0.6,0.51,1.34,0.38,0.45,0.53,0.058,2.27
1996-09-01,0.43,0.45,1.46,0.16,0.46,0.46,0.045,4.05
1996-10-01,0.42,0.43,1.49,0.15,0.38,0.47,0.053,1.92
1996-11-01,0.34,0.42,1.68,0.2,0.33,0.47,0.055,2.08
1996-12-01,0.46,0.37,1.19,0.26,0.53,0.43,0.05,1.93
