date,caudal_puente_viejo_m3_s,volumen_puente_viejo_mmc
1972-01-01,4.39,11.7582
1972-02-01,6.9,17.2886
1972-03-01,3.94,10.5529
1972-04-01,3.48,9.0202
1972-05-01,3.46,9.2673
1972-06-01,3.02,7.8278
1972-07-01,2.9,7.7674
1972-08-01,2.75,7.3656
1972-09-01,2.6,6.7392
1972-10-01,3.04,8.1423
1972-11-01,1.71,4.4323
1972-12-01,1.31,3.5087
1973-01-01,2.62,7.0174
1973-02-01,7.12,17.2247
1973-03-01,7.28,19.4988
1973-04-01,2.19,5.6765
1973-05-01,2.19,5.8657
1973-06-01,2.24,5.8061
1973-07-01,2.31,6.1871
1973-08-01,1.72,4.6068
1973-09-01,1.4,3.6288
1973-10-01,1.05,2.8123
1973-11-01,1.22,3.1622
1973-12-01,1.24,3.3212
1974-01-01,2.84,7.6067
1974-02-01,3.3,7.9834
1974-03-01,2.51,6.7228
1974-04-01,2.5,6.48
1974-05-01,2.65,7.0978
1974-06-01,2.65,6.8688
1974-07-01,2.55,6.8299
1974-08-01,2.33,6.2407
1974-09-01,2.09,5.4173
1974-10-01,1.7,4.5533
1974-11-01,1.72,4.4582
1974-12-01,1.81,4.8479
1975-01-01,2.93,7.8477
1975-02-01,4.51,10.9106
1975-03-01,3.6,9.6422
1975-04-01,2.75,7.128
1975-05-01,2.48,6.6424
1975-06-01,2.2,5.7024
1975-07-01,2.05,5.4907
1975-08-01,2.14,5.7318
1975-09-01,1.61,4.1731
1975-10-01,1.7,4.5533
1975-11-01,1.72,4.4582
1975-12-01,1.81,4.8479
1976-01-01,3.86,10.3386
1976-02-01,4.59,11.5007
1976-03-01,3.19,8.5441
1976-04-01,3.71,9.6163
1976-05-01,3.36,8.9994
1976-06-01,2.89,7.4909
1976-07-01,3.08,8.2495
1976-08-01,3.0,8.0352
1976-09-01,3.11,8.0611
1976-10-01,3.13,8.3834
1976-11-01,3.9,10.1088
1976-12-01,3.7,9.9101
1977-01-01,3.09,8.2763
1977-02-01,3.75,9.072
1977-03-01,4.94,13.2313
1977-04-01,1.9,4.9248
1977-05-01,2.19,5.8657
1977-06-01,3.43,8.8906
1977-07-01,4.02,10.7672
1977-08-01,4.06,10.8743
1977-09-01,4.1,10.6272
1977-10-01,4.03,10.794
1977-11-01,4.03,10.4458
1977-12-01,2.25,6.0264
1978-01-01,3.79,10.1511
1978-02-01,3.81,9.2172
1978-03-01,2.12,5.6782
1978-04-01,2.36,6.1171
1978-05-01,2.56,6.8567
1978-06-01,2.58,6.6874
1978-07-01,2.36,6.321
1978-08-01,2.26,6.0532
1978-09-01,2.26,5.8579
1978-10-01,2.2,5.8925
1978-11-01,2.38,6.169
1978-12-01,2.58,6.9103
1979-01-01,2.62,7.0174
1979-02-01,2.75,6.6528
1979-03-01,3.18,8.5173
1979-04-01,2.48,6.4282
1979-05-01,2.66,7.1245
1979-06-01,2.93,7.5946
1979-07-01,2.64,7.071
1979-08-01,2.69,7.2049
1979-09-01,2.72,7.0502
1979-10-01,2.55,6.8299
1979-11-01,2.2,5.7024
1979-12-01,2.25,6.0264
1980-01-01,2.19,5.8657
1980-02-01,2.57,6.4394
1980-03-01,2.84,7.6067
1980-04-01,2.82,7.3094
1980-05-01,2.78,7.446
1980-06-01,2.96,7.6723
1980-08-01,2.85,7.6334
1980-09-01,2.82,7.3094
1980-10-01,1.92,5.1425
1980-11-01,2.45,6.3504
1980-12-01,2.25,6.0264
1981-01-01,2.43,6.5085
1981-02-01,3.68,8.9027
1981-03-01,3.16,8.4637
1981-04-01,2.69,6.9725
1981-05-01,3.21,8.5977
1981-06-01,3.31,8.5795
1981-07-01,3.45,9.2405
1981-08-01,3.28,8.7852
1981-09-01,2.39,6.1949
1981-10-01,2.89,7.7406
1981-11-01,2.47,6.4022
1981-12-01,3.08,8.2495
1982-01-01,2.75,7.3656
1982-02-01,3.86,9.3381
1982-03-01,3.31,8.8655
1982-04-01,2.76,7.1539
1982-05-01,2.81,7.5263
1982-06-01,2.92,7.5686
1982-07-01,2.95,7.9013
1982-08-01,2.69,7.2049
1982-09-01,2.08,5.3914
1982-10-01,1.75,4.6872
1982-11-01,1.94,5.0285
1982-12-01,2.54,6.8031
1983-01-01,2.31,6.1871
1983-02-01,2.9,7.0157
1983-03-01,2.99,8.0084
1983-04-01,2.24,5.8061
1983-05-01,2.94,7.8745
1983-06-01,2.26,5.8579
1983-07-01,2.3,6.1603
1983-08-01,2.14,5.7318
1983-09-01,2.79,7.2317
1983-10-01,2.35,6.2942
1983-11-01,2.37,6.143
1983-12-01,2.43,6.5085
1984-01-01,3.02,8.0888
1984-02-01,5.43,13.6054
1984-03-01,4.37,11.7046
1984-04-01,3.87,10.031
1984-05-01,3.29,8.8119
1984-06-01,3.26,8.4499
1984-07-01,3.15,8.437
1984-08-01,3.1,8.303
1984-09-01,2.79,7.2317
1984-10-01,2.35,6.2942
1984-11-01,2.37,6.143
1984-12-01,2.43,6.5085
1985-01-01,2.87,7.687
1985-02-01,10.07,24.3613
1985-03-01,6.5,17.4096
1985-04-01,3.7,9.5904
1985-05-01,3.66,9.8029
1985-06-01,3.53,9.1498
1985-07-01,3.45,9.2405
1985-08-01,3.47,9.294
1985-09-01,3.51,9.0979
1985-10-01,2.83,7.5799
1985-11-01,2.96,7.6723
1985-12-01,2.8,7.4995
1986-01-01,5.42,14.5169
1986-02-01,6.31,15.2652
1986-03-01,3.6,9.6422
1986-04-01,3.44,8.9165
1986-05-01,3.19,8.5441
1986-06-01,3.0,7.776
1986-07-01,2.94,7.8745
1986-08-01,2.95,7.9013
1986-09-01,3.25,8.424
1986-10-01,3.27,8.7584
1986-11-01,2.55,6.6096
1986-12-01,2.19,5.8657
1987-01-01,2.99,8.0084
1987-02-01,4.02,9.7252
1987-03-01,2.94,7.8745
1987-04-01,2.82,7.3094
1987-05-01,3.1,8.303
1987-06-01,2.98,7.7242
1987-07-01,2.97,7.9548
1987-08-01,3.13,8.3834
1987-09-01,3.61,9.3571
1987-10-01,3.14,8.4102
1987-11-01,2.81,7.2835
1987-12-01,2.19,5.8657
1988-01-01,2.9,7.7674
1988-02-01,7.58,18.9924
