date,caudal_antapucro_m3s,volumen_antapucro_mmc,caudal_manchay_m3s,volumen_manchay_mmc
1964-01-01,5.233,14.02,5.378,14.4
1964-02-01,7.558,18.94,7.573,18.97
1964-03-01,8.635,23.13,9.372,25.1
1964-04-01,5.91,15.32,6.913,17.92
1964-05-01,1.852,4.96,2.657,7.12
1964-06-01,0.646,1.67,0.948,2.46
1964-07-01,0.345,0.92,0.427,1.14
1964-08-01,0.111,0.3,0.239,0.64
1964-09-01,0.06,0.16,0.007,0.02
1964-10-01,0.091,0.24,0.0,0.0
1964-11-01,0.503,1.3,0.0,0.0
1964-12-01,2.155,5.77,2.285,6.12
1965-01-01,6.972,18.67,7.435,19.91
1965-02-01,10.507,25.42,11.042,26.71
1965-03-01,14.402,38.57,15.577,41.72
1965-04-01,6.696,17.36,8.02,20.79
1965-05-01,2.044,5.47,2.807,7.52
1965-06-01,0.596,1.54,0.952,2.47
1965-07-01,0.443,1.19,0.5,1.34
1965-08-01,0.2,0.54,0.349,0.93
1965-09-01,0.534,1.38,0.461,1.19
1965-10-01,0.492,1.32,0.436,1.17
1965-11-01,0.942,2.44,0.59,1.53
1965-12-01,2.258,6.05,2.26,6.05
1966-01-01,6.055,16.22,6.286,16.84
1966-02-01,5.376,13.01,5.475,13.25
1966-03-01,10.788,28.89,11.54,30.91
1966-04-01,5.133,13.3,6.079,15.76
1966-05-01,1.638,4.39,2.376,6.36
1966-06-01,0.536,1.39,0.583,1.51
1966-07-01,0.103,0.28,0.0,0.0
1966-08-01,0.111,0.3,0.058,0.16
1966-09-01,0.284,0.74,0.204,0.53
1966-10-01,4.323,11.58,4.507,12.07
1966-11-01,1.644,4.26,1.657,4.29
1966-12-01,2.701,7.23,2.826,7.57
1967-01-01,12.279,32.89,12.612,33.78
1967-02-01,30.883,74.71,32.546,78.74
1967-03-01,22.779,61.01,25.572,68.49
1967-04-01,8.033,20.82,10.23,26.52
1967-05-01,2.534,6.79,3.637,9.74
1967-06-01,0.712,1.85,1.21,3.14
1967-07-01,0.227,0.61,0.58,1.55
1967-08-01,0.166,0.44,0.175,0.47
1967-09-01,0.263,0.68,0.412,1.07
1967-10-01,0.276,0.74,0.45,1.21
1967-11-01,0.299,0.78,0.35,0.91
1967-12-01,1.242,3.33,1.426,3.82
1968-01-01,4.558,12.21,4.177,11.19
1968-02-01,4.594,11.51,4.245,10.64
1968-03-01,6.432,17.23,6.726,18.01
1968-04-01,4.284,11.1,4.945,12.82
1968-05-01,1.551,4.15,2.022,5.42
1968-06-01,0.405,1.05,0.539,1.4
1968-07-01,0.179,0.48,0.0,0.0
1968-08-01,0.0,0.0,0.019,0.05
1968-09-01,0.22,0.57,0.0,0.0
1968-10-01,0.399,1.07,0.455,1.22
1968-11-01,0.966,2.5,1.136,2.94
1968-12-01,1.986,5.32,2.255,6.04
1969-01-01,2.901,7.77,3.013,8.07
1969-02-01,10.132,24.51,10.27,24.85
1969-03-01,12.732,34.1,13.222,35.41
1969-04-01,5.278,13.68,6.119,15.86
1969-05-01,1.555,4.16,2.053,5.5
1969-06-01,0.592,1.53,0.605,1.57
1969-07-01,0.272,0.73,0.13,0.35
1969-08-01,0.043,0.12,0.0,0.0
1969-09-01,0.075,0.19,0.057,0.15
1969-10-01,1.032,2.76,1.015,2.72
1969-11-01,1.898,4.92,1.849,4.79
1969-12-01,5.392,14.44,5.718,15.32
1970-01-01,16.467,44.11,17.605,47.15
1970-02-01,9.346,22.61,10.582,25.6
1970-03-01,7.264,19.46,8.151,21.83
1970-04-01,6.214,16.11,6.045,15.67
1970-05-01,2.173,5.82,2.205,5.91
1970-06-01,0.791,2.05,0.597,1.55
1970-07-01,0.264,0.71,0.195,0.52
1970-08-01,1.381,3.7,1.35,3.62
1970-09-01,2.193,5.68,1.898,4.92
1970-10-01,0.938,2.51,0.938,2.51
1970-11-01,1.567,4.06,1.612,4.18
1970-12-01,5.466,14.64,5.613,15.03
1971-01-01,5.955,15.95,6.371,17.06
1971-02-01,9.931,24.03,11.09,26.83
1971-03-01,15.107,40.46,16.551,44.33
1971-04-01,5.882,15.25,7.578,19.64
1971-05-01,1.788,4.79,2.704,7.24
1971-06-01,0.48,1.24,0.749,1.94
1971-07-01,0.172,0.46,0.262,0.7
1971-08-01,0.262,0.7,0.543,1.45
1971-09-01,0.132,0.34,0.306,0.79
1971-10-01,0.39,1.04,0.518,1.39
1971-11-01,0.518,1.34,0.271,0.7
1971-12-01,2.76,7.39,2.839,7.6
1972-01-01,7.269,19.47,7.877,21.1
1972-02-01,11.469,28.74,12.466,31.23
1972-03-01,25.483,68.25,27.868,74.64
1972-04-01,10.143,26.29,12.249,31.75
1972-05-01,3.087,8.27,4.08,10.93
1972-06-01,0.868,2.25,1.267,3.28
1972-07-01,0.192,0.51,0.111,0.3
1972-08-01,0.102,0.27,0.0,0.0
1972-09-01,0.253,0.66,0.26,0.67
1972-10-01,0.929,2.49,1.279,3.43
1972-11-01,1.968,5.1,2.187,5.67
1972-12-01,7.468,20.0,7.849,21.02
1973-01-01,13.773,36.89,14.466,38.75
1973-02-01,9.307,22.52,10.126,24.5
1973-03-01,18.594,49.8,19.538,52.33
1973-04-01,8.626,22.36,9.932,25.74
1973-05-01,2.769,7.42,3.437,9.21
1973-06-01,0.899,2.33,0.989,2.56
1973-07-01,0.252,0.67,0.312,0.84
1973-08-01,0.189,0.51,0.384,1.03
1973-09-01,0.705,1.83,0.902,2.34
1973-10-01,0.846,2.27,0.74,1.98
1973-11-01,0.833,2.16,0.482,1.25
1973-12-01,3.226,8.64,3.069,8.22
1974-01-01,5.717,15.31,5.867,15.71
1974-02-01,12.546,30.35,13.18,31.89
1974-03-01,13.492,36.14,14.781,39.59
1974-04-01,5.556,14.4,6.725,17.43
1974-05-01,1.698,4.55,2.031,5.44
1974-06-01,0.6,1.56,0.905,2.35
1974-07-01,0.242,0.65,0.422,1.13
1974-08-01,0.177,0.47,0.133,0.36
1974-09-01,0.118,0.31,0.0,0.0
1974-10-01,0.034,0.09,0.016,0.04
1974-11-01,0.778,2.02,0.801,2.08
1974-12-01,1.625,4.35,1.4,3.75
1975-01-01,4.83,12.94,4.488,12.02
1975-02-01,8.633,20.88,8.61,20.83
1975-03-01,15.384,41.2,16.792,44.98
1975-04-01,5.469,14.18,6.797,17.62
1975-05-01,1.76,4.71,2.254,6.04
1975-06-01,0.617,1.6,0.536,1.39
1975-07-01,0.157,0.42,0.111,0.3
1975-08-01,0.052,0.14,0.16,0.43
1975-09-01,0.146,0.38,0.006,0.02
1975-10-01,0.162,0.43,0.234,0.63
1975-11-01,0.696,1.8,0.397,1.03
1975-12-01,4.501,12.06,4.324,11.58
1976-01-01,7.49,20.06,7.349,19.68
1976-02-01,15.185,38.05,16.335,40.93
1976-03-01,9.821,26.3,11.278,30.21
1976-04-01,3.132,8.12,3.815,9.89
1976-05-01,1.066,2.86,1.423,3.81
1976-06-01,0.341,0.88,0.537,1.39
1976-07-01,0.237,0.63,0.0,0.0
1976-08-01,0.146,0.39,0.013,0.03
1976-09-01,0.065,0.17,0.0,0.0
1976-10-01,0.0,0.0,0.06,0.16
1976-11-01,0.116,0.3,0.133,0.34
1976-12-01,1.849,4.95,1.622,4.34
1977-01-01,4.456,11.93,4.073,10.91
1977-02-01,19.404,46.94,20.478,49.54
1977-03-01,12.472,33.41,13.797,36.95
1977-04-01,4.427,11.47,5.502,14.26
1977-05-01,1.327,3.55,1.926,5.16
1977-06-01,0.441,1.14,0.782,2.03
1977-07-01,0.171,0.46,0.043,0.12
1977-08-01,0.168,0.45,0.225,0.6
1977-09-01,0.033,0.09,0.0,0.0
1977-10-01,0.193,0.52,0.0,0.0
1977-11-01,2.538,6.58,2.563,6.64
1977-12-01,3.252,8.71,3.067,8.21
1978-01-01,6.127,16.41,6.503,17.42
1978-02-01,4.981,12.05,4.836,11.7
1978-03-01,7.433,19.91,7.494,20.07
1978-04-01,4.633,12.01,4.91,12.73
1978-05-01,1.394,3.73,1.657,4.44
1978-06-01,0.413,1.07,0.766,1.99
1978-07-01,0.153,0.41,0.119,0.32
1978-08-01,0.053,0.14,0.062,0.17
1978-09-01,0.05,0.13,0.215,0.56
1978-10-01,0.275,0.74,0.369,0.99
1978-11-01,0.222,0.58,0.287,0.74
1978-12-01,2.003,5.36,2.154,5.77
1979-01-01,3.566,9.55,3.922,10.5
1979-02-01,5.559,13.45,5.851,14.15
1979-03-01,25.463,68.2,26.2,70.17
1979-04-01,7.921,20.53,9.545,24.74
1979-05-01,2.904,7.78,3.581,9.59
1979-06-01,0.976,2.53,0.957,2.48
1979-07-01,0.412,1.1,0.263,0.7
1979-08-01,0.151,0.4,0.035,0.09
1979-09-01,0.107,0.28,0.0,0.0
1979-10-01,0.171,0.46,0.0,0.0
1979-11-01,0.301,0.78,0.0,0.0
1979-12-01,0.914,2.45,0.899,2.41
1980-01-01,3.865,10.35,3.628,9.72
1980-02-01,5.505,13.79,5.634,14.12
1980-03-01,8.596,23.02,8.755,23.45
1980-04-01,2.854,7.4,3.571,9.26
1980-05-01,0.937,2.51,1.055,2.83
1980-06-01,0.245,0.64,0.134,0.35
1980-07-01,0.011,0.03,0.141,0.38
1980-08-01,0.0,0.0,0.353,0.95
1980-09-01,0.445,1.15,0.778,2.02
1980-10-01,0.503,1.35,0.453,1.21
1980-11-01,1.182,3.06,1.494,3.87
1980-12-01,1.245,3.33,1.581,4.23
1981-01-01,5.46,14.62,5.974,16.0
1981-02-01,11.406,27.59,11.52,27.87
1981-03-01,20.748,55.57,22.118,59.24
1981-04-01,11.449,29.68,12.439,32.24
1981-05-01,3.45,9.24,4.352,11.66
1981-06-01,1.147,2.97,1.763,4.57
1981-07-01,0.37,0.99,0.905,2.42
1981-08-01,0.225,0.6,0.759,2.03
1981-09-01,0.047,0.12,0.486,1.26
1981-10-01,0.006,0.02,0.0,0.0
1981-11-01,0.341,0.88,0.051,0.13
1981-12-01,5.29,14.17,4.462,11.95
1982-01-01,9.161,24.54,10.367,27.77
1982-02-01,17.682,42.78,19.134,46.29
1982-03-01,11.513,30.84,14.036,37.59
1982-04-01,5.085,13.18,6.324,16.39
1982-05-01,1.45,3.88,2.199,5.89
1982-06-01,0.474,1.23,0.752,1.95
1982-07-01,0.137,0.37,0.017,0.05
1982-08-01,0.076,0.2,0.025,0.07
1982-09-01,0.0,0.0,0.162,0.42
1982-10-01,1.943,5.2,1.852,4.96
1982-11-01,2.422,6.28,2.271,5.89
1982-12-01,1.379,3.69,1.226,3.28
1983-01-01,5.958,15.96,5.705,15.28
1983-02-01,10.488,25.37,9.803,23.72
1983-03-01,21.23,56.86,23.441,62.78
1983-04-01,7.672,19.89,9.947,25.78
1983-05-01,2.641,7.07,3.603,9.65
1983-06-01,0.893,2.31,1.042,2.7
1983-07-01,0.35,0.94,0.257,0.69
1983-08-01,0.147,0.39,0.125,0.33
1983-09-01,0.0,0.0,0.219,0.57
1983-10-01,0.137,0.37,0.0,0.0
1983-11-01,0.611,1.58,0.673,1.74
1983-12-01,4.647,12.45,4.398,11.78
1984-01-01,10.923,29.26,12.052,32.28
1984-02-01,20.942,52.47,23.053,57.76
1984-03-01,18.026,48.28,20.308,54.39
1984-04-01,9.225,23.91,11.189,29.0
1984-05-01,2.884,7.72,3.786,10.14
1984-06-01,0.972,2.52,1.534,3.98
1984-07-01,0.234,0.63,0.23,0.62
1984-08-01,0.016,0.04,0.05,0.13
1984-09-01,0.211,0.55,0.403,1.04
1984-10-01,5.799,15.53,6.174,16.54
1984-11-01,4.336,11.24,5.288,13.71
1984-12-01,4.839,12.96,5.876,15.74
1985-01-01,6.165,16.51,6.727,18.02
1985-02-01,8.682,21.0,8.753,21.18
