date,precipitacion_manchaybajo_mm,precipitacion_antioquia_mm,precipitacion_matucana_mm,precipitacion_langa_mm,precipitacion_santiagodetuna_mm,precipitacion_huarochiri_mm,precipitacion_sanlazarodeescomarca_mm,precipitacion_sanjosedeparac_mm,precipitacion_chalilla_mm,precipitacion_areal_mm
1964-01-01,0.0,8.8,46.3,37.4,7.0,25.2,44.6,49.1,84.9,36.86
1964-02-01,0.0,8.0,64.6,75.6,33.6,76.7,101.8,84.8,58.9,84.13
1964-03-01,0.0,7.5,57.6,60.0,16.5,91.0,88.9,72.1,126.5,73.47
1964-04-01,0.0,1.9,61.1,13.5,24.0,34.5,26.5,39.2,91.8,21.9
1964-05-01,0.0,0.4,5.1,0.1,0.0,2.0,3.0,10.0,0.5,2.48
1964-06-01,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964-07-01,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964-08-01,6.7,0.1,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0
1964-09-01,0.0,0.1,0.0,0.2,0.0,0.0,0.0,10.3,3.0,0.0
1964-10-01,0.7,0.2,4.6,0.0,0.0,7.0,0.3,17.7,1.4,0.25
1964-11-01,1.8,0.5,6.0,5.4,5.0,8.8,0.0,27.3,0.7,0.0
1964-12-01,0.6,4.3,33.2,4.3,20.3,30.7,0.0,55.0,44.2,0.0
1965-01-01,0.0,12.2,55.4,52.2,48.4,76.2,80.6,78.0,86.3,66.61
1965-02-01,0.0,11.9,82.8,80.8,86.3,81.7,117.0,109.9,89.6,96.7
1965-03-01,0.0,28.0,69.8,75.4,103.9,45.7,111.3,113.4,139.5,91.99
1965-04-01,0.0,1.7,10.5,22.8,22.0,0.0,40.0,41.1,31.8,33.06
1965-05-01,1.6,0.0,2.6,0.0,1.7,0.0,0.0,8.3,0.0,0.0
1965-06-01,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
1965-07-01,1.2,1.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1965-08-01,5.6,0.0,0.0,0.1,0.0,0.0,0.0,2.2,0.0,0.0
1965-09-01,7.1,1.4,3.8,1.2,0.3,6.4,3.6,12.8,8.5,2.98
1965-10-01,2.3,0.0,13.7,0.0,9.6,0.0,0.0,62.5,0.0,0.0
1965-11-01,0.3,0.0,6.7,6.8,0.2,0.0,9.0,30.1,17.0,7.44
1965-12-01,2.2,0.0,24.8,19.9,0.5,21.2,44.8,48.5,46.9,37.03
1966-01-01,0.0,4.3,61.6,48.2,29.6,65.3,70.9,79.3,99.0,58.6
1966-02-01,0.0,0.0,38.7,53.4,19.6,52.4,36.8,39.6,54.3,30.41
1966-03-01,0.0,19.8,52.5,57.1,110.8,98.5,84.7,99.4,104.2,70.0
1966-04-01,0.0,1.3,22.3,16.3,3.3,17.9,30.6,31.1,44.6,25.29
1966-05-01,0.0,0.0,0.2,0.0,5.3,2.4,2.7,19.1,0.0,2.23
1966-06-01,0.6,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0
1966-07-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
1966-08-01,2.1,0.0,0.0,0.1,0.0,0.0,0.0,2.2,0.0,0.0
1966-09-01,2.2,0.0,0.0,1.5,0.0,0.0,4.8,13.0,4.1,3.97
1966-10-01,1.8,0.0,18.0,37.8,23.2,92.4,66.0,161.2,90.6,54.55
1966-11-01,2.7,0.0,0.0,5.8,0.1,19.6,2.4,19.1,3.0,1.98
1966-12-01,1.2,0.0,37.0,13.6,5.1,21.4,26.8,60.6,60.2,22.15
1967-01-01,0.3,33.7,77.3,68.1,135.8,106.0,119.2,131.5,103.7,98.52
