date,precipitacion_aguadablanca_mm,precipitacion_casca_mm,precipitacion_characato_mm,precipitacion_jollojello_mm,precipitacion_lluclla_mm,precipitacion_lluta_mm
1961-03-01,,,13.81,,,
1961-04-01,,,1.11,,,
1961-05-01,,,7.1,,,
1961-06-01,,,0.0,,,
1961-07-01,,,0.0,,,
1961-08-01,,,0.0,,,
1961-09-01,,,3.0,,,
1961-10-01,,,0.01,,,
1961-11-01,,,3.59,,,
1961-12-01,,,21.12,,,
1962-01-01,,,51.84,,,
1962-02-01,,,43.87,,,
1962-03-01,,,13.16,,,
1962-04-01,,,0.56,,,
1962-05-01,,,0.0,,,
1962-06-01,,,0.0,,,
1962-07-01,,,0.0,,,
1962-08-01,,,0.0,,,
1962-09-01,,,0.01,,,
1962-10-01,,,0.0,,,
1962-11-01,,,0.0,,,
1962-12-01,,,0.68,,,
1963-01-01,,,57.34,,,
1963-02-01,,,114.03,,,
1963-03-01,,,79.09,,,
1963-04-01,,,1.44,,,
1963-05-01,,,0.0,,,
1963-06-01,,,0.0,,,
1963-07-01,,,0.0,,,
1963-08-01,,,0.0,,,
1963-09-01,,,7.45,,,
1963-10-01,,,2.86,,,
1963-11-01,,,0.96,,,0.0
1963-12-01,,,1.08,,,0.0
1964-01-01,,,27.29,,,10.0
1964-02-01,,,12.75,,,9.0
1964-03-01,,,27.69,,,19.0
1964-04-01,,,3.3,,,0.0
1964-05-01,,,0.0,,,0.0
1964-06-01,,,0.0,,,0.0
1964-07-01,,,0.0,,,0.0
1964-08-01,,,1.31,,,0.0
1964-09-01,,,0.0,,,0.0
1964-10-01,,,0.0,,,7.0
1964-11-01,,,34.0,,,10.0
1964-12-01,,,22.93,,,45.0
1965-01-01,,,14.44,,,27.0
1965-02-01,,,22.83,,,7.0
1965-03-01,,,5.48,,,3.3
1965-04-01,,,0.0,,,0.0
1965-05-01,,,0.0,,,0.0
1965-06-01,,,0.0,,,0.0
1965-07-01,,,0.0,,,0.0
1965-08-01,,,0.0,,,0.0
1965-09-01,,,6.15,,,26.5
1965-10-01,,,0.0,,,4.0
1965-11-01,,,0.0,,,0.0
1965-12-01,,,0.0,,,0.0
1966-01-01,,,0.0,,,0.0
1966-02-01,,,3.95,,,12.0
1966-03-01,,,1.33,,,3.0
1966-04-01,,,0.0,,,0.0
1966-05-01,,,2.01,,,8.2
1966-06-01,,,0.0,,,0.0
1966-07-01,,,0.0,,,0.0
1966-08-01,,,0.0,,,0.0
1966-09-01,,,0.0,,,0.0
1966-10-01,,,9.72,,,8.0
1966-11-01,,,2.05,,,7.0
1966-12-01,,,0.03,,,0.0
1967-01-01,,,47.82,,,36.0
1967-02-01,,,155.15,,,132.04
1967-03-01,,,99.7,,,149.05
1967-04-01,,,21.29,,,64.38
1967-05-01,,,0.01,,,0.0
1967-06-01,,,0.0,,,0.0
1967-07-01,,,0.0,,,0.0
1967-08-01,,,0.0,,,0.0
1967-09-01,,,0.0,,,0.0
1967-10-01,,,0.0,,,0.0
1967-11-01,,,0.0,,,0.0
1967-12-01,,,,,,13.0
1968-01-01,,,138.72,,,124.91
1968-02-01,,,64.7,,,23.91
1968-03-01,,,52.89,,,60.42
1968-04-01,,,0.4,,,0.0
1968-05-01,,,0.26,,,6.7
1968-06-01,,,0.0,,,0.0
1968-07-01,,,0.0,,,0.0
1968-08-01,,,0.0,,,0.0
