date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1963-08-01,0.0,1.5,0.01,0.0,0.48,1.87,0.0,0.5,1.58,0.7,0.53,0.06,5.9,0.8,0.0,2.0,0.23,7.0,0.0,0.05133333333333333,0.23,1.35,0.01
1963-09-01,4.0,46.35,2.0,1.66,14.74,36.99,0.0,12.17,30.12,11.1,43.68,10.15,20.5,18.0,7.5,0.4,4.63,11.5,0.01,0.10090909090909086,0.34,5.78,0.02
1963-10-01,0.0,41.5,0.04,0.14,0.01,0.48,0.0,40.68,24.35,10.6,56.65,0.0,38.3,43.5,7.75,8.0,0.0,23.0,0.0,0.08155555555555555,0.0,10.11,0.0
1963-11-01,0.0,41.1,7.6,14.7,0.0,0.33,0.0,70.12,125.0,17.31,54.17,0.0,67.1,45.2,4.0,55.0,17.9,54.5,1.61,0.05244444444444444,0.01,34.6,3.2
1963-12-01,9.5,131.8,12.9,22.6,43.81,60.7,1.19,192.66,210.61,159.12,169.54,15.6,193.3,137.4,27.5,88.0,52.1,100.0,0.93,0.0,0.0,128.2,4.8
1964-01-01,31.0,86.1,39.9,35.1,37.91,60.7,0.0,144.92,102.9,88.1,162.12,37.4,74.5,98.1,44.0,51.0,52.2,72.0,38.0,0.0,0.2,44.2,8.5
1964-02-01,42.6,72.9,28.9,53.8,48.93,91.8,1.2,78.17,102.8,144.0,113.31,21.2,158.7,131.9,27.3,164.0,19.34,135.0,64.0,0.0,0.0,41.9,30.2
1964-03-01,67.6,114.4,112.3,60.1,62.71,103.3,32.4,109.99,97.89,113.4,105.64,16.6,115.0,111.8,32.1,7.4,50.8,87.5,36.0,7.4,4.51,83.6,26.2
1964-04-01,8.0,42.9,27.6,0.0,14.86,27.1,9.0,42.85,30.72,29.2,45.6,25.6,70.6,48.2,48.4,13.0,14.86,48.5,5.0,0.0,0.2,59.2,8.0
1964-05-01,0.0,22.0,0.0,0.0,5.32,30.8,0.0,17.56,13.65,40.0,12.01,4.5,37.1,26.5,15.5,5.0,0.54,58.0,0.0,0.0,0.0,10.1,0.0
1964-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1964-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964-08-01,0.0,6.1,9.1,0.0,2.33,3.8,0.0,4.37,2.43,6.8,3.96,0.9,0.2,3.7,0.7,1.3,0.97,7.5,0.0,0.0,0.0,2.89,0.23
1964-09-01,0.0,4.4,0.0,0.0,0.0,0.7,0.0,4.54,24.9,0.2,8.27,0.0,2.3,1.2,0.0,16.3,0.0,2.5,0.0,0.0,0.0,5.89,0.0
1964-10-01,4.0,17.9,3.4,7.8,14.0,5.8,2.1,15.75,16.39,4.8,24.24,8.7,7.1,20.3,8.2,15.1,7.67,10.0,0.0,0.0,0.0,19.47,5.4
1964-11-01,26.2,59.7,43.1,22.6,49.9,38.3,9.3,56.69,24.9,15.5,55.19,35.4,63.5,70.8,16.5,4.8,40.8,18.5,0.0,0.0,0.0,141.35,24.8
