date,caudal_lacapilla_m3s,volumen_lacapilla_mmc
1938-08-01,1.98,5.13
1938-09-01,1.81,4.69
1938-10-01,1.88,4.87
1938-11-01,2.4,6.22
1938-12-01,6.38,16.54
1939-01-01,19.97,51.76
1939-02-01,45.78,118.66
1939-03-01,74.12,192.12
1939-04-01,38.15,98.88
1939-05-01,10.59,27.45
1939-06-01,4.59,11.9
1939-07-01,3.56,9.23
1939-08-01,2.98,7.72
1939-09-01,2.56,6.64
1939-10-01,3.17,8.22
1939-11-01,3.72,9.64
1939-12-01,10.93,28.33
1940-01-01,41.42,107.36
1940-02-01,32.11,83.23
1940-03-01,56.94,147.59
1940-04-01,21.72,56.3
1940-05-01,5.89,15.27
1940-06-01,3.12,8.09
1940-07-01,2.46,6.38
1940-08-01,2.21,5.73
1940-09-01,2.29,5.94
1940-10-01,2.69,6.97
1940-11-01,4.18,10.83
1940-12-01,3.91,10.13
1941-01-01,39.89,103.39
1941-02-01,37.52,97.25
1941-03-01,41.28,107.0
1941-04-01,2.88,7.46
1941-05-01,2.82,7.31
1941-06-01,1.97,5.11
1941-07-01,1.67,4.33
1941-08-01,1.43,3.71
1941-09-01,1.26,3.27
1941-10-01,1.43,3.71
1941-11-01,1.8,4.67
1941-12-01,8.43,21.85
1942-01-01,33.9,87.87
1942-02-01,50.76,131.57
1942-03-01,40.72,105.55
1942-04-01,11.34,29.39
1942-05-01,12.59,32.63
1942-06-01,2.09,5.42
1942-07-01,1.27,3.29
1942-08-01,1.15,2.98
1942-09-01,0.95,2.46
1942-10-01,1.44,3.73
1942-11-01,1.52,3.94
1942-12-01,4.63,12.0
1943-01-01,31.05,80.48
1943-02-01,74.48,193.05
1943-03-01,47.8,123.9
1943-04-01,35.97,93.23
1943-05-01,4.07,10.55
1943-06-01,2.27,5.88
1943-07-01,1.5,3.89
1943-08-01,1.39,3.6
1943-09-01,1.46,3.78
1943-10-01,2.13,5.52
1943-11-01,2.8,7.26
1943-12-01,11.92,30.9
1944-01-01,38.86,100.73
1944-02-01,51.7,134.01
1944-03-01,70.3,182.22
1944-04-01,19.84,51.43
1944-05-01,7.36,19.08
1944-06-01,2.8,7.26
1944-07-01,2.5,6.48
1944-08-01,2.01,5.21
1944-09-01,1.78,4.61
1944-10-01,1.82,4.72
1944-11-01,2.0,5.18
1944-12-01,5.1,13.22
1945-01-01,25.59,66.33
1945-02-01,28.03,72.65
1945-03-01,63.05,163.43
1945-04-01,27.11,70.27
1945-05-01,5.4,14.0
1945-06-01,2.61,6.77
1945-07-01,1.91,4.95
1945-08-01,1.48,3.84
1945-09-01,1.31,3.4
1945-10-01,1.27,3.29
1945-11-01,6.44,16.69
1945-12-01,20.32,52.67
1946-01-01,76.14,197.35
1946-02-01,110.9,287.45
1946-03-01,152.93,396.39
1946-04-01,67.31,174.47
1946-05-01,10.34,26.8
1946-06-01,3.3,8.55
1946-07-01,2.27,5.88
1946-08-01,1.85,4.8
1946-09-01,1.72,4.46
1946-10-01,2.66,6.89
1946-11-01,6.42,16.64
1946-12-01,21.36,55.37
1947-01-01,33.57,87.01
1947-02-01,27.42,71.07
1947-03-01,57.07,147.93
1947-04-01,21.75,56.38
1947-05-01,8.2,21.25
1947-06-01,2.58,6.69
1947-07-01,1.92,4.98
1947-08-01,1.58,4.1
1947-09-01,1.51,3.91
