date,caudal_angasmayo_m3s,volumen_angasmayo_mmc,caudal_yanacocha_m3s,volumen_yanacocha_mmc,caudal_chamiseria_m3s,volumen_chamiseria_mmc
1960-01-01,19.54,52.336,13.07,35.007,6.93,18.561
1960-02-01,31.24,78.275,13.12,32.873,16.98,42.545
1960-03-01,18.74,50.193,8.18,21.909,22.88,61.282
1960-04-01,7.96,20.632,6.0,15.552,4.7,12.182
1960-05-01,6.14,16.445,1.08,2.893,2.06,5.518
1960-06-01,9.17,23.769,1.84,4.769,1.86,4.821
1960-07-01,3.64,9.749,1.35,3.616,1.72,4.607
1960-08-01,3.32,8.892,1.51,4.044,1.6,4.285
1960-09-01,3.76,9.746,1.66,4.303,1.56,4.044
1960-10-01,4.37,11.705,2.02,5.41,1.61,4.312
1960-11-01,5.2,13.478,2.63,6.817,3.53,9.15
1960-12-01,5.32,14.249,2.34,6.267,3.02,8.089
1961-01-01,16.13,43.203,9.15,24.507,10.23,27.4
1961-02-01,40.59,98.195,16.39,39.651,18.64,45.094
1961-03-01,41.3,110.618,13.21,35.382,6.96,18.642
1961-04-01,25.31,65.604,8.8,22.81,3.28,8.502
1961-05-01,10.61,28.418,2.82,7.553,2.22,5.946
1961-06-01,6.7,17.366,1.34,3.473,2.04,5.288
1961-07-01,5.04,13.499,0.34,0.911,2.13,5.705
1961-08-01,3.91,10.473,0.37,0.991,1.69,4.526
1961-09-01,4.33,11.223,0.47,1.218,1.86,4.821
1961-10-01,3.74,10.017,0.86,2.303,2.17,5.812
1961-11-01,7.7,19.958,1.49,3.862,8.8,22.81
1961-12-01,30.58,81.905,5.15,13.794,13.5,36.158
1962-01-01,32.18,86.191,9.3,24.909,9.34,25.016
1962-02-01,29.25,70.762,14.2,34.353,8.76,21.192
1962-03-01,42.92,114.957,16.7,44.729,11.73,31.418
1962-04-01,22.5,58.32,8.4,21.773,5.21,13.504
1962-05-01,8.21,21.99,2.9,7.767,2.76,7.392
1962-06-01,7.13,18.481,1.2,3.11,2.6,6.739
1962-07-01,5.57,14.919,0.8,2.143,1.71,4.58
1962-08-01,4.63,12.401,0.7,1.875,1.58,4.232
1962-09-01,6.9,17.885,0.9,2.333,1.71,4.432
1962-10-01,4.44,11.892,1.2,3.214,1.57,4.205
1962-11-01,4.46,11.56,1.2,3.11,1.53,3.966
1962-12-01,5.09,13.633,2.0,5.357,2.92,7.821
1963-01-01,33.23,89.003,7.8,20.892,13.34,35.73
1963-02-01,54.18,131.072,16.0,38.707,13.38,32.369
1963-03-01,82.25,220.298,18.1,48.479,13.45,36.024
1963-04-01,23.24,60.238,9.5,24.624,6.33,16.407
1963-05-01,12.35,33.078,3.6,9.642,3.59,9.615
1963-06-01,7.62,19.751,1.5,3.888,1.72,4.458
1963-07-01,6.13,16.419,1.0,2.678,1.85,4.955
1963-08-01,6.07,16.258,0.9,2.411,1.64,4.393
1963-09-01,3.9,10.109,1.0,2.592,1.49,3.862
1963-10-01,6.94,18.588,1.4,3.75,1.82,4.875
1963-11-01,6.54,16.952,1.6,4.147,2.11,5.469
1963-12-01,12.96,34.712,3.2,8.571,3.81,10.205
1964-01-01,7.1,19.017,2.1,5.625,5.06,13.553
1964-02-01,16.9,42.345,6.1,15.284,4.02,10.073
1964-03-01,39.1,104.725,13.8,36.962,7.37,19.74
1964-04-01,21.1,54.691,6.7,17.366,4.51,11.69
1964-05-01,9.6,25.713,2.9,7.767,3.03,8.116
1964-06-01,6.0,15.552,1.2,3.11,2.15,5.573
1964-07-01,4.0,10.714,0.9,2.411,2.61,6.991
1964-08-01,3.8,10.178,0.8,2.143,1.81,4.848
1964-09-01,3.6,9.331,0.9,2.333,1.82,4.717
1964-10-01,3.9,10.446,1.4,3.75,1.65,4.419
1964-11-01,5.8,15.034,1.3,3.37,1.58,4.095
1964-12-01,4.1,10.981,1.5,4.018,1.88,5.035
1965-01-01,8.2,21.963,2.9,7.767,3.63,9.723
1965-02-01,41.1,99.429,18.9,45.723,10.96,26.514
1965-03-01,38.9,104.19,19.0,50.89,10.2,27.32
1965-04-01,12.8,33.178,4.2,10.886,3.1,8.035
1965-05-01,6.6,17.677,2.0,5.357,2.01,5.384
1965-06-01,5.1,13.219,0.9,2.333,1.67,4.329
1965-07-01,4.0,10.714,0.7,1.875,1.73,4.634
