date,caudal_chuapalca_m3_s,volumen_chuapalca_mmc
1963-01-01,2.86,7.6602
1963-02-01,31.3,75.721
1963-03-01,17.94,48.0505
1963-04-01,8.68,22.4986
1963-05-01,6.21,16.6329
1963-06-01,3.6,9.3312
1963-07-01,3.58,9.5887
1963-08-01,3.46,9.2673
1963-09-01,2.81,7.2835
1963-10-01,2.39,6.4014
1963-11-01,2.1,5.4432
1963-12-01,3.27,8.7584
1964-01-01,2.86,7.6602
1964-02-01,5.47,13.7056
1964-03-01,4.22,11.3028
1964-04-01,2.7,6.9984
1964-05-01,2.3,6.1603
1964-06-01,2.28,5.9098
1964-07-01,2.32,6.2139
1964-08-01,2.29,6.1335
1964-09-01,2.07,5.3654
1964-10-01,1.84,4.9283
1964-11-01,2.09,5.4173
1964-12-01,2.37,6.3478
1965-01-01,2.85,7.6334
1965-02-01,5.42,13.1121
1965-03-01,3.1,8.303
1965-04-01,2.55,6.6096
1965-05-01,2.26,6.0532
1965-06-01,2.57,6.6614
1965-07-01,2.52,6.7496
1965-08-01,2.51,6.7228
1965-09-01,2.64,6.8429
1965-10-01,1.68,4.4997
1965-11-01,1.49,3.8621
1965-12-01,1.73,4.6336
1966-01-01,1.68,4.4997
1966-02-01,2.41,5.8303
1966-03-01,2.69,7.2049
1966-04-01,2.18,5.6506
1966-05-01,2.47,6.6156
1966-06-01,2.46,6.3763
1966-07-01,2.54,6.8031
1966-08-01,2.39,6.4014
1966-09-01,1.95,5.0544
1966-10-01,2.07,5.5443
1966-11-01,1.63,4.225
1966-12-01,1.82,4.8747
1967-01-01,1.87,5.0086
1967-02-01,3.73,9.0236
1967-03-01,5.18,13.8741
1967-04-01,2.78,7.2058
1967-05-01,2.53,6.7764
1967-06-01,2.71,7.0243
1967-07-01,2.74,7.3388
1967-08-01,2.84,7.6067
1967-09-01,2.65,6.8688
1967-10-01,2.55,6.8299
1967-11-01,2.47,6.4022
1967-12-01,2.57,6.8835
1968-01-01,3.91,10.4725
1968-02-01,6.03,15.1088
1968-03-01,5.1,13.6598
1968-04-01,3.16,8.1907
1968-05-01,2.66,7.1245
1968-06-01,2.06,5.3395
1968-07-01,1.82,4.8747
1968-08-01,1.8,4.8211
1968-09-01,1.69,4.3805
1968-10-01,1.81,4.8479
1968-11-01,2.52,6.5318
1968-12-01,2.65,7.0978
1969-01-01,3.27,8.7584
1969-02-01,4.03,9.7494
1969-03-01,3.01,8.062
1969-04-01,2.01,5.2099
1969-05-01,1.88,5.0354
1969-06-01,2.14,5.5469
1969-07-01,2.2,5.8925
1969-08-01,2.21,5.9193
1969-09-01,2.26,5.8579
1969-10-01,1.72,4.6068
1969-11-01,1.77,4.5878
1969-12-01,2.58,6.9103
1970-01-01,4.1,10.9814
1970-02-01,5.38,13.0153
1970-03-01,4.3,11.5171
1970-04-01,3.4,8.8128
1970-05-01,2.76,7.3924
1970-06-01,2.45,6.3504
1970-07-01,2.32,6.2139
1970-08-01,2.09,5.5979
1970-09-01,1.82,4.7174
1970-10-01,1.79,4.7943
1970-11-01,1.77,4.5878
1970-12-01,2.58,6.9103
1971-01-01,4.14,11.0886
1971-02-01,12.5,30.24
1971-03-01,4.27,11.4368
1971-04-01,2.37,6.143
1971-05-01,2.24,5.9996
1971-06-01,2.31,5.9875
1971-07-01,2.14,5.7318
1971-08-01,2.11,5.6514
1971-09-01,1.84,4.7693
1971-10-01,1.77,4.7408
1971-11-01,2.16,5.5987
1971-12-01,2.54,6.8031
1972-01-01,8.98,24.052
1972-02-01,7.21,18.0654
1972-03-01,13.29,35.5959
1972-04-01,5.09,13.1933
1972-05-01,2.64,7.071
1972-06-01,2.55,6.6096
1972-07-01,2.93,7.8477
1972-08-01,3.09,8.2763
1972-09-01,3.11,8.0611
1972-10-01,3.07,8.2227
1972-11-01,2.67,6.9206
1972-12-01,3.12,8.3566
1973-01-01,6.78,18.1596
1973-02-01,10.03,24.2646
1973-03-01,11.34,30.3731
1973-04-01,4.63,12.001
1973-05-01,3.06,8.1959
1973-06-01,2.86,7.4131
1973-07-01,2.94,7.8745
1973-08-01,2.74,7.3388
1973-09-01,2.3,5.9616
1973-10-01,2.09,5.5979
1973-11-01,2.04,5.2877
1973-12-01,2.36,6.321
1974-01-01,6.78,18.1596
1974-02-01,10.38,25.1113
1974-03-01,12.47,33.3996
1974-04-01,4.64,12.0269
1974-05-01,3.06,8.1959
1974-06-01,2.87,7.439
1974-07-01,2.94,7.8745
1974-08-01,2.73,7.312
1974-09-01,2.28,5.9098
1974-10-01,2.23,5.9728
1974-11-01,2.21,5.7283
1974-12-01,2.36,6.321
1975-04-01,2.07,5.3654
1975-05-01,1.81,4.8479
1975-06-01,1.8,4.6656
1975-07-01,1.82,4.8747
1975-08-01,2.09,5.5979
1975-09-01,1.84,4.7693
1975-10-01,1.63,4.3658
1975-11-01,1.64,4.2509
1975-12-01,1.7,4.5533
1976-01-01,4.87,13.0438
1976-02-01,14.72,36.8824
1976-03-01,14.09,37.7387
1976-04-01,3.7,9.5904
1976-05-01,2.85,7.6334
1976-06-01,2.7,6.9984
1976-07-01,2.4,6.4282
1976-08-01,2.12,5.6782
1976-09-01,1.77,4.5878
1976-10-01,1.88,5.0354
1976-11-01,1.82,4.7174
1976-12-01,3.64,9.7494
1977-01-01,8.52,22.82
1977-02-01,8.26,19.9826
1977-03-01,5.85,15.6686
1977-04-01,3.26,8.4499
1977-05-01,2.51,6.7228
1977-06-01,2.62,6.791
1977-07-01,2.63,7.0442
1977-08-01,2.6,6.9638
1977-09-01,2.69,6.9725
1977-10-01,1.98,5.3032
1977-11-01,1.8,4.6656
1977-12-01,3.75,10.044
1978-01-01,3.2,8.5709
1978-02-01,8.18,19.7891
1978-03-01,13.27,35.5424
1978-04-01,3.5,9.072
1978-05-01,2.5,6.696
1978-06-01,2.75,7.128
1978-07-01,2.4,6.4282
1978-08-01,2.08,5.5711
1978-09-01,1.99,5.1581
1978-10-01,1.99,5.33
1978-11-01,2.64,6.8429
1978-12-01,2.4,6.4282
1979-01-01,11.53,30.882
1979-02-01,6.31,15.2652
1979-03-01,3.42,9.1601
1979-04-01,2.81,7.2835
1979-05-01,2.03,5.4372
1979-06-01,2.26,5.8579
1979-07-01,2.4,6.4282
1979-08-01,2.25,6.0264
1979-09-01,1.97,5.1062
1979-10-01,1.73,4.6336
1979-11-01,2.58,6.6874
1979-12-01,2.55,6.8299
1980-01-01,7.47,20.0076
1980-02-01,3.28,8.2184
1980-04-01,2.01,5.2099
1980-05-01,1.8,4.8211
1980-06-01,1.85,4.7952
1980-07-01,1.85,4.955
1980-08-01,1.6,4.2854
1980-09-01,1.6,4.1472
1980-10-01,1.77,4.7408
1980-11-01,2.36,6.1171
1980-12-01,1.62,4.339
