date,caudal_kovire_bofedal_m3s
1993-01-01,0.715
1993-02-01,0.427
1993-03-01,0.389
1993-04-01,0.32
1993-05-01,0.324
1993-06-01,0.323
1993-07-01,0.315
1993-08-01,0.318
1993-09-01,0.296
1993-10-01,0.255
1993-11-01,0.214
1993-12-01,0.164
1994-01-01,0.299
1994-02-01,1.073
1994-03-01,0.259
1994-04-01,0.266
1994-05-01,0.271
1994-06-01,0.273
1994-07-01,0.288
1994-08-01,0.268
1994-09-01,0.239
1994-10-01,0.224
1994-11-01,0.228
1994-12-01,0.261
1995-01-01,0.276
1995-02-01,0.317
1995-03-01,0.432
1995-04-01,0.305
1995-05-01,0.289
1995-06-01,0.296
1995-07-01,0.291
1995-08-01,0.292
1995-09-01,0.266
1995-10-01,0.25
1995-11-01,0.259
1995-12-01,0.275
1996-01-01,0.9
1996-02-01,0.5
1996-03-01,1.3
1996-04-01,0.9
1996-05-01,0.7
1996-06-01,0.6
1996-07-01,0.5
1996-08-01,0.5
1996-09-01,0.3
1996-10-01,0.3
1996-11-01,0.3
1996-12-01,0.3
