date,caudal_la_frontera_m3_s,volumen_la_frontera_mmc
1964-01-01,3.07,8.2227
1964-02-01,6.04,15.1338
1964-03-01,4.61,12.3474
1964-04-01,3.17,8.2166
1964-05-01,2.86,7.6602
1964-06-01,2.99,7.7501
1964-07-01,2.38,6.3746
1964-08-01,2.72,7.2852
1964-09-01,2.43,6.2986
1964-10-01,2.01,5.3836
1964-11-01,2.25,5.832
1964-12-01,2.59,6.9371
1965-01-01,3.32,8.8923
1965-02-01,8.31,20.1036
1965-03-01,3.51,9.4012
1965-04-01,2.74,7.1021
1965-07-01,2.83,7.5799
1965-08-01,2.8,7.4995
1965-09-01,3.0,7.776
1965-10-01,1.95,5.2229
1965-11-01,1.74,4.5101
1965-12-01,2.08,5.5711
1966-01-01,1.76,4.714
1966-02-01,2.85,6.8947
1966-03-01,2.91,7.7941
1966-04-01,2.28,5.9098
1966-05-01,2.64,7.071
1966-06-01,2.27,5.8838
1966-07-01,2.61,6.9906
1966-08-01,2.27,6.08
1966-09-01,2.21,5.7283
1966-10-01,2.38,6.3746
1966-11-01,2.66,6.8947
1967-01-01,2.51,6.7228
1967-02-01,4.79,11.588
1967-03-01,7.38,19.7666
1967-04-01,3.9,10.1088
1967-05-01,2.86,7.6602
1967-06-01,2.99,7.7501
1967-07-01,2.98,7.9816
1967-08-01,2.83,7.5799
1967-09-01,2.77,7.1798
1967-10-01,2.65,7.0978
1967-11-01,2.53,6.5578
1967-12-01,3.18,8.5173
1968-01-01,4.94,13.2313
1968-02-01,7.49,18.7669
1968-03-01,6.17,16.5257
1968-04-01,3.32,8.6054
1968-05-01,3.03,8.1156
1968-06-01,2.45,6.3504
1968-07-01,2.6,6.9638
1968-08-01,2.21,5.9193
1968-09-01,2.53,6.5578
1968-11-01,3.5,9.072
1968-12-01,3.04,8.1423
1969-01-01,4.21,11.2761
1969-02-01,5.03,12.1686
1969-03-01,5.09,13.6331
1969-04-01,2.33,6.0394
1969-05-01,2.41,6.4549
1969-06-01,2.52,6.5318
1969-07-01,2.41,6.4549
1969-08-01,2.53,6.7764
1969-09-01,2.57,6.6614
1969-10-01,2.06,5.5175
1969-11-01,1.89,4.8989
1969-12-01,2.93,7.8477
1970-01-01,4.51,12.0796
1970-02-01,6.08,14.7087
1970-03-01,5.09,13.6331
1970-04-01,3.09,8.0093
1970-05-01,2.69,7.2049
1970-06-01,2.65,6.8688
1970-07-01,2.44,6.5353
1970-08-01,1.99,5.33
1970-09-01,2.18,5.6506
1970-10-01,2.09,5.5979
1970-11-01,3.28,8.5018
1971-01-01,4.85,12.9902
1971-02-01,5.09,12.3137
1971-03-01,5.8,15.5347
1971-04-01,2.8,7.2576
1971-05-01,2.65,7.0978
1971-06-01,2.62,6.791
1971-07-01,2.62,7.0174
1971-08-01,2.33,6.2407
1971-09-01,2.02,5.2358
1971-10-01,1.92,5.1425
1991-06-01,2.15,5.5728
1991-07-01,2.04,5.4639
1991-08-01,1.96,5.2497
1991-09-01,1.71,4.4323
1991-10-01,1.85,4.955
1991-11-01,1.79,4.6397
1992-01-01,2.6,6.9638
1992-02-01,1.73,4.3347
1992-03-01,1.71,4.5801
1992-04-01,1.81,4.6915
1992-05-01,2.14,5.7318
1992-06-01,2.23,5.7802
1992-07-01,2.14,5.7318
1992-08-01,2.05,5.4907
1992-09-01,1.78,4.6138
1992-10-01,1.94,5.1961
