date,caudal_quirihuac_m3s,volumen_quirihuac_mmc,caudal_huacapongo_rio_viru_m3s,volumen_huacapongo_rio_viru_mmc,caudal_condorcerro_m3s,volumen_condorcerro_mmc,caudal_salinar_rio_chicama_m3s,volumen_salinar_rio_chicama_mmc
1956-08-01,0.358,0.93,0.099,0.26,45.89,118.95,5.657,14.66
1956-09-01,0.302,0.78,0.04,0.1,46.05,119.36,4.183,10.84
1956-10-01,3.432,8.9,0.448,1.16,71.51,185.35,8.745,22.67
1956-11-01,0.507,1.31,0.067,0.17,66.87,173.33,3.242,8.4
1956-12-01,0.192,0.5,0.053,0.14,74.62,193.42,1.989,5.16
1957-01-01,1.14,2.95,0.48,1.24,116.7,302.49,4.794,12.43
1957-02-01,20.761,53.81,20.837,54.01,139.54,361.69,45.163,117.06
1957-03-01,54.881,142.25,16.887,43.77,295.32,765.47,140.126,363.21
1957-04-01,67.234,174.27,18.088,46.88,538.8,1396.57,123.361,319.75
1957-05-01,11.178,28.97,2.828,7.33,135.05,350.05,51.226,132.78
1957-06-01,2.185,5.66,0.899,2.33,95.92,248.62,14.579,37.79
1957-07-01,0.832,2.16,0.27,0.7,59.84,155.11,8.975,23.26
1957-08-01,0.299,0.78,0.097,0.25,53.48,138.62,6.253,16.21
1957-09-01,0.507,1.31,0.08,0.21,62.97,163.22,5.282,13.69
1957-10-01,0.387,1.0,0.133,0.34,86.95,225.37,4.211,10.91
1957-11-01,1.347,3.49,0.457,1.18,66.9,173.4,6.702,17.37
1957-12-01,1.476,3.83,1.003,2.6,119.73,310.34,5.537,14.35
1958-01-01,6.14,15.91,3.005,7.79,136.98,355.05,19.348,50.15
1958-02-01,9.431,24.45,3.397,8.81,195.25,506.09,30.352,78.67
1958-03-01,35.082,90.93,21.279,55.16,289.98,751.63,96.921,251.22
1958-04-01,14.44,37.43,4.918,12.75,239.88,621.77,43.736,113.36
1958-05-01,4.757,12.33,0.956,2.48,80.68,209.12,22.619,58.63
1958-06-01,1.261,3.27,0.391,1.01,58.29,151.09,8.872,23.0
1958-07-01,0.405,1.05,0.109,0.28,47.86,124.05,5.833,15.12
1958-08-01,0.267,0.69,0.055,0.14,48.42,125.5,4.472,11.59
1958-09-01,0.119,0.31,0.048,0.12,76.01,197.02,3.327,8.62
1958-10-01,0.963,2.5,0.107,0.28,95.97,248.75,3.829,9.92
1958-11-01,0.149,0.39,0.06,0.16,108.91,282.29,1.791,4.64
1958-12-01,0.231,0.6,0.051,0.13,124.39,322.42,2.011,5.21
1959-01-01,0.12,0.31,0.044,0.11,132.2,342.66,1.756,4.55
1959-02-01,5.461,14.15,1.415,3.67,137.19,355.6,20.788,53.88
1959-03-01,24.778,64.22,13.46,34.89,336.41,871.97,93.712,242.9
1959-04-01,48.983,126.96,14.926,38.69,252.82,655.31,74.451,192.98
