date,caudal_ingenio_m3s,volumen_ingenio_mmc,caudal_aja_m3s,volumen_aja_mmc,caudal_lastrancas_m3s,volumen_lastrancas_mmc,caudal_tierrasblancas_m3s,volumen_tierrasblancas_mmc,caudal_taruga_m3s,volumen_taruga_mmc,caudal_chauchilla_m3s,volumen_chauchilla_mmc,caudal_socos_m3s,volumen_socos_mmc,caudal_urupalla_m3s,volumen_urupalla_mmc,caudal_grande_m3s,volumen_grande_mmc,caudal_viscas_m3s,volumen_viscas_mmc,caudal_palpa_m3s,volumen_palpa_mmc,caudal_santacruz_m3s,volumen_santacruz_mmc
1984-01-01,2.116,5.48,1.34,3.47,0.467,1.21,0.812,2.1,0.137,0.36,0.132,0.34,0.177,0.46,NA,NA,2.183,5.66,1.336,3.46,1.595,4.13,0.013,0.03
1984-02-01,19.13,49.58,12.517,32.44,5.613,14.55,8.747,22.67,4.194,10.87,0.714,1.85,0.684,1.77,NA,NA,35.608,92.3,14.491,37.56,9.728,25.21,1.691,4.38
1984-03-01,8.25,21.38,4.457,11.55,3.376,8.75,2.591,6.72,1.429,3.7,0.551,1.43,0.033,0.09,NA,NA,15.439,40.02,8.201,21.26,5.321,13.79,0.831,2.15
1984-04-01,2.942,7.63,0.518,1.34,0.131,0.34,0.163,0.42,0.078,0.2,0.008,0.02,0.0,0.0,NA,NA,4.993,12.94,0.983,2.55,1.051,2.72,0.0,0.0
1984-05-01,0.451,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.89,4.9,0.095,0.25,0.061,0.16,0.0,0.0
1984-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.942,2.44,0.0,0.0,0.0,0.0,0.0,0.0
1984-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.493,1.28,0.0,0.0,0.0,0.0,0.0,0.0
1984-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.3,0.78,0.0,0.0,0.0,0.0,0.0,0.0
1984-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.683,1.77,0.0,0.0,0.0,0.0,0.0,0.0
1984-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-11-01,0.747,1.94,0.279,0.72,0.042,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.675,1.75,0.142,0.37,0.0,0.0,0.0,0.0
1984-12-01,1.044,2.71,0.181,0.47,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,4.734,12.27,0.279,0.72,0.031,0.08,0.0,0.0
1985-01-01,0.115,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.706,4.42,0.0,0.0,0.0,0.0,0.0,0.0
1985-02-01,13.223,34.27,8.602,22.3,4.654,12.06,7.904,20.49,2.762,7.16,0.772,2.0,0.338,0.88,NA,NA,13.336,34.57,3.403,8.82,2.259,5.86,0.652,1.69
1985-03-01,8.185,21.22,3.57,9.25,1.791,4.64,1.773,4.6,0.852,2.21,0.142,0.37,0.0,0.0,NA,NA,9.261,24.0,3.435,8.9,3.153,8.17,0.408,1.06
1985-04-01,5.287,13.7,1.703,4.41,1.553,4.03,0.073,0.19,0.263,0.68,0.0,0.0,0.0,0.0,NA,NA,8.738,22.65,1.412,3.66,1.616,4.19,0.16,0.41
1985-05-01,0.651,1.69,0.048,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,2.248,5.83,0.152,0.39,0.182,0.47,0.0,0.0
1985-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.667,1.73,0.0,0.0,0.0,0.0,0.0,0.0
1985-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.283,0.73,0.0,0.0,0.0,0.0,0.0,0.0
1985-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.184,0.48,0.0,0.0,0.0,0.0,0.0,0.0
1985-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-12-01,0.521,1.35,0.743,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.335,0.87,0.044,0.11,0.0,0.0,0.0,0.0
1986-01-01,8.913,23.1,5.978,15.49,1.385,3.59,1.146,2.97,0.712,1.85,0.138,0.36,0.133,0.34,NA,NA,10.715,27.77,4.892,12.68,3.518,9.12,0.069,0.18
1986-02-01,22.975,59.55,8.143,21.11,3.297,8.55,4.313,11.18,2.521,6.53,0.724,1.88,0.366,0.95,NA,NA,44.304,114.84,12.071,31.29,10.791,27.97,2.726,7.07
1986-03-01,14.985,38.84,5.132,13.3,0.187,0.48,2.023,5.24,1.208,3.13,0.043,0.11,0.077,0.2,NA,NA,21.407,55.49,8.079,20.94,8.112,21.03,1.039,2.69
1986-04-01,3.553,9.21,0.482,1.25,0.0,0.0,0.503,1.3,0.058,0.15,0.0,0.0,0.0,0.0,NA,NA,6.664,17.27,2.486,6.44,4.338,11.24,0.164,0.43
1986-05-01,0.161,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,3.743,9.7,0.483,1.25,1.339,3.47,0.0,0.0
1986-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,1.9,4.92,0.0,0.0,0.002,0.01,0.0,0.0
1986-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.787,2.04,0.0,0.0,0.0,0.0,0.0,0.0
1986-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.158,0.41,0.0,0.0,0.0,0.0,0.0,0.0
1986-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.023,0.06,0.0,0.0,0.0,0.0,0.0,0.0
1986-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-12-01,0.819,2.12,0.745,1.93,0.071,0.18,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.865,2.24,0.122,0.32,0.17,0.44,0.011,0.03
1987-01-01,7.915,20.52,0.168,0.44,1.773,4.6,0.198,0.51,0.262,0.68,0.0,0.0,0.0,0.0,NA,NA,8.793,22.79,3.815,9.89,2.491,6.46,0.504,1.31
1987-02-01,3.974,10.3,9.111,23.62,0.57,1.48,4.179,10.83,0.089,0.23,0.0,0.0,1.167,3.02,NA,NA,5.969,15.47,1.685,4.37,1.846,4.78,0.165,0.43
1987-03-01,0.523,1.36,2.002,5.19,0.0,0.0,0.38,0.98,0.0,0.0,0.0,0.0,0.141,0.37,NA,NA,1.962,5.09,0.333,0.86,0.198,0.51,0.158,0.41
1987-04-01,0.085,0.22,1.169,3.03,0.0,0.0,0.144,0.37,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.937,2.43,0.0,0.0,0.0,0.0,0.0,0.0
1987-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.017,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
