date,caudal_puenteocona_m3s,volumen_puenteocona_mmc,tipo_dato_caudal
1965-09-01,52.5,136.08,calculado_gr2m
1965-10-01,51.3,137.4,calculado_gr2m
1965-11-01,50.6,131.16,calculado_gr2m
1965-12-01,50.7,135.79,calculado_gr2m
1966-01-01,239.7,642.01,calculado_gr2m
1966-02-01,187.2,452.87,calculado_gr2m
1966-03-01,157.7,422.38,calculado_gr2m
1966-04-01,122.9,318.56,calculado_gr2m
1966-05-01,70.8,189.63,calculado_gr2m
1966-06-01,62.2,161.22,calculado_gr2m
1966-07-01,57.3,153.47,calculado_gr2m
1966-08-01,54.3,145.44,calculado_gr2m
1966-09-01,50.6,131.16,calculado_gr2m
1966-10-01,50.1,134.19,calculado_gr2m
1966-11-01,49.8,129.08,calculado_gr2m
1966-12-01,50.0,133.92,calculado_gr2m
1967-01-01,92.9,248.82,calculado_gr2m
1967-02-01,103.1,249.42,calculado_gr2m
1967-03-01,106.4,284.98,calculado_gr2m
1967-04-01,98.1,254.28,calculado_gr2m
1967-05-01,57.3,153.47,calculado_gr2m
1967-06-01,54.3,140.75,calculado_gr2m
1967-07-01,52.5,140.62,calculado_gr2m
1967-08-01,51.3,137.4,calculado_gr2m
1967-09-01,55.4,143.6,calculado_gr2m
1967-10-01,53.3,142.76,calculado_gr2m
1967-11-01,52.1,135.04,calculado_gr2m
1967-12-01,58.2,155.88,calculado_gr2m
1968-01-01,199.5,534.34,calculado_gr2m
1968-02-01,363.3,910.28,calculado_gr2m
1968-03-01,365.5,978.96,calculado_gr2m
1968-04-01,186.1,482.37,calculado_gr2m
1968-05-01,97.8,261.95,calculado_gr2m
1968-06-01,76.1,197.25,calculado_gr2m
1968-07-01,65.1,174.36,calculado_gr2m
1968-08-01,59.0,158.03,calculado_gr2m
1968-09-01,55.3,143.34,calculado_gr2m
1968-10-01,53.2,142.49,calculado_gr2m
1968-11-01,52.1,135.04,calculado_gr2m
1968-12-01,58.4,156.42,calculado_gr2m
1969-01-01,198.6,531.93,calculado_gr2m
1969-02-01,341.5,826.16,calculado_gr2m
1969-03-01,347.5,930.74,calculado_gr2m
1969-04-01,182.2,472.26,calculado_gr2m
1969-05-01,96.4,258.2,calculado_gr2m
1969-06-01,75.4,195.44,calculado_gr2m
1969-07-01,64.7,173.29,calculado_gr2m
1969-08-01,58.8,157.49,calculado_gr2m
1969-09-01,53.8,139.45,calculado_gr2m
1969-10-01,52.2,139.81,calculado_gr2m
1969-11-01,51.3,132.97,calculado_gr2m
1969-12-01,53.7,143.83,calculado_gr2m
1970-01-01,141.4,378.73,calculado_gr2m
1970-02-01,212.0,512.87,calculado_gr2m
1970-03-01,220.3,590.05,calculado_gr2m
1970-04-01,147.0,381.02,calculado_gr2m
1970-05-01,82.2,220.16,calculado_gr2m
1970-06-01,68.3,177.03,calculado_gr2m
1970-07-01,60.8,162.85,calculado_gr2m
1970-08-01,56.5,151.33,calculado_gr2m
1970-09-01,54.6,141.52,calculado_gr2m
1970-10-01,52.7,141.15,calculado_gr2m
1970-11-01,51.7,134.01,calculado_gr2m
1970-12-01,55.7,149.19,calculado_gr2m
1971-01-01,162.9,436.31,calculado_gr2m
1971-02-01,279.4,675.92,calculado_gr2m
1971-03-01,277.9,744.33,calculado_gr2m
1971-04-01,164.0,425.09,calculado_gr2m
1971-05-01,89.4,239.45,calculado_gr2m
1971-06-01,72.0,186.62,calculado_gr2m
1971-07-01,62.8,168.2,calculado_gr2m
1971-08-01,57.7,154.54,calculado_gr2m
1971-09-01,53.7,139.19,calculado_gr2m
1971-10-01,52.2,139.81,calculado_gr2m
1971-11-01,51.3,132.97,calculado_gr2m
1971-12-01,53.8,144.1,calculado_gr2m
1972-01-01,135.8,363.73,calculado_gr2m
1972-02-01,207.8,520.66,calculado_gr2m
1972-03-01,215.8,578.0,calculado_gr2m
1972-04-01,145.3,376.62,calculado_gr2m
1972-05-01,81.4,218.02,calculado_gr2m
1972-06-01,67.9,176.0,calculado_gr2m
1972-07-01,60.6,162.31,calculado_gr2m
1972-08-01,56.3,150.79,calculado_gr2m
1972-09-01,56.8,147.23,calculado_gr2m
1972-10-01,54.4,145.7,calculado_gr2m
1972-11-01,53.4,138.41,calculado_gr2m
1972-12-01,73.4,196.59,calculado_gr2m
1973-01-01,378.1,1012.7,calculado_gr2m
1973-02-01,710.5,1718.84,calculado_gr2m
1973-03-01,647.4,1734.0,calculado_gr2m
1973-04-01,233.8,606.01,calculado_gr2m
1973-05-01,113.7,304.53,calculado_gr2m
1973-06-01,83.3,215.91,calculado_gr2m
1973-07-01,68.9,184.54,calculado_gr2m
1973-08-01,61.2,163.92,calculado_gr2m
1973-09-01,54.8,142.04,calculado_gr2m
1973-10-01,52.8,141.42,calculado_gr2m
1973-11-01,51.7,134.01,calculado_gr2m
1973-12-01,55.8,149.45,calculado_gr2m
1974-01-01,220.9,591.66,calculado_gr2m
1974-02-01,300.4,726.73,calculado_gr2m
1974-03-01,293.1,785.04,calculado_gr2m
1974-04-01,168.6,437.01,calculado_gr2m
1974-05-01,91.2,244.27,calculado_gr2m
1974-06-01,72.9,188.96,calculado_gr2m
1974-07-01,63.3,169.54,calculado_gr2m
1974-08-01,58.0,155.35,calculado_gr2m
1974-09-01,54.7,141.78,calculado_gr2m
1974-10-01,52.8,141.42,calculado_gr2m
1974-11-01,51.7,134.01,calculado_gr2m
1974-12-01,55.9,149.72,calculado_gr2m
1975-01-01,171.3,458.81,calculado_gr2m
1975-02-01,292.3,707.13,calculado_gr2m
1975-03-01,291.2,779.95,calculado_gr2m
1975-04-01,167.7,434.68,calculado_gr2m
1975-05-01,90.8,243.2,calculado_gr2m
1975-06-01,72.7,188.44,calculado_gr2m
1975-07-01,63.3,169.54,calculado_gr2m
1975-08-01,57.9,155.08,calculado_gr2m
1975-09-01,55.2,143.08,calculado_gr2m
1975-10-01,53.1,142.22,calculado_gr2m
1975-11-01,52.0,134.78,calculado_gr2m
1975-12-01,58.2,155.88,calculado_gr2m
1976-01-01,187.5,502.2,calculado_gr2m
1976-02-01,330.5,828.1,calculado_gr2m
1976-03-01,334.1,894.85,calculado_gr2m
1976-04-01,178.8,463.45,calculado_gr2m
1976-05-01,95.1,254.72,calculado_gr2m
1976-06-01,74.8,193.88,calculado_gr2m
1976-07-01,64.4,172.49,calculado_gr2m
1976-08-01,58.6,156.95,calculado_gr2m
1976-09-01,55.3,143.34,calculado_gr2m
1976-10-01,53.2,142.49,calculado_gr2m
1976-11-01,52.1,135.04,calculado_gr2m
1976-12-01,58.3,156.15,calculado_gr2m
1977-01-01,201.4,539.43,calculado_gr2m
1977-02-01,353.2,854.46,calculado_gr2m
1977-03-01,352.4,943.87,calculado_gr2m
1977-04-01,183.0,474.34,calculado_gr2m
1977-05-01,96.7,259.0,calculado_gr2m
1977-06-01,75.5,195.7,calculado_gr2m
1977-07-01,64.8,173.56,calculado_gr2m
1977-08-01,58.8,157.49,calculado_gr2m
1977-09-01,54.2,140.49,calculado_gr2m
1977-10-01,52.4,140.35,calculado_gr2m
1977-11-01,51.4,133.23,calculado_gr2m
1977-12-01,54.3,145.44,calculado_gr2m
1978-01-01,149.6,400.69,calculado_gr2m
1978-02-01,230.4,557.38,calculado_gr2m
1978-03-01,241.7,647.37,calculado_gr2m
1978-04-01,153.9,398.91,calculado_gr2m
1978-05-01,85.2,228.2,calculado_gr2m
1978-06-01,69.8,180.92,calculado_gr2m
1978-07-01,61.7,165.26,calculado_gr2m
1978-08-01,57.0,152.67,calculado_gr2m
1978-09-01,51.7,134.01,calculado_gr2m
1978-10-01,50.8,136.06,calculado_gr2m
1978-11-01,50.3,130.38,calculado_gr2m
1978-12-01,50.9,136.33,calculado_gr2m
1979-01-01,103.3,276.68,calculado_gr2m
1979-02-01,123.7,299.26,calculado_gr2m
1979-03-01,130.2,348.73,calculado_gr2m
1979-04-01,110.8,287.19,calculado_gr2m
1979-05-01,64.5,172.76,calculado_gr2m
1979-06-01,58.6,151.89,calculado_gr2m
1979-07-01,55.1,147.58,calculado_gr2m
1979-08-01,53.0,141.96,calculado_gr2m
1979-09-01,52.4,135.82,calculado_gr2m
1979-10-01,51.3,137.4,calculado_gr2m
1979-11-01,50.6,131.16,calculado_gr2m
1979-12-01,51.6,138.21,calculado_gr2m
1980-01-01,108.7,291.14,calculado_gr2m
1980-02-01,145.3,364.06,calculado_gr2m
1980-03-01,152.9,409.53,calculado_gr2m
1980-04-01,121.3,314.41,calculado_gr2m
1980-05-01,70.0,187.49,calculado_gr2m
1980-06-01,61.8,160.19,calculado_gr2m
1980-07-01,57.0,152.67,calculado_gr2m
1980-08-01,54.2,145.17,calculado_gr2m
1980-09-01,52.0,134.78,calculado_gr2m
1980-10-01,51.1,136.87,calculado_gr2m
1980-11-01,50.5,130.9,calculado_gr2m
1980-12-01,51.1,136.87,calculado_gr2m
1981-01-01,104.9,280.96,calculado_gr2m
1981-02-01,131.4,317.88,calculado_gr2m
1981-03-01,140.9,377.39,calculado_gr2m
1981-04-01,115.9,300.41,calculado_gr2m
1981-05-01,67.2,179.99,calculado_gr2m
1981-06-01,60.2,156.04,calculado_gr2m
1981-07-01,56.1,150.26,calculado_gr2m
1981-08-01,53.6,143.56,calculado_gr2m
1981-09-01,55.4,143.6,calculado_gr2m
1981-10-01,53.3,142.76,calculado_gr2m
1981-11-01,52.1,135.04,calculado_gr2m
1981-12-01,58.9,157.76,calculado_gr2m
1982-01-01,201.3,539.16,calculado_gr2m
1982-02-01,371.5,898.73,calculado_gr2m
1982-03-01,365.7,979.49,calculado_gr2m
1982-04-01,185.7,481.33,calculado_gr2m
1982-05-01,97.7,261.68,calculado_gr2m
1982-06-01,76.0,196.99,calculado_gr2m
1982-07-01,65.1,174.36,calculado_gr2m
1982-08-01,59.0,158.03,calculado_gr2m
1982-09-01,53.6,138.93,calculado_gr2m
1982-10-01,52.1,139.54,calculado_gr2m
1982-11-01,51.2,132.71,calculado_gr2m
1982-12-01,53.3,142.76,calculado_gr2m
1983-01-01,136.3,365.07,calculado_gr2m
1983-02-01,196.8,476.1,calculado_gr2m
1983-03-01,208.2,557.64,calculado_gr2m
1983-04-01,143.0,370.66,calculado_gr2m
1983-05-01,80.4,215.34,calculado_gr2m
1983-06-01,67.4,174.7,calculado_gr2m
1983-07-01,60.3,161.51,calculado_gr2m
1983-08-01,56.1,150.26,calculado_gr2m
1983-09-01,51.3,132.97,calculado_gr2m
1983-10-01,50.6,135.53,calculado_gr2m
1983-11-01,50.1,129.86,calculado_gr2m
1983-12-01,50.5,135.26,calculado_gr2m
1984-01-01,99.6,266.77,calculado_gr2m
1984-02-01,115.4,289.15,calculado_gr2m
1984-03-01,121.4,325.16,calculado_gr2m
1984-04-01,106.3,275.53,calculado_gr2m
1984-05-01,62.0,166.06,calculado_gr2m
1984-06-01,57.2,148.26,calculado_gr2m
1984-07-01,54.2,145.17,calculado_gr2m
1984-08-01,52.4,140.35,calculado_gr2m
1984-09-01,56.1,145.41,calculado_gr2m
1984-10-01,53.8,144.1,calculado_gr2m
1984-11-01,52.7,136.6,calculado_gr2m
1984-12-01,64.7,173.29,calculado_gr2m
1985-01-01,269.7,722.36,calculado_gr2m
1985-02-01,515.8,1247.82,calculado_gr2m
1985-03-01,485.6,1300.63,calculado_gr2m
1985-04-01,209.1,541.99,calculado_gr2m
1985-05-01,105.9,283.64,calculado_gr2m
1985-06-01,79.8,206.84,calculado_gr2m
1985-07-01,67.1,179.72,calculado_gr2m
1985-08-01,60.1,160.97,calculado_gr2m
1985-09-01,55.2,143.08,calculado_gr2m
1985-10-01,53.2,142.49,calculado_gr2m
1985-11-01,52.1,135.04,calculado_gr2m
1985-12-01,59.3,158.83,calculado_gr2m
1986-01-01,206.1,552.02,calculado_gr2m
1986-02-01,361.7,875.02,calculado_gr2m
1986-03-01,345.4,925.12,calculado_gr2m
1986-04-01,181.0,469.15,calculado_gr2m
1986-05-01,96.0,257.13,calculado_gr2m
1986-06-01,75.2,194.92,calculado_gr2m
1986-07-01,64.6,173.02,calculado_gr2m
1986-08-01,58.7,157.22,calculado_gr2m
1986-09-01,55.5,143.86,calculado_gr2m
1986-10-01,53.4,143.03,calculado_gr2m
1986-11-01,52.2,135.3,calculado_gr2m
1986-12-01,59.7,159.9,calculado_gr2m
1987-01-01,217.6,582.82,calculado_gr2m
1987-02-01,396.9,960.18,calculado_gr2m
1987-03-01,382.7,1025.02,calculado_gr2m
1987-04-01,189.1,490.15,calculado_gr2m
1987-05-01,98.9,264.89,calculado_gr2m
1987-06-01,76.6,198.55,calculado_gr2m
1987-07-01,65.4,175.17,calculado_gr2m
1987-08-01,59.2,158.56,calculado_gr2m
1987-09-01,52.3,135.56,calculado_gr2m
1987-10-01,51.3,137.4,calculado_gr2m
1987-11-01,50.6,131.16,calculado_gr2m
1987-12-01,51.3,137.4,calculado_gr2m
1988-01-01,114.7,307.21,calculado_gr2m
1988-02-01,146.1,366.07,calculado_gr2m
1988-03-01,151.3,405.24,calculado_gr2m
1988-04-01,120.5,312.34,calculado_gr2m
1988-05-01,69.6,186.42,calculado_gr2m
1988-06-01,61.5,159.41,calculado_gr2m
1988-07-01,56.9,152.4,calculado_gr2m
1988-08-01,54.1,144.9,calculado_gr2m
