date,caudal_cabeceravalle_m3s,volumen_cabeceravalle_mmc,caudal_puenteocona_generado_m3s,volumen_puenteocona_generado_mmc
1965-01-01,53.46,143.19,52.07,139.46
1965-02-01,195.027,471.81,149.85,362.52
1965-03-01,92.39,247.46,90.99,243.71
1965-04-01,55.608,144.14,63.56,164.75
1965-05-01,35.925,96.22,42.43,113.64
1965-06-01,28.985,75.13,34.61,89.71
1965-07-01,26.014,69.68,29.67,79.47
1965-08-01,27.403,73.4,28.88,77.35
1965-09-01,31.807,82.44,31.12,80.66
1965-10-01,29.514,79.05,30.09,80.59
1965-11-01,27.566,71.45,28.91,74.93
1965-12-01,34.18,91.55,33.67,90.18
1966-01-01,38.268,102.5,36.96,98.99
1966-02-01,45.363,109.74,43.57,105.4
1966-03-01,47.936,128.39,42.66,114.26
1966-04-01,36.369,94.27,36.98,95.85
1966-05-01,32.199,86.24,33.37,89.38
1966-06-01,27.262,70.66,28.18,73.04
1966-07-01,24.86,66.59,25.67,68.75
1966-08-01,24.58,65.84,25.65,68.7
1966-09-01,24.119,62.52,24.82,64.33
1966-10-01,28.095,75.25,28.61,76.63
1966-11-01,30.98,80.3,32.63,84.58
1966-12-01,33.887,90.76,34.05,91.2
1967-01-01,231.937,621.22,160.95,431.09
1967-02-01,607.417,1469.46,458.26,1108.62
1967-03-01,586.319,1570.4,482.12,1291.31
1967-04-01,251.377,651.57,270.99,702.41
1967-05-01,102.692,275.05,140.1,375.24
1967-06-01,53.053,137.51,82.65,214.23
1967-07-01,37.408,100.19,54.68,146.45
1967-08-01,29.85,79.95,40.52,108.53
1967-09-01,29.813,77.28,34.93,90.54
1967-10-01,28.708,76.89,32.43,86.86
1967-11-01,26.251,68.04,30.76,79.73
1967-12-01,28.005,75.01,30.89,82.74
1968-01-01,443.689,1188.38,323.33,866.01
1968-02-01,281.282,704.78,247.39,619.86
1968-03-01,314.533,842.45,252.26,675.65
1968-04-01,133.402,345.78,141.93,367.88
1968-05-01,62.9,168.47,81.46,218.18
1968-06-01,41.784,108.3,55.67,144.3
1968-07-01,29.892,80.06,39.3,105.26
1968-08-01,27.396,73.38,40.52,108.53
1968-09-01,28.74,74.49,32.13,83.28
1968-10-01,29.74,79.66,30.57,81.88
1968-11-01,33.324,86.38,34.38,89.11
1968-12-01,55.462,148.55,48.56,130.06
1969-01-01,56.937,152.5,50.13,134.27
1969-02-01,135.783,328.49,99.22,240.03
1969-03-01,152.504,408.47,117.82,315.57
1969-04-01,88.777,230.11,85.75,222.26
1969-05-01,46.955,125.76,52.1,139.54
1969-06-01,32.667,84.67,38.31,99.3
1969-07-01,29.276,78.41,31.24,83.67
1969-08-01,25.615,68.61,27.28,73.07
1969-09-01,28.529,73.95,28.57,74.05
1969-10-01,27.547,73.78,25.77,69.02
1969-11-01,31.895,82.67,29.95,77.63
1969-12-01,39.84,106.71,35.96,96.32
1970-01-01,286.859,768.32,208.61,558.74
1970-02-01,314.732,761.4,245.15,593.07
1970-03-01,147.096,393.98,140.46,376.21
1970-04-01,74.64,193.47,88.46,229.29
1970-05-01,44.742,119.84,57.99,155.32
1970-06-01,31.743,82.28,40.76,105.65
1970-07-01,27.378,73.33,32.79,87.82
1970-08-01,25.134,67.32,27.55,73.79
1970-09-01,30.009,77.78,29.4,76.2
1970-10-01,31.656,84.79,30.49,81.66
1970-11-01,29.288,75.91,27.96,72.47
1970-12-01,31.546,84.49,29.65,79.41
1971-01-01,105.979,283.85,75.7,202.75
1971-02-01,122.179,295.58,93.33,225.78
1971-03-01,98.772,264.55,80.89,216.66
1971-04-01,60.594,157.06,58.3,151.11
1971-05-01,37.474,100.37,41.44,110.99
1971-06-01,29.503,76.47,33.27,86.24
1971-07-01,25.889,69.34,28.97,77.59
1971-08-01,23.633,63.3,26.47,70.9
1971-09-01,23.195,60.12,25.57,66.28
1971-10-01,24.269,65.0,23.91,64.04
1971-11-01,25.54,66.2,23.9,61.95
1971-12-01,72.535,194.28,54.02,144.69
1972-01-01,389.392,1042.95,286.95,768.57
1972-02-01,544.225,1363.61,432.29,1083.15
1972-03-01,671.123,1797.54,549.51,1471.81
1972-04-01,271.545,703.84,299.66,776.72
1972-05-01,109.033,292.03,154.1,412.74
1972-06-01,56.767,147.14,90.06,233.44
1972-07-01,37.276,99.84,57.04,152.78
1972-08-01,28.367,75.98,41.19,110.32
1972-09-01,34.27,88.83,38.61,100.08
1972-10-01,49.33,132.13,46.57,124.73
