date,precipitacion_cuencaocona_mm
1965-09-01,5.1
1965-10-01,7.1
1965-11-01,5.7
1965-12-01,20.4
1966-01-01,54.7
1966-02-01,59.6
1966-03-01,58.7
1966-04-01,15.8
1966-05-01,2.6
1966-06-01,1.4
1966-07-01,1.9
1966-08-01,3.7
1966-09-01,4.8
1966-10-01,6.9
1966-11-01,5.9
1966-12-01,19.3
1967-01-01,47.4
1967-02-01,50.4
1967-03-01,50.6
1967-04-01,14.7
1967-05-01,2.5
1967-06-01,1.4
1967-07-01,1.8
1967-08-01,3.6
1967-09-01,8.0
1967-10-01,11.1
1967-11-01,11.3
1967-12-01,37.1
1968-01-01,96.2
1968-02-01,108.8
1968-03-01,100.8
1968-04-01,24.7
1968-05-01,4.1
1968-06-01,2.1
1968-07-01,3.0
1968-08-01,5.7
1968-09-01,8.1
1968-10-01,11.3
1968-11-01,11.7
1968-12-01,37.4
1969-01-01,93.2
1969-02-01,105.0
1969-03-01,98.5
1969-04-01,24.5
1969-05-01,4.1
1969-06-01,2.1
1969-07-01,3.0
1969-08-01,5.7
1969-09-01,6.7
1969-10-01,9.5
1969-11-01,9.3
1969-12-01,30.1
1970-01-01,75.0
1970-02-01,83.6
1970-03-01,78.8
1970-04-01,20.3
1970-05-01,3.4
1970-06-01,1.9
1970-07-01,2.5
1970-08-01,4.9
1970-09-01,7.1
1970-10-01,10.1
1970-11-01,10.6
1970-12-01,33.7
1971-01-01,84.4
1971-02-01,96.5
1971-03-01,87.4
1971-04-01,21.2
1971-05-01,3.6
1971-06-01,2.0
1971-07-01,2.7
1971-08-01,5.4
1971-09-01,6.5
1971-10-01,9.6
1971-11-01,9.7
1971-12-01,30.4
1972-01-01,73.7
1972-02-01,83.4
1972-03-01,77.9
1972-04-01,19.7
1972-05-01,3.4
1972-06-01,1.9
1972-07-01,2.5
1972-08-01,5.0
1972-09-01,10.1
1972-10-01,14.3
1972-11-01,15.7
1972-12-01,50.4
1973-01-01,129.5
1973-02-01,150.3
1973-03-01,135.2
1973-04-01,30.9
1973-05-01,5.1
1973-06-01,2.6
1973-07-01,3.7
1973-08-01,7.3
1973-09-01,7.4
1973-10-01,10.3
1973-11-01,10.4
1973-12-01,33.7
1974-01-01,95.1
1974-02-01,94.9
1974-03-01,89.7
1974-04-01,22.8
1974-05-01,3.8
1974-06-01,1.9
1974-07-01,2.7
1974-08-01,5.2
1974-09-01,7.2
1974-10-01,10.3
1974-11-01,10.5
1974-12-01,33.9
1975-01-01,86.3
1975-02-01,98.2
1975-03-01,89.6
1975-04-01,21.8
1975-05-01,3.7
1975-06-01,2.0
1975-07-01,2.8
1975-08-01,5.4
1975-09-01,7.8
1975-10-01,11.3
1975-11-01,11.8
1975-12-01,37.2
1976-01-01,90.9
1976-02-01,104.0
1976-03-01,96.4
1976-04-01,23.7
1976-05-01,4.0
1976-06-01,2.2
1976-07-01,2.9
1976-08-01,5.7
1976-09-01,7.9
1976-10-01,11.3
1976-11-01,11.6
1976-12-01,37.3
1977-01-01,93.9
1977-02-01,106.9
1977-03-01,98.8
1977-04-01,24.1
1977-05-01,4.1
1977-06-01,2.2
1977-07-01,3.0
1977-08-01,5.7
1977-09-01,7.0
1977-10-01,9.8
1977-11-01,9.5
1977-12-01,31.3
1978-01-01,78.2
1978-02-01,87.1
1978-03-01,82.8
1978-04-01,21.2
1978-05-01,3.6
1978-06-01,1.9
1978-07-01,2.6
1978-08-01,4.9
1978-09-01,5.5
1978-10-01,7.8
1978-11-01,7.0
1978-12-01,22.8
1979-01-01,55.6
1979-02-01,60.0
1979-03-01,59.6
1979-04-01,16.9
1979-05-01,2.9
1979-06-01,1.5
1979-07-01,2.0
1979-08-01,3.9
1979-09-01,5.8
1979-10-01,8.3
1979-11-01,8.0
1979-12-01,25.3
1980-01-01,62.0
1980-02-01,68.6
1980-03-01,65.3
1980-04-01,17.7
1980-05-01,3.0
1980-06-01,1.7
1980-07-01,2.1
1980-08-01,4.3
1980-09-01,5.7
1980-10-01,7.9
1980-11-01,7.0
1980-12-01,23.3
1981-01-01,58.7
1981-02-01,63.5
1981-03-01,63.2
1981-04-01,17.4
1981-05-01,2.9
1981-06-01,1.6
1981-07-01,2.1
1981-08-01,4.0
1981-09-01,7.9
1981-10-01,11.3
1981-11-01,11.8
1981-12-01,38.0
1982-01-01,96.2
1982-02-01,110.1
1982-03-01,100.4
1982-04-01,24.0
1982-05-01,4.1
1982-06-01,2.2
1982-07-01,3.0
1982-08-01,5.8
1982-09-01,6.7
1982-10-01,9.4
1982-11-01,9.0
1982-12-01,29.3
