date,caudal_puentecolgantesibayo_m3s,volumen_puentecolgantesibayo_mmc
1968-09-01,3.737,9.687
1968-10-01,4.247,11.375
1968-11-01,14.983,38.837
1968-12-01,15.755,42.198
1969-12-01,6.968,18.663
1970-01-01,34.029,91.143
1970-02-01,57.929,140.141
1970-05-01,7.766,20.802
1970-06-01,5.059,13.112
1970-07-01,4.012,10.746
1970-08-01,3.444,9.225
1970-09-01,3.863,10.012
1970-10-01,3.383,9.06
1970-12-01,6.91,18.509
1971-01-01,17.473,46.8
1971-02-01,70.179,169.776
1971-03-01,40.716,109.054
1971-04-01,16.44,42.613
1971-05-01,6.814,18.249
1971-06-01,5.305,13.751
1971-07-01,4.446,11.908
1971-08-01,4.085,10.94
1971-09-01,3.812,9.881
1971-10-01,3.875,10.379
1971-11-01,3.542,9.181
1971-12-01,8.44,22.605
1972-01-01,58.055,155.494
1972-02-01,32.538,81.527
1972-03-01,62.619,167.72
1972-04-01,25.993,67.375
1972-05-01,10.279,27.531
1972-06-01,7.342,19.03
1972-07-01,6.382,17.093
1972-08-01,4.997,13.384
1972-09-01,5.907,15.31
1972-10-01,4.423,11.845
1972-11-01,5.21,13.504
1972-12-01,7.044,18.866
1973-01-01,80.552,215.749
1973-02-01,151.186,365.748
1973-03-01,157.229,421.122
1973-04-01,35.023,90.78
1973-05-01,13.442,36.003
1973-06-01,6.685,17.328
1973-07-01,7.677,20.563
1973-08-01,6.35,17.008
1973-09-01,5.837,15.129
1973-10-01,4.764,12.76
1973-11-01,5.146,13.338
1973-12-01,9.817,26.294
1974-01-01,131.306,351.691
1974-02-01,210.107,508.291
1974-03-01,75.135,201.243
1974-04-01,25.267,65.491
1974-05-01,9.351,25.045
1974-06-01,7.894,20.462
1974-07-01,6.585,17.637
1974-08-01,9.68,25.926
1974-09-01,11.669,30.245
1974-10-01,6.675,17.878
1974-11-01,5.935,15.383
1974-12-01,8.149,21.826
1975-01-01,49.398,132.309
1975-02-01,171.014,413.718
1975-03-01,129.439,346.689
1975-04-01,24.163,62.631
1975-05-01,13.984,37.454
1975-06-01,8.147,21.118
1975-07-01,8.285,22.191
1975-08-01,6.503,17.418
1975-09-01,5.166,13.39
1975-10-01,5.251,14.064
