date,caudal_coruca_m3_s,volumen_coruca_mmc
2005-06-01,1.8,4.6656
2005-07-01,1.98,5.3032
2005-08-01,1.6,4.2854
2005-09-01,1.32,3.4214
2005-10-01,1.04,2.7855
2005-11-01,1.06,2.7475
2005-12-01,1.17,3.1337
2006-01-01,3.71,9.9369
2006-02-01,9.14,22.1115
2006-03-01,8.43,22.5789
2006-04-01,4.67,12.1046
2006-05-01,2.2,5.8925
2006-06-01,2.16,5.5987
2006-07-01,1.74,4.6604
2006-08-01,1.37,3.6694
2006-09-01,1.26,3.2659
2006-10-01,1.48,3.964
2006-11-01,1.42,3.6806
2006-12-01,1.32,3.5355
2007-01-01,2.5,6.696
2007-02-01,3.37,8.1527
2007-03-01,5.56,14.8919
2007-06-01,1.43,3.7066
2007-07-01,1.38,3.6962
2007-08-01,1.12,2.9998
2007-09-01,0.86,2.2291
2007-10-01,0.87,2.3302
2007-11-01,0.85,2.2032
2007-12-01,0.97,2.598
2008-01-01,7.5,20.088
2008-02-01,1.9,4.7606
2008-03-01,2.1,5.6246
2008-04-01,1.53,3.9658
2008-05-01,1.32,3.5355
2008-07-01,1.29,3.4551
2008-08-01,1.19,3.1873
2008-09-01,1.15,2.9808
2008-10-01,1.22,3.2676
2008-11-01,1.21,3.1363
2008-12-01,2.31,6.1871
