date,caudal_la_tranca_m3s,caudal_yabroco_m3s
1993-01-01,11.099,0.47
1993-02-01,2.346,0.37
1993-03-01,4.735,0.19
1993-04-01,0.666,0.25
1993-05-01,0.811,0.26
1993-06-01,0.923,0.25
1993-07-01,0.852,0.28
1993-08-01,0.806,0.26
1993-09-01,0.433,0.25
1993-10-01,0.423,0.27
1993-11-01,0.403,0.25
1993-12-01,0.693,0.28
1994-01-01,2.332,0.39
1994-02-01,20.09,1.0
1994-03-01,1.321,1.87
1994-04-01,1.944,0.64
1994-05-01,0.994,0.43
1994-06-01,1.071,0.41
1994-07-01,1.13,0.43
1994-08-01,0.779,0.34
1994-09-01,0.59,0.33
1994-10-01,0.462,0.32
1994-11-01,0.424,0.29
1994-12-01,0.55,0.3
1995-01-01,3.063,0.56
1995-02-01,0.371,0.55
1995-03-01,4.402,0.55
1995-04-01,0.651,0.37
1995-05-01,0.575,0.34
1995-06-01,0.692,0.32
1995-07-01,0.626,0.33
1995-08-01,0.56,0.29
1995-09-01,0.51,0.28
1995-10-01,0.451,0.29
1995-11-01,0.388,0.29
1995-12-01,0.299,0.26
1996-01-01,0.507,0.26
1996-02-01,2.169,0.46
1996-03-01,1.285,0.96
1996-04-01,0.677,0.43
1996-05-01,0.698,0.42
1996-06-01,0.612,0.42
1996-07-01,0.643,0.4
1996-08-01,0.497,0.35
1996-09-01,0.377,0.36
1996-10-01,0.431,0.4
1996-11-01,0.468,0.36
1996-12-01,0.425,0.36
