date,caudal_supe_m3s,volumen_supe_mmc
1962-08-01,0.00,0.000
1962-09-01,0.00,0.000
1962-10-01,0.00,0.000
1962-11-01,0.00,0.000
1962-12-01,0.00,0.000
1963-01-01,0.85,2.277
1963-02-01,4.16,10.064
1963-03-01,10.00,26.784
1963-04-01,6.48,16.796
1963-05-01,0.00,0.000
1963-06-01,0.00,0.000
1963-07-01,0.00,0.000
1963-08-01,0.00,0.000
1963-09-01,0.00,0.000
1963-10-01,0.00,0.000
1963-11-01,0.00,0.000
1963-12-01,3.29,8.812
1964-01-01,0.06,0.161
1964-02-01,3.78,9.471
1964-03-01,8.34,22.338
1964-04-01,4.49,11.638
1964-05-01,0.71,1.902
1964-06-01,0.00,0.000
1964-07-01,0.00,0.000
1964-08-01,0.00,0.000
1964-09-01,0.00,0.000
1964-10-01,0.00,0.000
1964-11-01,0.00,0.000
1964-12-01,0.00,0.000
1965-01-01,0.44,1.178
1965-02-01,1.49,3.605
1965-03-01,13.72,36.748
1965-04-01,2.40,6.221
1965-05-01,0.00,0.000
1965-06-01,0.00,0.000
1965-07-01,0.00,0.000
1965-08-01,0.00,0.000
1965-09-01,0.00,0.000
1965-10-01,0.00,0.000
1965-11-01,0.00,0.000
1965-12-01,0.00,0.000
1966-01-01,0.83,2.223
1966-02-01,0.61,1.476
1966-03-01,3.34,8.946
1966-04-01,0.57,1.477
1966-05-01,0.00,0.000
1966-06-01,0.00,0.000
1966-07-01,0.00,0.000
1966-08-01,0.00,0.000
1966-09-01,0.00,0.000
1966-10-01,0.75,2.009
1966-11-01,0.00,0.000
1966-12-01,0.00,0.000
1967-01-01,5.91,15.829
1967-02-01,27.29,66.020
1967-03-01,19.20,51.425
1967-04-01,4.69,12.156
1967-05-01,0.48,1.286
1967-06-01,0.00,0.000
1967-07-01,0.00,0.000
1967-08-01,0.00,0.000
1967-09-01,0.00,0.000
1967-10-01,0.00,0.000
1967-11-01,0.00,0.000
1967-12-01,0.00,0.000
1968-01-01,0.00,0.000
1968-02-01,0.00,0.000
1968-03-01,2.03,5.437
1968-04-01,1.12,2.903
1968-05-01,0.00,0.000
1968-06-01,0.00,0.000
1968-07-01,0.00,0.000
1968-08-01,0.00,0.000
1968-09-01,0.00,0.000
1968-10-01,0.00,0.000
1968-11-01,0.00,0.000
1968-12-01,0.00,0.000
1969-01-01,0.00,0.000
1969-02-01,0.20,0.484
1969-03-01,4.58,12.267
1969-04-01,2.59,6.713
1969-05-01,0.00,0.000
1969-06-01,0.00,0.000
1969-07-01,0.00,0.000
1969-08-01,0.00,0.000
1969-09-01,0.00,0.000
1969-10-01,0.00,0.000
1969-11-01,0.00,0.000
1969-12-01,1.98,5.303
1970-01-01,11.96,32.034
1970-02-01,0.73,1.766
1970-03-01,2.06,5.518
1970-04-01,1.07,2.773
1970-05-01,0.69,1.848
1970-06-01,0.63,1.633
1970-07-01,0.11,0.295
1970-08-01,0.00,0.000
1970-09-01,0.00,0.000
1970-10-01,0.00,0.000
1970-11-01,0.00,0.000
1970-12-01,0.62,1.661
1971-01-01,1.72,4.607
1971-02-01,3.29,7.959
1971-03-01,7.62,20.409
1971-04-01,4.79,12.416
1971-05-01,1.25,3.348
1971-06-01,0.00,0.000
1971-07-01,0.00,0.000
1971-08-01,0.00,0.000
1971-09-01,0.00,0.000
1971-10-01,0.00,0.000
1971-11-01,0.00,0.000
1971-12-01,0.08,0.214
1972-01-01,4.04,10.821
1972-02-01,5.29,13.255
1972-03-01,20.34,54.479
1972-04-01,4.29,11.120
1972-05-01,1.31,3.509
1972-06-01,0.27,0.700
1972-07-01,0.02,0.054
1972-08-01,0.18,0.482
1972-09-01,0.11,0.285
1972-10-01,0.10,0.268
1972-11-01,0.22,0.570
1972-12-01,2.36,6.321
1973-01-01,7.32,19.606
1973-02-01,7.53,18.217
1973-03-01,11.93,31.953
1973-04-01,9.09,23.561
1973-05-01,1.99,5.330
1973-06-01,0.78,2.022
1973-07-01,0.51,1.366
1973-08-01,0.38,1.018
1973-09-01,0.41,1.063
1973-10-01,0.74,1.982
1973-11-01,0.54,1.400
1973-12-01,1.46,3.910
1974-01-01,4.56,12.214
1974-02-01,7.82,18.918
1974-03-01,5.74,15.374
1974-04-01,3.05,7.906
1974-05-01,1.33,3.562
1974-06-01,1.00,2.592
1974-07-01,0.88,2.357
1974-08-01,0.74,1.982
1974-09-01,0.41,1.063
1974-10-01,0.30,0.804
1974-11-01,0.28,0.726
1974-12-01,0.28,0.750
1975-01-01,0.54,1.446
1975-02-01,2.76,6.677
1975-03-01,18.87,50.541
1975-04-01,3.47,8.994
1975-05-01,0.68,1.821
1975-06-01,0.50,1.296
1975-07-01,0.44,1.178
1975-08-01,0.37,0.991
1975-09-01,0.28,0.726
1975-10-01,0.26,0.696
1975-11-01,0.12,0.311
1975-12-01,0.23,0.616
1976-01-01,2.25,6.026
1976-02-01,5.45,13.656
1976-03-01,5.04,13.499
1976-04-01,2.81,7.284
1976-05-01,0.84,2.250
1976-06-01,0.22,0.570
1976-07-01,0.11,0.295
1976-08-01,0.10,0.268
1976-09-01,0.10,0.259
1976-10-01,0.10,0.268
1976-11-01,0.10,0.259
1976-12-01,0.30,0.804
1977-01-01,3.03,8.116
1977-02-01,9.41,22.765
1977-03-01,5.44,14.570
1977-04-01,1.42,3.681
1977-05-01,0.18,0.482
1977-06-01,0.11,0.285
1977-07-01,0.10,0.268
1977-08-01,0.10,0.268
1977-09-01,0.33,0.855
1977-10-01,0.13,0.348
1977-11-01,0.34,0.881
1977-12-01,0.42,1.125
1978-01-01,1.62,4.339
1978-02-01,5.26,12.725
1978-03-01,2.21,5.919
1978-04-01,2.13,5.521
1978-05-01,0.52,1.393
1978-06-01,0.29,0.752
1978-07-01,0.22,0.589
1978-08-01,0.20,0.536
1978-09-01,0.17,0.441
1978-10-01,0.33,0.884
1978-11-01,0.50,1.296
1978-12-01,0.66,1.768
1979-01-01,0.69,1.848
1979-02-01,3.14,7.596
1979-03-01,5.37,14.383
1979-04-01,0.59,1.529
1979-05-01,0.23,0.616
1979-06-01,0.11,0.285
1979-07-01,0.09,0.241
1979-08-01,0.08,0.214
1979-09-01,0.06,0.156
1979-10-01,0.07,0.187
1979-11-01,0.08,0.207
1979-12-01,0.24,0.643
1980-01-01,1.89,5.062
1980-02-01,1.99,4.986
1980-03-01,1.94,5.196
1980-04-01,3.24,8.398
1980-05-01,0.49,1.312
1980-06-01,0.31,0.804
1980-07-01,0.10,0.268
1980-08-01,0.06,0.161
1980-09-01,0.05,0.130
1980-10-01,1.61,4.312
1980-11-01,0.52,1.348
1980-12-01,0.99,2.652
1981-01-01,2.67,7.151
1981-02-01,11.07,26.781
1981-03-01,16.81,45.024
1981-04-01,2.14,5.547
1981-05-01,0.42,1.125
1981-06-01,0.24,0.622
1981-07-01,0.09,0.241
1981-08-01,0.08,0.214
1981-09-01,0.09,0.233
1981-10-01,0.08,0.214
1981-11-01,0.07,0.181
1981-12-01,0.39,1.045
1982-01-01,1.20,3.214
1982-02-01,4.33,10.475
1982-03-01,1.23,3.294
1982-04-01,0.59,1.529
1982-05-01,0.27,0.723
1982-06-01,0.15,0.389
1982-07-01,0.07,0.187
1982-08-01,0.04,0.107
1982-09-01,0.04,0.104
1982-10-01,0.04,0.107
1982-11-01,0.26,0.674
1982-12-01,2.07,5.544
1983-01-01,7.27,19.472
1983-02-01,12.57,30.409
1983-03-01,14.94,40.015
1983-04-01,6.83,17.703
1983-05-01,0.51,1.366
1983-06-01,0.23,0.596
1983-07-01,0.18,0.482
1983-08-01,0.10,0.268
1983-09-01,0.08,0.207
1983-10-01,0.08,0.214
1983-11-01,0.05,0.130
1983-12-01,0.20,0.536
1984-01-01,1.93,5.169
1984-02-01,23.41,58.656
1984-03-01,18.97,50.809
1984-04-01,2.69,6.972
1984-05-01,0.82,2.196
1984-06-01,0.58,1.503
1984-07-01,0.34,0.911
1984-08-01,0.16,0.429
1984-09-01,0.08,0.207
1984-10-01,0.47,1.259
1984-11-01,0.35,0.907
1984-12-01,1.77,4.741
1985-01-01,1.45,3.884
1985-02-01,3.10,7.500
1985-03-01,4.24,11.356
1985-04-01,4.41,11.431
1985-05-01,1.91,5.116
1985-06-01,0.73,1.892
1985-07-01,0.57,1.527
1985-08-01,0.38,1.018
1985-09-01,0.42,1.089
1985-10-01,0.44,1.178
1985-11-01,0.34,0.881
1985-12-01,0.41,1.098
