date,caudal_piedras_blancas_m3_s,volumen_piedras_blancas_mmc
1950-01-01,0.35,0.9374
1950-02-01,0.41,0.9919
1950-03-01,0.44,1.1785
1950-04-01,0.33,0.8554
1950-05-01,0.59,1.5803
1950-06-01,0.23,0.5962
1950-07-01,0.34,0.9107
1950-08-01,0.48,1.2856
1950-09-01,0.34,0.8813
1950-10-01,0.27,0.7232
1950-11-01,0.25,0.648
1950-12-01,0.32,0.8571
1951-01-01,0.39,1.0446
1951-02-01,0.46,1.1128
1951-03-01,0.35,0.9374
1951-04-01,0.29,0.7517
1951-05-01,0.26,0.6964
1951-06-01,0.24,0.6221
1951-07-01,0.28,0.75
1951-08-01,0.27,0.7232
1951-09-01,0.26,0.6739
1951-10-01,0.27,0.7232
1952-01-01,0.38,1.0178
1952-02-01,0.14,0.3508
1952-03-01,0.22,0.5892
1952-04-01,0.15,0.3888
1952-05-01,0.17,0.4553
1952-06-01,0.15,0.3888
1952-07-01,0.16,0.4285
1952-08-01,0.23,0.616
1952-09-01,0.23,0.5962
1952-10-01,0.15,0.4018
1952-11-01,0.13,0.337
1952-12-01,0.12,0.3214
1953-01-01,0.12,0.3214
1953-02-01,0.25,0.6048
1953-03-01,1.34,3.5891
1953-04-01,0.15,0.3888
1953-05-01,0.18,0.4821
1953-06-01,0.17,0.4406
1953-07-01,0.16,0.4285
1953-08-01,0.16,0.4285
1953-09-01,0.16,0.4147
1953-10-01,0.16,0.4285
1953-11-01,0.18,0.4666
1953-12-01,0.16,0.4285
1954-01-01,0.19,0.5089
1954-02-01,1.05,2.5402
1954-03-01,0.15,0.4018
1954-04-01,0.2,0.5184
1954-05-01,0.3,0.8035
1954-06-01,0.33,0.8554
1954-07-01,0.35,0.9374
1954-08-01,0.53,1.4196
1954-09-01,0.46,1.1923
1954-10-01,0.27,0.7232
1954-11-01,0.25,0.648
1954-12-01,0.34,0.9107
1955-01-01,0.94,2.5177
1955-02-01,0.66,1.5967
1955-03-01,1.14,3.0534
1955-04-01,0.23,0.5962
1955-05-01,0.7,1.8749
1955-06-01,0.71,1.8403
1955-07-01,0.76,2.0356
1955-08-01,0.69,1.8481
1955-09-01,0.68,1.7626
1955-10-01,0.58,1.5535
1955-11-01,0.56,1.4515
1955-12-01,0.69,1.8481
1956-01-01,0.67,1.7945
1956-02-01,0.6,1.5034
1956-03-01,0.6,1.607
1956-04-01,0.55,1.4256
1956-05-01,0.55,1.4731
1956-06-01,0.42,1.0886
1956-07-01,0.34,0.9107
1956-08-01,0.46,1.2321
1956-09-01,0.5,1.296
1956-10-01,0.43,1.1517
1956-11-01,0.48,1.2442
1956-12-01,0.48,1.2856
1957-01-01,0.43,1.1517
1957-02-01,0.57,1.3789
1957-03-01,0.66,1.7677
1957-04-01,0.66,1.7107
1957-05-01,0.43,1.1517
1957-06-01,0.47,1.2182
1957-07-01,0.45,1.2053
1957-08-01,0.44,1.1785
1957-09-01,0.35,0.9072
1957-10-01,0.29,0.7767
1957-11-01,0.31,0.8035
1957-12-01,0.4,1.0714
1958-01-01,0.45,1.2053
1958-02-01,0.5,1.2096
1958-03-01,0.66,1.7677
1958-04-01,0.29,0.7517
1958-05-01,0.34,0.9107
1958-06-01,0.59,1.5293
1958-07-01,0.48,1.2856
1958-08-01,0.51,1.366
1958-09-01,0.49,1.2701
1958-10-01,0.42,1.1249
1958-11-01,0.35,0.9072
1958-12-01,0.31,0.8303
1959-01-01,0.31,0.8303
1959-02-01,0.55,1.3306
1959-03-01,0.66,1.7677
1959-04-01,0.45,1.1664
1959-05-01,0.35,0.9374
1959-06-01,0.54,1.3997
1959-07-01,0.46,1.2321
1959-08-01,0.49,1.3124
1959-09-01,0.42,1.0886
1959-10-01,0.35,0.9374
1959-11-01,0.31,0.8035
1959-12-01,0.48,1.2856
1960-01-01,0.78,2.0892
1960-02-01,0.62,1.5535
1960-03-01,0.45,1.2053
1960-04-01,0.45,1.1664
1960-05-01,0.55,1.4731
1960-06-01,0.53,1.3738
1960-07-01,0.56,1.4999
1960-08-01,0.52,1.3928
1960-09-01,0.44,1.1405
1960-10-01,0.49,1.3124
1960-11-01,0.55,1.4256
1960-12-01,0.65,1.741
1961-01-01,0.76,2.0356
1961-02-01,0.74,1.7902
1961-03-01,0.8,2.1427
1961-04-01,0.55,1.4256
1961-05-01,0.46,1.2321
1961-06-01,0.6,1.5552
1961-07-01,0.55,1.4731
1961-08-01,0.51,1.366
1961-09-01,0.46,1.1923
1961-10-01,0.55,1.4731
1961-11-01,0.52,1.3478
1961-12-01,0.65,1.741
1962-01-01,0.62,1.6606
1962-02-01,0.83,2.0079
1962-03-01,0.72,1.9284
1962-04-01,0.72,1.8662
1962-05-01,0.58,1.5535
1962-06-01,0.43,1.1146
1962-07-01,0.68,1.8213
1962-08-01,0.58,1.5535
1962-09-01,0.63,1.633
1962-10-01,0.53,1.4196
1962-11-01,0.41,1.0627
1962-12-01,0.44,1.1785
1963-01-01,0.64,1.7142
1963-02-01,0.97,2.3466
1963-03-01,0.84,2.2499
1963-04-01,0.65,1.6848
1963-05-01,0.6,1.607
1963-06-01,0.62,1.607
1963-07-01,0.49,1.3124
1963-08-01,0.6,1.607
1963-09-01,0.54,1.3997
1963-10-01,0.59,1.5803
1963-11-01,0.41,1.0627
1963-12-01,0.44,1.1785
1964-01-01,0.75,2.0088
1964-02-01,1.07,2.681
1964-03-01,0.87,2.3302
1964-04-01,0.64,1.6589
1964-05-01,0.6,1.607
1964-06-01,0.44,1.1405
1964-07-01,0.52,1.3928
1964-08-01,0.51,1.366
1964-09-01,0.58,1.5034
1964-10-01,0.54,1.4463
1964-11-01,0.59,1.5293
1964-12-01,0.71,1.9017
1965-01-01,0.57,1.5267
1965-02-01,0.71,1.7176
1965-03-01,0.7,1.8749
1965-04-01,0.64,1.6589
1965-05-01,0.6,1.607
1965-06-01,0.62,1.607
1965-07-01,0.49,1.3124
1965-08-01,0.51,1.366
1965-09-01,0.58,1.5034
1965-10-01,0.49,1.3124
1965-11-01,0.5,1.296
1965-12-01,0.59,1.5803
1966-01-01,0.39,1.0446
1966-02-01,0.46,1.1128
1966-03-01,0.49,1.3124
1966-04-01,0.35,0.9072
1966-05-01,0.27,0.7232
1966-06-01,0.35,0.9072
1966-07-01,0.47,1.2588
1966-08-01,0.52,1.3928
1966-09-01,0.47,1.2182
1966-10-01,0.5,1.3392
1966-11-01,0.44,1.1405
1966-12-01,0.5,1.3392
1967-01-01,0.4,1.0714
1967-02-01,0.68,1.6451
1967-03-01,0.6,1.607
1967-04-01,0.21,0.5443
1967-05-01,0.47,1.2588
1967-06-01,0.52,1.3478
