date,caudal_eltigre_m3s,caudal_eltigre_max_m3s,caudal_eltigre_min_m3s,volumen_eltigre_mmc
1963-01-01,63.2,NA,NA,169.27
1963-02-01,173.8,464.0,76.0,420.46
1963-03-01,310.0,553.0,173.0,830.3
1963-04-01,165.0,416.0,71.0,427.68
1963-05-01,63.3,91.0,41.0,169.54
1963-06-01,31.7,39.5,25.5,82.17
1963-07-01,21.2,33.4,17.4,56.78
1963-08-01,16.1,17.4,14.4,43.12
1963-09-01,14.1,15.0,13.4,36.55
1963-10-01,13.4,15.0,12.4,35.89
1963-11-01,12.9,18.1,11.0,33.44
1963-12-01,17.3,48.0,11.4,46.34
1964-01-01,52.0,117.0,28.7,139.28
1964-02-01,72.9,198.0,26.0,182.66
1964-03-01,113.0,261.0,40.6,302.66
1964-04-01,279.0,537.0,161.0,723.17
1964-05-01,137.0,252.0,72.7,366.94
1964-06-01,55.9,74.0,42.5,144.89
1964-07-01,31.8,41.0,25.3,85.17
1964-08-01,22.8,25.3,20.5,61.07
1964-09-01,20.3,25.3,17.3,52.62
1964-10-01,20.4,31.2,14.0,54.64
1964-11-01,19.1,31.2,14.5,49.51
1964-12-01,19.4,40.0,14.5,51.96
1965-01-01,23.5,53.8,15.1,62.94
1965-02-01,43.9,150.0,22.2,106.2
1965-03-01,191.5,427.5,26.0,512.91
1965-04-01,379.5,669.3,129.8,983.66
1965-05-01,242.9,547.4,70.3,650.58
1965-06-01,54.5,125.8,35.2,141.26
1965-07-01,36.1,45.7,28.2,96.69
1965-08-01,35.0,37.8,29.9,93.74
1965-09-01,29.4,31.1,26.0,76.2
1965-10-01,26.7,40.9,21.9,71.51
1965-11-01,32.6,45.3,22.2,84.5
1965-12-01,37.8,91.1,24.2,101.24
1966-01-01,140.7,296.7,61.8,376.85
1966-02-01,193.6,427.5,109.7,468.36
1966-03-01,185.7,321.3,95.0,497.38
1966-04-01,195.3,281.8,157.7,506.22
1966-05-01,141.7,184.5,103.5,379.53
1966-06-01,57.3,90.5,44.6,148.52
1966-07-01,33.8,40.6,27.5,90.53
1966-08-01,23.1,26.8,20.1,61.87
1966-09-01,17.5,18.7,16.2,45.36
1966-10-01,20.3,34.2,16.1,54.37
1966-11-01,16.7,34.6,14.8,43.29
1966-12-01,16.3,23.1,14.2,43.66
1967-01-01,59.2,123.1,20.7,158.56
1967-02-01,258.7,582.0,140.5,625.85
1967-03-01,229.0,356.6,157.1,613.35
1967-04-01,108.1,146.0,79.5,280.2
1967-05-01,61.0,83.2,43.4,163.38
1967-06-01,38.6,47.3,30.0,100.05
1967-07-01,27.2,31.6,22.8,72.85
1967-08-01,19.6,22.8,17.3,52.5
1967-09-01,12.8,17.3,11.2,33.18
1967-10-01,11.8,19.3,10.1,31.61
1967-11-01,10.8,15.5,7.5,27.99
1967-12-01,8.7,11.9,7.5,23.3
1968-01-01,25.6,63.3,14.2,68.57
1968-02-01,50.5,73.4,36.0,126.53
1968-03-01,152.4,278.8,86.4,408.19
1968-04-01,87.1,169.3,65.7,225.76
1968-05-01,48.3,63.0,39.2,129.37
1968-06-01,35.6,38.1,32.5,92.28
1968-07-01,14.2,16.5,10.5,38.03
1968-08-01,9.7,10.3,8.8,25.98
1968-09-01,8.8,10.9,7.7,22.81
1968-10-01,10.7,12.6,7.7,28.66
1968-11-01,7.7,13.6,6.6,19.96
1968-12-01,8.7,18.9,5.6,23.3
1969-01-01,36.6,86.2,13.7,98.03
1969-02-01,109.8,250.9,25.8,265.63
1969-03-01,227.3,528.2,92.1,608.8
1969-04-01,432.0,866.7,187.6,1119.74
1969-05-01,141.3,312.2,71.4,378.46
1969-06-01,64.0,77.2,44.9,165.89
1969-07-01,44.2,51.6,38.0,118.39
1969-08-01,34.6,38.0,24.5,92.67
1969-09-01,22.1,24.0,20.5,57.28
1969-10-01,18.6,21.0,16.4,49.82
1969-11-01,17.3,19.3,15.5,44.84
1969-12-01,18.9,27.0,12.1,50.62
1970-01-01,122.3,307.4,23.1,327.57
1970-02-01,207.8,370.1,101.0,502.71
1970-03-01,174.3,317.3,106.6,466.85
1970-04-01,119.9,163.2,96.8,310.78
1970-05-01,160.5,255.3,108.0,429.88
1970-06-01,78.3,106.3,55.0,202.95
1970-07-01,42.9,53.5,34.3,114.9
1970-08-01,28.8,35.2,23.4,77.14
1970-09-01,22.8,30.4,20.8,59.1
1970-10-01,18.9,25.4,14.7,50.62
1970-11-01,17.2,22.9,14.1,44.58
1970-12-01,34.0,44.8,22.3,91.07
1971-01-01,120.2,192.1,42.3,321.94
1971-02-01,283.3,816.7,106.2,685.36
1971-03-01,497.5,1370.2,168.3,1332.5
1971-04-01,366.3,865.8,157.7,949.45
1971-05-01,136.2,216.0,85.0,364.8
1971-06-01,77.7,95.8,62.6,201.4
1971-07-01,49.3,62.6,38.7,132.05
1971-08-01,32.8,38.7,25.5,87.85
1971-09-01,27.2,41.1,20.6,70.5
1971-10-01,23.0,30.5,19.5,61.6
1971-11-01,19.9,24.9,16.6,51.58
1971-12-01,39.2,100.8,20.1,104.99
1972-01-01,92.3,255.7,39.3,247.22
1972-02-01,184.9,405.6,65.6,463.29
1972-03-01,626.9,1286.6,139.0,1679.09
1972-04-01,474.5,867.2,322.8,1229.9
1972-05-01,229.2,428.5,113.6,613.89
1972-06-01,137.6,205.6,95.2,356.66
1972-07-01,70.1,93.2,52.5,187.76
1972-08-01,42.7,51.9,39.7,114.37
1972-09-01,34.2,47.4,28.9,88.65
1972-10-01,30.5,35.0,28.4,81.69
1972-11-01,27.0,38.2,19.3,69.98
1972-12-01,77.7,124.5,32.5,208.11
1973-01-01,151.6,563.1,47.1,406.05
1973-02-01,353.7,981.2,116.3,855.67
1973-03-01,459.1,1191.4,202.0,1229.65
1973-04-01,352.9,647.9,213.5,914.72
1973-05-01,187.8,271.2,139.0,503.0
1973-06-01,111.1,168.0,92.2,287.97
1973-07-01,57.7,81.7,43.6,154.54
1973-08-01,35.6,45.7,32.1,95.35
1973-09-01,26.4,30.9,24.2,68.43
1973-10-01,19.3,23.6,16.1,51.69
1973-11-01,17.5,22.2,15.2,45.36
1973-12-01,28.1,82.3,13.3,75.26
1974-01-01,60.5,106.4,44.4,162.04
1974-02-01,208.2,278.1,133.8,503.68
1974-03-01,256.0,416.5,171.1,685.67
1974-04-01,126.7,147.4,89.9,328.41
1974-05-01,130.4,249.9,57.0,349.26
1974-06-01,63.1,84.6,50.8,163.56
1974-07-01,41.3,48.5,33.3,110.62
1974-08-01,23.7,29.3,19.1,63.48
1974-09-01,18.4,27.2,15.6,47.69
1974-10-01,23.8,35.2,17.8,63.75
1974-11-01,21.2,38.2,14.6,54.95
1974-12-01,51.9,115.4,37.5,139.01
1975-01-01,73.9,145.0,49.1,197.93
1975-02-01,250.9,598.9,76.2,606.98
1975-03-01,546.6,1224.6,291.6,1464.01
1975-04-01,413.0,945.7,213.6,1070.5
1975-05-01,204.2,302.5,129.4,546.93
1975-06-01,108.2,175.1,71.2,280.45
1975-07-01,57.5,73.2,43.2,154.01
1975-08-01,35.2,43.2,25.3,94.28
1975-09-01,31.4,39.4,25.1,81.39
1975-10-01,35.7,79.5,23.1,95.62
1975-11-01,30.8,40.4,25.8,79.83
1975-12-01,28.5,46.0,23.1,76.33
1976-01-01,96.5,371.7,22.5,258.47
