date,precipitacion_eltigre_mm,precipitacion_campamentosede_mm,precipitacion_tumpis_mm
1964-01-01,72.4,NA,NA
1964-02-01,4.9,NA,NA
1964-03-01,91.6,NA,NA
1964-04-01,54.8,NA,NA
1964-05-01,0.0,NA,NA
1964-06-01,0.0,NA,NA
1964-07-01,0.0,NA,NA
1964-08-01,0.0,NA,NA
1964-09-01,0.0,NA,NA
1964-10-01,0.0,NA,NA
1964-11-01,0.0,NA,NA
1964-12-01,0.0,NA,NA
1965-01-01,0.0,NA,NA
1965-02-01,3.1,NA,NA
1965-03-01,303.1,NA,NA
1965-04-01,135.1,NA,NA
1965-05-01,30.2,NA,NA
1965-06-01,0.1,NA,NA
1965-07-01,0.0,NA,NA
1965-08-01,0.0,NA,NA
1965-09-01,0.0,NA,NA
1965-10-01,0.0,NA,NA
1965-11-01,0.0,NA,NA
1965-12-01,3.7,NA,NA
1966-01-01,30.6,NA,NA
1966-02-01,3.2,NA,NA
1966-03-01,29.5,NA,NA
1966-04-01,0.3,NA,NA
1966-05-01,0.0,NA,NA
1966-06-01,0.0,NA,NA
1966-07-01,0.0,NA,NA
1966-08-01,0.0,NA,NA
1966-09-01,0.0,NA,NA
1966-10-01,3.1,NA,NA
1966-11-01,0.6,NA,NA
1966-12-01,0.0,NA,NA
1967-01-01,57.1,NA,NA
1967-02-01,111.5,NA,NA
1967-03-01,0.0,NA,NA
1967-04-01,12.4,NA,NA
1967-05-01,0.0,NA,NA
1967-06-01,0.0,NA,NA
1967-07-01,0.0,NA,NA
1967-08-01,0.0,NA,NA
1967-09-01,0.0,NA,NA
1967-10-01,8.6,NA,NA
1967-11-01,0.0,NA,NA
1967-12-01,0.0,NA,NA
1968-01-01,1.0,NA,NA
1968-02-01,0.0,NA,NA
1968-03-01,1.1,NA,NA
1968-04-01,0.3,NA,NA
1968-05-01,0.0,NA,NA
1968-06-01,0.0,NA,NA
1968-07-01,0.0,NA,NA
1968-08-01,0.0,NA,NA
1968-09-01,0.0,NA,NA
1968-10-01,0.0,NA,NA
1968-11-01,0.0,NA,NA
1968-12-01,0.0,NA,NA
1969-01-01,13.0,NA,NA
1969-02-01,22.9,NA,NA
1969-03-01,149.3,NA,NA
1969-04-01,153.6,NA,NA
1969-05-01,97.8,NA,NA
1969-06-01,43.9,NA,NA
1969-07-01,0.4,NA,NA
1969-08-01,0.0,NA,NA
1969-09-01,0.0,NA,NA
1969-10-01,0.0,NA,NA
1969-11-01,0.0,NA,NA
1969-12-01,0.5,NA,NA
1970-01-01,41.0,NA,NA
1970-02-01,71.4,NA,NA
1970-03-01,15.1,NA,NA
1970-04-01,0.0,NA,NA
1970-05-01,19.5,NA,NA
1970-06-01,0.0,NA,NA
1970-07-01,0.0,NA,NA
1970-08-01,0.0,NA,NA
1970-09-01,0.0,NA,NA
1970-10-01,22.9,NA,NA
1970-11-01,0.0,NA,NA
1970-12-01,0.0,NA,NA
1971-01-01,12.1,NA,NA
1971-02-01,81.2,NA,NA
1971-03-01,59.1,NA,NA
1971-04-01,20.8,NA,NA
1971-05-01,0.0,NA,NA
1971-06-01,0.0,NA,NA
1971-07-01,0.0,NA,NA
1971-08-01,0.0,NA,NA
1971-09-01,0.0,NA,NA
1971-10-01,0.0,NA,NA
1971-11-01,0.0,NA,NA
1971-12-01,0.0,NA,NA
1972-01-01,14.9,NA,NA
1972-02-01,80.1,NA,NA
1972-03-01,266.5,NA,NA
1972-04-01,159.7,NA,NA
1972-05-01,14.2,NA,NA
1972-06-01,25.6,NA,NA
1972-07-01,0.0,NA,NA
1972-08-01,0.0,NA,NA
1972-09-01,0.0,NA,NA
1972-10-01,0.0,NA,NA
1972-11-01,0.0,NA,NA
1972-12-01,0.0,NA,NA
1973-01-01,313.0,NA,NA
1973-02-01,85.1,NA,NA
1973-03-01,40.4,NA,NA
1973-04-01,53.5,NA,NA
1973-05-01,4.2,NA,NA
1973-06-01,0.0,NA,NA
1973-07-01,0.0,NA,NA
1973-08-01,0.0,NA,NA
1973-09-01,0.0,NA,NA
1973-10-01,0.0,NA,NA
1973-11-01,0.0,NA,NA
1973-12-01,1.8,NA,NA
1974-01-01,0.2,NA,NA
1974-02-01,6.1,NA,NA
1974-03-01,8.3,NA,NA
1974-04-01,12.4,NA,NA
1974-05-01,20.3,NA,NA
1974-06-01,7.3,NA,NA
1974-07-01,0.0,NA,NA
1974-08-01,0.0,NA,NA
1974-09-01,0.6,NA,NA
1974-10-01,9.9,NA,NA
1974-11-01,0.6,NA,NA
1974-12-01,0.8,NA,NA
1975-01-01,31.1,NA,NA
1975-02-01,27.3,NA,NA
1975-03-01,228.7,NA,NA
1975-04-01,82.2,NA,NA
1975-05-01,1.6,NA,NA
1975-06-01,1.8,NA,NA
1975-07-01,2.8,NA,NA
1975-08-01,6.2,NA,NA
1975-09-01,2.3,NA,NA
1975-10-01,2.4,NA,NA
1975-11-01,2.3,NA,NA
1975-12-01,0.0,NA,NA
1976-01-01,225.2,NA,NA
1976-02-01,130.1,NA,NA
1976-03-01,136.4,NA,NA
1976-04-01,44.2,NA,NA
1976-05-01,18.7,NA,NA
1976-06-01,12.7,NA,NA
