date,caudal_pisac_m3s,caudal_pisac_mmc,caudal_machupicchu_m3s,caudal_machupicchu_mmc,caudal_paucartambo_m3s,caudal_paucartambo_mmc
1964-01-01,,,162.5,435.24,,
1964-02-01,,,216.56,542.613,,
1964-03-01,,,264.23,707.714,,
1964-04-01,,,158.74,411.454,,
1964-05-01,,,77.54,207.683,,
1964-06-01,,,47.91,124.183,,
1964-07-01,,,36.69,98.27,,
1964-08-01,,,30.81,82.522,,
1964-09-01,,,32.38,83.929,,
1964-10-01,,,37.19,99.61,,
1964-11-01,,,49.0,127.008,,
1964-12-01,,,63.24,169.382,,
1965-01-01,,,117.27,314.096,,
1965-02-01,,,256.13,619.63,,
1965-03-01,,,305.03,816.992,,
1965-04-01,,,167.33,433.719,,
1965-05-01,,,72.95,195.389,,
1965-06-01,,,43.79,113.504,,
1965-07-01,,,35.66,95.512,,
1965-08-01,,,29.28,78.424,,
1965-09-01,,,35.01,90.746,,
1965-10-01,,,40.48,108.422,,
1965-11-01,,,40.48,104.924,,
1965-12-01,,,170.43,456.48,,
1966-01-01,62.24,166.704,187.23,501.477,,
1966-02-01,80.37,194.431,277.27,670.772,,
1966-03-01,70.11,187.783,242.82,650.369,,
1966-04-01,43.73,113.348,85.54,221.72,,
1966-05-01,36.17,96.878,63.34,169.65,,
1966-06-01,27.81,72.084,38.36,99.429,,
1966-07-01,23.89,63.987,32.01,85.736,,
1966-08-01,22.94,61.442,29.94,80.191,,
1966-09-01,20.64,53.499,32.72,84.81,,
1966-10-01,27.33,73.201,58.28,156.097,,
1966-11-01,34.89,90.435,87.14,225.867,,
1966-12-01,57.45,153.874,115.05,308.15,,
1967-01-01,70.67,189.283,115.05,308.15,,
1967-02-01,86.48,209.212,169.13,409.159,,
1967-03-01,150.26,402.456,346.6,928.333,,
1967-04-01,105.58,273.663,145.7,377.654,,
1967-05-01,46.14,123.581,64.54,172.864,,
1967-06-01,49.03,127.086,44.15,114.437,,
1967-07-01,45.31,121.358,36.02,96.476,,
1967-08-01,45.13,120.876,30.52,81.745,,
1967-09-01,23.46,60.808,31.13,80.689,,
