date,precipitacion_la_raya_mm,precipitacion_llalli_mm,precipitacion_macusani_mm,precipitacion_sicuani_mm,precipitacion_ccatcca_mm,precipitacion_granja_kayra_mm,precipitacion_paruro_mm,precipitacion_paucartambo_mm,precipitacion_pisac_mm,precipitacion_pomacanchi_mm,precipitacion_urubamba_mm,precipitacion_cirialo_mm,precipitacion_curahuasi_mm,precipitacion_machupicchu_mm,precipitacion_quillabamba_mm,precipitacion_vilcabamba_mm,precipitacion_la_quebrada_mm,precipitacion_huyro_mm,precipitacion_chontachaca_mm,precipitacion_pakitza_mm,precipitacion_quincemil_mm
1964-01-01,200.0,83.0,85.0,107.0,91.1,13.0,77.0,47.7,54.0,185.0,54.0,355.0,42.0,208.3,90.1,146.3,311.0,298.8,799.0,290.0,923.8
1964-02-01,82.0,101.0,52.0,113.0,109.6,92.5,149.0,84.4,53.8,100.0,70.0,378.6,90.0,217.1,86.7,199.1,167.0,298.1,381.0,177.0,727.9
1964-03-01,76.0,88.0,101.0,124.0,137.5,101.6,174.0,74.2,66.4,102.0,98.0,372.0,162.0,212.3,75.6,253.7,167.0,173.5,647.0,201.0,845.9
1964-04-01,41.0,53.0,27.0,61.0,62.0,25.8,38.2,116.9,30.1,88.0,21.0,142.5,33.6,115.2,35.7,107.8,134.0,245.6,613.0,59.0,484.8
1964-05-01,7.0,8.0,6.0,42.0,6.0,7.4,3.2,1.9,9.8,18.0,17.0,45.6,13.0,48.4,4.8,33.9,32.0,57.4,366.0,114.0,306.6
1964-06-01,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.5,32.0,0.0,25.8,0.0,24.0,0.0,2.2,29.0,21.3,453.0,169.0,326.6
1964-07-01,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,8.5,38.0,0.0,4.7,5.2,22.8,0.0,10.7,29.0,35.6,362.0,56.0,387.3
1964-08-01,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,8.9,8.0,0.0,3.0,0.0,53.7,24.7,37.0,16.0,54.6,158.0,18.0,229.4
1964-09-01,10.0,17.0,20.0,43.0,46.0,11.4,21.4,28.1,39.6,23.0,9.0,7.0,60.0,70.8,15.5,103.0,59.0,59.9,270.0,48.0,370.1
1964-10-01,33.0,21.0,14.0,36.0,38.5,36.5,29.1,22.3,55.4,55.0,54.0,8.0,22.1,58.1,52.6,113.0,85.0,100.7,575.0,53.0,511.4
1964-11-01,113.0,64.0,37.0,97.0,30.7,41.5,59.7,34.8,34.8,88.0,77.0,40.0,34.3,108.2,43.9,108.0,81.0,134.0,483.0,216.0,609.9
1964-12-01,127.0,87.0,78.0,61.0,65.6,65.6,45.0,85.4,51.2,145.0,24.5,32.0,42.6,215.8,109.0,119.0,189.0,149.4,617.0,212.0,589.6
1965-01-01,165.0,136.0,128.0,54.0,74.7,101.8,122.4,178.3,91.8,148.0,139.2,135.3,85.2,230.5,150.2,202.6,245.0,243.0,607.0,155.0,727.1
1965-02-01,190.0,139.0,109.0,102.0,114.5,100.5,112.6,73.5,85.8,170.0,59.0,143.0,133.7,301.3,229.9,316.9,241.0,291.0,620.0,229.0,486.1
1965-03-01,253.0,199.0,82.0,132.0,153.6,112.4,174.1,110.9,60.9,194.0,111.0,58.4,111.5,247.9,254.6,266.7,236.0,384.0,956.0,247.0,606.7
1965-04-01,225.0,66.0,76.0,63.0,46.8,88.0,52.6,40.8,38.0,100.0,46.0,24.2,47.5,139.3,126.8,127.4,180.0,188.6,627.0,296.0,672.8
1965-05-01,48.0,0.0,4.0,12.0,7.5,5.8,2.0,0.0,10.4,26.0,0.0,43.0,8.0,0.0,0.0,18.5,29.0,39.0,507.0,72.0,303.2
